User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Demokratie stärken - Hertie-Stiftung,@demokratieghst,2021-02-23T16:00:01.000Z,"Wer hat sich nicht schon mal über unverständliche Paragrafen geärgert. Weniger Komplexität in Gesetzestexten wäre ein guter Anfang für die Stärkung der Demokratie. Aber geht das? Schluss mit Unwesentlichem in Gesetzen, so der Vorschlag von Günter Krings im #Demokratieverstaerker",4,3,1
Günter Krings,@guenterkrings,2019-07-16T05:56:23.000Z,"Bei Ihren Stimmen gegen #vonderLeyen müssten SPD-MdEP der deutschen Öffentlichkeit endlich einmal erklären, was daran demokratisch sein soll, wenn der Kommissinspräsident nicht aus der stärksten Parteienfamilie kommt, sondern ein klar unterlegener Spitzenkandidat gewählt würde.",12,3,9
"Bundesministerium des Innern, für Bau und Heimat",,2019-06-06T17:40:35.000Z,"Parl. StS 
@guenterkrings
 bedankt sich bei deutschen Polizistinnen & #Polizisten für den Einsatz in internationalen #Friedensmissionen: ""Sie nehmen schwierigste Lebensbedingungen in Kauf und riskieren nicht selten ihre persönliche Sicherheit. Danke für Ihren Mut!"" #Friedensstifter",6,6,18
Paul Ziemiak,@PaulZiemiak,2019-06-06T14:01:07.000Z,"Grüne fordern das Land auf, neue Wege zu gehen, flüchten in Bremen aber ängstlich unter Rockzipfel des Wahlverlierers SPD... und dann noch in eine Koalition mit den Linken. Was lernen wir? Im Zweifel sind die Grünen keine bürgerliche Kraft, sondern knallhart links! Augen auf!Grüne Bremen
@GrueneBremen
 · Jun 5, 2019
+++Breaking News+++ Unser Landesvorstand hat sich entschieden: Er schlägt der Landesmitgliederversammlung vor, morgen für Koalitionsgespräche mit der @SPDLandBremen und @DieLinkeBremen zu votieren.",640,355,833
"Bundesministerium des Innern, für Bau und Heimat",,2019-02-22T08:42:59.000Z,"Im Februar vor 100 Jahren trat die Weimarer Reichsverfassung in Kraft. PSt 
@guenterkrings
 zu den Lehren aus dem Scheitern der Weimarer Republik: „Wir haben daran mitzuwirken, ein Bewusstsein für den Wert einer demokratischen #Verfassung zu schaffen & zu erhalten.“",6,11,12
"Bundesministerium des Innern, für Bau und Heimat",,2019-02-19T08:05:58.000Z,"Parl. ST. Dr. Krings: „Wir müssen unsere Polizeien immer wieder so ausstatten, dass sie mit der voranschreitenden #Digitalisierung und den stets wachsenden Aufgaben Schritt halten können.“ #Polizeikongress",4,9,16
Günter Krings,@guenterkrings,2019-01-13T14:52:57.000Z,"Auf dem Weg zur #cduklausur2019. Freue mich! Gemeinsam geht’s um das Arbeitsprogramm 2019, die #sozialemarktwirtschaft, #Europawahl, die #ltwsn19, #ltwbb19, #ltwth19 & 9 Kommunalwahlen. All diese Themen verbindet für uns ein gemeinsames Ziel: Dass es d. Menschen in 
besser geht!",5,3,22
CDU Deutschlands,@CDU,2019-01-09T14:54:22.000Z,"Ein verlässlicher Staat tritt für die #Sicherheit seiner Bürgerinnen und Bürger ein. Sicherheit ist ein Grundbedürfnis – egal was andere behaupten mögen. Wenn das Sicherheitsgefühl Risse bekommt, dann ist Handeln gefragt. #CDUklausur2019",72,32,66
Günter Krings,@guenterkrings,2019-01-08T18:39:07.000Z,"Ich danke dem beteiligten 
@BKA
 & #BSI für den guten und schnellen Ermittlungserfolg. Unsere Sicherheitsbehörden müssen bei Straftaten im #Internet schnell & effektiv handeln können. Bei großen Cyber- oder Hackerangriffen muss der #Bund einschreiten dürfen. #Datendiebstahl",9,11,39
"Bundesministerium des Innern, für Bau und Heimat",,2016-08-05T12:11:34.000Z,"Heute beginnen die #OlympicGames in #Rio2016. Allerbeste Wünsche an die 
@OlympiaMschaft
 vom Sportminister.",2,24,37
Günter Krings,@guenterkrings,2014-07-05T14:18:51.000Z,"erstaunlich, dass beim mutmasslichen 3fach-Agenten des BND Verratsverdacht ggüb NSA offenbar noch mehr empört als ggüb Russland",9,1,2
Günter Krings,@guenterkrings,2013-03-01T09:11:37.000Z,Opposition gehen die Sachargumente gegen #LSR aus - und nimmt Zuflucht zu selbst erfundenen Geschaeftsordnungstricks. Schade.,4,,2
Günter Krings,@guenterkrings,2012-10-13T10:14:16.000Z,"spd behauptet, schlepper locken balkanflüchtlinge mit falschen versprechen. fuerchte,die wahrheit über unser asylrecht ist verlockend genug!",7,4,5
