User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Florian Hahn,@hahnflo,2021-05-13T20:26:46.000Z,"Eines der vielen Paradoxa bei Linken: die Glorifizierung eines homophoben Massenmörders und Rassisten. #CheGuevaraAndreas Hallaschka
@Hallaschka_HH
 · 11h
Wer so über einen Massenmörder und Kriegsverbrecher spricht, hat nicht viel gelernt in seinem Studium „International Law“ oder Völkerrecht oder was auch immer.
#Baerbock #Baerbockfail #CheGuevara
0:13
42.5K views",5,15,95
Dr. Jan-Marco Luczak,@JM_Luczak,2021-05-13T06:25:15.000Z,"Keinen. Zentimeter. Platz. Für. #Antisemitismus!
#StandWithIsrael",43,81,343
CSU,@CSU,2021-05-12T12:03:33.000Z,"Israel steht unter Beschuss und übt sein natürliches Recht auf Selbstverteidigung gegen den Raketenterror der Hamas aus. Hier kann es keine zwei Meinungen geben, sondern nur eine klare Aussage: #StandWithIsrael 
@hahnflo",81,55,364
Florian Hahn,@hahnflo,2021-05-12T19:37:11.000Z,"Sorry lieber 
@WDRaktuell
, aber die Beschädigung von Synagogen und das Verbrennen von Israelflaggen sind keine „Zwischenfälle“, sondern strafbare antisemitische Anschläge.WDR aktuell
@WDRaktuell
 · May 12
Der #Konflikt zwischen Israelis und Palästinensern macht sich auch in NRW bemerkbar. In mehreren Städten gab es Zwischenfälle. In Bonn wurde eine Synagoge beschädigt. Dort und auch vor der #Synagoge in Münster brannten israelische Flaggen. #Hamas #Israel
Show this thread",21,118,596
Florian Hahn,@hahnflo,2021-05-12T04:44:28.000Z,"Solidarität mit #Israel sieht anders aus. Deutschland liefert U-Boote, damit Israel sich selbst verteidigen kann. Diese Unterstützung aufzukündigen würde mit der deutschen Staatsräson seit 1945 grundlegend brechen #Baerbocktoto
@josefheynckes
 · May 11
Ich wünsche mir einen Bundeskanzler, der den Nahostkonflikt verstanden hat und solidarisch an der Seite Israels steht. Ein Waffenexportverbot nach Israel gehört ganz sicher nicht dazu. @AJCBerlin
Show this thread",20,16,113
Florian Hahn,@hahnflo,2021-05-10T10:21:27.000Z,"Was sagt eigentlich Annalena #Baerbock von den „bürgerlichen“ Grünen dazu, dass sich ihre Jugendorganisation offenbar den Kommunismus zum Vorbild nimmt?connect
@connectcdu
 · May 10
Die „Vorbilder“ der Grünen Jugend sind verwunderlich.
Show this thread",14,27,177
Florian Hahn,@hahnflo,2021-05-10T09:18:27.000Z,"Frau Neubauer sollte künftig nicht mehr als Klimaaktivistin, sondern als das dargestellt werden, was sie ist: Mitglied der 
@Die_Gruenen
. #AnneWill",133,260,2.5K
CSU,@CSU,2021-05-09T08:30:00.000Z,Wir wünschen heute allen Müttern alles Liebe zum #Muttertag und sagen #Danke!,18,6,48
Florian Hahn,@hahnflo,2021-05-09T15:55:35.000Z,"Heute ist #Europatag, morgen der Europa-Talk! Freue mich, 
@ManfredWeber
, 
@MelanieHuml
, 
@D_Schwarzer
 und 
@linn_la_s
 live begrüßen zu dürfen zum Thema „Zukunft? Europa!“. 
 Zur Anmeldung: https://bit.ly/3h66UTC",3,6,26
Florian Hahn,@hahnflo,2021-05-09T04:13:01.000Z,"Das muss diese Baerboksche Kompetenz sein, von der immer alle reden…  #BaerbockFailWELT
@welt
 · May 8
Baerbock schreibt Soziale Marktwirtschaft SPD zu – Grüne sprechen von „Versehen“ http://to.welt.de/WH2Lfkq",95,118,862
Florian Hahn,@hahnflo,2021-05-08T14:26:03.000Z,Darf ich vorstellen: eine „bürgerliche“ Bundestagskandidatin der „bürgerlichen“ Grünen. #linksextrem,27,85,508
