User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Olaf Scholz,@OlafScholz,2021-05-12T11:38:21.000Z,"Lasst uns am #TagDerPflege nicht in die Hände klatschen und denken, damit sei es getan. #AusRespekt setzen Arbeitsminister 
@Hubertus_Heil
 und ich uns dafür ein, dass in Altenpflegeheimen Tariflöhne gezahlt werden, sofern sie Leistungen aus der öffentlichen Pflegekasse bekommen.",27,49,271
Deutscher Kulturrat,@DKRKultur,2021-05-12T11:54:04.000Z,"#Künstlersozialkasse: Bundeskabinett billigt Verbesserungen
Deutscher Kulturrat dankt Arbeitsministers 
@hubertus_heil
 und der Bundesregierung für Unterstützung
http://115940.seu2.cleverreach.com/m/12744969/",1,21,33
Alexander Hagelüken,@Hagelueken,2021-05-12T05:20:29.000Z,"Wie die #Kurzarbeit ihre Kritiker widerlegt und statt „Zombiefirmen“ Millionen Jobs rettet - mein Kommentar ⁦
@AnkeRehlinger
⁩ ⁦
@APeichl
⁩ ⁦
@PatrickNuess
⁩ ⁦
@boeckler_de
⁩ ⁦
@HerzogStein
⁩ ⁦
@ullistein21
⁩ ⁦
@hubertus_heil
⁩Kurzarbeit: Besser zu viel ausgeben als zu wenig
Die Kurzarbeit widerlegt ihre Kritiker und rettet Millionen Jobs. Das ist ein Argument, alle Berufstätigen sozial abzusichern
sueddeutsche.de",,15,50
Hubertus Heil,@hubertus_heil,2021-05-10T22:37:06.000Z,"Es war richtig, dass die SPD den Mindestlohn 2015 durchgesetzt hat. Es ist jetzt notwendig, ihn weiterzuentwickeln. #AusRespekt vor denen die viel leisten und zu wenig bekommen. #12EuroMindestlohn 
@spdde
 ⁦
@BMAS_Bund
⁩„Hart aber fair“ über Löhne: Respektlose Ratschläge für hart arbeitende Mutter | Kölner Stadt-Anz...
„Arm trotz Arbeit – wird sozialer Aufstieg zum leeren Versprechen?“ lautete das Thema am Montagabend. Djamila Kordus musste sich schlechte Sprüche von FDP-Politikerin Lencke Wischhusen anhören.
ksta.de",48,35,282
hart aber fair,@hartaberfair,2021-05-10T21:56:51.000Z,"""Es ist eine Frage von Würde und Anstand."" Der Bundesminister für Arbeit und Soziales 
@hubertus_heil
 (
@spdde
 @BMAS_Bund
) fordert bei #hartaberfair 
@DasErste
 anständige Löhne für harte #Arbeit.",101,70,352
Hubertus Heil,@hubertus_heil,2021-05-10T21:05:15.000Z,"„Klatschen zahlt keine Miete“ - Bundesarbeitsminister Heil will Mindestlohn aufstocken„Klatschen zahlt keine Miete“ - Bundesarbeitsminister Heil will Mindestlohn aufstocken
Bundesarbeitsminister Hubertus Heil will den Mindestlohn aufzustocken, um Menschen in systemrelevanten Berufen stärker zu unterstützen.
bild.de",23,38,304
Hubertus Heil,@hubertus_heil,2021-05-09T21:19:56.000Z,"Die Brücke #Kurzarbeit trägt. Sie hilft Deutschland, die Krise zu bewältigen & sichert Millionen von Jobs, sie unterstützt Beschäftigte & Betriebe, stabilisiert die Nachfrage und hält Fachkräfte an Bord. 
@BMAS_Bund
⁩ ⁦
@spdde
⁩Kurzarbeit: Besser zu viel ausgeben als zu wenig
Die Kurzarbeit widerlegt ihre Kritiker und rettet Millionen Jobs. Das ist ein Argument, alle Berufstätigen sozial abzusichern
sueddeutsche.de",12,21,116
Hubertus Heil,@hubertus_heil,2021-05-09T14:36:28.000Z,"Kompetenz für Deutschland. Für die digitale, ökologische und soziale Erneuerung braucht es 
@OlafScholz
 und eine starke 
@spdde
 #AusRespekt #spdbpt21",50,33,209
SPD Parteivorstand,@spdde,2021-05-09T14:48:05.000Z,".
@OlafScholz
 wird mit 96,2 Prozent als Kanzlerkandidat bestätigt. ",208,180,857
SPD Parteivorstand,@spdde,2021-05-09T14:40:35.000Z,"""Führen und zusammenführen. Versöhnen statt spalten. Innovation und Gerechtigkeit. Sicherheit im Wandel. Das braucht Deutschland jetzt"", macht unser Kanzlerkandidat 
@OlafScholz
 deutlich. ""Dafür stehen wir. Dafür trete ich an. Und dafür bitte ich um Unterstützung!"" #spdbpt21",9,19,71
Olaf Scholz,@OlafScholz,2021-05-09T14:21:40.000Z,"Glaubt nicht denen, die euch erzählen wollen, dass nach Corona alles wieder „normal“ wird und „wie früher“. Sie haben Unrecht. 

Aber glaubt auch nicht denen, die meinen, sie könnten auf der grünen Wiese eine ganz neue Welt erfinden! Auch sie haben Unrecht! #spdbpt21",27,25,163
Hubertus Heil,@hubertus_heil,2021-05-09T14:17:03.000Z,"„Wer morgen sicher leben will, muss heute für Reformen kämpfen.“ Mit ⁦
@OlafScholz
⁩ für Erneuerung und Zusammenhalt in Deutschland. #AusRespekt #spdbpt21",23,28,159
"MichaelRueter
on the move",@MichaelRueter,2021-05-09T13:59:25.000Z,"Jetzt geht es um die Zukunft des Landes ! 
@OlafScholz
  #ausRespekt #spdbpt21SPD Parteivorstand 
 and Olaf Scholz",1,5,46
SPD Parteivorstand,@spdde,2021-05-09T13:39:56.000Z," In zwei Minuten hält 
@OlafScholz
 seine Rede! Alle jetzt sofort einschalten Aus Respekt vor Deiner Zukunft: Sei live dabei! Sonntag, 9. Mai ab 11 Uhr
Aufbruch und Mut – darum geht es auf dem Parteitag. Wir beschließen das Zukunftsprogramm. Und Kanzlerkandidat Olaf Scholz stellt seinen Plan für die Zukunft vor.
parteitag.spd.de",10,22,41
