User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
WDR aktuell,@WDRaktuell,2021-05-14T16:16:06.000Z,"Bundesgesundheitsminister 
@jensspahn
 hat sich heute mit dem Astrazeneca-Vakzin gegen Corona impfen lassen. Er habe sich ""bewusst für eine Impfung mit Astrazeneca entschieden"", teilte Spahn auf Twitter mit.",67,21,243
BMG,@BMG_Bund,2021-05-14T15:35:05.000Z,Vollständig #Geimpfte und #Genesene müssen sich künftig nach Einreise nicht mehr testen lassen oder in #Quarantäne. Diese und weitere wichtige Infos haben wir in unserem wöchentlichen Update für Sie zusammengefasst.,22,15,33
Jens Spahn,@jensspahn,2021-05-14T15:13:11.000Z,"Nach einem Gespräch mit meinem Hausarzt habe ich mich bewusst für eine Impfung mit AstraZeneca entschieden. Wer ein Impfangebot bekommt, sollte es annehmen und sich impfen lassen. Denn eine Impfung schützt - uns selbst und andere. Das ist der Weg raus aus der Pandemie.",639,260,5K
BMG,@BMG_Bund,2021-05-14T13:32:51.000Z,".
@jensspahn
 hat heute das #Impfzentrum Kreis Steinfurt am FMO besucht und sich ein Bild von den Abläufen und der Organisation gemacht. „Die Impfzentren leisten einen wichtigen und erheblichen Beitrag zum #Impffortschritt. Danke an alle Helferinnen und Helfer vor Ort.“",37,14,40
NDR Niedersachsen,@NDRnds,2021-05-14T13:13:48.000Z,".
@jensspahn
 (CDU) hat am Freitagvormittag die Kaserne in Quakenbrück (Landkreis Osnabrück) besucht. Der Bundesgesundheitsminister machte sich ein Bild vom Versorgungszentrum für #Corona-Impfstoffe. #Impfung #ImpfstoffeQuakenbrück: Spahn spricht von vorsichtigen Öffnungen
Jens Spahn (CDU) hat am Freitagvormittag die Kaserne in Quakenbrück (Landkreis Osnabrück) besucht. Der Bundesgesundheitsminister machte sich ein Bild vom Versorgungszentrum für Corona-Impfstoffe.
ndr.de",16,3,15
BMG,@BMG_Bund,2021-05-14T13:15:07.000Z,"Neuer Rekord: In dieser Woche wurden erstmals über 1,3 Mio. #Impfungen an nur einem Tag verabreicht. Mittlerweile haben über 10,6 % der Bevölkerung einen vollständigen Impfschutz. Tagesaktuelle Informationen zur Impfkampagne unter: https://impfdashboard.de.",37,22,124
BMG,@BMG_Bund,2021-05-13T14:34:08.000Z,"Muss ich als Geimpfte:r oder Genesene:r nach dem Urlaub in #Quarantäne? Diese und weitere Fragen, die sich Menschen nach der #Corona-Schutzimpfung oder überstandener #COVID19-Erkrankung stellen, beantwortet 
@jensspahn
 im Video.",78,24,48
BMG,@BMG_Bund,2021-05-13T09:00:48.000Z,"Die #Corona-#Pandemie ist für Menschen mit psychischen Belastungen eine besonders große Herausforderung. Wie Sie unterstützen können, erfahren Sie hier. Weitere Informationen zu Beratungs- und Unterstützungsangeboten finden Sie auch unter: https://zusammengegencorona.de/informieren/psychisch-stabil-bleiben/menschen-mit-psychischen-vorerkrankungen/…
#mentalhealth",29,15,47
Jens Spahn,@jensspahn,2021-05-12T16:39:35.000Z,"Die Raketen-Angriffe auf Israel sind inakzeptabel. Der Terror der Hamas befeuert antisemitische Übergriffe, auch bei uns. Eine Schande, dass im Jahr 2021 -Flaggen in Deutschland brennen. Unsere Staatsraison ist klar: Die Sicherheit & Existenz Israels ist niemals verhandelbar.",456,175,2K
RND,@RND_de,2021-05-12T13:10:58.000Z,"Bundesgesundheitsminister Jens #Spahn ist „sehr zuversichtlich“, dass ein Gesetz für eine bessere Bezahlung in der #Altenpflege noch vor Sommer kommt.Spahn „sehr zuversichtlich“: Gesetz für bessere Pflege-Löhne noch vor Sommer
Bundesgesundheitsminister Jens Spahn (CDU) ist „sehr zuversichtlich“, dass ein Gesetz für eine bessere Bezahlung in der Altenpflege noch vor Sommer kommt. Die Koalition hatte zuletzt ihre Uneinigkeit...
rnd.de",37,8,31
Peter Liese MEP,@peterliese,2021-05-12T12:40:16.000Z," ist auf dem Weg zum #Impfweltmeister. Zurzeit wird pro Tag ein höherer Prozentsatz geimpft als in  und. Danke an alle, die in den Impfzentren und den Arztpraxen helfen. Jetzt Skeptiker überzeugen. Mein Statement  https://bit.ly/3bDJ3r1 
@CDU_CSU_EP
  @cducsubt
 @jensspahn",38,20,147
Jens Spahn,@jensspahn,2021-05-12T14:16:26.000Z,"Gestern gab es zum 3. Mal mehr als 1 Mio Impfungen an einem Tag. Nun sind 28,5 Mio Deutsche (34,3%) mind. einmal geimpft, 8,3 Mio (10%) voll geschützt. Und mit 265.000 ein neuer Tagesrekord bei wichtigen Zweitimpfungen. Danke an alle, die mithelfen, das Impftempo hoch zu halten!",192,54,961
BMG,@BMG_Bund,2021-05-12T13:58:18.000Z,"In der #Bundespressekonferenz sprach 
@jensspahn
 über das neue Förderprogramm für #COVID19-Therapien, die geplanten Regelungen zur Einreise und darüber, dass wir die Pflegenden schützen können, indem wir weiter aufeinander Acht geben.9:25
5.6K views",36,9,33
