User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
linksfraktion,@Linksfraktion,2021-05-07T09:14:46.000Z,"Restschuldversicherungen endlich den Rest geben, fordert 
@joerg_cezanne
 »Crowdfinanzierung mag in einzelnen Fällen sogar sinnvolle Projekte finanzieren, aber es ist sicher kein Mittel, um Geld sicher und langfristig anzulegen.«Jörg Cezanne, DIE LINKE: Restschuldverschreibungen endlich den Rest...
06.05.2021 Das Gesetz hat vielerlei Auswirkungen auf den finanziellen Verbraucherschutz. Crowdfinanzierung mag in einzelnen Fällen sogar sinnvolle Projekte f...
youtube.com",,2,6
linksfraktion,@Linksfraktion,2021-05-06T08:39:21.000Z,".
@joerg_cezanne
 fordert eine zukunftsorientierte #Industriepolitik: Nur wenn konsequent auf umweltschonende #Zukunftstechnologien gesetzt wird und die Beschäftigungsbedingungen verbessert werden, hat der Schifffahrtsstandort Deutschland eine Zukunft.Jörg Cezanne, DIE LINKE: Maritime Wirtschaft ökologisch und sozial...
06.05.2021 - Die Krise in der Maritimen Wirtschaft macht eine soziale und ökologische Neuausrichtung der Branche unausweichlich. Nur wenn konsequent auf umwe...
youtube.com",,3,8
Katja Kipping,@katjakipping,2021-05-04T15:02:37.000Z,"Noch 3 Tage: Für Freitag haben wir tolle Gäste eingeladen & wollen mit #HartzIV-Betroffenen, Armutsaktivist*innen & mit Dir über Armut in der Coronakrise & die Überwindung von Hartz IV sprechen. Dazu gibt's #Slampoetry & Sozialkritik von J.P. Kindler. 
https://linksfraktion.de/nc/termine/detail/solidarisch-aus-der-hartz-iv-krise/…Matthias W. Birkwald and 4 others",6,28,84
linksfraktion,@Linksfraktion,2021-04-21T17:50:27.000Z,"Koalition blamiert sich komplett: #ShareDeals sind Steuergaunereien großer Investoren am Immobilienmarkt. »Man kauft nicht Immobilien, sondern Unternehmen, denen Immobilien gehören! Das kostet unser Gemeinwesen jährlich über 1 Mrd. Euro«, so 
@joerg_cezanneJörg Cezanne, DIE LINKE: Share Deals - Koalition blamiert sich...
21.04.2021Share Deals, das sind Steuergaunereien großer Investoren am Immobilienmarkt. Der Trick? Man kauft nicht Immobilien, sondern Unternehmen, denen Immo...
youtube.com",3,6,24
Caren Lay,@CarenLay,2021-04-15T08:02:08.000Z,"Ein trauriger Tag für 1,5 Mio. Miethaushalte in Berlin. Der #Mietendeckel muss jetzt durch den Bundestag kommen, wie wir ihn 
@Linksfraktion
 schon lange fordern!",35,88,513
linksfraktion,@Linksfraktion,2021-03-27T08:27:56.000Z,".
@LoetzschMdB
 bringt Licht ins Dunkel des #Parlamentsbetriebs. Dieses Mal spricht sie mit 
@CarenLay
 über ihre Arbeit im #BauAusschuss.

Alle Folgen der Reihe »Hinter den Kulissen des Bundestages«:
https://linksfraktion.de/themen/nachrichten/detail/hinter-den-kulissen-des-bundestags/…

#Mietenstopp #Mietenwahnsinn
https://youtube.com/watch?v=TbDYeKA3UsQ…",2,10,16
Joerg Cezanne,@joerg_cezanne,2021-01-28T12:04:10.000Z,"§13b BauGB ist wohnungspolitisch wirkungslos und umweltpolitisch unverantwortlich! Nur eine von zahlreichen Schwachstellen im heute debattierten Baulandmobilisierungsgesetz.Start: DIE LINKE. MdB Jörg Cezanne
Das Gesetz hat vielerlei Auswirkungen auf den finanziellen Verbraucherschutz. Crowdfinanzierung mag in einzelnen Fällen sogar sinnvolle Projekte finanzieren, aber es ist sicher kein Mittel, um Geld...
joerg-cezanne.de",,,
linksfraktion,@Linksfraktion,2021-01-27T16:47:00.000Z,".
@joerg_cezanne
: Nachdem die erste Befragung einem Festival der Gedächtnislücken gleichkam, ist #Maut|minister #Scheuer in der Pflicht. Statt sich öffentlich über Vorwürfe zu beklagen, muss er zu diesen endlich vollumfänglich Stellung nehmen. #mautdebakelMautminister Scheuer in der Pflicht
„Nachdem die erste Befragung einem Festival der Gedächtnislücken gleichkam, ist Mautminister Scheuer in der Pflicht. Anstatt sich öffentlich über Vorwürfe aus Reihen der Opposition zu beklagen, muss...
linksfraktion.de",,3,10
Joerg Cezanne,@joerg_cezanne,2021-01-25T15:46:23.000Z,"Die FAZ vergibt Fleißbienchen für hessische Bundestagsabgeordnete ...
Im Bundestag aus Rhein-Main: Ein Linker stand am häufigsten am Pult https://faz.net/-gzg-a7uzt?GEPC=s3… via 
@faznetIm Bundestag aus Rhein-Main: Ein Linker stand am häufigsten am Pult
Der Spitzenreiter zählt 54 Mal, das Schlusslicht nur 3 Mal: Welche Abgeordneten aus Rhein-Main im Deutschen Bundestag in dieser Wahlperiode die meisten Reden hielten.
faz.net",,,8
Christine Buchholz,@ch_buchholz,2021-01-15T09:06:30.000Z,"Antimuslimischer Rassismus ist ein großes Problem in Deutschland. Moscheen werden angegriffen. Muslime erleben Diskriminierung im Alltag. 
@dieLinke
 fordert, dem Hass gegen Muslime entschlossen zu begegnen & staatliche Diskriminierung zu beenden. http://christinebuchholz.de/2021/01/14/antimuslimischen-rassismus-bekaempfen/…",33,80,232
Joerg Cezanne,@joerg_cezanne,2020-12-16T14:39:42.000Z,"Antifaschismus muss gemeinnützig bleiben! Aber das Jahressteuergesetz von CDU und SPD droht gemeinnützigen Vereinen, die sich in die öffentliche Diskussion zu Klimaschutz, soziale Gerechtigkeit oder Antirassismus  einbringen, weiter mit dem Verlust der Gemeinnützigkeit.Simone Barrientos",1,6,31
Joerg Cezanne,@joerg_cezanne,2020-12-05T10:41:04.000Z,500 Ende Gelände-aktivist*innen im Barrio oben im #DanniBleibt. Nach unverantwortlichem Wasserwerfereinsatz hat Polizei sich zurückgezogen. #KeineA49,1,4,24
Joerg Cezanne,@joerg_cezanne,2020-12-01T09:46:18.000Z,Mit Musik Mut machen gegen Umweltzerstörung und unsinnigen Autobahnbau im winterlichen #DannenroederForst. #dannibleibt #keineA49,1,2,12
