User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marco Buschmann,@MarcoBuschmann,2021-05-14T05:30:41.000Z,"„Wie es ist, darf es nicht bleiben.“ Der Gedanke ist so wichtig, dass er an der Spitze der Einleitung zu unserem Wahlprogrammentwurf steht, die ich zusammen mit Volker 
@Wissing
 schreiben durfte.  #bpt21",13,14,138
Katharina Willkomm,@k_willkomm,2021-05-12T12:19:21.000Z,"Wie genau dient es d Klimaschutz, wenn GroKo bei CO2–Ausstoß durch Heizen Verursachung und Wirkung wie vorgeschlagen entkoppelt? Genau, gar nicht. Dafür mal wieder 1-seitig Vermieter in die Tonne getreten! Wie’s besser gehen könnte: https://dip21.bundestag.de/dip21/btd/19/252/1925246.pdf…Klimaschutz: Vermieter sollen 50 Prozent der CO2-Preis-Kosten tragen - WELT
Lange war sich die große Koalition nicht einig. Jetzt hat die Bundesregierung sich zu einem Beschluss durchgerungen: Die Mieter sollen die Kosten des seit 1. Januar geltenden CO2-Preises nicht mehr...
welt.de",3,1,2
Katharina Willkomm,@k_willkomm,2021-05-12T09:05:38.000Z,"„Ab sofort“. Echt eine intellektuelle Beleidigung...Helge Braun
@HBraun
 · May 12
Achtung Schulträger: Ab sofort fördert das Wirtschaftsministerium den Neueinbau von stationären Frischluft-Klimaanlagen in Kindergärten und Grundschulen zu 80%! Gut gegen #Corona und auch langfristig ist gute Raumluft gut fürs „Lernklima“! ToDo: In den Sommerferien einbauen!",1,,4
Katharina Willkomm,@k_willkomm,2021-05-08T16:12:46.000Z,"Ich wünsche mir noch viel mehr Plenarreden von 
@ABaerbock
 . Wird die nötige Klarheit schaffen.Ulf Poschardt
@ulfposh
 · May 8
„Annalena Baerbock ist in der mündlichen Rede im historischen Bezug ein Versehen unterlaufen“

Es wird dies @ABaerbock in der aktuellen Wechselstimmung dank Unionsdesaster nichts anhaben können.

https://welt.de/politik/article230981333/Bundestag-Baerbock-schreibt-soziale-Marktwirtschaft-SPD-zu.html… via @welt",,1,5
Katharina Willkomm,@k_willkomm,2021-05-08T06:58:56.000Z,"Dann können sich Merkel-Wechselwähler ja jetzt von der Grünen-Phantasie verabschieden.Tagesspiegel
@Tagesspiegel
 · May 8
Grünen-Chef Robert #Habeck hat ein Linksbündnis nach der #Bundestagswahl nicht ausgeschlossen. Er knüpft dieses allerdings an eine Bedingung. #Grüne 
https://tagesspiegel.de/sport/wir-werden-keine-ausschliesseritis-betreiben-habeck-schliesst-linksbuendnis-nach-der-wahl-nicht-aus/27172644.html…",,1,2
Frankfurter Allgemeine,@faznet,2021-05-07T07:34:01.000Z,"Um sich etwas dazuzuverdienen, haben Hunderte Ministerialbeamte in Berlin einen Nebenjob. Sie verkaufen Wein, Bratwürste und Kosmetik, hüten Hunde und vermitteln Versicherungen – und sitzen bei Edeka an der Kasse.Im Imbiss oder an der Kasse: Hunderte Beamte aus Ministerien jobben nebenher
Um sich etwas dazuzuverdienen, haben Hunderte Ministerialbeamte in Berlin einen Nebenjob. Sie verkaufen Wein, Bratwürste und Kosmetik, hüten Hunde und vermitteln Versicherungen – und sitzen bei Edeka...
faz.net",21,11,17
VDI Politik,@VDI_Politik,2021-05-04T10:16:07.000Z,"Jetzt noch schnell anmelden f. d. #VDI-Policy Forum: ""#Innovation und #Datensicherheit gemeinsam denken"" am Donnerstag, 6.5. Ab 17:00 Uhr diskutieren u.a. 
@KirstenRulf
 aus dem Bundeskanzleramt, die MdBs 
@annachristmann
 und 
@k_willkomm
sowie 
@AhleFIWARE
 https://vdi.de/veranstaltungen/detail/policy-forum-innovation-und-datensicherheit-gemeinsam-denken…",,9,12
Katharina Willkomm,@k_willkomm,2021-05-04T07:02:44.000Z,"„Nachdem wir das Ziel endgültig aus den Augen verloren hatten, verdoppelten wir unsere Anstrengungen.“
Mark TwainDaniel D. Eckert
@Tiefseher
 · May 4
Nach der Einführung des (verfassiungswidrigen) Berliner Mietendeckels ist die Zahl der angebotenen Mietwohungen in Berlin um fast 70% eingebrochen. Man brauchte Beziehungen oder Bakschisch... Und was will die Spitzenkandidatin der Berliner Grünen? Einen bundesweiten Mietendeckel!",,,1
Katharina Willkomm,@k_willkomm,2021-05-02T09:09:46.000Z,"Vielleicht dachte Anwender  
@peteraltmaier
 damals schon an die „Operation Abendsonne“ der GroKo, als er Deutschland die „anwenderfreundlichste Verwaltung Europas bis 2021‘ versprach.BILD
@BILD
 · May 1
Um vertraute Mitarbeiter abzusichern - Regierung schafft 71 Top-Stellen für Beamte https://bild.de/politik/inland/politik-inland/operation-abendsonne-regierung-schafft-71-top-stellen-fuer-beamte-76255172.bild.html…",2,,1
Katharina Willkomm,@k_willkomm,2021-05-02T07:47:54.000Z,"Wenn Spreizung beim Appetit eh zu groß ist, um Portionsgröße sinnvoll für alle durch eine Zahl festzulegen, dann besser die Angabe ganz streichen, als den Gelehrtenstreit nur auf eine erhöhte Grammzahl zu verlagern. Es bleibt genug wichtige Arbeit für unverbrauchte polit. Energie",,,1
Katharina Willkomm,@k_willkomm,2021-04-29T14:18:00.000Z,"„Nicht sehr verbraucherfreundlich“, damit trifft 
@MarkusFerber
 es schon ganz gut. Ausweitung des Wackelpudding-Merkmals „höheren Gewalt“ ist Zucker für den lahmen Gaul Staatsbahn. Wie sieht’s eigentlich mit dem Online-Erstattungsantrag ab Juni aus? Schon startklar, 
@DB_Presse
 ?Tagesspiegel
@Tagesspiegel
 · Apr 29
Künftig können sich Bahnunternehmen häufiger auf ""höhere Gewalt"" berufen und müssen den Kunden bei Verspätung nicht mehr entschädigen. Doch es gibt viel Kritik.
https://tagesspiegel.de/wirtschaft/nicht-sehr-verbraucherfreundlich-eu-schraenkt-fahrgastrechte-bei-zug-verspaetungen-ein/27144282.html…",,1,1
Katharina Willkomm,@k_willkomm,2021-04-29T13:51:51.000Z,"Dass die Stimmung im Kabinett während seiner verrinnenden Restlaufzeit schlecht ist - sehr nachvollziehbar. Dass sich 
@OlafScholz
 u 
@peteraltmaier
 per Twitterscharmützel mehr für Transparenz einsetzen als bei TransparenzregisterG und #Lobbyregister - sehr bedauerlich.Johannes C. Bockenheimer
@JCBockenheimer
 · Apr 29
Beste Stimmung im Kabinett.",,,1
