User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Katarina Barley,@katarinabarley,2021-05-13T19:16:03.000Z,"Wie Hans Rosenthal als Jude dem Tod im Dritten Reich entkam und wie er bei Dalli-Dalli mit Alt-Nazis zusammentraf - auch das eine deutsche Geschichte. Erwähnenswert gerade in diesen Tagen....ZDF
@ZDF
 · 4h
Heute vor 50 Jahren feierte #DalliDalli Premiere! Das Fragespiel für Schnelldenker wurde ebenso schnell zu einer der beliebtesten Sendungen im deutschen Fernsehen. So erklärte Moderator Hans Rosenthal damals übrigens, wie die Kult-Show funktioniert!
0:28
6.5K views",3,5,41
Mirjam Fischer,@Mirjam_Fischer,2021-05-13T06:33:30.000Z,"Ihr dürft gegen die israelische Politik protestieren. Vor der Botschaften und Konsulaten. Wer aber in Deutschland (oder sonstwo in Europa) Synagogen angreift oder vor ihnen demonstriert gegen die Politik Israels, hat was nicht kapiert. #Antisemitismus",68,287,3K
Katarina Barley,@katarinabarley,2021-05-13T08:42:22.000Z,"Wann hat das eigentlich angefangen, dass bei Interviews die persönlichen Sympathien der JournalistInnen nicht mehr mitschwangen, sondern die Inhalte völlig überlagerten? Frage nicht nur wegen der Interviews selbst, sondern auch deren Kommentierungen im Anschluss.
#AusGruenden",13,12,108
House of One,@House_of_One_DE,2021-05-12T18:49:07.000Z,"Im Lichte des letzten Fastenbrechens wünschen wir allen Musliminnen und Muslimen bereits jetzt ein frohes und gesegnetes Ramadanfest, dass mit dem morgendlichen Festtagsgebet und Predigt eingeläutet wird. #EidMubarak
 ! Ramazan bayraminiz mübarek olsun!Sharing Ramadan
@SharingRamadan
 · May 12
Ramadan -Tag 30-

Das Ramadanfest findet in den ersten drei Tagen des Folgemonats Schewwāl statt. Nicht das Ende der Fastenzeit, sondern das Erreichen der hohen Ziele in der Selbstläuterung wird gefeiert.

#Sharingramadan #Ramadan
 #fasten #2021 #Forumdialog
Show this thread",1,17,28
Lord Orange,@realorangelord,2021-05-12T18:52:12.000Z,Symbolbild für das Interview mit Annalena Baerbock vs. Olaf Scholz #P7Spezial,14,52,409
SPD Parteivorstand,@spdde,2021-05-12T18:43:19.000Z,"„Die #SPD ist die Partei der kleinen Leute“, sagt der Moderator beim #P7Spezial. Es gibt keine kleinen Leute. Reiche sind nicht größer. Jede*r verdient den selben Respekt - Dafür steht 
@OlafScholz
.",93,75,491
SPD Rheinland-Pfalz,@spdrlp,2021-05-10T11:51:43.000Z,"Geschafft! Die #Koalition des Aufbruchs und der Zukunftschancen steht! Der starke #Zukuftsvertrag gemeinsam mit 
@gruene_rlp
 und 
@fdprlp
 ist unterzeichnet! SPD Parteivorstand 
 and 6 others",4,20,114
Fabian Ferber,@Ferbian_,2021-05-09T18:44:25.000Z,"Am Tag, an dem die 
@spdde
 Olaf Scholz auf einem Bundesparteitag  nominiert, bringt 
@annewill
 eine Sendung zu Armin Laschet. #infratestdimap und #INSA ersetzen Inhalte & Debatten. Am Ende schreiben Medien dann, die SPD tauche gar nicht auf. Grotesker Kampagnenjournalismus",9,37,209
Katarina Barley,@katarinabarley,2021-05-09T15:28:50.000Z,"Und wenn man die Wahlberechtigten fragt, wen sie am liebsten als KanzlerIn hätten...:
#spdbpt21 
#ausRespektGiorgina Kazungu-Haß, MdL
@KazunguHass
 · May 9
#Laschet oder #Baerbock ? Offensichtlich #Scholz. 

#spdbpt21 #ausRespekt #SozialePolitikfuerdich @spdde @spdrlp",11,8,71
Katarina Barley,@katarinabarley,2021-05-09T14:51:28.000Z,"Herzlichen Glückwunsch! Dieser Auftakt macht Lust auf den Wahlkampf SPD Parteivorstand
@spdde
 · May 9
.@OlafScholz wird mit 96,2 Prozent als Kanzlerkandidat bestätigt. ",5,3,43
Katarina Barley,@katarinabarley,2021-05-09T14:28:30.000Z,"Wer mich kennt, weiß, dass ich so was nicht routinemäßig twittere. 
Aber das hier ist so eine unglaublich starke Rede von 
@OlafScholz
 - vielleicht die stärkste, die ich je gehört habe.
Jetzt habe ich noch mehr Bock auf Wahlkampf 
!
#spdbpt21 
#ausRespekt",59,40,383
Katarina Barley,@katarinabarley,2021-05-09T10:15:05.000Z,"Hintergrund fertig gebastelt 
#SPDBPT21
#ausRespekt",108,42,540
phoenix,@phoenix_de,2021-05-09T08:45:34.000Z,"Bundesparteitag der SPD | #spdbpt21 
@spdde6:20:14
3.4K viewers
phoenix
@phoenix_de
Bundesparteitag der SPD | #spdbpt21 @spdde",14,13,50
Katarina Barley,@katarinabarley,2021-05-08T18:49:01.000Z,"Die Frage bleibt: mit welchem Ziel?
#wahl21tagesschau
@tagesschau
 · May 8
CSU erhöht Druck auf Kanzlerkandidat Laschet http://tagesschau.de/inland/innenpolitik/csu-cdu-gruene-101.html… #Wahl21 #CSU #Grüne",5,8,62
Katarina Barley,@katarinabarley,2021-05-08T17:37:01.000Z,"Parteitag der 
@spdde
 am #Europatag - wenn das kein gutes Omen für die Europapartei #SPD ist…
Morgen ab 11 Uhr gehts los - ich freu mich auf euch
 #ausRespekt #spdbpt21",13,17,134
Florian Schlecht,@FlorianSchlecht,2021-05-08T09:58:26.000Z,"Kaum Fragen bei der Aussprache, die in wenigen Minuten beendet ist. Die Spitzenkandidatin für die Bundestagswahl dafür dann bei der Abstimmung mit 69,2 Prozent abstrafen. So sieht lebendige, öffentliche Debatte heute bei der 
@cdurlp
 aus.",1,15,53
Katarina Barley,@katarinabarley,2021-05-08T15:18:56.000Z,"What? 
@HHirte
 ist in Rechtsfragen kundig wie kaum jemand in der Unionsfraktion und noch dazu ein ganz feiner Mensch. 
Für den Bundestag ist das ein Verlust, egal wer ihn verdrängt hat.Sven Lehmann MdB
@svenlehmann
 · May 8
Den Wahlkampf 2017 als Kandidat im Kölner Süden habe ich als sehr fair in Erinnerung. Das lag auch an @HHirte, der damals das Direktmandat gewann. Heute hat seine CDU ihn nicht wieder nominiert. Ich möchte mich bei ihm ausdrücklich für das stets kollegiale Miteinander bedanken!",1,8,34
Katarina Barley,@katarinabarley,2021-05-08T13:30:43.000Z,"Auf dieses Wahlprogramm bin ich ja sehr gespannt. Die letzten Jahre haben sich #cdu #csu auf im Wesentlichen auf „weiter so“ und das Vereinnahmen der Erfolge anderer beschränkt. 
Nun hat sich die personelle Leere der Union offenbart - die inhaltliche kommt wohl bald hinzu.Markus Blume
@MarkusBlume
 · May 8
Wir arbeiten mit Hochdruck am gemeinsamen Wahlprogramm. Die große Enttäuschung über den Ausgang der Personalentscheidung spiegelt sich in den Umfragen wider. Viele, nicht nur in #Bayern, hätten sich Markus Söder gewünscht.
Show this thread",8,12,68
Katarina Barley,@katarinabarley,2021-05-08T08:02:50.000Z,"Was darf Satire 
?CSU im Bundestag
@csu_bt
 · May 7
Wir wollen die Frauenquote. Die Vorwürfe mitten in den Verhandlungen sind ein Ablenkungsmanöver der SPD, die unser Paket für die Frauenförderung immer wieder ausgebremst hat.
Show this thread",25,52,841
FES history,@FEShistory,2021-05-08T06:00:26.000Z,"Heute ist #TagderBefreiung von der NS-Diktatur. Unter #GeschichtenderBefreiung findet Ihr zahlreiche lesenswerte Tweets von Gedenkstätten. Sie haben in den letzten Wochen über NS-Verbrechen, Verfolgte, Befreite und deren Schicksale sowie die Erinnerung an sie getwittert.",11,98,220
Katarina Barley,@katarinabarley,2021-05-06T11:30:53.000Z,"1 in 5 children in 
 is at risk of poverty & social exclusion. This weekend's #EUSocialSummit21 is an opportunity for 
 leaders for a commitment to breaking the cycle of child poverty & exclusion in their social agendas
http://bit.ly/EUChildGuarantee…
#EUChildGuarantee #ForEveryChildThe Child Guarantee: Phase III – “Testing the Child Guarantee in the EU Member States”
UNICEF pilots innovative approaches aimed at breaking the cycle of child poverty and social exclusion
unicef.org",1,6,26
Jusos Köln,@jusoskoeln,2021-05-06T07:16:22.000Z,"!Reminder! Heute Abend sprechen wir mit Katarina Barley 
@katarinabarley
 um 19:30Uhr über den EU-Rechtsstaatsmechanismus! Kommt vorbei :)Jusos Köln
@jusoskoeln
 · May 3
Am 06.05. sprechen die Jusos Köln-Innenstadt und wir mit @katarinabarley über den EU-Rechtstaatmechanismus. Kommt vorbei!",1,3,14
