User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Katja Kipping,@katjakipping,2021-05-13T19:43:19.000Z,"Jeder Form des Antisemitismus, ob Steine gegen Synagogen, Hass in den sozialen Medien oder Gewaltdrohungen gegen jüdische Mitbürgerinnen und Mitbürger gilt es entschieden entgegen zu treten.DIE LINKE. Pressestelle
@DieLinkePresse
 · 16h
.@SusanneHennig & @Janine_Wissler zu den aktuellen Ereignissen:
""Jeder Form des #Antisemitismus, ob Steine gegen Synagogen, Hass in den sozialen Medien oder Gewaltdrohungen gegen jüdische Mitbürger:innen treten wir als LINKE entschieden entgegen.""
https://die-linke.de/start/presse/detail/hennig-wellsow-und-wissler-zur-aktuellen-entwicklung-im-nahostkonflikt/…",8,19,108
Katja Kipping,@katjakipping,2021-05-13T12:23:13.000Z,"Ein Ende der Gewalt, eine israelisch-palästinensische Friedenslösung - das wäre so wichtig. Doch die aktuelle Entwicklung läuft genau in die andere Richtung. Manchmal ist es fast unmöglich, nicht die Zuversicht zu verlieren.linksfraktion
@Linksfraktion
 · May 11
„Ein Ende der Gewalt, zwei souveräne & sichere Staaten Israel & Palästina & eine israelisch-palästinensische Lösung für Jerusalem – anders ist Frieden in Nahost nicht zu erreichen!“ so @GregorGysi angesichts des Konflikts zwischen Israel und Palästina https://linksfraktion.de/presse/pressemitteilungen/detail/militaerische-eskalation-stoppen-israelisch-palaestinensische-friedensloesung-suchen/…",7,9,67
Martin Glasenapp,@MartinGlasenapp,2021-05-13T09:39:37.000Z,"Ein anderer #EidAlFitr
 im Nahen Osten. Die kurdische Bevölkerung von #Kobane besucht zum Fest des Fastenbrechens die Gräber ihrer Liebsten, die ihr Leben gaben im Kampf gegen den islamistischen Terror des IS.
@NPA_English",1,38,126
Der Paritätische,@Paritaet,2021-05-10T16:07:21.000Z,"Jetzt anmelden: #ArmutAbschaffen – digitaler 
@Aktionskongress
 vom 10. bis 12. Juni. Handeln
! Vernetzen
! Voneinander lernen
!
http://aktionskongress.de",12,91,207
Katja Kipping,@katjakipping,2021-05-13T11:56:47.000Z,"Obwohl im Armuts- & Reichtumsbericht so viele aufrüttelnde Erkenntnisse stehen, i
wird wenig darüber berichtet. Umso erfreulicher sind die Ausnahme wie 
@fr
:Rechtumsbericht: Armut verfestigt sich
Der Armut- und Reichtumsbericht der Bundesregierung zeigt, dass rund 16 Prozent der Bevölkerung in Armut leben. Die Folgen der Corona-Krise sind noch nicht absehbar.
fr.de",1,5,13
Katja Kipping,@katjakipping,2021-05-13T11:21:28.000Z,"Und hier der Mitschnitt für alle, die es verpasst haben: 
@die_gennburg
  @RaulZelikReform oder Revolution? LINKE Positionen zur sozial-ökologischen...
Katalin Gennburg was live.
facebook.com",,1,5
Katja Kipping,@katjakipping,2021-05-12T11:47:52.000Z,"Der #Armuts- & #Reichtumsbericht der Bundesregierung ist trotz aller Beschönigungen ein dringlicher Handlungsappell Armut und #Ungleichheit endlich engagiert zu bekämpfen. Zunahme von Ungleichheit ist auch eine #Demokratiefrage. 
https://katja-kipping.de/de/article/1936.narb.html…",6,11,62
Katja Kipping,@katjakipping,2021-05-12T08:55:23.000Z,"Wünsche Euch & Ihnen das notwendige Durchhaltevermögen. Angeregt durch die Gespräche beim Warnstreik am Montag habe ich ein Schreiben an die Geschäftsleitung verfasst. 
@BeschaftigteD
 @igbceBeschäftigte DENTAL Kosmetik Dresden
@BeschaftigteD
 · May 12
Update weiterhin kein Angebot zu Lohnerhöhung und eine Rückkehr zum Verhandlungstisch. 8:30 Uhr geht es weiter mit unserem Warnstreik @MDR_SN @MDRAktuell @mdrde @MDRpresse @DresdenNews @sachsenfernsehe @saechsischeDE @AntonLauner @dnn_online @IPaper_DNN @RadioDresden @RADIOPSR
Show this thread",1,5,16
Katja Kipping,@katjakipping,2021-05-12T08:52:59.000Z,"Eine kurze Arbeitswoche mit Termine in #Dresden & Sachsen & 2 komplett verschiedene Wetterlagen. Montag beim Start der Gerechtigkeitstour in #Freiberg ging nichts ohne Sonnenschutz, für die Gespräche am Wochenmarkt in DresdenPlauen habe ich heute die wasserfeste Jacke rausgesucht",2,2,17
DIE LINKE,@dieLinke,2021-05-10T13:14:44.000Z,"Für einen Wandel, der niemanden zurücklässt. 
Der Hoffnung gibt und sozial gerecht ist.
Gemeinsam machen wir das Land gerecht. Jetzt!
#MachtdasLandgerecht #jetzt",47,291,563
