User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lukas Köhler,@koehler_fdp,2020-05-19T12:26:10.000Z,"Umwelt- & #Klimaschutz sind #Liberalismus pur! Denn der Erhalt natürlicher Lebensgrundlagen schützt #Freiheit & Menschenrechte. Daher hat die #FDP, 1971 die erste Partei mit umweltpolitischem Programm in 
, die Verantwortung für die Zukunft nun auch in ihrem Leitbild verankert.",33,33,197
Sylvia Kaufhold,@SylK1966,2021-05-13T16:55:42.000Z,"Klasse Beitrag von 
@koehler_fdp
 von letzter Woche. Er wendet das Urteil des #BVerfG zum #Klimagesetz positiv und bezeichnet es als ""kernliberal"". 
In der Tat: ETS und CCS bilden den Rahmen für ambitionierte Klimaziele. Ausgefüllt wird er von Erfindergeist und #Unternehmertum.Sylvia Kaufhold
@SylK1966
 · 16h
""Die erfolgreichste Klimaschützerin ist die soziale Marktwirtschaft. Denn sie ermöglicht schon jetzt den größten Klimaschutz mit dem kleinsten Eingriff in die Handlungsfreiheit der Menschen, und zwar in Gestalt des Europäischen Emissionshandels.""
https://welt.de/debatte/kommentare/article230914379/Lukas-Koehler-Die-beste-Klimaschuetzerin-ist-die-Marktwirtschaft.html…",,4,14
Marco Buschmann,@MarcoBuschmann,2021-05-14T07:33:34.000Z,"Nie gab es mehr zu tun! Die Baustellen sind offensichtlich: Das Bildungssystem muss moderner werden, unser Staat muss digitaler werden und unsere Wirtschaft müssen wir schnell in Schwung bringen. #bpt21FDP will ""Wirtschaft wieder schnell in Schwung bringen""
Am Freitag beginnt der dreitägige Bundesparteitag der Liberalen und dabei geht es auch um das Programm für die Bundestagswahl. Wirtschaftsthemen gehörten klar dazu, aber man wolle auch eine Debatte...
inforadio.de",6,21,96
Lukas Köhler,@koehler_fdp,2021-05-12T16:13:08.000Z,"Laut 
@Markus_Soeder
 war die #FDP in der Regierung ""zickiger"" als die Freien Wähler. Anders als 
@HubertAiwanger
 und Co. hat die 
@fdpbay
 halt auch eigene Meinungen vertreten. Schönes Kompliment für Martin Zeil , 
@w_heubisch
, 
@fdp_hessel
, 
@hacker_fdp
 und 
@sls_fdp
. 
@mainecho_de",8,19,236
Lukas Köhler,@koehler_fdp,2021-05-12T11:38:54.000Z,"Subventionen und Verbote - sprich: Immer mehr vom Falschen - das ist laut 
@SvenjaSchulze68
 die #Klimaschutz-Strategie der Bundesregierung. Funktioniert hat bislang nur die #Marktwirtschaft im EU-Emissisionshandel. Spielt für Union und SPD aber wohl keine Rolle. #BPK",7,9,60
Lukas Köhler,@koehler_fdp,2021-05-12T10:14:06.000Z,"Problem der deutschen #Klimapolitik bis 2030: Die Bundesregierung hat keine Ahnung, wie sie ihre Ziele erreichen soll.

Lösung der Bundesregierung: Neue Ziele aufschreiben 
 

#Klimaschutzgesetz",10,15,158
Lukas Köhler,@koehler_fdp,2021-05-11T12:31:51.000Z,"#Klimaschutz, #Rente, #Schuldenbremse - es geht um #Generationengerechtigkeit. Finanzielle Spielräume in einer intakten Umwelt bestimmen die Lebenschancen der Zukunft. Wie wir beides erhalten, diskutieren 
@johannesvogel
 und ich heute um 17.30 Uhr mit euch bei Insta Live.",2,1,39
Johannes Vogel,@johannesvogel,2021-05-11T10:23:42.000Z,"Erstmals hat das Bundesverfassungsgericht eine faire Lastenverteilung zwischen den Generationen eingefordert. Was bedeutet das für den Klimaschutz – und was für unser Sozialsystem? 
@koehler_fdp
 und ich diskutieren darüber: 17:30 Uhr, Insta Live!",5,8,87
Ulf Poschardt,@ulfposh,2021-05-06T19:12:54.000Z,"Gilt Frau Kemfert jetzt als Aktivistin, oder soll das Wissenschaft sein?Norbert Häring
@norberthaering
 · May 5
@CKemfert : ""Wenn die FDP eine CO2-Preissteigerung verhindern will, widerspricht sie ihrem Markenkern doppelt: Statt freien Markt fordert sie einen Kostendeckel, statt Freiheit beschert sie der nächsten Generation zwangsweise Einschränkungen."" https://handelsblatt.com/meinung/kolumnen/homo_oeconomicus/gastkommentar-homo-oeconomicus-fdp-chef-lindner-macht-beim-co2-preis-einen-denkfehler/27160670.html?share=twitter…",53,28,298
Marie-Agnes Strack-Zimmermann,@MAStrackZi,2021-05-06T15:41:48.000Z,"Habe mir heute den „MASZ macht‘s“-Award in Weißhaargold für die Sitzungswoche des Jahres verliehen. Unfassbare Performance. Ich danke mir. Nominiert in der nächsten Woche sind 
@johannesvogel
, 
@KonstantinKuhle
 und die 
@fdpbt
 für den Gastbeitrag des Jahrhunderts. Markus Söder
@Markus_Soeder
 · May 6
Der @Landtag_Bayern hat die Verfassungsmedaille in Gold verliehen als Anerkennung für Verdienste um die Verfassung. Es war immer eine große Ehre, an Demokratie, Gerechtigkeit und Freiheit in Bayern mitzuwirken. Das bestärkt im Einsatz für unser schönes Land und seine Menschen.",20,56,776
