User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Lorenz Gösta Beutin,@lgbeutin,2021-04-20T13:04:47.000Z,"#Laschet schiebt Panik vor #R2G und einer ""anderen Republik"". Mit ihm gehts weiter wie bisher: weiter horrende Mieten, weiter keinen Klimaschutz, noch mehr Filz und Korruption. #NieMehrCDU0:14
17.2K views",79,213,996
Lorenz Gösta Beutin,@lgbeutin,2021-05-13T17:30:23.000Z,"Und dann kam der Moment, als Hans Peter das Gehirn explodierte.... 
 #gender #hyperhyper #hpbaxxter",4,1,33
Lorenz Gösta Beutin,@lgbeutin,2021-05-13T16:27:28.000Z,"Eskalation in Nahost stoppen. Dem #Antisemitismus in Deutschland entschieden entgegentreten. Erklärung von 
@SusanneHennig
 und 
@Janine_Wissler
  #GegenJedenAntisemitismus #IsraelDIE LINKE. Pressestelle
@DieLinkePresse
 · 5h
.@SusanneHennig & @Janine_Wissler zu den aktuellen Ereignissen:
""Jeder Form des #Antisemitismus, ob Steine gegen Synagogen, Hass in den sozialen Medien oder Gewaltdrohungen gegen jüdische Mitbürger:innen treten wir als LINKE entschieden entgegen.""
https://die-linke.de/start/presse/detail/hennig-wellsow-und-wissler-zur-aktuellen-entwicklung-im-nahostkonflikt/…",,3,16
Dietmar Bartsch,@DietmarBartsch,2021-05-13T16:20:00.000Z,"Wer vor Synagogen und jüdische Einrichtungen zieht und gegen Jüdinnen und Juden hetzt, kritisiert nicht die Regierung #Israel|s, sondern lebt unverhohlen seinen antisemitischen Hass aus. Jeder Form von #Antisemitismus wird unsere wehrhafte Demokratie entschieden entgegentreten.",42,82,649
Lorenz Gösta Beutin,@lgbeutin,2021-05-13T09:08:36.000Z,"SPD & Union verweigern ehrliche Berechnung des CO2-Budgets,weil sie wissen,dass ihre gesamte Klimapolitik auf Sand gebaut. Sonst müssten sie alle Maßnahmen auf sozial-ökologischen Umbau& Klimaneutralität 2035 ausrichten. #Scholz #aufbruchsklima #P7SpezialCO2-Budget für Deutschland: Eine Milliarde Tonnen zu viel
Die Regierung weigert sich, ein CO2-Budget für Deutschland zu berechnen. Aus gutem Grund: Ihre Pläne sprengen alle Modelle.
taz.de",3,4,19
Lorenz Gösta Beutin,@lgbeutin,2021-05-13T08:27:36.000Z,"Offener #Antisemitismus, mitten in Deutschland, vor der Synagoge in Gelsenkirchen. Solidarität mit Jüdinnen & Juden in Deutschland. #GegenJedenAntisemitismus Zentralrat der Juden in Deutschland
@ZentralratJuden
 · 21h
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",10,23,141
Lorenz Gösta Beutin,@lgbeutin,2021-05-12T08:01:25.000Z,".
@shengfui
 in einem Tweet, worum es denen geht, die immer von ""Cancel Culture"" o.ä. reden: Unwidersprochen ihren Müll verbreiten zu dürfen. Gut, dass es den Widerspruch gibt, immer wieder 
 #noafdLorenz Meyer
@shengfui
 · May 12
Sagen wir es doch mal wie es ist: Heutzutage kannst Du Dich kaum noch rassistisch, misogyn und diskriminierend äußern, ohne dass sich irgendwo Widerspruch regt !!!",,3,11
Lorenz Gösta Beutin,@lgbeutin,2021-05-12T06:53:29.000Z,"Jüdinnen & Juden in Deutschland sind Teil unserer Gesellschaft. Dass Synagogen stehen, dass nach der Geschichte des deutschen Faschismus & des Holocaust Menschen jüdischen Glaubens Teil dieses Landes sind, muss von uns verteidigt werden. Gegen jeden #Antisemitismus.",5,17,91
Lorenz Gösta Beutin,@lgbeutin,2021-05-11T22:34:02.000Z,".
@Janine_Wissler
 bei #Lanz sehr souverän, informiert, überzeugend, hat sich weder vom Moderator noch vom neoliberalen Scharfmacher aus der Ruhe bringen lassen. Für einen echten Politikwechsel. #MachtdasLandgerecht #wissler",24,30,280
Lorenz Gösta Beutin,@lgbeutin,2021-05-11T22:25:08.000Z,"#Lang behauptet, Biontech sei kleines Unternehmen. Nunja, mit 1,1 Milliarden Gewinn. Und zwar mit staatlicher Grundlagenforschung finanziert, an staatlichen Universitäten. Die Initiative von Ärzte ohne Grenzen, vom globalen Süden ist richtig. #wissler #MachtdasLandgerecht",5,2,49
