User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Konstantin v. Notz,@KonstantinNotz,2021-05-12T18:32:32.000Z,"Sich manipulativ einen politischen Vorteil in einem Bundestagswahlkampf verschaffen zu wollen, während Israel angegriffen, Jüdinnen und Juden angefeindet und jüdisches Leben in Deutschland attackiert wird, ist das politisch das Schäbigste,was ich in langer Zeit gesehen habe. #CSU",21,78,646
Britta Haßelmann,@BriHasselmann,2021-05-12T17:59:56.000Z,"Wenn es um #Israel geht, stehen alle Demokrat*innen zusammen. Ist das ihr Niveau 
@MarkusBlume
 und das ihrer #@CSU. Zeugt nicht von Verantwortungsbewusstsein.Omid Nouripour
@nouripour
 · May 12
Replying to @MarkusBlume
Lieber Herr Blume, Ihre Umfrageergebnisse im allen Ehren: können Sie bitte aufhören, das wichtige Thema unserer unverbrüchlichen Verpflichtung für Israel, zu der alle demokratischen Kräfte in unsere Land stehen müssen, mit Fakenews in d Wahlkampf zu ziehen? #WeAllStandwithIsrael",9,30,306
Massimo Bognanni,@buon_anni,2021-05-12T13:25:01.000Z,"Ex-#BGH-Richter Thomas Fischer ist vor Ort, den früheren Generalbevollmächtigten der #Warburg Bank im #CumEx-Prozess zu verteidigen. Demonstrativ knallt er 5 L-Mappen mit Unterlagen auf den Tisch... die Verhandlung beginnt gleich mit einer Zeugenbefragung",2,2,10
Massimo Bognanni,@buon_anni,2021-05-12T10:14:38.000Z,"Noch herrscht Ruhe im Landgericht Bonn. Das könnte sich am späteren Nachmittag ändern. Bin gespannt auf den heutigen Verhandlungstag im 2. #CumEx Prozess. Wird Ex-#BGH-Richter Thomas Fischer erneut als Verteidiger des ex-#Warburg-Bankers auftreten? Später mehr 
@WDRinvestigativ",2,6,19
Lisa Paus,@lisapaus,2021-05-12T12:47:58.000Z,"@steuergerecht
 @sven_giegold
 @ABaerbock
 @Steuermythen
 @sven_kindler
 @katdro",,,
Lisa Paus,@lisapaus,2021-05-12T12:47:57.000Z,"Übrigens: Hätte Olaf #Scholz nicht die Einführung einer #Digitalkonzernsteuer in der #EU verhindert, wäre #Amazon schon längst besteuert worden & dem DEU & EU Steuerzahler nicht weiter Milliarden durch die Lappen gegangen.",1,1,2
Dr. Wolfgang Strengmann-Kuhn,@W_SK,2021-05-12T05:51:52.000Z,"#Armut u. Ungleichheit bleiben auf einem nicht akzeptablen Niveau. Armut verfestigt sich, wer unten ist, bleibt unten. Notwendig: Überwindung von #HartzIV durch #Garantiesicherung, die das soziokulturelle Existenzminimum in jeder Lebenslage sicherstellt.Bericht der Bundesregierung: Die Armutsfrage
Wie hat sich die Armut in Deutschland entwickelt? Der Bericht liefert dazu unterschiedliche Zahlen – Corona dürfte den Ausblick weiter trüben.
taz.de",,6,19
Manuela Rottmann,@ManuelaRottman,2021-05-11T18:51:42.000Z,"Mancher mag sich ja fragen, warum in der Union in Sachen Eignung des eigenen Kanzlerkandidaten wochenlang herumgeballert wird wie in einem schlechten Actionfilm. Ziemlich simpel: Pulverdampf vernebelt die Sicht.„Clankriminalität“ bei der CSU: Maskenaffäre der Union zieht große Kreise
Der Maskenskandal in der Union hat eine noch größere Dimension als bislang angenommen. Um mehr als 30 Millionen Euro soll es gehen.
fr.de",1,10,39
Lisa Paus,@lisapaus,2021-05-11T16:22:50.000Z,"Bei seiner Kür zum #SPD #Kanzlerkandidat erklärte #OlafScholz, er stände fürs Umsetzen und dafür, nicht jede politische Lösung zu verwässern. Leider war sein Gesetz gegen #Steueroasen letzte Woche kein Beleg dafür. https://lisa-paus.de/2021/mein-rede-zum-kraftlosen-einsatz-der-koalition-gegen-steuervermeidung/…",,3,5
Grüne Fraktion Berlin,@GrueneFraktionB,2021-05-11T13:06:19.000Z,"Wir haben gestritten, gelacht, gekämpft & Berlin mit radikal-vernünftiger Politik positiv verändert. 
Feiert mit uns vier Jahrzehnte Fraktionsgeschichte! 
#VollesGrünVoraus: 40 Jahre Bündnisgrüne Fraktion für Berlin am 10. Juni 2021 um 18 Uhr 
Mehr Infos: https://gruene-fraktion.berlin/40jahre/Georg P Kössler and 9 others",2,7,17
Lisa Paus,@lisapaus,2021-05-11T10:27:51.000Z,"an 
@DerDanyal
  und viel 
im neuen Amt als #Finanzminister von Baden-Württemberg!
 für die gute Zusammenarbeit im #wirecard UA, in dem ich dich ab jetzt ersetzen werde. Die Verhandlungen zum Abschlussbericht stehen dort bald an.Wirecard-Aufklärer Bayaz wird Finanzminister in Baden-Württemberg
Danyal Bayaz wechselt aus dem Bundestag nach Baden-Württemberg.
berliner-zeitung.de",1,4,57
Andreas Kappler,@GruenSprecher,2021-05-11T10:02:30.000Z,Es kursieren erneut Falschbehauptungen über Annalena Baerbock. Diesmal über die akademische Ausbildung. Die Fakten im Thread. ,150,472,2.4K
Lisa Paus,@lisapaus,2021-05-10T12:23:43.000Z,"@sven_kindler
 @katdro
 @AchimTruger
 @sven_giegold
 @ABaerbock
 @JTrittin
 @SDullien
 @DerDanyal",1,1,3
Lisa Paus,@lisapaus,2021-05-10T12:23:42.000Z,"Was eine #Mogelpackung! #FDP versucht #Steuergeschenke als großes Investitionspaket zu verkaufen?!?

Seriös gerechnet ist das nicht & hat auch nicht viel mit echten Zukunftsinvestition in #Klimaschutz, digitale #Infrastruktur & sozialen #Zusammenhalt tun.Entlastung der Wirtschaft: FDP will 600 Milliarden Euro mobilisieren
In einem Positionspapier plant der Vorstand der FDP-Fraktion massive Steuererleichterungen für Unternehmen. Parteichef Lindner betont den Modernisierungsschub, der mit den Entlastungen einhergehen...
faz.net",5,10,32
Lisa Paus,@lisapaus,2021-05-10T08:13:58.000Z,"Der Umgang der Finanzaufsicht #Bafin mit #Whistleblowern war katastrophal - nicht nur bei #Wirecard, sondern auch bei #CumEx und anderen Finanzskandalen. 

Das kann und muss nur besser werden!Finanzaufsicht Bafin soll beim Umgang mit Whistleblowern nachbessern
Eine Prüfung offenbart: Die Bafin hat beim Umgang mit Hinweisen auf Missstände noch Nachholbedarf. Dabei ist die Zahl der Whistleblower gestiegen.
handelsblatt.com",4,3,20
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-09T07:32:47.000Z,"Heute ist #Europatag. Wir setzen uns ein für ein handlungsfähiges Europa – als Garant für Menschenrechte, Freiheit & Demokratie, soziale & ökologische Standards. Wir bauen Europa weiter! Vorschläge dazu gibt's in unserem Entwurf für ein Wahlprogramm zur #btw21 #AllesIstDrin !B ",48,55,344
Dunja Hayali,@dunjahayali,2021-05-08T07:06:27.000Z,"Das mit den ‚Stürmen‘ stimmt. Sie werden  schlimmer.

Rassismus dagegen wird nicht schlimmer, er wird sichtbarer!

Man(n) kann natürlich trotzdem versuchen, mit dem wenig trickreichen #CancelCulture-Vorwurf Kritik zu cancel, aber: 
Rassismus bleibt #Rassismus.

#palmer #aogo",111,74,842
Sven Lehmann MdB,@svenlehmann,2021-05-08T14:17:57.000Z,"Den Wahlkampf 2017 als Kandidat im Kölner Süden habe ich als sehr fair in Erinnerung. Das lag auch an 
@HHirte
, der damals das Direktmandat gewann. Heute hat seine CDU ihn nicht wieder nominiert. Ich möchte mich bei ihm ausdrücklich für das stets kollegiale Miteinander bedanken!",15,30,485
Annalena Baerbock,@ABaerbock,2021-05-08T08:30:44.000Z,"Die Äußerung von Boris #Palmer ist rassistisch und abstoßend. Sich nachträglich auf Ironie zu berufen, macht es nicht ungeschehen. Das Ganze reiht sich ein in immer neue Provokationen, die Menschen ausgrenzen und verletzen. 1/2",2.4K,2.6K,23.8K
