User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jacques Maire,@JMaireofficiel,2021-05-12T14:25:21.000Z,"On behalf of 
@ALDEParty
 @PACE_News
 I stand with the #IstanbulConvention and call for all 
@coe
 member states to ratify it whithout delay. Stand with 
@AllianceOfHer
 and share this post to show women's rights are human rights.
#PACEVoicesThe Alliance of Her
@AllianceOfHer
 · May 11
The #IstanbulConvention is an essential tool to combat violence against women. But on its 10-year anniversary, six 
 countries have still not ratified the Convention! SIGN and SHARE the @ALDEParty petition for EU leaders to act now 
 https://bit.ly/37ItjA5",1,6,17
Michael Georg Link,@michael_g_link,2021-05-09T09:26:03.000Z,"Heute ist #Europatag der EU und Start der Konferenz zur Zukunft Europas - Ich wünsche mir, dass die Konferenz zum Leuchtturmprojekt für europäische Bürgerbeteiligung wird und die Grundlage für einen europäischen Verfassungskonvent legt",1,6,25
Marco Buschmann,@MarcoBuschmann,2021-05-05T19:43:23.000Z,"#BVerfG hat heute weder über Eilanträge noch Verfassungsbeschwerden der MdBs der 
@fdpbt
 entschieden. Keine Entscheidung über Umgang mit Geimpften und Genesenen. Keine abschließende Entscheidung über Verfassungsgemäßheit von #Ausgangssperren.",117,88,617
Michael Georg Link,@michael_g_link,2021-05-05T09:13:04.000Z,Heute ist der Europatag des Europarats. Dank ihm gibt es mit der Europäischen Menschenrechtskonvention und dem Menschenrechtsgerichtshof einen verbindlichen Grundrechtsschutz von Lissabon bis Moskau!,,6,38
Fraktion der Freien Demokraten,@fdpbt,2021-05-04T12:09:40.000Z,"„Jetzt lenkt auch die #GroKo beim Thema Lockerungen für Geimpfte und Genesene ein. Doch nicht aus inhaltlicher Überzeugung, sondern allein aufgrund des Drucks der Verfassungsbeschwerde der Abgeordneten der 
@fdpbt
!“ 
@MarcoBuschmann
.",45,37,156
Michael Georg Link,@michael_g_link,2021-05-03T10:41:50.000Z,"The best way to defend democracy, fight corruption and ensure accountable government is to promote #MediaFreedom. On today’s #WorldPressFreedomDay we celebrate journalists who provide reliable information and commit ourselves to supporting free and independent media!",,6,24
Hans-Jürgen Deglow,@HJDeglow,2021-05-01T12:49:10.000Z,"FDP-Chef Lindner kritisiert „Überschuss an staatlichem Handeln” - Regelung zu Ausgangssperren unverhältnismäßig. Im Interview mit 
@stimmeonline
 fordert er: Alle Impfstoffreserven auflösen und verimpfen - 
@c_lindner
 @fdp
 @FabianLeber
 http://STIMME.deFDP-Chef Lindner: Impfstoffreserven auflösen und verimpfen
Es seien längst nicht alle Möglichkeiten ausgeschöpft, um beim Impfen Tempo zu machen, sagt der FDP-Vorsitzende Christian Lindner.
stimme.de",1,1,1
Michael Georg Link,@michael_g_link,2021-05-02T11:58:33.000Z,"Heute vor 70. Jahren trat die Bundesrepublik als Vollmitglied dem #Europarat bei. Dort setzen wir uns seither für die Aufrechterhaltung von Menschenrechte, Demokratie und Rechtsstaatlichkeit ein. Dafür müssen wir vor allem den Europäischen Menschenrechtsgerichtshof stärken!",,10,67
Michael Georg Link,@michael_g_link,2021-04-23T09:50:55.000Z,"Scheitern des Rahmenabkommens muss verhindert werden! Beide müssen in den festgefahrenen Verhandlungen aufeinander zugehen, denn 
 & 
 brauchen sich gegenseitig - 
 für Zugang zum EU-Binnenmarkt, 
 braucht  
 als Partner in Wirtschaft, Verkehr & co.Abkommen mit der EU: Die Schweiz hat noch Redebedarf
Eigentlich ist das Rahmenabkommen zwischen der EU und der Schweiz schon ausgehandelt. Doch die Berner Regierung hat Bedenken. Bundespräsident Parmelin und Kommissionschefin von der Leyen treffen sich...
tagesschau.de",,1,3
Marco Buschmann,@MarcoBuschmann,2021-04-23T06:53:01.000Z,"Die offene Gesellschaft braucht kritische Künstlerinnen und Künstler. Eine kritische Auseinandersetzung mit dem Mittel offenkundiger Ironie gehört zur Demokratie. Das muss man aushalten - egal welcher Meinung man in der Sache ist. #allesdichtmachenJan Josef Liefers
@JanJosefLiefers
 · Apr 23
1/4 Klartext. Ich setze mich kritisch mit den Entscheidungen meiner Regierung zu SarsCoV2 und Covid 19 auseinander. Besonders wegen der in Kauf genommenen Verluste in Kultur und Kunst und der Veranstaltungsbranche. Auch im jüngsten Video, das ein ironischer Kommentar
Show this thread",150,301,2.2K
Fraktion der Freien Demokraten,@fdpbt,2021-04-23T08:21:00.000Z,"„Dieser #Nachtragshaushalt ist das haushälterische Gegenstück zum #Infektionsschutzgesetz. Die Öffentlichkeit fragt sich verwundert, wo eigentlich die Zahlen herkommen und was das konkret gegen die Bekämpfung der Pandemie ausrichten soll.“ 
@christianduerr
 eben im Plenum. ",,6,27
Michael Georg Link,@michael_g_link,2021-04-21T15:47:09.000Z,Das #Infektionsschutzgesetz der GroKo spielt Gesundheitsschutz & Grundrechtschutz gegeneinander aus. Deshalb habe ich mit Nein gestimmt & werde ich persönlich - mit anderen Abgeordneten der FDP-Fraktion - noch diese Woche eine Verfassungsbeschwerde in Karlsruhe einlegen.,2,3,23
Michael Georg Link,@michael_g_link,2021-04-20T15:37:34.000Z,"Very concerning that #Belarus is reportedly considering banning private lawyers. https://apnews.com/article/alexander-lukashenko-belarus-europe-2fae80f2fc0c3b7e3a72e50c07769a3e…. On behalf of 
@OSCEPA
 last week I expressed concern about serious restrictions in draft law on mass events. Belarus needs #democracy - not less! 
@BelarusMFABelarus parliament moves to pass law banning private lawyers
KYIV, Ukraine (AP) — The parliament of Belarus gave initial approval Friday to a law that would ban private attorneys, reducing the defense options for people charged in connection with protests...
apnews.com",,3,4
Jacques Maire,@JMaireofficiel,2021-04-20T12:33:36.000Z,"@ALDEParty
 @PACE_News
 express concerns about the escalation of tensions and ongoing destabilistion in Estern Ukraine. We call for: end of 
 military build-up, a political solution to the conflict and reiterate our support to 
 sovereignty and territorial integrity
#PACEVoicesRik Daems and 5 others",1,7,17
Gyde Jensen,@GydeJ,2021-04-19T10:19:49.000Z,"Trauriges Dauerbrenner-Thema im 
@coe
: #Nawalny. 
 hält derzeit Vorsitz im Ministerkomitee. Deshalb habe ich mit FDP-Delegation im #Europarat Brief
 an 
@HeikoMaas
 geschrieben und Nutzung aller Instrumente (inkl. mögl. Suspendierung) ggü. 
 gefordert. Es geht um Glaubwürdigkeit!Konstantin Kuhle and 2 others",7,15,58
