User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stadt Leipzig,@StadtLeipzig,2021-05-14T08:05:06.000Z,"#Coronavirus #Leipzig
14.05. 8 Uhr
7-Tage-Inzidenz: 68,3 (-4,2 zum Vortag)
positiv getestet: 21.635 (+53)
aktive Fälle: 1.085 (-35)
in Leipziger Krankenhäusern: 105 (-3)
Todesfälle: 507 (+1)
belegte Betten Normalstation Sachsen: 1.017 (-31)
http://leipzig.de/coronavirus/",1,15,83
Stadt Leipzig,@StadtLeipzig,2021-05-14T08:55:03.000Z,"Wir haben es geschafft: Leipzig liegt stabil unter dem Inzidenzwert 100. Ab heute können deshalb z.B. die Freisitze wieder öffnen. Oberbürgermeister Burkhard Jung bedankt sich bei allen Leipzigerinnen und Leipzigern fürs Durchhalten und Mitmachen.
#Coronavirus #Leipzig",8,15,114
ZEIT ONLINE Politik,@zeitonline_pol,2021-05-14T09:47:46.000Z,"Stephan #Kramer, Präsident des Verfassungsschutzes in #Thüringen, wird doch nicht als Direktkandidat für die #SPD antreten. Seine Bundestagskandidatur habe er wegen aktueller Gefahren zurückgezogen.Stephan Kramer: Thüringens Verfassungsschutzchef zieht Bundestagskandidatur zurück
Der Präsident des thüringischen Verfassungsschutzes wird doch nicht für die SPD kandidieren. Wegen aktueller Gefahren wolle er sich auf seinen Job konzentrieren.
zeit.de",2,1,3
LVZ,@LVZ,2021-05-14T10:12:54.000Z,"Als einziges Bundesland hat #Sachsen eine eigene #Impfkommission. Deshalb läuft im #Freistaat vieles anders – auch bei der Corona-#Impfung. Warum ist das eigentlich so?In Sachsen wird anders gegen Corona geimpft als im Rest der Republik – warum?
Als einziges Bundesland hat Sachsen eine eigene Impfkommission. Deshalb läuft im Freistaat vieles anders – auch bei der Corona-Impfung. Warum ist das eigentlich so?
lvz.de",,3,9
RND,@RND_de,2021-05-13T11:55:00.000Z,"Meinungen sollten nicht wie Fakten behandelt werden, sagt Mai Thi Nguyen-Kim. Im RND-Gespräch erklärt die „#MaiLab“-Wissenschaftsjournalistin, wieso sie nicht mehr mit Verschwörungsideologen diskutiert. 
@maithi_nk
 http://bit.ly/2SDXxjI",18,130,446
Stadt Leipzig,@StadtLeipzig,2021-05-12T07:49:19.000Z,"#Coronavirus #Leipzig
12.05. 8 Uhr
7-Tage-Inzidenz: 74,0 (-12,6 zum Vortag)
positiv getestet: 21.498 (+104)
aktive Fälle: 1.194 (-27)
in Leipziger Krankenhäusern: 111 (-14)
Todesfälle: 506 (+2)
belegte Betten Normalstation Sachsen: 1.048 (+27)
http://leipzig.de/coronavirus/",6,26,135
B'90/GRÜNE Sachsen,@gruene_sachsen,2021-05-12T09:13:05.000Z,"""Pflege neu gestalten - Das Buurtzorg-Modell jetzt sachsenweit voranbringen"" - der Beschluss unseres Landesparteirats: Der Würde des Menschen – die der zu Pflegenden und die der Pflegenden - ist eine zentrale Rolle beizumessen. #TagderPflege 
 http://gruenlink.de/221r",,3,9
LVZ,@LVZ,2021-05-11T19:18:42.000Z,"Die Angebote für #kostenlose #Schnelltests sind in #Leipzig vielfältig. Über 100 #Testmöglichkeiten gibt es über das gesamte Stadtgebiet verteilt. Wo in Ihrer Nähe Sie sich testen lassen können, erfahren Sie in unserer Karte.Corona-Test in Leipzig: Hier gibt es kostenlose Schnelltests
Die Angebote für kostenlose Corona-Schnelltests sind in Leipzig vielfältig. Über 100 Testmöglichkeiten gibt es über das gesamte Stadtgebiet verteilt. Wo in Ihrer Nähe Sie sich testen lassen können,...
lvz.de",,1,3
Die Nachrichten,@DLFNachrichten,2021-05-11T18:01:58.000Z,"Überlastung der Gerichte führt zu milderen Strafen für frühere Mitglieder rechtsextremer Hooligan-Gruppierung in Dresden. Es gebe zu viele Verfahren, die bearbeitet werden müssten. 
https://deutschlandfunk.de/faust-des-ostens-ueberlastung-des-gerichts-fuehrt-zu.1939.de.html?drn:news_id=1258094… #Dresden #hooligans #Faustdesostens""Faust des Ostens"" - Überlastung des Gerichts führt zu milderer Strafe gegen rechtsextreme Dresdner...
Im Prozess gegen drei frühere Mitglieder einer rechtsextremen Hooligan-Gruppe hat das Landgericht Dresden wegen einer Verschleppung des Verfahrens ein milderes Urteil gesprochen.
deutschlandfunk.de",13,34,20
Monika Lazar,@monikalazar,2021-05-11T18:22:40.000Z,"Hoffentlich nutzt der #DFB diese Führungskrise, lernt daraus, zieht die richtigen Konsequenzen und stellt sich endlich vielfältig auf.MDR AKTUELL
@MDRAktuell
 · May 11
Krise beim DFB: Präsident Keller zum Rücktritt bereit, Vertrag von Generalsekretär Curtius soll aufgelöst werden. Vizepräsident Koch wird nicht zur Wiederwahl antreten. twitter.com/DFB/status/139…",2,,10
