User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-05-14T09:54:35.000Z,"Antisemitismus in Deutschland: „Immer wieder junge islamistische Männer, die uns Juden angreifen“ https://welt.de/politik/deutschland/plus231114583/Antisemitismus-in-Deutschland-Junge-islamistische-Maenner-die-uns-Juden-angreifen.html?cid=socialmedia.twitter.shared.web… via 
@welt
 Wo bleibt der Aufschrei der ""Wir schaffen das""-Truppe? Dieser furchtbare Antisemitismus wurde bewusst importiert!Antisemitismus in Deutschland: „Junge islamistische Männer, die uns Juden angreifen“ - WELT
Brennende Israel-Fahnen, Steinwürfe auf Synagogen, antisemitische Mobs auf der Straße: Infolge der Eskalation im Nahen Osten häufen sich in Deutschland Bedrohungen und Angriffe gegen Juden und ihre...
welt.de",,,
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-05-12T16:47:38.000Z,"https://petitionen.com/arzte_gegen_impflicht_insbesondere_keine_impflicht_fur_minderjahrige?uv=35910828&utm_source=twitter… Ich bin zwar kein Arzt, aber unterstütze diese Petition von Frau Dr. Christina Jahn, ehemalige Chefärztin der Chirurgie in Bitterfeld! Bitte unterschreiben und teilen! DankeschönÄrzte gegen Impflicht, insbesondere keine Impflicht für Minderjährige!
petitionen.com",,,
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-05-10T15:02:05.000Z,,,,
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-05-09T07:50:49.000Z,,,2,5
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-05-04T13:56:06.000Z,,1,1,1
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-04-29T16:36:24.000Z,"27-Jähriger wird in Dessau attackiert und zu Boden gerissen - Tritte gegen den Kopf folgen „Goldstücke“! Mehr braucht man dazu nicht sagen. Raus aus Deutschland und zurück in die Heimat!27-Jähriger wird in Dessau attackiert und zu Boden gerissen - Tritte gegen den Kopf folgen
mz.de",,2,3
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-04-23T07:36:20.000Z,"Unsere Direktkandidatin zur Landtagswahl am 06. Juni 2021 in Sachsen-Anhalt, Wahlkreis 27! Margret ist eine Patriotin, ihr Herz schlägt für unsere Heimat!",,,3
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-04-23T07:31:36.000Z,,,1,2
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-04-22T21:53:11.000Z,Das neue Seelotsgesetz ist irre! Vom Masterabschluss direkt zur Lotsausbildung ohne Seefahrtszeit. Keine Augenhöhe mehr mit dem Kapitän. Unverantwortlich! Lotse ist ein erfahrener Seemann und kann mit Schiffen umgehen. Havarien sind vorprogrammiert.,,1,
"Andreas Mrosek, MdB (AfD)",@mrosek1958,2021-04-22T06:25:10.000Z,"Ja, ich war mit Martin zusammen und wir hörten uns die Sorgen an. Die AfD war die einzige, die zur Demo ging.Martin Reichardt, MdB
@M_Reichardt_AfD
 · Apr 21
Massives Polizeiaufgebot zur Demo #berlin2104. Ich habe lange mit den Menschen geredet. Besorgte Mütter, Väter, Großeltern, die sich um Freiheit, Recht & Zukunft ihrer Kinder & Enkel sorgen. Die Menschen wollen nicht bevormundet werden. Sie wollen Dialog & objektive Information!",2,4,8
