User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Marco Buschmann,@MarcoBuschmann,2021-05-08T12:15:11.000Z,"Das ist ja putzig. Gestern habe ich sachliche Kritik an einem Programmpunkt der Grünen geübt. Gleich wurde versucht, mich dafür bei Twitter anzuschwärzen.
Albern!
Schlechte Debattenkultur!
Gut, dass Twitter den Blödsinn nicht mitmacht!",32,39,419
Marco Buschmann,@MarcoBuschmann,2021-05-05T19:43:23.000Z,"#BVerfG hat heute weder über Eilanträge noch Verfassungsbeschwerden der MdBs der 
@fdpbt
 entschieden. Keine Entscheidung über Umgang mit Geimpften und Genesenen. Keine abschließende Entscheidung über Verfassungsgemäßheit von #Ausgangssperren.",117,88,617
Fraktion der Freien Demokraten,@fdpbt,2021-05-04T12:09:40.000Z,"„Jetzt lenkt auch die #GroKo beim Thema Lockerungen für Geimpfte und Genesene ein. Doch nicht aus inhaltlicher Überzeugung, sondern allein aufgrund des Drucks der Verfassungsbeschwerde der Abgeordneten der 
@fdpbt
!“ 
@MarcoBuschmann
.",45,37,156
Marco Buschmann,@MarcoBuschmann,2021-04-27T09:18:50.000Z,"Gemeinsam mit allen Abgeordneten der 
@fdpbt
 habe ich Verfassungsbeschwerde gegen das Infektionsschutzgesetz beim 
@BVerfG
 eingereicht. Das Gesetz ist höchst angreifbar & in seiner Wirkung zweifelhaft. Vor allem die #Ausgangssperren halten wir für unverhältnismäßig und untauglich.",42,42,438
Christian Lindner,@c_lindner,2021-04-16T09:04:20.000Z,"""Mit #Ausgangssperren wäre es einem geimpften Ehepaar aufgrund eines Corona-Ausbruchs in einem weit entfernten Betrieb nicht mehr möglich, nach 21 Uhr alleine einen Abendspaziergang zu machen. Dieses Beispiel zeigt die verfassungsrechtliche Problematik!"" TL #Bundestag",854,314,1.9K
Christian Lindner,@c_lindner,2021-04-12T11:29:56.000Z,"Der 
@Markus_Soeder
 hofft auf die Gesetzgebung zur #Notbremse bei Corona. Ich frage mich: Wenn er schärfere Maßnahmen für dringlich hält, warum setzt er sie nicht in Bayern um? Stattdessen hat die 
@csu
 im Landeskabinett letzte Woche Handel bei Inzidenzen über 200 beschlossen. CL",224,212,1.8K
Marco Buschmann,@MarcoBuschmann,2021-04-07T16:12:52.000Z,"Wichtiges Signal: Die Regierung von Schlewsig-Holstein bietet der Gastronomie eine Perspektive. In Kreisen mit beherrschbaren Inzidenzen und unter strengen Auflagen soll eine vorsichtige Öffnung der Außengastronomie möglich sein. Der bundesweite #Lockdown ist nicht alternativlos.NDR SH
@NDRsh
 · Apr 7
Die #Außengastronomie in #SchleswigHolstein darf bei einer stabilen #Inzidenz unter 100 öffnen. Das hat #Ministerpräsident Daniel Günther am Mittwochnachmittag angekündigt.

http://NDR.de/SH/gastro158.html…",48,28,229
Matthias Seestern-Pauly,@mseesternpauly,2021-03-24T10:25:52.000Z,"Es ist positiv, dass der Fehler eingeräumt wird. Man muss aber auch fragen, auf welcher Grundlage der ursprüngliche Beschluss gefasst wurde. So zerstört man Vertrauen. Entscheidungen, die unsere #Grundrechte massiv einschränken, gehören ins Parlament!Lockdown zu Ostern: Merkel kippt Osterruhe – „Bitte um Verzeihung“ - WELT
In einer kurzfristig für Mittwochvormittag einberufenen Schalte mit den Ministerpräsidenten hat Kanzlerin Merkel den verschärften Osterlockdown gestoppt und als Fehler bezeichnet. Am Mittag entschu...
welt.de",3,2,19
Matthias Seestern-Pauly,@mseesternpauly,2021-03-23T08:43:31.000Z,"#Lockdownlight
#Lockdown 
#Megalockdown
#Osterlockdown

Was kommt als nächstes!? Wir hängen massiv hinterher und bleiben weit hinter unseren Möglichkeiten. Wie wäre es mit #TestenTestenTesten und #ImpfenImpfenImpfen?",1,5,25
Matthias Seestern-Pauly,@mseesternpauly,2021-03-22T12:59:10.000Z,Es darf nicht noch einmal zu flächendeckenden Schul- und Kitaschließungen kommen. Das wäre nach einem Jahr Pandemie katastrophal für #Kinder und #Eltern!,1,2,17
Marco Buschmann,@MarcoBuschmann,2021-03-17T21:21:44.000Z,"Herzlichen Glückwunsch zum Wahlsieg, lieber 
@MinPres
 Mark Rutte! Die Niederlande wissen, was sie an ihrem liberalen Regierungschef haben. ",18,8,203
Matthias Seestern-Pauly,@mseesternpauly,2021-03-17T08:45:32.000Z,"Die Probleme beim Fonds liegen auf dem Tisch. Die Situation ist katastrophal. Diese unerträgliche Bürokratie muss kurzfristig von Bundesfamilienministerin #Giffey angegangen werden - und zwar jetzt.Fehlende Unterstützung: Opfer sexuellen Missbrauchs im Stich gelassen
In Deutschland werden laut Polizeistatistik jedes Jahr mehr als 12.000 Kinder Opfer von sexuellem Missbrauch. Diese Taten wirken bei den Betroffenen ein Leben lang nach.
ndr.de",3,4,13
