User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sepp Müller,@mueller_sepp,2021-05-14T14:46:37.000Z,"Auf geht’s zum digitalem Treffen der #nachwuchskraefte Ost der 
@CDU
 .

Es gibt sicherlich viel zu besprechen. In der hitzigen Zeit bin ich froh in einer Volkspartei Mitglied zu sein, die ohne Beachtung der Himmelsrichtung alle Bevölkerungsgruppen hinter sich vereinen kann.",,,3
MZ Wittenberg,@mz_wittenberg,2021-05-14T10:30:25.000Z,Bad Schmiedeberg/Port Moresby: Der Bad Schmiedeberger Notfallsanitäter Christian Gatniejewski berichtet von seiner vierwöchigen Arbeit gegen Covid-19 in Papua-Neuguinea. (MZ+) https://buff.ly/3eLix0L,,2,1
Mike Schuster,@MikeSchuster_,2021-05-14T12:25:49.000Z,Mit Völkerrecht hat Frau Baerbock noch keine Milch für ihren Cappuccino. #RespektfürLandwirte,1,4,22
Jens Spahn,@jensspahn,2021-05-14T07:29:46.000Z,"Großer Schritt nach vorn: Neuer Tagesrekord für Deutschland mit 1,35 Mio Impfungen am Mittwoch. So wurden am Mittwoch / Donnerstag fast 2% der Deutschen geimpft. Damit sind 35,9% (29,8 Mio) mindestens einmal geimpft und 10,6% (8,8 Mio) voll geschützt.",333,240,1.7K
Sepp Müller,@mueller_sepp,2021-05-14T06:22:14.000Z,"Und die #Bundesnotbremse wirkt und wirkt und wirkt.Olaf Gersemann
@OlafGersemann
 · 10h
WÜRDE die #Corona-Inzidenz weiter so stark sinken wie in den letzten 3,5 Wochen, könnte sie sich bis Ende Mai halbieren - von ca 100 auf rd 50.

Im Februar waren wir schon mal fast soweit - doch dann war es mutmaßlich v.a. B.1.1.7, die ein weiteres Absinken verhindert hat.

@welt",2,2,9
Florian Hahn,@hahnflo,2021-05-13T20:26:46.000Z,"Eines der vielen Paradoxa bei Linken: die Glorifizierung eines homophoben Massenmörders und Rassisten. #CheGuevaraAndreas Hallaschka
@Hallaschka_HH
 · 23h
Wer so über einen Massenmörder und Kriegsverbrecher spricht, hat nicht viel gelernt in seinem Studium „International Law“ oder Völkerrecht oder was auch immer.
#Baerbock #Baerbockfail #CheGuevara",10,31,263
Gitta Connemann,@gitta_connemann,2021-05-12T18:16:14.000Z,Die Hamas schießt Raketen auf Israel. Und in Deutschland - werden Israelfahnen vor Synagogen angezündet. Das ist Antisemitismus. Dafür gibt es keine Rechtfertigung. Ich stehe an der Seite der Jüdinnen und Juden in Deutschland und an der Seite Israels. #Israelunderattack,42,33,415
Sepp Müller,@mueller_sepp,2021-05-12T07:35:27.000Z,"Die einheitliche #Bundesnotbremse zeigt eindrucksvoll seine Wirkung. Mit ihr haben wir tausende Leben gerettet. Danke an alle, die mitmachen. Wir sind kurz vor dem Ziel.
#coronavirusOlaf Gersemann
@OlafGersemann
 · May 12
Die #Corona-Inzidenzen sinken in allen Bundesländern - und auch etwa gleich stark. Die sonst z.T. zu beobachtenden Divergenzen gibt es aktuell nicht. 
 Unterschiede bei Lockdown-Regeln (und auch Impfquoten) spielen derzeit offenbar nicht die ausschlaggebende Rolle.

@welt",2,,3
Oliver Fraederich,@textlastig,2021-05-12T04:55:51.000Z,"Scholz: ""alle Seiten""
Baerbock: ""Gewaltspirale""
Laschet mit Kompass.Armin Laschet
@ArminLaschet
 · May 11
Habe gerade mit dem Leiter unserer 2020 eröffneten NRW-Vertretung in Tel Aviv @DrGilYaron telefoniert. Er muss heute mit seinem Sohn im Schutzraum schlafen, um sich vor den abscheulichen Hamas-Raketenangriffen zu schützen. Unsere tiefe Solidarität gilt Israel #StandWithIsrael 
 twitter.com/ZentralratJude…",10,38,436
Jan Fleischhauer,@janfleischhauer,2021-05-11T21:21:21.000Z,"An dem Tag, an dem die Grünen regieren, ist der Satz von Angela Merkel, wonach Israels Sicherheit deutsche Staatsräson sei, obsolet. Wer angesichts der Angriffe auf Israel von einer „Gewaltspirale“ spricht, die es zu beenden gelte, hält nichts von Selbstverteidigung.Annalena Baerbock
@ABaerbock
 · May 11
Die Bilder aus Israel erfüllen mich mit großer Sorge. Ich verurteile die fortlaufenden Raketenangriffe der Hamas aufs Schärfste. Diese müssen sofort beendet werden. Die Gewaltspirale zeigt, wie dringend die Wiederaufnahme von Friedensverhandlungen ist.
https://twitter.com/nouripour/status/1392104683834118150?s=21…",155,305,1.9K
Armin Laschet,@ArminLaschet,2021-05-11T21:08:12.000Z,"Habe gerade mit dem Leiter unserer 2020 eröffneten NRW-Vertretung in Tel Aviv 
@DrGilYaron
 telefoniert. Er muss heute mit seinem Sohn im Schutzraum schlafen, um sich vor den abscheulichen Hamas-Raketenangriffen zu schützen. Unsere tiefe Solidarität gilt Israel #StandWithIsrael Zentralrat der Juden in Deutschland
@ZentralratJuden
 · May 11
Unsere Gedanken sind bei den Menschen in #Israel. Sie sind einem erbarmungslosen Terror durch die Hamas ausgesetzt. Der Raketenhagel auf Israel muss aufhören. Wir stehen fest an der Seite Israels! 
 #standwithisrael",724,595,2.9K
Florian Hahn,@hahnflo,2021-05-11T19:06:54.000Z,"Dröhnende Stille seit mehr als 24 Stunden von 
@ABaerbock
 & 
@Die_Gruenen
 zu #IsraelUnderAttack - passt vermutlich nicht in den Wohlfühlwahlkampf 
#Israel #IsraelUnderFire  #IStandWithIsrael",327,395,2.3K
BMG,@BMG_Bund,2021-05-11T16:00:07.000Z,Viele ältere Bürger:innen sind inzwischen durch eine #Impfung geschützt. Der Effekt ist deutlich: Der Anteil der über 80-Jährigen bei den #COVID19-Fällen in intensivmedizinischer Behandlung ist seit Dezember 2020 von 32% auf 8% gesunken – bei den über 70-Jährigen von 60% auf 35%.,38,28,80
CDU/CSU,@cducsubt,2021-05-11T14:15:00.000Z,"Deutschland legt den Impfturbo ein: Seit heute hat jeder Dritte in 
 eine #Impfung gegen #Covid19 erhalten - über 8 Millionen sind bereits vollständig geimpft. Für Stephan Stracke ist klar: „#Impfen macht den Unterschied. Es rettet Leben und ist der Weg zurück in die #Freiheit.“",28,12,34
