User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Nicola Beer,@nicolabeerfdp,2021-05-13T15:02:22.000Z,"Einfach mal lesen 
 #StandWithIsraelThe Bad Optics of Fighting for Your Life
When it comes to Israel, memes have replaced morality.
bariweiss.substack.com",,4,17
Nicola Beer,@nicolabeerfdp,2021-05-12T20:43:16.000Z,"same here, great exchange
@vvdJon Worth
@jonworth
 · May 12
That was quite an evening! Explaining the German election to @TomasFriedhoff's young professionals in the VVD 
 network - together with @nicolabeerfdp and @rubenbrekelmans. These cross-party, cross-border conversations are a lot of fun!",,2,1
Nicola Beer,@nicolabeerfdp,2021-05-12T17:38:00.000Z,In diesen andauernden Stunden des offenen Konflikts gilt meine volle Solidarität #Israel. In Gedanken auch bei #Gaza Opfern. Gemeinsam mit #USA muss neuer #EUSondergesandte sich für rasche Wiederaufnahme von #Nahost-Friedensgesprächen einsetzen.#StandWithIsrael #IsraelUnderAttack,4,6,45
Nicola Beer,@nicolabeerfdp,2021-05-12T13:44:54.000Z,"Angriffe auf jüdische Synagogen, Verbrennen von 
Flaggen sind schändlichst, auf's Schärfste zu verurteilen! Unsäglich, wie sich antisemitischer Hass Bahn bricht, 
Deutschland ist in historischer Verantwortung, dies nicht zuzulassen!Jüdische Einrichtungen jetzt schützen!#Israel",27,59,508
Nicola Beer,@nicolabeerfdp,2021-05-12T08:52:21.000Z,"Geld alleine kann es nicht richten, cher 
@BrunoLeMaire
, 
EU braucht keine neuaufgelegtes Investitionsprogramm, sondern einen #Masterplan für den #Mittelstand, für kleine & mittlere Unternehmen, die sind Treiber von Innovation, von Jobs, von Wohlstand.Gemischtes Echo auf französischen Vorstoß für neues EU-Investitionsprogramm
Ein Vorschlag von Frankreichs Finanzminister Bruno Le Maire für ein neues EU-Investitionsprogramm neben dem milliardenschweren Corona-Hilfsfonds ist auf ein gemischtes Echo gestoßen.
euractiv.de",2,2,19
Nicola Beer,@nicolabeerfdp,2021-05-11T20:50:11.000Z,"Mein Herz blutet.Nachrichten+Bilder aus #Israel sind unerträglich.Die einzige Demokratie im Nahen Osten,auch Bevölkerung im Gazastreifen Geiseln islamistischer Terroristen.Gilt, weitere Eskalation&Landkrieg zu verhindern, Raketenbeschuss muss enden.
@fdpNach Angriffen auf Gaza-Streifen: Hamas feuert 130 Raketen auf Tel Aviv
Die Gewalt zwischen Palästinensern und Israelis eskaliert seit Tagen. Jetzt steht auch die israelische Stadt Tel Aviv unter Beschuss. In den Straßen heulten die Sirenen.
spiegel.de",28,24,280
Nicola Beer,@nicolabeerfdp,2021-05-11T15:43:21.000Z,"10 Jahre #IstanbulKonvention  und die Lage ist alarmierend: Die Türkei
 ist ausgestiegen, 
 wendet sich ab &  
ratifizieren nicht - inakzeptabel! 
Gewalt gegen Frauen, Mädchen & Kinder zu stoppen, ist keine Ideologie sondern Schutz, den wir als 
EU voranbringen müssen!Renew Europe
@RenewEurope
 · May 11
Over the past 10 years, the #IstanbulConvention has been a far-reaching international instrument to prevent & combat #ViolenceAgainstWomen.

Women's rights are still challenged within the EU. Six Member States have still not ratified the Convention. 
 must step up its game!
Show this thread",7,14,65
Michael Leh,@Michael_Leh,2021-05-03T18:57:41.000Z,"Titel des #Economist diese Woche. Schweigen und Ignoranz insbesondere bei 
@HeikoMaas
 und 
@RegSprecher
, aber auch bei den meisten sog. Qualitätsmedien Deutschlands fehlt eine tiefere Beschäftigung mit der Sicherheitslage für #Taiwan.",6,15,51
Lukas Mandl,@lukasmandl,2021-05-04T11:25:35.000Z,"It took 
@EU_Commission
 almost 2y to appoint a new special envoy for #freedom of consience & belief. Parliamentary pressure pushed it through! Confident 
@StylianidesEU
 will be as competent as 
@JanFigel
. Urge EC to provide better ressources for these European core values. #dignity",1,14,32
Michael Theurer,@EUTheurer,2021-05-04T09:30:20.000Z,"Viele Diskussionen hier zum Klima-Urteil des BVerfG und gestern auch zum CO2-Preis.

Meiner Meinung nach ist das Urteil liberal & wegweisend auch für andere Politikfelder. Meine Gedanken habe ich für den 
@cicero_online
 aufgeschrieben:Klima-Urteil des Bundesverfassungsgerichts - „Höchste Zeit, den Blick zu weiten“
Das sogenannte Klima-Urteil des Bundesverfassungsgerichts schlägt hohe Wellen. Die von Karlsruhe kritisierte Belastung künftiger Generationen lässt sich aber nur vermeiden, wenn mit Hilfe der...
cicero.de",9,18,51
