User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ulf Poschardt,@ulfposh,2021-05-11T09:52:58.000Z,"die grünen haben das nichtssagende vielsprechen zur meisterschaft entwickelt. was heißt das? was wollen die grünen? abgefahren, dass man damit bislang so gut durchkommt...ZDFheute
@ZDFheute
 · May 10
Wie viele Flüge sind bei einem konsequenten Klimaschutz noch möglich? Im ZDF-Interview verneint Grünen-Kanzlerkandidatin @ABaerbock Beschränkungen für Reisende - und sagt, wo sie stattdessen limitieren will.
1:37
170K views",153,155,1.1K
Tom Nuttall,@tom_nuttall,2021-05-12T13:35:21.000Z,"Germany's ruling conservatives have hoisted the Israeli flag outside party HQ in Berlin, to mark their solidarity with the country over the latest conflagration.",116,872,3.7K
Paul Ziemiak,@PaulZiemiak,2021-05-11T12:16:28.000Z,"Teile der Fridays for Future Bewegung rufen zum Boykott israelischer Produkte auf. Jede Form der Hetze gegen #Israel schockiert mich. Gerade für uns Deutsche muss klar sein: Wir stehen an Israels Seite - ganz unabhängig von der eigenen Parteizugehörigkeit! 
 #StandWithIsrael",345,293,1.5K
BDI,@Der_BDI,2021-05-06T13:43:29.000Z,"Kaum ein Land in Europa erhebt eine #Vermögenssteuer. Aus gutem Grund 
 Vermögen steckt in 
 meist in betrieblichen Vermögen wie Maschinen & Patenten. Eine Vermögensabgabe würde insbesondere den #Mittelstand treffen. Ein Eigentor für eine schnelle wirtschaftliche Erholung!Antje Tillmann and 8 others",2,3,14
Olav Gutting,@olavgutting,2021-04-21T16:04:32.000Z,Abschluss bei der Änderung der #Grunderwerbssteuer. Missbrauch bei #Share-Deals wird eingeschränkt. Freibetrag für Ersterwerb Familienheim muss noch kommen.,2,,7
CDU/CSU,@cducsubt,2021-04-14T07:54:34.000Z,"Presseinfo
 @AntjeTillmann
 & 
@olavgutting
:  Steuergerechtigkeit beim Hauskauf wahrenSteuergerechtigkeit beim Hauskauf wahren
Die Koalitionsfraktionen haben heute im Finanzausschuss des Deutschen Bundestages das Gesetz zur Änderung des Grunderwerbsteuergesetzes beschlossen. Dazu erklären Antje Tillmann, finanzpoliti...
cducsu.de",8,6,7
Olav Gutting,@olavgutting,2021-04-13T16:41:19.000Z,Alles ist gesagt. Jetzt bitte eine schnelle Einigung!! #Laschet #Söder,8,2,18
Olav Gutting,@olavgutting,2021-03-15T04:32:02.000Z,"Super gekämpft 
@AndreasTSturm
! Und verdient im Landtag von Ba-Wü. Mein WK ist wieder komplett durch 
@CDU_BW
 in Stuttgart vertreten. Das ist gut für die Menschen.  #ltwbw21",6,1,17
Olav Gutting,@olavgutting,2021-03-14T19:06:23.000Z,Wahlkrimi in #Bruchsal. Herzlichen Glückwunsch Ulli #Hockenberger zum Direktmandat! Verdient! ,1,1,13
Olav Gutting,@olavgutting,2021-03-14T17:46:17.000Z,"Wenn man bei knapp 23% schon froh ist, dass es nicht schlimmer gekommen ist, läuft natürlich was verkehrt. Klare Personenwahl in Ba-Wü u RLP. #Kretschmann mit Merkel-Kopie erfolgreich. #LtwBW21",7,,10
