User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Johannes C. Bockenheimer,@JCBockenheimer,2021-05-13T06:48:18.000Z,"Mit 
@peteraltmaier
 haben 
@K_Moessbauer
 und ich über die Eile bei der Klimaschutz-Novelle, über steigende Strompreise und über Wasserstoff-Flüge nach Mallorca gesprochen.Altmaier zum Klimagesetz: Nicht-Handeln wäre „Steilvorlage“ für Grüne!
Nur 13 Tage nach der Rüge des Bundesverfassungsgerichts hat sich das Kabinett am Mittwoch auf eine Verschärfung des Klimaschutzgesetzes geeinigt. Das Ziel: Klimaneutralität in Deutschland bis 2045....
bild.de",31,7,7
Peter Altmaier,@peteraltmaier,2021-05-11T21:55:27.000Z,"Please read.Ulf Poschardt
@ulfposh
 · May 11
„Israel steht im Zweifelsfall allein. In diesem Satz steckt die ganze Welt des israelischen Sicherheitsempfindens.“

https://welt.de/debatte/kommentare/article231072833/Nahostkonflikt-Mehr-Verstaendnis-fuer-Israel.html?cid=socialmedia.twitter.shared.web… via @welt",34,13,161
BMWi Bund,@BMWi_Bund,2021-05-11T11:17:17.000Z,"Die 
@ifo_Institut
-Exporterwartungen sind in der Industrie zuletzt auf 10,7 Punkte gestiegen – der höchste Wert seit drei Jahren! Das sichert #Arbeitsplätze und gibt uns die Stärke für ein nachhaltiges und zukunftsfähiges #Wachstum. Mehr: https://bmwi.de/Navigation/DE/Neustartklar/neustartklar.html… #neustartklar.",8,1,4
BMWi Bund,@BMWi_Bund,2021-05-11T07:47:43.000Z,"#BMWi fördert praxisnahe Entwicklung & Anwendung von #Quantentechnologien & #Quantencomputing mit 878 Mio. €. U.a. wird 
@dlr_de
 mit Partnern aus #Industrie, #KMU, #Startups & #Forschung  deutschen 
 #Quantencomputer, #Software & Anwendungen entwickeln. 
https://bmwi.de/Redaktion/DE/Pressemitteilungen/2021/05/20210511-BMWi-foerdert-Quantentechnologien-mit-878-Millionen-Euro.html…",17,7,24
BMWi Bund,@BMWi_Bund,2021-05-10T14:47:12.000Z,Seit Beginn der #Corona-#Pandemie sind insgesamt rund 100 Mrd. Euro an #Coronahilfen für die Wirtschaft ausgezahlt worden. Mehr Infos: https://bmwi.de/Redaktion/DE/Pressemitteilungen/2021/05/20210510-100-Milliarden-Euro-Corona-Wirtschaftshilfen.html…,16,10,13
BMWi Bund,@BMWi_Bund,2021-05-10T07:30:00.000Z," Ab ca. 11:00 Uhr im #Livestream: #Pressekonferenz zur 12. Nationalen Maritimen Konferenz mit 
@PeterAltmaier
. Ab ca. 14:00 Uhr die Rede der Bundeskanzlerin Dr. Angela #Merkel und #Impuls vom #Bundeswirtschaftsminister.",3,3,9
BMWi Bund,@BMWi_Bund,2021-05-05T15:33:35.000Z,"Replying to 
@germanenginee10
 and 
@peteraltmaierDerzeit laufen die Gespräche innerhalb der Bundesregierung und unter den Koalitionsparteien. Bundesminister Peter Altmaier hat in seinem heutigen Statement klargestellt, dass Klimaschutz eine der großen Prioritäten der Bundesregierung ist und zeigte sich optimistisch, dass… 1/2",6,4,3
Bernhard Poetter,@BernhardPoetter,2021-05-04T19:39:15.000Z,"Klimaziel auf mindestens minus 65 Prozent in 2030, Zwischenziele für 2035, 40 und 45, #Klimaschutzgesetz noch vor der Wahl ändern: Wirtschaftsminister 
@peteraltmaier
 will nach dem Urteil des Verfassungsgerichts nachbessern, sagt er bei uns im InterviewWirtschaftsminister zum Klimaschutz: „Das Urteil gibt uns den Schubs“
Wirtschaftsminister Peter Altmaier (CDU) räumt ein, dass auch in seiner Partei beim Klimaschutz Fehler gemacht wurden. Nun will er nachbessern.
taz.de",16,11,20
BMWi Bund,@BMWi_Bund,2021-05-05T06:06:49.000Z,".
@peteraltmaier
 in 
@tazgezwitscher
 zum #Klimaschutzgesetz:  Wir müssen jetzt die Chance nutzen zu einem parteiübergreifenden Konsens und einen neuen Generationenvertrag im #Klimaschutz schließen.taz
@tazgezwitscher
 · May 4
Wirtschaftsminister Peter Altmaier (CDU) räumt ein, dass auch in seiner Partei beim #Klimaschutz Fehler gemacht wurden. Nun will er nachbessern. http://taz.de/Wirtschaftsminister-zum-Klimaschutz/!5765429/…",13,8,10
BMWi Bund,@BMWi_Bund,2021-05-04T16:20:52.000Z,".
@peteraltmaier
 diskutiert mit #Mittelstandsbeirat beim #BMWi über die #Coronahilfen und wichtige Zukunftsfelder, damit 
 #neustartklar wird. Mehr zum Beirat: https://bmwi.de/Redaktion/DE/Artikel/Ministerium/mittelstandsbeirat.html… #Mittelstand",13,6,15
