User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Felix M. Hauffe,@FMH_EU,2021-05-14T11:46:40.000Z,"Die Mär von der „altbackenen Union“: Laut #Deutschlandtrend wünschen sich 28% der jüngeren Bundesbürger eine unionsgeführte Bundesregierung. Eine grüngeführte Regierung wünschen sich 26% der Jüngeren. 
@CDU",21,49,288
Jens Spahn,@jensspahn,2021-05-14T07:29:46.000Z,"Großer Schritt nach vorn: Neuer Tagesrekord für Deutschland mit 1,35 Mio Impfungen am Mittwoch. So wurden am Mittwoch / Donnerstag fast 2% der Deutschen geimpft. Damit sind 35,9% (29,8 Mio) mindestens einmal geimpft und 10,6% (8,8 Mio) voll geschützt.",381,271,2.1K
Dr. Peter Tauber,@petertauber,2021-05-14T05:59:19.000Z,"Heute hat Otto Klemperer, einer der großen Dirigenten des 20. Jahrhunderts, Geburtstag. Er hat mal gesagt: „Große musikalische Erlebnisse können nie verloren gehen.“ #tempusfugit",5,7,127
Philipp Bohn,@PhilippBohn,2021-05-13T09:15:00.000Z," Neues Interview: ""Nichts ist so beständig wie die Lageänderung.""

Ich spreche mit 
@c_netz
 Mitgründer und Beirat 
@petertauber
 über digitale Kommunikation und Verteidigungspolitik fürs 21. Jahrhundert.

https://c-netz.de/2021/05/13/peter-tauber-nichts-ist-so-bestaendig-wie-die-lageaenderung-digitale-kommunikation-und-verteidigungspolitik-fuers-21-jahrhundert/… #MitTwitter #DigitaleTransformation #Geopolitics",1,2,20
Dr. Peter Tauber,@petertauber,2021-05-13T09:12:56.000Z,"Heute hat Oberst i.G. Andreas Schramm Geburtstag. Wie er zu sagen pflegt: „Einwandfrei!“ #tempusfugit Außerdem ist der Geburtstag von Maria Theresia, aber die finde ich nicht so gut wie Schramm.",4,3,44
Helge Braun,@HBraun,2021-05-12T08:52:36.000Z,Achtung Schulträger: Ab sofort fördert das Wirtschaftsministerium den Neueinbau von stationären Frischluft-Klimaanlagen in Kindergärten und Grundschulen zu 80%! Gut gegen #Corona und auch langfristig ist gute Raumluft gut fürs „Lernklima“! ToDo: In den Sommerferien einbauen!,1.2K,1.6K,3K
Dr. Peter Tauber,@petertauber,2021-05-12T06:20:58.000Z,"Jetzt verstehe ich Ihre künstlerische Ader Herr General 
@vonSandrart",,1,12
Dr. Peter Tauber,@petertauber,2021-05-12T06:19:24.000Z,"Heute ist der Geburtstag von Joachim von Sandrart, des Malers, Kupferstechers und Kunsthistorikers. Man nannte ihn auch den deutschen Vasari. #tempusfugit",1,1,28
Dr. Peter Tauber,@petertauber,2021-05-11T05:23:53.000Z,"""Man braucht nur wenig Phantasie und alle Schlösser öffnen sich"" hat Hieronymus Carl Friedrich von Münchhausen einmal gesagt. Er hat heute Geburtstag. #tempusfugit",1,5,66
Israel Defense Forces,@IDF,2021-05-10T20:29:51.000Z,This needs to be shared.,1.4K,5.5K,7.8K
Verteidigungsministerium,@BMVg_Bundeswehr,2021-05-10T12:27:08.000Z,"Der Truppenabzug bei #ResoluteSupport ist in vollem Gange. Der Einsatz in #Afghanistan war der größte und intensivste in der Geschichte der #Bundeswehr. Das zeigen auch einige Zahlen zum Einsatz in Afghanistan, die wir gesammelt haben:",14,14,72
Oliver Fraederich,@textlastig,2021-05-10T07:34:30.000Z,"Es ging bei Anne Will nicht um die Frage, ob Maaßen für die CDU antreten sollte. Es ging um die Frage, ob der Vorsitzende das (parteienrechtlich) verhindern kann. Nichts von dem, was ich bisher an Quellen von Euch las, kann das auch nur annähernd mit Ja beantworten.",10,6,115
"Carlo ""Realism, Gedankenfetzen, and Rants"" Masala",@CarloMasala1,2021-05-10T06:25:04.000Z,"Unpopular Opinion. Scholz beim Parteitag und Laschet bei #annewill.

Der leidenschaftlich argumentierende Kanzlerkandidat war gestern nicht auf dem Bundesparteitag der SPD zu sehen",13,4,113
Philipp Schröder,@SchroederPhil,2021-05-10T05:15:13.000Z,"Gestern habe ich einen 
@ArminLaschet
 erlebt, der mich überrascht hat, mir Mut macht. Ausdauernd, ehrlich und glaubhaft auch und gerade mit Blick auf das Klima und unsere Wirtschaft. Unit behind 
@ArminLaschet
! Auf gehts 
@klimaunion
 @CDU",65,40,327
Dr. Peter Tauber,@petertauber,2021-05-09T15:54:53.000Z,"Seit Freitag bin ich nicht mehr Abgeordneter des Deutschen Bundestages. Zeit für einen Rückblick:Meine politische Bilanz
Seit 1991 engagiere ich mich politisch. Seit 1993 habe ich ein politisches Mandat inne – zunächst ehrenamtlich – und seit dem Jahr 2009 war im Sinne Max Webers „Politik mein Beruf“. Eine Berufung w…
blog.petertauber.de",28,29,356
Bastian Gassl,@BastiGassl,2021-05-09T12:32:13.000Z,"Alles Liebe zum Muttertag. 
@petertauber
 @bundeswehrInfo
 @hahnflo",2,7,71
Dr. Peter Tauber,@petertauber,2021-05-09T08:20:54.000Z,Heute hat Adam Opel Geburtstag. Er hat mal gesagt: „Bei keiner anderen Erfindung ist das Nützliche mit dem Angenehmen so innig verbunden wie beim Fahrrad.“ #tempusfugit,13,23,169
Johannes Wiegelmann,@JoWiegelmann,2021-05-07T12:14:20.000Z,"Bäm! Klares Bekenntnis zur Sache und für Deutschland!  #zusammenmachen 
@ArminLaschet
  @CDU
 @connectcduFrankfurter Allgemeine
@faznet
 · May 7
Der Unions-Kanzlerkandidat #Laschet besteht nicht auf eine „Rückfahrkarte nach Düsseldorf“. Nach der Bundestagswahl geht es nach Berlin – ob als Kanzler oder nicht, berichtet @CloseUpReb. https://buff.ly/3tsvuAv",5,4,46
Dr. Peter Tauber,@petertauber,2021-05-08T15:17:25.000Z,"Heute ist der Geburtstag des wunderbaren französischen Schauspielers Fernandel. Er hat mal gesagt: “Wer zugibt, dass er feige ist, hat Mut.“ #tempusfugit #doncamillo",7,14,132
