User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDU/CSU,@cducsubt,2021-05-13T08:13:20.000Z,"Der 3. #oekt steht unter dem Leitwort #schauthin. Denn #Hinschauen ist mehr als sehen. Hinschauen heißt, die Perspektive wechseln, Sorgen und Ängste wahrnehmen und aktiv werden. Wir haben unsere Abgeordneten gefragt: Wo müssen wir mehr hinschauen? 
 http://cducsu.cc/oekt21Ökumenischer Kirchentag and 8 others",25,10,11
Ralph Brinkhaus,@rbrinkhaus,2021-05-13T07:51:46.000Z,"Die heutige Zeit ist oft schnelllebig. Vieles sieht man mehr nicht mehr bewusst. #Schauthin ist deshalb ein gutes Motto für den 3. #oekt, der die Gelegenheit bietet, innezuhalten, sich infrage zu stellen und wieder mehr Achtsamkeit für andere zu entwickeln. 
@OekumenischerKT",19,8,38
CDU/CSU,@cducsubt,2021-05-13T07:00:01.000Z,Heute ist Christi Himmelfahrt. Am 40. Tag der Osterzeit feiern Christen die Rückkehr Jesu zu seinem Vater in den Himmel. Wir wünschen Ihnen allen einen gesegneten Feiertag. ,18,16,95
Ralph Brinkhaus,@rbrinkhaus,2021-05-12T08:03:03.000Z,"Was wir brauchen: klare Zuständigkeiten und klare Finanzierung, ein modernes Dienstrecht, schnellere Planungs- und Genehmigungsverfahren und die Digitalisierung von Verwaltungsleistungen, für die wir bisher noch einen Termin beim Bürgeramt brauchen.",3,1,13
Ralph Brinkhaus,@rbrinkhaus,2021-05-12T08:03:02.000Z,"Die Welt außerhalb der #Verwaltung ist digital geworden, aber drinnen regiert zu oft noch das Fax. Gut ausgebildete und motivierte Mitarbeiter scheitern oftmals an Strukturen, die die Politik ihnen auferlegt hat. Wir müssen das Momentum der Krise nutzen, um Dinge zu verbessern.",3,3,15
CDU/CSU,@cducsubt,2021-05-05T15:38:36.000Z,"Die USA sind der wichtigste Partner Deutschlands außerhalb der EU. „Wir haben ein vitales Interesse an engen, vertrauensvollen Beziehungen“, erklärte 
@joWadephul
 bei unserem #Transatlantik Kongress. Hier die Zusammenfassung Transatlantikpolitik ist DNA der Union
Die Vereinigten Staaten von Amerika sind der wichtigste Partner Deutschlands außerhalb Europas. Die Beziehungen zwischen Deutschland und den USA sind in jeder Hinsicht unersetzlich – auf poli...
cducsu.de",5,5,13
CDU/CSU,@cducsubt,2021-05-05T13:55:00.000Z,"„Dass US-Streitkräfte in Deutschland bleiben, ist ein wichtiges Signal"", erklärt 
@juergenhardt
. ""Sie waren über Jahrzehnte wichtiger Brückenkopf der Partnerschaft.“ Mehr zur transatlantischen Wiederbelebung erfahren Sie hier im #LIVESTREAM https://cducsu.cc/2Rm8O7M",4,6,11
CDU/CSU,@cducsubt,2021-05-05T13:30:00.000Z,"„Wichtig bleibt, ständig Brücken zu bauen, zivilgesellschaftlichen Austausch zu stärken"", mahnt 
@juergenhardt
 beim Transatlantik-Kongress und fordert von D und den USA wieder ""mehr Vertrautheit"". Mehr zum Thema hier im #LIVESTREAM https://cducsu.cc/2Rm8O7M",4,4,6
CDU/CSU,@cducsubt,2021-05-05T13:22:03.000Z,"„Transatlantische Politik ist DNA der Unionsfraktion“, sagt 
@rbrinkhaus
. Die 
@cducsubt
 wolle „Motor für die Basis der Beziehungen zu den USA“ sein. Unser Kongress im #LIVESTREAM hier: https://cducsu.de/livestream",8,7,25
CDU/CSU,@cducsubt,2021-05-05T13:20:00.000Z,".
@juergenhardt
 sieht in der Wirtschaftspartnerschaft mit den USA Vorteile für deutsche Innovationen. ""Müssen alles tun, um Handelsgespräche schnell voranzubringen“, so der Außenexperte. Mehr zum Thema jetzt im #LIVESTREAM https://cducsu.cc/2Rm8O7M",3,4,4
CDU/CSU,@cducsubt,2021-05-05T13:10:00.000Z,"„Wir sind DIE transatlantische Fraktion im #Bundestag"", erklärt Außenpolitiker 
@joWadephul
 auf unserem Transatlantikkongress. ""Wir bekennen uns nicht nur zur Partnerschaft, sondern wir handeln danach.“ Jetzt klicken und LIVE beim Kongress dabei sein! https://cducsu.cc/2Rm8O7M",5,9,25
CDU/CSU,@cducsubt,2021-05-05T12:55:00.000Z,"Wie stellen wir gemeinsam mit den USA die Weichen für Zukunftsthemen? Dieser Frage gehen wir auf dem Transatlantikkongress nach. 
@JoWadephul
 fordert eine enge transatlantische Abstimmung. Den Kongress #LIVE verfolgen: https://cducsu.cc/2Rm8O7M",2,5,11
CDU/CSU,@cducsubt,2021-05-05T12:30:00.000Z,"Jetzt geht's los! Mit dem Amtsantritt von 
@JoeBiden
 bietet sich die Chance, die 
-Partnerschaft neu zu begründen & mit einer zukunftsweisenden Agenda zu unterlegen. Darum geht es beim #Transatlantik-Kongress der 
@cducsubt
. 
Jetzt auf http://cducsu.de/livestream! #JetztZukunft",2,3,10
CDU/CSU,@cducsubt,2021-05-05T07:05:00.000Z,"Mit dem Amtsantritt von 
@POTUS
 @JoeBiden
 bietet sich die Chance, die Partnerschaft mit den USA neu zu begründen & mit einer zukunftsweisenden Agenda zu unterlegen. Darum geht es bei unserem Transatlantik-Kongress. Termin vormerken! Heute ab 14.30 Uhr LIVE https://cducsu.de/livestream",7,6,14
phoenix,@phoenix_de,2021-05-04T13:06:14.000Z,"Diese Woche soll über eine neue #Rechtsverordnung für #Genesene & #Geimpfte im Thema #GrundrechtsEinschränkungen im Deutschen #Bundestag debattiert werden, so Ralph 
@rbrinkhaus
 @cducsubt
. Er ist zuversichtlich, dass der Bundestag darüber am Donnerstag entscheidet. 
@cdu",8,2,4
CDU/CSU,@cducsubt,2021-05-04T12:02:20.000Z,"Mit dem Amtsantritt von 
@POTUS
 @JoeBiden
 bietet sich die Chance, die 
-Partnerschaft neu zu begründen & mit einer zukunftsweisenden Agenda zu unterlegen. Darum geht es beim #Transatlantik-Kongress der 
@cducsubt
. 
Morgen, ab 14.30 Uhr auf http://cducsu.de/livestream! #JetztZukunft",14,14,32
CDU/CSU,@cducsubt,2021-04-25T08:00:00.000Z,"Heute ist der #TagDesBaumes!
 Der #Wald bedeckt 1/3 Deutschlands. Er ist unser wichtigster Verbündeter gegen den #Klimawandel, denn er reduziert #CO2. Die 
@cducsubt
 unterstützt Waldbesitzer, um sie zu mehr Aufforstung zu motivieren. Wie? Das erfahren Sie von Alois #Gerig! ",38,12,34
CDU/CSU,@cducsubt,2021-04-22T15:30:00.000Z,"#Kanzler der #Einheit: Mit seinem Einsatz für #Wiedervereinigung, #Europa, wirtschaftliche #Stabilität, innere #Sicherheit & solide Finanzen prägt Helmut #Kohl #Deutschland bis heute. Eine Stiftung soll jetzt sein politisches Erbe, sein Wirken und seine Erfolge sichtbar machen.",68,28,49
CDU/CSU,@cducsubt,2021-04-22T14:00:01.000Z,"Allein mit den seit November geltenden Beschränkungen lässt sich das #Coronavirus nicht besiegen. Aggressivere Mutanten heizen das Infektionsgeschehen an. Deshalb verschärft Deutschland bundeseinheitlich die Regeln. 
Mehr dazu im Faktencheck: https://cducsu.de/spezial/faktencheck-infektionsschutzgesetz… #IfSG",43,3,4
CDU/CSU,@cducsubt,2021-04-21T15:35:55.000Z,"Die dritte #Corona-Welle rollt. Hochansteckende Virusvarianten nehmen zu. Die Zahl der Neuinfektionen steigt. Eine Überlastung der Kliniken droht. Um die Gesundheit der Menschen zu schützen, greift der Bund ein. 
Mehr dazu in unserem Faktencheck: https://cducsu.de/spezial/faktencheck-infektionsschutzgesetz… #IfSG",312,40,43
CDU/CSU,@cducsubt,2021-04-21T11:00:00.000Z,"Bei einer Inzidenz von über 100 an 3 Tagen in Folge gelten künftig bundeseinheitliche Schutzmaßnahmen. Das sieht die Neuregelung im #Infektionsschutzgesetz vor. Damit haben die Bürgerinnen und Bürger Klarheit, Einheitlichkeit und Sicherheit! 
Mehr hier: https://cducsu.de/spezial/faktencheck-infektionsschutzgesetz…",35,11,14
CDU/CSU,@cducsubt,2021-04-21T14:39:21.000Z,"Der Deutsche Bundestag hat eine bundesweite #Notbremse ab einer Inzidenz von 100 Neuinfektionen je 100.000 Einwohner (über 3 Tage) beschlossen. Es ist „notwendig, dass wir hier und jetzt handeln“, sagte 
@rbrinkhaus
 in der Debatte. #Infektionsschutzgesetz
https://cducsu.de/themen/brinkhaus-leben-und-gesundheit-der-menschen-schuetzen…Ralph Brinkhaus",200,24,44
Ralph Brinkhaus,@rbrinkhaus,2021-04-21T13:43:05.000Z,"#Servicetweet: Die ganze #Debatte zur Änderung des #Infektionsschutzgesetz|es gibt es in der #Mediathek des Deutschen Bundestages.
 https://dbtg.tv/fvid/7516481
 picture alliance/dpa | Michael KappelerDeutscher Bundestag - Mediathek
Live, unkommentiert und in voller Länge: Sämtliche Live-Übertragungen des Parlamentsfernsehens sowie das vollständige Videoangebot seit Beginn der 17. Wahlperiode im Oktober 2009 bietet...
bundestag.de",31,8,18
phoenix,@phoenix_de,2021-04-21T12:15:21.000Z,"""Wenn ich nachts an die #CoronaPandemie denke, denke ich an die Menschen, die krank geworden sind, und die, die sterben"", betont 
@rbrinkhaus
 @cducsubt
. Darum wirbt er für das #InfektionsSchutzGesetz. Das #GrundGesetz stehe auch für das Recht auf #Gesundheit. 
@cdu
  #Bundestag",175,60,80
ZEIT ONLINE,@zeitonline,2021-04-21T11:02:48.000Z,"Im #Bundestag wird über Änderungen im #Infektionsschutzgesetz debattiert. Vertreter der #GroKo verteidigen sie; aus der Opposition kam erbitterte Kritik.Corona-Notbremse: Bundestag beschließt bundesweite Corona-Notbremse
Schließung von Schulen und Geschäften, Ausgangsbeschränkungen in der Nacht: Der Bundestag hat die Neuregelung des Infektionsschutzgesetzes beschlossen.
zeit.de",22,5,12
Tankred Schipanski,@TSchipanski,2021-04-21T09:37:02.000Z,"Ein emotionaler u starker 
@rbrinkhaus
 in der Debatte zum #Infektionsschutzgesetz im #Bundestag. Danke für die gute Erklärung u das Richtigstellen von Falschinformationen. Wir übernehmen #Verantwortung u Handeln zum Schutz der #Gesundheit der Menschen in unserem Land!",21,5,21
Ralph Brinkhaus,@rbrinkhaus,2021-04-21T10:33:49.000Z,Man kann sich über einzelne Maßnahmen streiten. Das ist #Demokratie. Dieses Gesetz muss im Deutschen #Bundestag beschlossen werden und nirgendwo anders. Es ist verfassungsgemäß und ist es zeitlich befristet. Es geht hier um die Gesundheit der Menschen in unserem Land.,134,15,52
Ralph Brinkhaus,@rbrinkhaus,2021-04-14T16:08:22.000Z,"Es ist jedes Mal eine große Freude und Ehre, mich mit 
@RabbiTeichtal
 zum jüdischen Leben in Berlin auszutauschen! Bereits zum dritten Mal in Folge hat er mir heute anlässlich des #Pessachfests Mazzah Schemurah (ungesäuertes Festtagsbrot) überreicht. #Pessach 
@JewishBerlin",16,7,68
CDU/CSU,@cducsubt,2021-04-13T15:15:25.000Z,"Diese Woche das zentrale Thema im Deutschen #Bundestag: die Anpassung des #Infektionsschutzgesetz|es. 
@rbrinkhaus
 und Alexander #Dobrindt zeigen in ihren Statements, worauf es jetzt ankommt: ",122,13,20
Robert Koch-Institut,@rki_de,2021-04-13T06:20:13.000Z,".
 Mal wurde die #CoronaWarnApp bislang heruntergeladen!

Sie wirkt, wenn viele sie nutzen und positive Test-Ergebnisse hochgeladen werden, um andere zu warnen. 
Welche neuen Funktionen demnächst kommen
http://coronawarn.app/de/blog/

Haben Sie die App installiert?Ja
83.6%
Nein
16.4%
9,788 votes
·
Final results",179,211,404
Jürgen Hardt MdB,@juergenhardt,2021-04-13T10:08:49.000Z,"Das ist eine sehr gute Initiative, lieber 
@davidmcallister
 ! In den 
-
Beziehungen steckt viel Potenzial, das noch nicht genutzt wird. Es liegt in unserem strategischen Interesse, diese Beziehungen zu stärken und auszubauen. 
@cducsubt
 @rbrinkhaus
 @CDU
 @CDU_CSU_EPdavidmcallister
@davidmcallister
 · Apr 13
Im @EP_ForeignAff stimmen wir heute über den 
 #Indien Bericht ab. Die EU und Indien wollen ihre strategische Partnerschaft vertiefen. Die Roadmap 2025 bietet dazu eine solide Grundlage. Die weiteren Weichen sollten auf dem EU-Indien Summit am 8. Mai in Porto gestellt werden.",1,3,12
CDU/CSU,@cducsubt,2021-04-13T06:57:23.000Z,"Jetzt vormerken: das #Livestatement vor der #Fraktionssitzung. 
 Heute ab 14:30 Uhr. 
  @rbrinkhaus
 gemeinsam mit Alexander #Dobrindt.
Live auf http://cducsu.de",39,9,26
ARD Morgenmagazin,@ardmoma,2021-04-12T06:20:18.000Z,"#Söder oder #Laschet? Die Frage, wer Unions-#Kanzlerkandidat wird, beschäftigt die beiden Parteien derzeit sehr. Eventuell schon heute soll die Entscheidung fallen. 
@rbrinkhaus
 @cducsubt
 wollte sich noch nicht festlegen.",40,7,9
RND,@RND_de,2021-04-12T07:11:34.000Z,"Das Kanzlerkandidatenduell der Union ist offiziell eröffnet. Nun hat sich Unionsfraktionschef Ralph #Brinkhaus dazu geäußert. #KanzlerkandidaturBrinkhaus zu Söder und Laschet: „Beide haben mein Vertrauen“
Das Kanzlerkandidatenduell der Union ist offiziell eröffnet. Mutmaßlich noch in dieser Woche dürfte sich entscheiden, ob Armin Laschet oder Markus Söder wird. Unionsfraktionschef Ralph Brinkhaus...
rnd.de",13,2,6
SPIEGEL Ticker,@SPIEGEL_alles,2021-04-12T08:10:05.000Z,"Unions-Fraktionschef Ralph Brinkhaus will Entscheidung zwischen Laschet und Söder in dieser WocheKanzlerkandidatur: Unions-Fraktionschef Ralph Brinkhaus will Entscheidung in dieser Woche
Fünf Monate noch bis zur Wahl: Der Unionsfraktionschef mahnt zur Eile bei der Entscheidung, wen die Partei ins Rennen um die Kanzlerschaft schickt. CSU-Chef Söder hatte ein Votum binnen der nächsten...
spiegel.de",9,5,7
Bericht aus Berlin,@ARD_BaB,2021-04-12T09:26:02.000Z,"„Bitte keine Verfahrensverzögerung“ – Unions-Fraktionschef 
@rbrinkhaus
 (CDU) mit einem Appell an die Opposition, sich in der Frage des neuen Infektionsschutzgesetzes zu beeilen.",78,39,49
CDU/CSU,@cducsubt,2021-04-12T08:34:40.000Z,"Mehr Geld zur Abfederung der #Pandemie-Folgen, mehr #Sicherheit für Urlauber und mehr Sammelstellen für #Altgeräte: Auch in dieser Woche diskutiert der #Bundestag wieder ein breites Themenspektrum.

Mehr dazu hier 
https://cducsu.de/themen/abgeordnete-debattieren-ueber-nachtragshaushalt-und-reisesicherungsfonds…",26,8,10
CDU/CSU,@cducsubt,2021-04-12T07:56:52.000Z,"""Bei sehr hohen Inzidenzen (über 100) muss bundeseinheitlich gehandelt werden"", fordert 
@rbrinkhaus
. Der Bund müsse zeigen, dass er eine Gesetzesänderung schnell auf den Weg bringen kann. ""Es geht um wenige Wochen. Die müssen wir überstehen"", so der Fraktionschef im #ZDFmoma.ZDF Morgenmagazin",101,11,28
CDU Nordrhein-Westfalen,@CDUNRW_de,2021-04-04T09:30:00.000Z," Wir wollen ein #Modernisierungsjahrzehnt für unser Land.

Der Vorsitzende der 
@cducsubt
 @rbrinkhaus
 hat hierzu einen Gastbeitrag für unser Mitgliedermagazin verfasst. 

Unser Lektüretipp zum Ostermontag: 
https://cdu-nrw.de/deutschland-modernisieren-jetzt-die-chancen-der-krise-nutzen…",131,23,62
CDU/CSU,@cducsubt,2021-04-04T06:00:00.000Z,"Christen in aller Welt begehen heute & morgen das #Osterfest. Wir feiern die Auferstehung Jesu Christi. Sie schenkt uns große Hoffnung & Vertrauen in die Liebe Gottes. Deshalb gilt, trotz aller Widrigkeiten in Pandemiezeiten: Frohe & gesegnete #Ostern!
https://cducsu.de/presse/texte-und-interviews/mit-kontaktreduzierung-gegen-corona…",44,17,71
CDU/CSU,@cducsubt,2021-04-02T06:00:01.000Z,An #Karfreitag erinnern wir uns an den Leidensweg Christi. Gott hat das Leiden der Menschen zu seinem gemacht. Jesus stirbt für uns.,247,66,199
Paul Ziemiak,@PaulZiemiak,2021-04-01T12:42:58.000Z,"Am #Gründonnerstag gedenken die Christen dem letzten Abendmahl der 12 Apostel und Jesus Christus. Das letzte Abendmahl war nicht nur die letzte Zusammenkunft, bevor Jesus verraten wurde, es hat auch einen bis heute Gemeinschaft stiftenden Charakter. (1/4)",32,14,69
CDU/CSU,@cducsubt,2021-03-31T14:23:09.000Z,"Die #Bundespolizei ist ein Garant der Inneren Sicherheit. Ihren wichtigen Auftrag können die Polizistinnen & Polizisten nur erfolgreich erfüllen, wenn ihr Dienst und ihre Arbeitsmöglichkeiten modern gehalten werden.
 Mehr zu unserem Fachgespräch: https://cducsu.de/themen/innen-recht-sport-und-ehrenamt/ein-bundespolizeigesetz-fuer-das-21-jahrhundert…",27,10,21
Wiebke Winter,@wiebkewinter,2021-03-31T07:35:20.000Z,"Wann kommt die Revolution, 
@rbrinkhaus
? Heute Abend, IG LIVE, 18:30, einschalten! 
 #wegenmorgen",10,7,48
CDU Deutschlands,@CDU,2021-03-30T09:17:02.000Z,"Wir wollen und müssen die Krise nutzen, um als gestärktes, geeintes und erneuertes Land herauszukommen – ein modernes Deutschland. Wir brauchen mehr Vertrauen in die Menschen. In ihre Kraft zu verändern, wenn man sie einfach machen lässt. 
http://zusammenmachen.de",321,76,73
CDU/CSU,@cducsubt,2021-03-30T11:41:45.000Z,"Wann und wo darf die #Bundespolizei eingreifen und Straftaten wie Schleusungen oder Diebstähle verfolgen? Welche Ermittlungsinstrumente darf sie dabei einsetzen? Antworten darauf finden sich im Bundespolizeigesetz.

Mehr zu unserem Fachgespräch: Ein Bundespolizeigesetz für das 21. Jahrhundert
Wann und wo darf die Bundespolizei eingreifen und Straftaten wie Schleusungen oder Diebstähle verfolgen? Welche Ermittlungsinstrumente darf sie dabei einsetzen? Antworten darauf finden sich i...
cducsu.de",7,8,11
tagesthemen,@tagesthemen,2021-03-29T20:48:47.000Z,"In der Diskussion zwischen Bund und Ländern über die Corona-Regeln müsse jeder muss sein Ego zurückstecken, sagte Ralph Brinkhaus (CDU) im Tagesthemen-Interview #tagesthemen.",42,13,45
CDU/CSU,@cducsubt,2021-03-29T18:09:07.000Z,"Heute um 22:15 Uhr 
 Unser Fraktionschef 
@rbrinkhaus
 live zugeschaltet in den 
@tagesthemen
. 
@DasErste
 @Ingo_Zamperoni",31,8,32
CDU/CSU,@cducsubt,2021-03-27T09:00:01.000Z,"Wie kann sexueller Kindesmissbrauch künftig noch besser verhindert werden? Und welche Rolle spielt dabei das aktuell verabschiedete Gesetz? Antworten gibt es im Video: 
Komplettes Facebook-Live mit 
@thorsten_frei
 und 
@JM_Luczak
 hier anschauen: https://cducsu.de/video/facebook-live-was-tun-wir-gegen-sexuellen-kindesmissbrauch…",22,8,24
Ralph Brinkhaus,@rbrinkhaus,2021-03-27T15:20:04.000Z,"#Blutkrebs ist die häufigste Ursache für krebsbedingte Todesfälle bei Kindern. Oft die einzige Heilungschance: eine #Stammzelltransplantation. Bei der 
@DKMS_de
 kann man sich online als potenzieller Spender registrieren und so vielleicht auch der fünfjährigen #FeeliaBlume helfen.",13,49,154
