User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Ruppert,@ruppert_stefan,2020-03-19T10:54:03.000Z,"Wir Freie Demokraten beobachten die zunehmende Radikalisierung der Reichsbürger-Szene seit Jahren mit Sorge und begrüßen die Tatsache, dass sie nun die volle Härte des Rechtsstaates zu spüren bekommt.",1,3,29
JoernPL @ homeoffice,JoernPL @ homeoffice,2020-03-13T09:39:52.000Z,"Vorstellung des gemeinsamen #Gesetzentwurfs der demokratischen Oppositionsparteien zur Ablösung der #Staatsleistungen in der #Bundespressekonferenz - mit 
@Ruppert_Stefan
 @Ch_Buchholz
 & 
@KonstantinNotz
 #Kirchen #Religionspolitik",1,2,11
Stefan Ruppert,@ruppert_stefan,2020-03-13T11:32:14.000Z,"Mit unserem heute vorgestellten Entwurf eines Grundsätzegesetzes geben wir den Ländern einen
Werkzeugkasten an die Hand, der den 100-jährigen Verfassungsauftrag erfüllt und Freiraum für Verhandlungen und individuelle Gesetze zur 
Ablösung der Staatsleistungen lässt.",3,3,27
Fraktion der Freien Demokraten,@fdpbt,2020-02-13T13:33:19.000Z,"""Wir haben uns in #Thüringen binnen 24 Std. unserer Verantwortung gestellt und Konsequenzen gezogen. Wer die FDP jetzt aber einfach in einen Topf mit der #AFD wirft, der verharmlost die wahren Feinde unserer Verfassung und spaltet das Land!"": 
@c_lindner
 im #Bundestag",243,117,511
Deutschlandfunk,@DLF,2020-01-31T07:34:31.000Z,"Stefan Ruppert (FDP) fordert: „Wir müssen beweisen, dass wir auch in eigenen Angelegenheiten sparen können und selbst reduzieren“. Deswegen frustriere es ihn, dass 
@cducsubt
 und 
@spdde
 hofften, das Gewitter ziehe vorüber und nichts passiere.",,2,7
Stefan Ruppert,@ruppert_stefan,2020-01-30T08:30:40.000Z,"Das Aus für die IAA ist ein fatales Signal für Frankfurt und das gesamte Rhein-Main-Gebiet. Oberbürgermeister Peter Feldmann trägt gemeinsam mit der Landesregierung die Verantwortung an dieser Entwicklung.FDP-Chef fordert nach IAA-Aus Rücktritt von Frankfurts OB - WELT
welt.de",2,12,47
Stefan Ruppert,@ruppert_stefan,2019-11-21T12:27:22.000Z,"Es ist wichtig, eine Ausbildung von Imamen in Deutschland zu etablieren. #Islamkolleg ist ein guter erster Schritt. Unabhängigkeit von #Imamen von anderen Staaten wie #Türkei wäre auch wichtiger Beitrag für Integration.Osnabrücker Professoren bereiten Imam-Ausbildung vor
Erstmals könnten in Deutschland Imame in Kooperation mit einer Uni ausgebildet werden. Für Berlin bedeutet das Osnabrücker Projekt aber auch einen Verlust.
tagesspiegel.de",,4,9
Stefan Ruppert,@ruppert_stefan,2019-11-20T17:21:40.000Z,"Die Äußerung #Hallams ist unerträglich und absolut inakzeptabel. Sie bestätigt den Eindruck, dass die #ExtinctionRebellion Bewegung die Werte unseres Gemeinwesens fundamental anzugreifen versucht.",,5,29
Fraktion der Freien Demokraten,@fdpbt,2019-11-14T21:18:15.000Z,"""Ein gutes Wahlrecht muss für alle fair sein. Wir sind mit 
@GrueneBundestag
 und 
@Linksfraktion
 bisher die Einzigen, die konkrete Vorschläge zur #Wahlrechtsreform vorgelegt haben!"", sagt 
@ruppert_stefan",2,10,54
Stefan Ruppert,@ruppert_stefan,2019-11-07T14:15:34.000Z,"Es war überfällig, dass sich die #Union mit der Reform des  politischen Systems befasst. U. a. muss dringend das Parlament verkleinert werden. Eine faire Lösung ist bislang jedoch an der Blockade der Union gescheitert, die nicht mal einen Gesetzentwurf vorgelegt hat. #AltmaierFraktion der Freien Demokraten
@fdpbt
 · Nov 7, 2019
Jetzt #LIVE: @ruppert_stefan zu den Forderungen von @peteraltmaier, u.A. zur #Wahlrechtsreform. https://pscp.tv/w/cJQWJjFQbUVxZ3BQYllrS298MXluSk93V095bE9KUkQwt2tG-uOtPoN-LR84IwthFbonsIl_PmoTxsIaHnhT…",,3,16
Stefan Ruppert,@ruppert_stefan,2019-11-06T14:40:42.000Z,"Das Grölen judenfeindlicher Lieder darf nicht als ""Dumme-Jungen-Streich"" abgetan werden - erst recht nicht in Zeiten wachsenden #Antisemitismus. Daher unterstützen wir die Forderung nach einer generellen #Meldepflicht für solche Vorfälle an Schulen. 
https://fdpbt.de/pressemitteilung/114511…",2,2,25
Stefan Ruppert,@ruppert_stefan,2019-10-18T11:01:36.000Z,"Der deutsche Bundestag muss kleiner werden. Dabei muss gelten keine Fraktion darf einen Vorteil erhalten, jede Stimme muss gleich viel wert bleiben. Die Union muss ihre Blockade zur Verkleinerung des Bundestages aufgeben, sie verspielt sonst die Glaubwürdigkeit aller Demokraten.Fraktion der Freien Demokraten
@fdpbt
 · Oct 17, 2019
""Ihre Blockadehaltung bei der #Wahlrechtsreform gefährdet das Vertrauen in die parlamentarische Demokrate! Wir müssen den #Bundestag dringend kleiner machen, damit er arbeitsfähig bleibt!"": @ruppert_stefan nimmt @cducsubt in Mangel",5,9,59
Fraktion der Freien Demokraten,@fdpbt,2019-10-15T08:01:04.000Z,"Alle Welt redet von #Digitalisierung, wir packen sie an. In unserer Themenwoche #SmartGermany bringen wir 25 Anträge dazu ein. Denn für uns ist klar: Schnelles #Internet dürfen wir nicht nur aus dem Urlaub kennen. Alle Infos & Anträge gibt es hier: https://fdpbt.de/smartgermanyFrank Sitta and 9 others",9,42,146
Stefan Ruppert,@ruppert_stefan,2019-10-11T10:51:34.000Z,"Unser Gesetzentwurf zum #Wahlrecht ist eine Einladung an alle Parteien, sich anzuschließen oder konstruktive eigene Vorschläge zu machen. Es können aber nur Vorschläge Erfolg haben, die keine Partei einseitig bevorzugen. Unser Ziel ist es, eine Vergrößerung des #BT zu verhindern.",3,9,53
Stefan Ruppert,@ruppert_stefan,2019-09-24T14:58:26.000Z,"Ich bedanke mich herzlich für das Vertrauen und freue mich sehr auf die Zusammenarbeit in den kommenden beiden Jahren. Allen ebenfalls in den Vorstand gewählten Kolleginnen und Kollegen gratuliere ich zu ihrer Wiederwahl!Fraktion der Freien Demokraten
@fdpbt
 · Sep 24, 2019
Ebenfalls im Amt bestätigt wurden soeben als Parlamentarische Geschäftsführer @MarcoBuschmann, @ruppert_stefan und @florian_toncar ! ",3,2,40
Fraktion der Freien Demokraten,@fdpbt,2019-09-23T10:02:52.000Z,"21 #Gesetzentwürfe, 1395 Kleine Anfragen, 43 Veranstaltungen, 270 #Anträge: Unsere #Halbzeitbilanz19 der Legislatur. Doch das war #ErstDerAnfang. Wir begleiten die #GroKo weiter als Service-Opposition. Alle Infos zur #Halbzeitbilanz gibt es hier: https://fdpbt.de/halbzeitbilanz19…Christian Lindner and 9 others",12,46,123
Fraktion der Freien Demokraten,@fdpbt,2019-09-13T12:18:29.000Z,"Wir reden nicht nur von guter #Bildung und #Ausbildung, sondern wir machen sie: Soeben haben wir das 
@DAPR_Tweets
-Siegel für empfehlenswerte Ausbildungsprogramme in #PR und #Kommunikation erhalten!  Wir freuen uns, unseren Volos & Trainees viel mit auf den Weg geben zu können.",1,7,24
Stefan Ruppert,@ruppert_stefan,2019-09-12T09:47:35.000Z,"#Haushaltsberatungen im #Bundestag: Minister Seehofer scheint schon im Vorruhestand zu sein. Während er zu Beginn seiner Amtszeit die #GroKo regelmäßig an den Rand des Abgrunds brachte, ist es ruhig geworden. Zu ruhig, da viele wichtige Projekte aktuell leider liegen bleiben...",1,2,10
Frankfurter Allgemeine,@faznet,2019-09-06T20:13:00.000Z,"Wer sich der Parteien- und Fraktionsfinanzierung ungerechtfertigt bedient, gefährdet unsere Ordnung in gleichem Maße wie die, die sie von rechts und links außen angreifen, schreibt Stefan Ruppert in seinem Gastbeitrag:Parteienfinanzierung: Wie Wahlergebnisse nivelliert werden
Die deutsche Parteien- und Fraktionsfinanzierung lebt von der klugen Selbstbeschränkung. Wer sich aber ungerechtfertigt bedient, gefährdet unsere Ordnung in gleichem Maße wie die, die sie von rechts...
faz.net",1,6,23
Stefan Ruppert,@ruppert_stefan,2019-06-07T12:14:19.000Z,"„Was für ein #Vertrauen“ ist das Motto für den #Kirchentag in Dortmund vom 19. bis 23. Juni. Unsere Mitbewerber sprechen vom Vertrauen in den Staat, wir Christen leben vom Vertrauen Gottes. Als Freidemokrat werbe ich für das Vertrauen in alle Menschen.",,2,12
Stefan Ruppert,@ruppert_stefan,2019-06-05T10:42:20.000Z,"#GroKo: Tiefes Misstrauen aller gegen alle, Häme, wechselseitige Blockade und Stillstand. Obwohl ich in der Opposition bin, bedrückt mich das in der Sitzungswoche als Demokrat schon ein wenig.",,,5
Stefan Ruppert,@ruppert_stefan,2019-05-24T10:21:29.000Z,"Genau wie der #Bundestag ist auch der hess. #Landtag zu groß und zu teuer geworden. Wir haben heute ein Eckpunktepapier zur Neuordnung des Wahlrechts in Hessen vorgestellt. Dieses sieht vor, die Anzahl der Wahlkreis in Hessen 55 auf 45 zu senken. #hlt
https://fdp-fraktion-hessen.de/wp-content/uploads/2019/05/156-Anlage-PK-Eckpunktepapier_.pdf…",,1,6
Stefan Ruppert,@ruppert_stefan,2019-05-23T13:15:40.000Z,"Heute vor 70 Jahren wurde das #Grundgesetz verkündet. Besonders am Herzen liegt mir Artikel 4.  Angesichts des globalen Trends, #Religionsfreiheit zunehmend einzuschränken, sind wir alle gefragt, noch stärker für diese zu kämpfen. Freiheit wird nicht von der Tribüne verteidigt!Linda Teuteberg and Marco Buschmann",,1,11
Fraktion der Freien Demokraten,@fdpbt,2019-05-16T07:39:09.000Z,"""Das #Grundgesetz ist heute aktueller denn je. Es stellt den einzelnen Menschen und seine Würde in den Mittelpunkt."" 
@c_lindner
 zu #70JahreGG im #bundestag",10,12,81
Stefan Ruppert,@ruppert_stefan,2019-05-13T11:24:43.000Z,"Eine #Moscheesteuer wäre sinnvoll, da sie muslimische Gemeinden unabhängiger von ausländischen Geldgebern machen könnte. Das Grundgesetz bietet dafür die Voraussetzungen. Daher liegt es nun an den Moscheegemeinden, entsprechende Strukturen zu schaffen.Kommt die Moscheesteuer? - WELT
Neue Abgabe soll den ausländischen Einfluss auf islamische Gemeinden verringern
welt.de",1,,2
Stefan Ruppert,@ruppert_stefan,2019-05-09T13:34:56.000Z,"Meldepflicht bei #Missbrauch ist zwar wichtige Maßnahme, aber  entscheidend ist ihre konkrete Umsetzung. #Kirche muss nun konsequent mit Strafverfolgungsbehörden kooperieren und Missbrauchsfälle müssen auch bei staatlichen Stellen gemeldet werden #Papst #meldepflicht",2,3,12
Stefan Ruppert,@ruppert_stefan,2019-04-03T15:28:15.000Z,"Verhalten von 
@cducsubt
 beim #Wahlrecht macht mich fassungslos und sauer: Rund 1,5 Jahre haben alle Fraktionen verhandelt, um zu einem guten Ergebnis zu gelangen. Am Ende scheitert pragmatische Lösung zur Verkleinerung des Bundestags an rein machtpolitischen Motiven der Union",6,25,111
Fraktion der Freien Demokraten,@fdpbt,2019-04-03T13:00:22.000Z,"Jetzt #LIVE: 
@ruppert_stefan
 mit 
@FStraetmans
 & 
@BriHasselmann
 zum Abschluss der Beratungen über eine #Wahlrechtsreform.45:32
868 viewers
Fraktion der Freien Demokraten
@fdpbt
Jetzt #LIVE: @ruppert_stefan mit @FStraetmans & @BriHasselmann zum Abschluss der Beratungen über eine #Wahlrechtsreform.
pscp.tv",,6,16
Stefan Ruppert,@ruppert_stefan,2019-03-19T15:54:46.000Z,"Die hessische FDP hat 
@starkwatzinger
 viel zu verdanken! Auch in der 
@fdpbt
 hat sie sich in kürzester Zeit ein hervorragendes Ansehen erworben. Ich freue mich auf weitere Zusammenarbeit mit ihr und Moritz Promny als neuem Generalsekretär der 
@FDPHessen
.Hessen: Abgeordneter Promny kandidiert als FDP-Generalsekretär
Hessen
n-tv.de",,,18
Stefan Ruppert,@ruppert_stefan,2019-03-19T14:09:27.000Z,"Persönlich bedauere ich die Entscheidung von @tsghessen sehr. Ich habe ihn als sehr integren und zuverlässigen Kollegen geschätzt. Mit ihm verliert die hess. Politik eine ihrer profiliertesten Persönlichkeiten. Für seinen weiteren Weg wünsche ich im Namen 
@FDPHessen
 alles Gute!",,2,33
Stefan Ruppert,@ruppert_stefan,2019-03-11T12:52:38.000Z,"In einem weltanschaulich neutralen Staat muss die #Kirche für ihre eigene  Finanzierung sorgen und nicht ein Steuerzahler, der nicht in der Kirche ist. Eine Ablösung schafft eine Unabhängigkeit der Kirchen gegenüber dem Staat und macht beide glaubwürdiger:Staatsleistungen an die Kirche - ""Falsch verstandene Freundlichkeit...
Auch wer nicht Mitglied ist, finanziert die Kirchen: über Staatsleistungen aus Steuermitteln. Der FDP-Politiker Stefan Ruppert will diese Zahlungen beenden - so, wie es das Grundgesetz vorsehe. Beim
deutschlandfunk.de",4,12,68
