User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Johannes Vogel,@johannesvogel,2021-05-14T19:00:09.000Z,"Ich freue mich sehr, dass 
@GydeJ
, 
@MarenJasper
, 
@DanielaKluckert
 und 
@sandra_weeser
 heute erstmalig in den Bundesvorstand gewählt wurden und unser Team verstärken!  #bpt21",3,4,140
Sandra Weeser,@sandra_weeser,2021-05-14T18:34:51.000Z,"Soeben wurde ich zum ersten Mal in den Bundesvorstand der 
@FDP
 gewählt. Ich bedanke mich herzlich bei allen Unterstützerinnen und Unterstützer! Das Team der #FDP ist der Star! #bpt21 #vielzutun",22,5,184
Sandra Weeser,@sandra_weeser,2021-05-14T18:02:14.000Z,"Auch wir als Digitalpartei sind noch nicht unfehlbar. Aber Improvisation ist King!  #bpt21 #vielzutun #fdpFrank Müller-Rosentritt, MdB and FDP",18,6,110
Sandra Weeser,@sandra_weeser,2021-05-14T14:25:11.000Z,93% für Christian #Lindner! Nochmal 6% mehr als vor 2 Jahren. Absolut verdient! #bpt21 #FDP,,,15
Sandra Weeser,@sandra_weeser,2021-05-14T11:53:26.000Z,"Legende! #bpt21 #vielzutun 
@fdp",1,,14
Sandra Weeser,@sandra_weeser,2021-05-14T11:31:38.000Z,"""Wir sind der Anwalt für Freiheit, Vernunft und Fortschritt."" - 
@c_lindner
 beschreibt die Rolle der #FDP. Treffend! #bpt21 #vielzutun",,,14
Sandra Weeser,@sandra_weeser,2021-05-14T11:30:22.000Z,"Was für eine Rede von 
@c_lindner
!  Wenn ich noch keine Freie Demokratin wäre, ich würde jetzt eintreten. #bpt21 #vielzutun #FDP",3,1,96
Sandra Weeser,@sandra_weeser,2021-05-14T11:14:04.000Z,"Unser Chef 
@c_lindner
 rechnet dieses Jahr noch mit dem Eintritt des 70.000 Freien Demokraten.  #fdp #bpt21 #vielzutun",,1,23
Sandra Weeser,@sandra_weeser,2021-05-14T10:54:02.000Z,"""Viele Jugendliche haben mehr verloren als nur ein Jahr."" - 
@c_lindner
 erklärt, warum die Bildung das (!) Mondfahrprojekt ist! #vielzutun #bpt21 #fdp",,4,38
Sandra Weeser,@sandra_weeser,2021-05-14T10:44:54.000Z,"Unser Wahlziel: 

""Wir wollen so stark werden, dass Schwarz-Grün und Grün-Rot-Rot unmöglich werden. Wir wollen Deutschland aus der Mitte heraus regieren!"" - 
@c_lindner
 #bpt21 #vielzutun #fdp",6,10,91
Sandra Weeser,@sandra_weeser,2021-05-14T10:42:47.000Z,"""Ich habe Fragen an die #Grünen:
Wie ist das Verhältnis der Grünen zum privaten Eigentum? Wie will eine Partei #Deutschland einen, wo manche das Wort Deutschland streichen wollen? Würde Frau #Baerbock sich auch von den Linken ins Kanzleramt wählen lassen?"" 
@c_lindner
 #bpt21",2,,2
Sandra Weeser,@sandra_weeser,2021-05-14T10:37:31.000Z,"""Es wäre klug, 
@ArminLaschet
 nicht mit den #Grünen alleine zu lassen. Am Ende fusionieren die noch."" - 
@c_lindner
 #bpt21 #vielzutun",,,20
Sandra Weeser,@sandra_weeser,2021-05-14T10:32:47.000Z,"""Ein einfaches -weiter so- ist die größte Gefahr für unsere Zukunft."" - sehr richtig, lieber 
@c_lindner
! #vielzutun #bpt21",1,2,30
Sandra Weeser,@sandra_weeser,2021-05-14T10:24:05.000Z,"""Unser Platz ist an der Seite Israels."" - 
@c_lindner
 gerade zur Eröffnung seiner Rede beim #bpt21. Danke für das klare Statement! #Israel",,1,7
Sandra Weeser,@sandra_weeser,2021-05-14T09:05:09.000Z,"Der 
@fdp
-Parteitag beginnt! Und ich möchte für den Bundesvorstand als Beisitzerin kandidieren. #vielzutun

Warum?",1,,5
Sandra Weeser,@sandra_weeser,2021-05-13T16:02:57.000Z,"Morgen beginnt der 
@fdp
-Parteitag unter dem Motto: #niegabesmehrzutun. 

Wir müssen jetzt die Weichen stellen, damit #Deutschland erfolgreich die '20er Jahre besteht. 

Deshalb habe ich mich entschlossen, als Beisitzerin für den Bundesvorstand der 
@fdp
 zu kandidieren.",5,2,53
Sandra Weeser,@sandra_weeser,2021-05-13T10:24:20.000Z,"""Scheiß #Juden!"" schallte es durch #Gelsenkirchen. Mir wird schlecht, wenn ich so etwas lese und höre. Kein Mensch jüdischen Glaubens sollte sich in #Deutschland unsicher fühlen! Das darf unser Staat und dürfen wir als Bürger niemals dulden. #Israel #Antisemitismus",2,6,56
Sandra Weeser,@sandra_weeser,2021-05-12T10:08:19.000Z,"Die Sicherheit Israels ist und bleibt unerschütterliche deutsche Staatsräson. Ich verurteile die Raketenangriffe der #Hamas auf das schärfste. Wer hier die Angreifer als Opfer und die Verteidiger als Täter darstellt, ist im Unrecht. #Israel #IsraelUnderAttack",4,1,19
Sandra Weeser,@sandra_weeser,2021-05-11T17:36:15.000Z,"Ich bedanke mich für die Wiederwahl zur stellvertretenden Landesvorsitzenden der 
@fdprlp
!FDP Rheinland-Pfalz",2,,53
Bijan Djir-Sarai,@DjirSarai,2021-05-11T09:49:31.000Z,"Wer bei mindestens 200 abgefeuerten Raketen auf #Israel beide Seiten zur Mäßigung aufruft, verkennt die Verantwortung der #Hamas für die Eskalation. Israel hat das Recht und die Pflicht, seine eigene Bevölkerung vor derartigen Angriffen zu schützen.",148,366,2.5K
Sandra Weeser,@sandra_weeser,2021-05-10T15:17:17.000Z,"Hausärzte auf Twitter (
@drluebbers
, 
@rorndoeschen
) und aus meinem Wahlkreis berichten: das Impfen ist zu kompliziert! Die Praxisteams ersticken in Bürokratie und Telefonaten. Die Priosierung sollte den Hausärzten überlassen werden, damit flexibler geimpft werden kann.",,2,12
Sandra Weeser,@sandra_weeser,2021-05-10T09:17:49.000Z,"""In der #FDP zählt nicht, woher man kommt oder wie alt man ist, sondern wohin man will und was man kann.""

Liberalismus in einem Satz.

Schönes Interview, lieber 
@johannesvogel
! Meine Unterstützung für deine Kandidatur hast du! Johannes Vogel (FDP): „Wenn Wähler wüssten, wie links die Grünen sind“ - WELT
Der Sozialpolitiker Johannes Vogel will FDP-Vize werden. Im Gespräch zieht er drei zentrale Lehren aus der Corona-Krise. Den Grünen zollt er Respekt – wirft ihnen aber Realitätsverweigerung vor....
welt.de",5,15,141
Sandra Weeser,@sandra_weeser,2021-05-09T16:16:31.000Z,Heute einfach mal den #Muttertag im Kreise der Familie genossen. Traumhaft!,,,27
Marco Buschmann,@MarcoBuschmann,2021-05-09T06:56:31.000Z,"Und wieder ein Punkt mehr für die 
@fdp
 bei Kantar (früher Emnid). Jetzt klar vor #noafd. Schwarz und Grün verlieren jeweils leicht. Die 
@fdpbt
 macht weiter mit:
Freiheit&Rechtsstaat
Wirtschaftlichen Wiederaufstieg stärken
Staat modernisieren aka digitalisierenWahlrecht.de
@Wahlrecht_de
 · May 8
Sonntagsfrage zur Bundestagswahl • Kantar/BamS: GRÜNE 26 % | CDU/CSU 23 % | SPD 16 % | FDP 12 % | AfD 10 % | DIE LINKE 7 % | Sonstige 6 %
➤ Übersicht: https://wahlrecht.de/umfragen/
➤ Verlauf: https://wahlrecht.de/umfragen/emnid.htm… #btw21",44,36,461
Sandra Weeser,@sandra_weeser,2021-05-08T13:41:55.000Z,"Am #8mai 1945 endete die schlimmste, traurigste und verbrecherischste Periode in der Geschichte unseres Landes.

Der heutige Tag lässt uns die Vergangenheit nicht vergessen und zeigt uns, dass #Freiheit und #Demokratie nicht selbstverständlich sind! #TagderBefreiung",1,1,13
Sandra Weeser,@sandra_weeser,2021-05-08T09:58:45.000Z,"""Wir wollen Verantwortung in Deutschland übernehmen."" - 
@Wissing",,1,19
Sandra Weeser,@sandra_weeser,2021-05-08T09:47:16.000Z,"""Wenn #Deutschland einen Wirtschaftsminister hat, der noch nicht mal ""Ja"" von ""Nein""-Stimmen unterscheiden kann und dann mit der 
@dieLinke
 stimmt, wird es endgültig Zeit für eine neue Bundesregierung."" - 
@Wissing
 wird auf dem #lpt75 der 
@fdprlp
 deutlich.

Gut so!",,2,27
Bettina Stark-Watzinger,@starkwatzinger,2021-05-06T13:09:45.000Z,"Wer ein Land regieren möchte, muss auch dessen Namen aussprechen können. Andernfalls sollten 
@Die_Gruenen
 ihre Ambitionen noch einmal überdenken. #btw2021Grüne wollen „Deutschland“ aus ihrem Wahlprogramm streichen
Die Grünen wollen ans Wahlprogramm ran, um ein Wort zu streichen: Deutschland! Unter den Unterzeichnern sind auch Bundestagskandidaten.
bild.de",15,31,245
Daniel Cremer,@DanielC_BILDde,2021-05-06T11:09:44.000Z,"Robert #Habeck sagte vor kurzem: „Nichts wollte ich mehr, als diesem Land als Kanzler zu dienen.“ 300 andere Grüne wollen das Wort Deutschland jetzt aus dem Wahlprogramm streichen. Ich halte das für falsch.Grüne wollen „Deutschland“ aus ihrem Wahlprogramm streichen
Die Grünen wollen ans Wahlprogramm ran, um ein Wort zu streichen: Deutschland! Unter den Unterzeichnern sind auch Bundestagskandidaten.
bild.de",20,26,129
Sandra Weeser,@sandra_weeser,2021-05-05T21:49:35.000Z,"NEJM
@NEJM
 · May 5
As of March 31, 2021, more than 265,000 people in Qatar had received both doses of the BNT162b2 vaccine. Vaccine effectiveness was 89.5% against the B.1.1.7 variant and 75.0% against the B.1.351 variant. Effectiveness against severe, critical, or fatal disease was 97.4%. #COVID19",,,
Forum für Zukunftsenergien e.V.,@FfZeV,2021-05-05T15:35:05.000Z,"AK #Zukunftsenergien 
@FfZeV
 zum Thema „Intelligentes #Management von #Last- und #Einspeisespitzen“. Dank u.a. an 
@johannesbwagner
 @ewi_koeln
, 
@_Chr_Mueller
 @NetzeBW
, 
@MarkusRosenthal
 @BVESeV
, Heins 
@Evonik_DE
, 
@Johann_Saathoff
, 
@sandra_weeser
, Lenkert MdB und 
@Ingrid_Nestle
!",1,5,11
Sandra Weeser,@sandra_weeser,2021-05-05T12:43:06.000Z,"3/3

Und was steuert die #AfD zu den Debatten bei?

""Impfungen sind skandalöse Menschenversuche."" ",,,5
Sandra Weeser,@sandra_weeser,2021-05-05T12:43:05.000Z,"1/3

Im Ausschuss für Wirtschaft und Energie heute:

#CDU, #CSU und #SPD blockieren das normale Verfahren und eine Abstimmung über den von der 
@fdpbt
 eingebrachten Gesetzentwurf zur Ratifizierung von #CETA, obwohl diese Ratifizierung im Koalitionsvertrag vereinbart ist.",2,1,22
Sandra Weeser,@sandra_weeser,2021-05-04T16:47:54.000Z,"„Mehr“ #Klimaschutz ist bei einem funktionierenden Emissionshandel nicht vonnöten. Ein #CO2Preis für alle Sektoren, behutsame Förderung neuer Technologien – für den besten „Drive“ sorgt der Markt ansonsten von selbst.""

Treffender Kommentar! 

https://faz.net/-iu4-abb6d?GEPC=s3… via 
@faznetTeurer Strom: Die Widersprüche der Energiewende
Der Strompreis für Haushalte hat sich in den vergangenen 20 Jahren mehr als verdoppelt. Deutschland braucht nicht mehr Klimaschutz – sondern besseren.
faz.net",,1,8
Sandra Weeser,@sandra_weeser,2021-05-04T14:45:19.000Z,"Ich bin überzeugt: #Söder geht es nicht um eine kohärente #Corona-Politik. Ihm geht es nur darum irgendwie ""vor dem Bund"" zu sein. Anders kann ich mir die sprunghaften Wechsel von ""Team Vorsicht"" zu ""Team #Lockerungen"" nicht erklären.

Manche sagen ""Taktik"". Ich sage Populismus.",33,15,353
Lukas Köhler,@koehler_fdp,2021-05-04T10:19:19.000Z,"Die 
@fdp
 hat das härteste #Klimaschutz-Konzept - denn mit dem sinkenden CO2-Limit im #Emissionshandel werden die Klimaziele garantiert erreicht. Warum dabei der #CO2Preis steigt, aber das Preis-Leistungs-Verhältnis sehr viel besser ist als bei einer CO2-Steuer, erfahrt ihr hier:",51,132,426
Sandra Weeser,@sandra_weeser,2021-05-03T06:53:13.000Z,Richtig so!Volker Wissing,2,3,54
Sandra Weeser,@sandra_weeser,2021-05-02T16:33:12.000Z,"""Ganz #Berlin hasst die #Polizei"" schallte es gestern durch die Hauptstadt.

Liebe 
@polizeiberlin
, dass ist nur eine laute Minderheitenmeinung! Die überwältigende Mehrheit ist euch dankbar für eure Arbeit. Ich hoffe, dass die verletzten Beamten schnell wieder fit werden. #b0105",2,4,70
Sandra Weeser,@sandra_weeser,2021-05-02T11:05:00.000Z,"Das #ZDF löscht einen Tweet missverständlichen Tweet, der linksradikale Gewalt rechtfertigt. Die Grundhaltung mancher scheint zu sein:

Vermieter = böse

Dieser Blick ist völlig undifferenziert und treibt einen Keil in unsere Gesellschaft. Ich bin froh, über jeden Vermieter!",1,3,23
Sandra Weeser,@sandra_weeser,2021-04-29T19:31:52.000Z,"Überzeugungstäter Dr. Georg Kofler
@georg_kofler
 · Apr 29
Komische Überschrift: ich spende doch nicht aus Angst, sondern aus Überzeugung! Lest das Wahlprogramm der FDP. Eine intellektuelle Freude für alle, denen Freiheit, Marktwirtschaft, Unternehmertum, Eigenverantwortung und Leistungsbereitschaft am Herzen liegen! #FDP @c_lindner",,3,23
Sandra Weeser,@sandra_weeser,2021-04-29T12:24:29.000Z,"Die deutschen Arbeitnehmer zahlen die höchsten Steuern und Abgaben innerhalb führender Industrienationen. Trotzdem will #R2G die Steuern erhöhen. Unverständlich! Der Staat muss irgendwann mal lernen mit den Einnahmen, die da sind, auszukommen. Fertig.Die höchsten Steuern und Abgaben: Deutschland ist Weltmeister
In keinem anderen Land müssen Arbeitnehmer so hohe Steuern und Abgaben zahlen wie in der Bundesrepublik. Und anders als oft behauptet werden auch Familien kräftig zur Kasse gebeten.  
app.handelsblatt.com",1,3,14
Lukas Köhler,@koehler_fdp,2021-04-29T10:08:31.000Z,"#Bundesverfassungsgericht verlangt, was 
@fdpbt
 immer fordert: Gleichmäßig & verlässlich bis zur #Klimaneutralität 2050 sinkendes CO2-Limit sowie international ausgerichtetes Handeln beim #Klimaschutz. Klarer Auftrag für die nächste Regierung! #Emissionshandel #Klimaschutzgesetz",29,88,348
Sandra Weeser,@sandra_weeser,2021-04-29T09:40:49.000Z,"Urteil des #BVerfG ist spektakulär. Freue mich, dass die Belastungen für kommende Generationen explizit als Begründung genannt werden. Das ist richtungsweisend für den #Klimaschutz. Wir müssen global denken, das Problem wird nicht durch Verlagerung aus #Deutschland gelöst.",3,,16
Sandra Weeser,@sandra_weeser,2021-04-28T18:46:34.000Z,"this Alexander Neubacher
@Alex_Neubacher
 · Apr 28
Wer Grundrechte „Privilegien“ nennt, offenbart seinen Untertanengeist.",4,2,26
Sandra Weeser,@sandra_weeser,2021-04-27T15:00:12.000Z,"Laut Recherchen des 
@ndr
 wurden in Hamburg >40.000 Dosen #Impfstoff weggeworfen. Produktionsfehler? Impfreaktion?

Nein.

Es fehlt schlicht die Erlaubnis, Reste verimpfen zu dürfen.

Über ein Jahr #Corona und uns fehlt immer noch Pragmatismus im Kampf gegen die Pandemie. 
@ZEIT_HH",3,1,24
Sandra Weeser,@sandra_weeser,2021-04-27T13:09:56.000Z,"Alle Abgeordnete der 
@fdpbt
 machen mit. Wir legen Verfassungsbeschwerde in #Karlsruhe ein. Wir halten das neue #Infektionsschutzgesetz für verfassungswidrig - vor allem die #Ausgangssperren sind ein unverhältnismäßig scharfes Instrument. #FDP",1,2,31
Sandra Weeser,@sandra_weeser,2021-04-26T12:13:52.000Z,"Jede Kritik an #Baerbock und anderen Frauen in der Politik, die sich nicht auf politische Inhalte bezieht, lehne ich kategorisch ab. Die Inhalte der #Gruenen bieten genug Angriffsfläche. Können wir jetzt bitte darüber diskutieren?",51,34,591
Gyde Jensen,@GydeJ,2021-04-26T11:03:54.000Z,"Tja, wo fange ich am besten an...Benedikt Brechtken
@ben_brechtken
 · Apr 26
Man kann eine gute Mutter für kleine Kinder sein oder eine gute Bundeskanzlerin. Beides zusammen ist zeitlich unmöglich.",44,39,1K
Nikolaus Blome,@NikolausBlome,2021-04-25T20:40:56.000Z,"Nach einer Stunde 
@annewill
 plötzlich Klartext. Aber nicht von 
@ABaerbock
 sondern von Frau Leutheusser-Schnarrenberger: Wer geimpft ist, muss alle Freiheitsrechte sofort zurückerhalten. Alles andere ist verfassungswidrig.",349,185,1.5K
Michael Bröcker,@MichaelBroecker,2021-04-25T20:13:04.000Z,"Habe das Gefühl dass seit Tagen nur von Journalistinnen thematisiert wird, dass 
@ABaerbock
 eine Frau ist...und gefragt wird, ob sie es kann. Reden wir mal über Programme jetzt bitte?",76,85,1.2K
Sandra Weeser,@sandra_weeser,2021-04-24T08:48:16.000Z,"Viel Erfolg, liebe Ria! Ria Schröder
@ria_schroeder
 · Apr 23
Morgen gilt's: Ich bewerbe mich als Spitzenkandidatin der @fdphh für die Bundestagswahl. Raus aus dem Krisenmodus, Zeit für einen Mutausbruch!
Ich möchte für Bildungs- und Aufstiegschancen kämpfen und Hamburg eine starke Stimme geben. Unterstütze mich dabei mit deiner Stimme!
0:56
4K views",,1,19
Sandra Weeser,@sandra_weeser,2021-04-23T17:12:18.000Z,"Ob man die Kritik der 53 Künstler teilt, ist zweitrangig. Primär geht es darum, ihnen zuzuhören und ihre Meinungen zu respektieren. Mich hat auch die ein oder andere Aussage irritiert. Aber das ist kein Grund für Hass, Hetze und Morddrohungen! #allesdichtmachen",11,18,169
Sandra Weeser,@sandra_weeser,2021-04-23T06:47:57.000Z,"Die Zustimmung für die #AfD in Sachsen-Anhalt ist erschreckend! 

Aber: die 
@FDP_LSA
 kann den Wiedereinzug in den Landtag packen! Die #FDP ist Mutmacher-Partei und wir setzen uns ein, dass Sachsen-Anhalt nach vorne kommt.

Weiter kämpfen, liebe 
@LydiaHueskens
! FDP Sachsen-Anhalt and FDP",2,,17
