User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kristin Becker,@kbecker,2021-05-14T16:25:15.000Z,"Das Präsidium (=Führungsspitze) der #FPD hat 12 Mitglieder (9 Posten wählbar). Bislang waren 4 weiblich, nach der Wahl sind es 3. Unter den 12 ist niemand mit Migrationshintergrund und niemand, der ursprünglich aus dem Osten stammt. #fdpbpt21 #Servicetweet",24,39,153
Jörg Kukies,@joergkukies,2021-05-12T05:41:59.000Z,"The next step in building the green benchmark curve: Germany successfully issued
the first 30-year Euro sovereign green bond with a volume of € 6 bn, demand exceeded €38bn. The new 30 year #greenbund yields 2 basis pts  below the conventional bondDeutsche Finanzagentur - Green Federal Securities
Bundesrepublik Deutschland Finanzagentur GmbH
deutsche-finanzagentur.de",5,15,56
Carsten Schneider,@schneidercar,2021-05-11T14:34:26.000Z,"In Österreich gibt es eine veritable Verfassungskrise, weil Bundeskanzler Sebastian Kurz seinen zwielichtigen Finanzminister gewähren lässt. Und Markus Söder macht ihm heute in München mal wieder den Hof.Kurz-Vertrauter und Finanzminister Blümel brüskiert Verfassungsgericht
Die österreichische Regierung kämpft mit einer Korruptionsaffäre. Erst nach einer Gerichtsentscheidung hat ein Beschuldigter Akten geliefert - doch nicht in der gewünschten Form.
augsburger-allgemeine.de",,8,30
Carsten Schneider,@schneidercar,2021-05-11T13:31:01.000Z,"Die Hintertür steht sperrangelweit offen.Ralf Schuler
@drumheadberlin
 · May 11
Laschet-Nachfolge bei NRW-CDU vertagt @BILD https://bild.de/regional/duesseldorf/duesseldorf-aktuell/parteitag-erst-im-oktober-laschet-nachfolge-bei-nrw-cdu-vertagt-76351208.bild.html…",,2,19
Carsten Schneider,@schneidercar,2021-05-11T11:39:58.000Z,"Sobald der Impfstoff für Kinder auch in  zugelassen ist, muss die Impfung vorbereitet sein. Unser Ziel muss sein, möglichst vor den Sommerferien allen Kindern ein Angebot zu machen. Auch Kinder und Jugendliche brauchen eine Perspektive und sollen in den Urlaub fahren können.Apoorva Mandavilli
@apoorva_nyc
 · May 10
BREAKING: The FDA has just authorized the Pfizer vaccine for adolescents 12 to 15 years of age

https://nytimes.com/2021/05/10/health/pfizer-covid-vaccine-teens.html…",8,8,41
Carsten Schneider,@schneidercar,2021-05-10T16:05:01.000Z,"Baerbock will höheren CO₂-Preis – Grüne machen Vorschlag im Bundestag
Grünen-Kanzlerkandidatin Annalena Baerbock will einen CO2-Preis „mit echter klimapolitischer Lenkungswirkung“. In einem Antrag im Bundestag fordern die Grünen einen deutlich höheren Preis pro Tonne...
rnd.de",,,9
Carsten Schneider,@schneidercar,2021-05-10T16:04:14.000Z,"Wenn 
@Die_Gruenen
 sich in Koalitionsverhandlungen mit 
@CDU
 und 
@CSU
 entscheiden müssten, den Mindestlohn zu erhöhen oder den CO2-Preis, dann würden sie im Zweifel den CO2-Preis erhöhen. Mein Interview bei 
@MDRAktuell
.So will die SPD mit Olaf Scholz im Bundestagswahlkampf punkten | MDR.DE
Carsten Schneider im Gespräch
mdr.de",8,13,56
Carsten Schneider,@schneidercar,2021-05-03T13:52:18.000Z,"Ein aufrüttelnder Thread aus #Gera darüber, wie die 
@cdu_thueringen
 nach Rechtsaußen abdriftet und die AfD zunehmend bagatellisiert wird. Zeit für alle Demokraten, Rückgrat zu zeigen! Gilt besonders für die Konservativen.Janusz Chr. Riese
@jriese
 · May 2
In Suhl wird #Maaßen zum MdB-Kandidaten und einen Tag später postet die @OTZ Schleiz/ Bad Lobenstein 1:1 Reden von #noAfD Brandner plus unkritischem Interview hinterher.

Wir haben ein massives Problem in #Thueringen und das macht mir #Angst. 1/12
Show this thread",10,18,37
Daniel Cremer,@DanielC_BILDde,2021-05-02T21:02:49.000Z,Besser wird’s heute nicht mehr!,91,503,3.7K
Tom Schreiber,@TomSchreiberMdA,2021-05-01T19:53:30.000Z,"Linksextremisten & Rechtsextremisten ist #Covid19 egal. Beide stehen für den Hass & die Gewalt gegenüber #Polizeivollzugskräften. AHA-Regeln werden bei beiden mit den Füßen getreten. Es sind Feinde der Demokratie. Meine volle Solidarität mit der 
@polizeiberlin
 & 
@PolizeiBerlin_E",65,71,362
Carsten Schneider,@schneidercar,2021-05-02T09:31:21.000Z,"Karl Lauterbach
@Karl_Lauterbach
 · May 1
Diese Zahlen zeigen, wie stark der Impfeffekt wird, wenn 50 % der Bevölkerung eine erste Dosis bekommen haben. Ende Mai wird dies für uns bedeuten, dass die Fallzahlen deutlich unter 50 fallen. Wir sind jetzt in der letzten Runde auf der Schlussgeraden. Der Sommer wird gut werden twitter.com/EricTopol/stat…",2,1,36
DER SPIEGEL,@derspiegel,2021-05-02T09:23:02.000Z,"Der gebürtige Südthüringer und Biathlon-Olympiasieger Frank Ullrich geht im Wahlkreis 196 für die SPD ins Rennen - und will nun Hans-Georg #Maaßen schlagen. Wie er das schaffen will, erklärt er hier (S+)SPD-Kandidat in Thüringen: Herr Ullrich, wie wollen Sie Hans-Georg Maaßen schlagen?
Im Wahlkreis 196 in Thüringen hofft die SPD, der CDU das Bundestagsmandat abzuringen. Ins Rennen schicken die Sozialdemokraten den gebürtigen Südthüringer und Olympiasieger Frank Ullrich. Hier...
spiegel.de",26,106,556
Martin Debes,@Martin_Debes,2021-05-01T10:42:16.000Z,Ein kleiner Gruß vom dienstältesten Landrat der Republik an #Maaßen und die #CDU-Freunde im Südthüringischen.,22,52,142
Carsten Schneider,@schneidercar,2021-05-01T11:32:30.000Z,"Am 1. Mai kämpfen wir für gute Arbeitsbedingungen und faire Löhne an den anderen 364 Tagen im Jahr: Für alle Kolleginnen und Kollegen, weltweit! Ja zu Mitbestimmung, Tarifverträgen und rein in die Gewerkschaften! #solidaritätistzukunft #dgb #ituc",18,5,60
SPD Thüringen,@SPDThueringen,2021-04-30T18:07:23.000Z,"Mit der Nominierung von Hans-Georg Maaßen fischt die #CDU am rechten Rand. Wir schicken die ostdeutsche Sportlegende Frank Ullrich gegen #Maaßen ins Rennen und überlassen ihm nicht den Wahlkreis. Ihr könnt uns dabei unterstützen: https://spd-thueringen.de/unterstuetzen/0:33
52.8K views",213,364,1.5K
Carsten Schneider,@schneidercar,2021-04-30T18:30:08.000Z,"#Maaßen ist ein Ideologe und Hetzer. Mit der Nominierung überschreitet die CDU in #Thüringen eine Grenze nach rechts außen. Das ist gefährlich. Derweil der Thüringer CDU-Fraktionschef Mario Voigt zu Bild: ""Zur CDU gehören Merkel, Merz und auch Maaßen."" Einfach mal sacken lassen!",457,148,837
Anne Bressem,@AnneBressem,2021-04-29T06:27:42.000Z,"Fragt man 
@KuehniKev
 nach 
@ABaerbock
 dann antwortet er mit 
@El_KaWeh_
  #AnneBressem & 
@verenahubertz
 einem Frankfurter Rechtsanwalt mit iranischen Eltern, einer #Bundeswehrsoldatin aus dem thüringischen Sondershausen und einer StartupGründerin aus Trier.Olaf Scholz: Die SPD glaubt wirklich, dass sie die Wahl gewinnen kann
Eine entzauberte Baerbock, ein dauerschwacher Laschet, die verlässliche Autorität eines Olaf Scholz: Das ist die Kombination, auf der die Hoffnungen der SPD beruhen.
zeit.de",5,13,78
Carsten Schneider,@schneidercar,2021-04-30T10:52:13.000Z,"Herzlichen Glückwunsch an Malu #Dreyer und 
@spdrlp
 zum Abschluss der Koalitionsverhandlungen! Die #Ampel steht für wirtschaftlichen und sozialen Aufbruch. Und sie zeigt, dass progessive Mehrheiten ohne die #CDU möglich sind!Rheinland-Pfalz: Parteien einigen sich auf Ampelkoalition
In Rheinland-Pfalz regieren auch in neuen Wahlperiode SPD, Grüne und FDP gemeinsam. Die von Malu Dreyer geführte Koalition erneuert ihre Regierungszusammenarbeit.
zeit.de",13,19,164
nils minkmar,@nminkmar,2021-04-29T20:54:51.000Z,"Sagt mir mehr als JJ LiefersZDF heute journal
@heutejournal
 · Apr 29
Ein Intensivpfleger kommt in der Bundespressekonferenz #BPK zu Wort - und schildert die körperlichen und seelischen Strapazen seiner Arbeit während der Pandemie eindrücklich.",11,49,715
Jochen Flasbarth,@JochenFlasbarth,2021-04-29T09:09:59.000Z,"Pffff. Das ist schon ein bisschen peinlich: bei den Verhandlungen zum Klimaschutzgesetz - ich war zufällig dabei - ist die Aufnahme des Zielpfades nach 2030 am Wirtschaftsminister und der Union gescheitert. Ein „epochaler“ Fehler - in der theatralischen Sprache von 
@peteraltmaierPeter Altmaier
@peteraltmaier
 · Apr 29
Das @BVerfG hat heute ein großes & bedeutendes Urteil erlassen. Es ist epochal für Klimaschutz & Rechte der jungen Menschen. Und sorgt for Planungssicherheit für die Wirtschaft.
Show this thread",18,273,1.1K
SPD-Fraktion im Bundestag,@spdbt,2021-04-23T07:37:10.000Z,"Die #noafd zur Haushaltsdebatte mit den üblichen Vorwürfen: fehlende Transparenz? Wir machen unsere Arbeit nicht? Von wegen! 
@schneidercar
: ""Wir wollen nicht Sand im Getriebe sein wie die AfD, wir wollen, dass es läuft in Deutschland, dafür brauchen wir den Nachtragshaushalt!“",14,9,20
Carsten Schneider,@schneidercar,2021-04-23T06:20:47.000Z,"Die Schwächsten haben es in dieser Krise am schwersten. Es droht eine tiefe Spaltung der Gesellschaft. Besonders gefährdet: Kinder. Wir brauchen ein Aufholpaket für den Zusammenhalt - mit spezieller schulischer Förderung und sozialpädagogischen  Angeboten.RKI-Studien: Deshalb erkranken und sterben sozial Benachteiligte häufiger an Covid-19
In Deutschland gibt es einen Zusammenhang zwischen dem sozialen Status und dem Risiko, an Covid-19 zu erkranken - und auch daran zu sterben. Das geht aus zwei Studien des Robert-Koch-Instituts (RKI)...
rnd.de",26,23,66
Enno Park,@ennopark,2021-04-23T00:11:39.000Z,"1/ Weil hier Leute finden, die #allesdichtmachen-Videos seien ja bloß Kritik an der Regierung usw, möchte ich hier darlegen, warum sie in ihrer Gesamtheit rechtsradikale Inhalte transportieren.

Thread:",1K,4.4K,13K
Carsten Schneider,@schneidercar,2021-04-22T13:32:13.000Z,"Das kann nicht verwundern. Familien schultern seit Monaten große Lasten, derweil die Infektionen unter Kindern und Eltern momentan überproportional steigen. Deshalb:
 Inzidenzen runterbringen
 Corona-Nachholpaket für Kinder jetzt!
 Eltern schnell impfenC. Katharina Spiess
@CK_Spiess
 · Apr 21
I am finally on Twitter. Aktuelle Ergebnisse des #FamilienMonitorCorona zu #Sorgen und #Wohlbefinden von #Eltern: Elterliche Lebenszufriedenheit sinkt auf Tiefstwert seit Beginn der #Corona-Pandemie. Auch relevant für Entwicklung von #Kindern.
https://diw.de/de/diw_01.c.816152.de/nachrichten/familienmonitor_corona__7___wohlbefinden_von_eltern_sinkt_auf_tiefstwert.html…
Show this thread",2,1,7
