User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Hermann Otto Solms,@solms,2021-05-14T16:08:33.000Z,"Herzlichen Glückwunsch zur Wiederwahl als Generalsekretär der 
@fdp
, lieber 
@Wissing
!  #vielzutun #fdpbpt21FDP
@fdp
 · 6h
Herzlichen Glückwunsch Volker @Wissing zur Wiederwahl zum Generalsekretär der FDP mit 86 %! #bpt21 #VielZuTun",,,15
Hermann Otto Solms,@solms,2021-05-14T15:46:46.000Z,"Herzlichen Glückwunsch zu diesem fantastischen Ergebnis an meine Kollegin der 
@FDPHessen
 @starkwatzinger
 FDP
@fdp
 · 7h
Wir gratulieren Bettina @starkwatzinger von der @FDPHessen. Sie wurde mit 91 Prozent zur Beisitzerin im Präsidium gewählt! #bpt21 #VielZuTun",,,11
Hermann Otto Solms,@solms,2021-05-14T15:14:45.000Z,"Ich freue mich 
@harald_christ
, meinen Nachfolger, zur Wiederwahl vorgeschlagen zu haben.
Herzlichen Glückwunsch zu dem hervorragenden Ergebis, 
@harald_christ
!  #vielzutun #bpt21Harald Christ",,2,43
Hermann Otto Solms,@solms,2021-05-14T14:44:39.000Z,"Herzlichen Glückwunsch zur Wahl, lieber 
@c_lindner
!  #vielzutun #bpt21FDP
@fdp
 · 8h
Das Ergebnis steht fest: @c_lindner ist mit 93 % erneut zum Bundesvorsitzenden der Freien Demokraten gewählt worden – herzlichen Glückwunsch! #bpt21 #VielZuTun",1,1,10
Hermann Otto Solms,@solms,2021-05-14T08:23:30.000Z,"Gleich geht es los beim digitalen #BPT21 der 
@fdp
!  Zu sehen auf http://fdp.de/live (auch in Gebärdensprache) und http://youtube.com/fdp #vielzutun",1,3,38
ThePioneer,@ThePioneerDe,2021-05-13T11:50:40.000Z,"Beim Bundesparteitag an diesem Wochenende will die 
@fdp
 ihr Wahlprogramm beschließen und einen freiheitlichen Aufbruch im Land organisieren. Dazu im #Hauptstadt-Interview: Marie-Christine Ostermann, Hermann Otto 
@solms
 und 
@johannesvogelDie FDP im Aufwind
thepioneer.de",4,9,48
Hermann Otto Solms,@solms,2021-05-03T13:32:36.000Z,"Der Fehler der Regierung war, dass sie mehr auf die Einschränkung der Grundrechte konzentriert war statt frühzeitig & ausreichend #Impfstoff zu kaufen und den Impfprozess mit ganzer Kraft in Gang zu setzen.",2,12,100
Philipp Sandmann,@philsandmann,2021-04-22T06:44:17.000Z,"Heute im 
@ntvde
 #Frühstart: Der Alterspräsident des Deutschen Bundestages und 
@fdpbt
-Politiker Hermann Otto 
@solms
, der deutliche Kritik am Pandemie-Management der Bundesregierung übt. Bewertung: ""Schulnote 6!""
#BundesnotbremseSolms im ""ntv Frühstart"": ""Notbremse ist Ablenkungsmanöver für Regierungsversagen""
Lange wird über die bundesweite Corona-Notbremse diskutiert, jetzt soll es schnell gehen. Nachdem der Bundestag abgestimmt hat, entscheidet heute der Bundesrat. Zufrieden sind nicht alle. FDP-Polit...
n-tv.de",9,14,34
Hermann Otto Solms,@solms,2021-04-21T08:55:12.000Z,"Die Änderung des #Infektionsschutzgesetz' muss verfassungsfest & epidemiologisch sinnvoll sein. Ausgangssperren müssen komplett gestrichen werden & Maßnahmen an einen aussagekräftigeren Kriterien-Mix geknüpft werden. Ohne substanzielle Änderungen kann die 
@fdpbt
 nicht zustimmen.",8,4,52
Hermann Otto Solms,@solms,2021-04-20T10:08:51.000Z,"#Soeder hat sich endgültig als #Scheinriese entpuppt. Aus der Ferne wirkt er stark und mächtig, aber je näher man ihm kommt, desto kleiner und zahmer wird er.",29,14,112
Hermann Otto Solms,@solms,2021-04-15T07:52:47.000Z,"Der #Mietendeckel ist verfassungswidrig. Das ist ein großer Erfolg für Mieter und Vermieter gleichermaßen, denn nun können wieder mehr Wohnungen gebaut und die #Wohnungsnot tatsächlich angegangen werden.",22,16,274
Hermann Otto Solms,@solms,2021-04-14T14:11:56.000Z,#VerkehrteWelt: Die #Grünen kungeln ihren #Kanzlerkandidaten im Hinterzimmer aus und ausgerechnet der Lautsprecher aus Bayern #Söder fordert eine Mitgliederabstimmung. #LaschetvsSoeder,5,4,44
Christian Dürr,@christianduerr,2021-04-13T07:01:55.000Z,"Wir wollen unser Land wieder zukunftsfähig machen. Dazu braucht es gute und innovative Ideen - wie die gesetzliche #Aktienrente. Das Konzept macht unser Rentensystem stabil und enkelfit.  Ran an die Arbeit, es gibt #vielzutun! 
@fdp
 http://fdp.de/liveFDP",5,11,74
Hermann Otto Solms,@solms,2021-04-13T07:24:54.000Z,"Wir Freie Demokraten 
@fdp
 wollen die #Amtszeit von Bundeskanzlern auf max. zwei volle Wahlperioden bzw. 10 Jahre beschränken. #Demokratie lebt auch vom Wechsel der verantwortlichen Persönlichkeiten. Ämter in einer Demokratie sollten deshalb immer Ämter auf Zeit sein. #vielzutun",16,13,219
FDP,@fdp,2021-04-13T06:02:51.000Z,"#SeiDabei: Um 11 Uhr stellen 
@c_lindner
 und 
@Wissing
 das Wahlprogramm der 
@fdp
 #Live auf http://fdp.de vor. #VielZuTun #NieGabEsMehrZuTun",36,55,252
Hermann Otto Solms,@solms,2021-04-12T15:55:38.000Z,"#Ausgangsverbot darf es in einer freiheitlichen Gesellschaft nicht geben. Es ist doch absurd, wenn man nach 21 Uhr nicht mal allein spazieren gehen darf.",237,726,4.4K
Hermann Otto Solms,@solms,2021-04-09T09:47:34.000Z,"Dass #Spahn nun mit #Russland über #SputnikV verhandelt, ist ein Eingeständnis, dass es ein Fehler war bei der #Impfstoffbeschaffung nur auf die #EU zu setzen. Spahn hätte sich damals von #Merkel nicht reinreden lassen dürfen.Sputnik-V-Kauf: Spahn will bilateral mit Russland reden
Gesundheitsminister Spahn will sich in bilateralen Gesprächen mit Russland um Lieferungen des Impfstoffs Sputnik V bemühen - ohne Einbindung der EU. Bayerns Vorpreschen bei dem Vakzin sorgt derweil...
tagesschau.de",1,,25
Volker Wissing,@Wissing,2021-04-08T12:05:13.000Z,"Wer in Deutschland dafür sorgt, dass die Impfungen in Gang kommen:
 Jens Spahn
 Angela Merkel 
 Ursula von der Leyen
 Die niedergelassenen ÄrzteOlaf Gersemann
@OlafGersemann
 · Apr 8
Geht doch! 

656.357 (!!!) Impfungen gegen #Corona wurden gestern in  gemeldet.

Mehr als 300.000 davon entfielen auf niedergelassene Ärzte.

@welt
Show this thread",154,156,1.1K
Hermann Otto Solms,@solms,2021-04-08T08:46:49.000Z,"Das Debakel der Untätigkeit der #Regierung zeigt, dass die #Amtszeit von Kanzler und Regierung zeitlich begrenzt werden muss. Wir sollten uns an den USA orientieren und die Amtszeit auf zwei Legislaturen beschränken.",132,209,1.5K
Hermann Otto Solms,@solms,2021-04-07T09:00:42.000Z,"Was ist los mit den Unionsparteien? #Söder gegen Laschet, #Laschet gegen Söder, #Merkel gegen alle. Und rund 100 Abgeordnete bangen um ihr Mandat.",42,30,291
