User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Müttergenesungswerk,@mgw_berlin,2021-05-09T08:29:35.000Z,"#Muttertag: Ich will keine Schokolade, ich will mehr #Zeit für mich - eine #Kur im #Müttergenesungswerk. - Toll 
@mgdlnsmtn
, das spricht sicher vielen #Müttern aus der Seele.Magdalena Cream I.
@mgdlnsmtn
 · May 9
Gedanken zum Muttertag: https://medienpfarrerin.blogspot.com/2021/05/ich-will-keine-schokolade-muttertag.html?m=1…

@mgw_berlin #gemeinsamstark #Muttertag #MothersDay",,2,4
"Svenja Stadler, MdB",@stadler_svenja,2021-05-09T08:37:41.000Z," Nicht nur, aber heute ganz besonders: #Danke an alle Mamas und Omas. Danke für alles, was ihr Tag für Tag leistet. Ihr seid täglich für eure Kinder und Familien da und schafft den Spagat zwischen Haushalt, Homeschooling und Homeoffice! #muttertag",,1,11
Deutsche Stiftung für Engagement und Ehrenamt,@D_S_E_E,2021-05-06T11:12:00.000Z,"#Followerpower: Wie sieht die #ZukunftDesEngagements aus? Die Antwort liegt irgendwo da draußen… . Deshalb seid Ihr gefragt: Welche visionären Projekte, Initiativen oder #Engagierte kennt Ihr? Wem muss man hier folgen, um der Antwort ein Stückchen näher zu kommen? #TagAFriend!",2,11,14
Minister Olaf Lies,@OlafLies,2021-05-06T10:55:38.000Z,Wie kann eine gute Jugendbeteiligung bei der Endlagersuche aussehen? Das diskutiere ich heute um 14.00 Uhr bei der zweiten Sitzung des niedersächsischen Begleitforums Endlagersuche. Hier geht es zum Livestream der Veranstaltung: https://youtube.com/watch?v=wOqEouycA3A…,1,2,6
Müttergenesungswerk,@mgw_berlin,2021-05-06T07:31:50.000Z,"In einem offenen Brief zur ständigen #Überlastung von Müttern/Eltern spricht Constanze H., MGW-Beraterin und Mutter von drei Kindern, deutliche Worte: So kann es nicht weitergehen!Es reicht!
Fragt mal jemand nach der Situation von Eltern mit schulpflichtigen Kindern? - Öffentlicher Appell einer betroffenen Mutter.
muettergenesungswerk.de",,2,3
Müttergenesungswerk,@mgw_berlin,2021-05-05T19:02:06.000Z,"#Hochpolitisch: Heut fand unser #Parlamentarische Frühstück unter dem Titel “#Mütter am Limit - #Kliniken in Not“ statt. Im intensiven Austausch mit den #Bundestagsabgeordneten konnten wir zeigen, wie dringend notwendig politische Unterstützung jetzt ist.Svenja Stadler, MdB and 5 others",1,7,16
VfL Wolfsburg Frauen,@VfL_Frauen,2021-04-23T15:15:00.000Z,"Das Bundesliga-Spiel der Wölfinnen bei den 
@MSVFrauen
 wird am Sonntag live auf DFB-TV und auf Wölfe TV übertragen. Unbedingt einschalten! 

 http://vfl.ink/NO6Dv

#MSVWOB #VfLWolfsburg",,6,52
RND,@RND_de,2021-04-21T07:55:00.000Z,"Heute kommt zum vorerst letzten Mal ein Flugzeug mit Kindern aus griechischen Flüchtlingslagern in Deutschland an. Niedersachsens Innenminister #Pistorius betont, es sei wichtig, andere europäische Staaten an ihre humanitären Pflichten zu erinnern.Letzter Flug aus griechischen Flüchtlingslagern landet in Hannover
Ihr Schicksal rührte viele Deutsche von Herzen: Vor einem Jahr wurden erstmals Kinder und Jugendliche aus den griechischen Flüchtlingslagern nach Deutschland geholt. In dieser Woche soll der letzte...
rnd.de",,1,15
Mahmut Özdemir,@oezdemir_spd,2021-04-14T15:17:27.000Z,"Replying to 
@jens_alberts
 @seeheimer
 and 6 othersMuss nicht, aber soll können. Sportstätten öffnen ist eine weitere Forderung von uns. Mehr dazu:",2,1,5
VIER PFOTEN,@VIERPFOTEN,2021-04-14T11:04:00.000Z,"Der zuletzt im Kreis Halle gehaltene weiße Löwe Mojo bleibt weiterhin verschwunden. Der Halter müsste die Großkatze eigentlich in eine artgemäße Haltung abgeben, hüllt sich über den Verbleib aber weiterhin in Schweigen. #WoIstMojo",2,26,46
"Svenja Stadler, MdB",@stadler_svenja,2021-04-13T08:58:14.000Z,"Seid heute Abend bei einer neuen Folge #StimmungsCheck live auf meinem Instagram-Kanal dabei, wenn ich mit Valerie Höhne und Susanne Walsleben vom Café Book aus #Jesteburg über die Lage der #Cafés im #LandkreisHarburg spreche. ",,,3
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-04-07T08:56:10.000Z,"Die überwältigend vielen positiven Rückmeldungen auf die #Lanz Sendung gestern Abend, ermutigen mich konsequent weiter zu machen. Es muss aufgeklärt und sanktioniert werden. Und es muss Korruption und intransparentem Lobbyismus endlich ein Riegel vorgeschoben werden!",45,87,931
"Svenja Stadler, MdB",@stadler_svenja,2021-04-02T13:43:45.000Z,"Auch wenn #Ostern in diesem Jahr wieder anders ist, wünsche ich Euch allen ein schönes Osterfest.  Passt auf Euch auf und bleibt gesund #svenjastadler #spd #landkreisharburg",,,13
"Svenja Stadler, MdB",@stadler_svenja,2021-03-31T12:24:22.000Z,"Tschakka VfL Wolfsburg Frauen
@VfL_Frauen
 · Mar 31
23' Die Wölfinnen suchen die Lücke in der Chelsea-Abwehr. Weiterkämpfen, Mädels!

#WOBCFC 0:0",,,
Leif Erik Sander,@Sander_Lab,2021-03-30T18:45:25.000Z,"3/3 Wie geht es bei jungen Menschen weiter, die bereits 1x AZ erhalten haben?

Eine Möglichkeit wäre, analog zu COVID-19 Genesenen, ein einmaliger Booster mit einem mRNA-Impfstoff. 
Das ist aus regulatorischer Sicht kompliziert, aber immunologisch und ökonomisch sinnvoll.",12,17,143
RND,@RND_de,2021-03-30T17:10:16.000Z,"#Charité Impfstoffforscher Leif Erik Sander hatte schon am Wochenende gefordert, die #Astrazeneca-#Impfung bei jüngeren Frauen auszusetzen. #Lauterbach stimmte dem Mediziner nun nachträglich zu und befürwortet einen generellen Impfstopp bei Jüngeren.Lauterbach nun doch für Astrazeneca-Impfstopp – auch andere Experten befürworten den Schritt
Charité Impfforscher Leif Sander hatte per Twitter schon am Wochenende gefordert, die Astrazeneca-Impfung bei jüngeren Frauen auszusetzen. SPD-Politiker Karl Lauterbach stimmte dem Mediziner nun...
rnd.de",,11,18
Lars Klingbeil,@larsklingbeil,2021-03-28T20:08:00.000Z,"Das ist sehr ehrlich von Herrn Ploss. Die Konservativen wollen den Sozialstaat schreddern und denen die hart gearbeitet haben Anerkennung und Respekt im Alter nehmen. Mit der SPD wird es das nicht geben.Berlin direkt
@berlindirekt
 · Mar 28
Wie können die Kosten der #coronakrise aufgefangen werden? @christophploss @CDU regt an, #renten -Projekte wie die #Mütterrente oder die #Rente mit 63 noch einmal zu überprüfen.
Mehr dazu um 19.10 Uhr #berlindirekt @ZDF",132,94,881
"Svenja Stadler, MdB",@stadler_svenja,2021-03-28T18:48:17.000Z,Angekommen. ,,,5
"Svenja Stadler, MdB",@stadler_svenja,2021-03-28T17:31:47.000Z,"Stimmt. MDR AKTUELL
@MDRAktuell
 · Mar 28
SPD lehnt Bund-Länder-Gipfel vor Ostern ab: Parteichefin Esken sagte dem Handelsblatt, man brauche keinen vorgezogenen Corona-Gipfel. Vielmehr müssten bei Inzidenz über 100 alle Lockerungen sofort zurückgenommen werden.",1,,1
Niels Annen,@NielsAnnen,2021-03-28T16:32:58.000Z,"Die Ära Merkel endet und die CDU rückt nach rechts.Berlin direkt
@berlindirekt
 · Mar 28
Wie können die Kosten der #coronakrise aufgefangen werden? @christophploss @CDU regt an, #renten -Projekte wie die #Mütterrente oder die #Rente mit 63 noch einmal zu überprüfen.
Mehr dazu um 19.10 Uhr #berlindirekt @ZDF",17,8,82
"Svenja Stadler, MdB",@stadler_svenja,2021-03-27T19:16:52.000Z,"Mein Abend ist gerettet  #nurmalsoDFB-Junioren
@DFB_Junioren
 · Mar 27
HERE WE GO 

 | 21 Uhr | in  Minuten startet @ProSieben die Liveübertragung! 

#U21EURO #GERNED",,,
