User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bettina Stark-Watzinger,@starkwatzinger,2021-05-14T16:47:45.000Z,"Danke an die Delegierten des #bpt21 der 
@fdp
 für die erneute Wahl ins Präsidium. Ich freue mich riesig über die damit verbundene Arbeit. Mein Antrieb: Stärkung der Sozialen Marktwirtschaft, Digitalisierung unseres Landes, sozialer & finanzieller Aufstieg ermöglichen. #vielzutun",14,5,155
Bettina Stark-Watzinger,@starkwatzinger,2021-05-14T10:54:03.000Z,"Unsere Sozialpolitik beginnt nicht erst im Sozialetat. Unser Aufstiegsversprechen beginnt im Bildungssystem. Der Zufall der Geburt darf nicht über die Chancen im Lebenslauf entscheiden. 
@c_lindner
 #bpt21 #vielzutun",7,12,107
Marco Buschmann,@MarcoBuschmann,2021-05-14T10:49:32.000Z,"Es muss wieder möglich sein, sich in Deutschland mit einem normalen Einkommen ein eigenes Haus oder eine eigene Wohnung zu erarbeiten. Sagt 
@c_lindner
 beim #bpt21 #vielzutun",222,128,1.1K
Bettina Stark-Watzinger,@starkwatzinger,2021-05-14T10:37:57.000Z,"Die Union ist bereits vor der Wahl bereit, mit einem Schuldentopf außerhalb des Haushaltes das Wahlprogramm der Grünen zu integrieren. Man darf die CDU/CSU mit den Grünen nicht alleine gelassen werden. #bpt21 #vielzutun",,,10
Bettina Stark-Watzinger,@starkwatzinger,2021-05-14T09:04:32.000Z,"Eigentum ist Treiber von Aufstieg und Innovation. Statt mit einer Vermögensteuer allen zu schaden, wollen wir den Vermögensaufbau fördern. 
Unser 5-Punkte-Plan wie wir den finanziellen Aufstieg gewährleisten. #vielzutun 
#Gastbeitrag mit 
@johannesvogelEin Fünf-Punkte-Programm für ein Land von Eigentümern
Kaum etwas macht so unabhängig und krisenfest wie das eigene Haus oder die eigene Wohnung.
zeitung.faz.net",2,9,42
Bettina Stark-Watzinger,@starkwatzinger,2021-05-12T08:04:04.000Z,"Mehr als 1000 Raketen wurden aus dem Gaza-Streifen auf #Israel abgefeuert. Der Terror der #Hamas muss aufhören. Gleichzeitig werden in Deutschland israelische Flaggen angezündet. Antisemitismus darf nirgends einen Platz haben. #standwithisraelIsraelische Flaggen vor Synagogen in Bonn und Münster angezündet  - WELT
Nach Angriffen auf jüdische Einrichtungen in Nordrhein-Westfalen hat der Staatsschutz die Ermittlungen übernommen. In Münster und Bonn wurden israelische Flaggen vor Synagogen angezündet.
welt.de",41,34,308
Bettina Stark-Watzinger,@starkwatzinger,2021-05-11T09:09:12.000Z,"Nicht nur wir Freien Demokraten in Hessen gedenken Heinz-Herbert #Karry. Er ist bis heute ein Vorbild für Mut & den Einsatz für Freiheit & Demokratie. Sein Todestag ist Ansporn die Demokratie gegen jegliche Form von Extremismus zu verteidigen. 
@FDPHessen40 Jahre nach der Tat: Mord an Wirtschaftsminister Karry bis heute ungeklärt
Vor 40 Jahren wurde Hessens Wirtschaftsminister Heinz-Herbert Karry in seinem Frankfurter Wohnhaus im Schlaf erschossen. Doch auch 40 Jahre nach dem Attentat an dem FDP-Politiker sind die Täter noch...
hessenschau.de",,4,35
Bettina Stark-Watzinger,@starkwatzinger,2021-05-07T11:43:11.000Z,"Kein Geheimnis: Das deutsche #Steuersystem ist kompliziert. Studie des 
@ZEW
 zeigt: Aufgrund der Komplexität begehen sogar links gesinnte Personen Steuerhinterziehung. Scholz sollte unser Steuersystem aus eigenem Interesse vereinfachen. #einfach #gerechtUnverständliche Steuersysteme führen nicht nur zu hohem Bürokratieaufwand – sondern auch zu...
Jahr für Jahr entgehen dem Staat hohe Einnahmen durch Steuerhinterziehung. Die Schuldigen sind jedoch meist nicht diejenigen, die es ohnehin darauf anlegen.
handelsblatt.com",3,3,24
Bettina Stark-Watzinger,@starkwatzinger,2021-05-07T08:49:36.000Z,"Eine internationale Kooperation zur #Impfung gegen #Corona notwendig. Aber die Zwangsfreigabe von #Patenten baut noch keine Fabrik oder beschafft mehr notwendige Komponenten. Langfristig schwächen wir die Entwicklung von neuen Medikamenten & Impfstoffen.Debatte um Impfstoffwissen: Patente schützen die Demokratie
Die dramatische Situation in Indien scheint einen staatlich erzwungenen Verzicht auf Pharmapatente nahezulegen. Amerika will das Patentrecht aufheben. Aber das beschleunigt die Impfungen nicht. Ein...
faz.net",3,6,49
Patrick Bernau,@PatrickBernau,2021-05-06T18:18:40.000Z,"Von mehr als 70 Impfstoffprojekten sind bisher nur 14 zur Zulassung gekommen. Mehr als 50 sind für die Unternehmer bis jetzt nur verlorenes Geld.

Wer den Siegern  ihren Gewinn nehmen möchte - viel Glück in der nächsten Pandemie, wenn ihr einen neuen Impfstoff braucht.",78,424,2.2K
Bettina Stark-Watzinger,@starkwatzinger,2021-05-06T17:19:18.000Z,"Liebe Frau 
@CKemfert
, wenn Sie über das Programm der 
@fdp
 sprechen, sollten Sie es auch kennen. Wir fordern keinen Kostendeckel. Statt Prinzip Hoffnung wie die GroKo setzen wir auf einen klaren Mengendeckel. Der Preis bildet sich am Markt. #Marktwirtschaft #UmweltNorbert Häring
@norberthaering
 · May 5
@CKemfert : ""Wenn die FDP eine CO2-Preissteigerung verhindern will, widerspricht sie ihrem Markenkern doppelt: Statt freien Markt fordert sie einen Kostendeckel, statt Freiheit beschert sie der nächsten Generation zwangsweise Einschränkungen."" https://handelsblatt.com/meinung/kolumnen/homo_oeconomicus/gastkommentar-homo-oeconomicus-fdp-chef-lindner-macht-beim-co2-preis-einen-denkfehler/27160670.html?share=twitter…",5,9,83
Bettina Stark-Watzinger,@starkwatzinger,2021-05-06T13:09:45.000Z,"Wer ein Land regieren möchte, muss auch dessen Namen aussprechen können. Andernfalls sollten 
@Die_Gruenen
 ihre Ambitionen noch einmal überdenken. #btw2021Grüne wollen „Deutschland“ aus ihrem Wahlprogramm streichen
Die Grünen wollen ans Wahlprogramm ran, um ein Wort zu streichen: Deutschland! Unter den Unterzeichnern sind auch Bundestagskandidaten.
bild.de",15,31,245
Bettina Stark-Watzinger,@starkwatzinger,2021-05-05T17:27:31.000Z,"Ein Beispiel, warum wir Deutschland dringend digitalisieren müssen. Gerade bei der #BaFin wäre es wichtig, dass sie Vorreiter der #Digitalisierung ist. Das würde nämlich heißen, dass sie das Geschäft der Zukunft versteht. Und: Nachhaltigkeit selbst lebt.214.200 Blatt Papier verschwendet – Sparkassen-Chef kritisiert Schreiben der Bafin
Ulrich Bartscher sieht bei der Finanzaufsicht Nachholbedarf bei Digitalisierung und Nachhaltigkeit – und bekommt für seinen Protest Applaus aus Berlin.
app.handelsblatt.com",1,3,23
Bettina Stark-Watzinger,@starkwatzinger,2021-05-02T16:18:55.000Z,"Ach 
@Markus_Soeder
, mein Kollege 
@koehler_fdp
 erklärt es Ihnen sicher gerne noch einmal: Unser Programm enthält einen CO2-Marktpreis kombiniert mit einem Limit (Abbaupfad). Da sind sie mit ihrem Modell marktradikal Lichtjahre hinterher.
https://portalb.dbtg.de/politik/deutschland/plus230801881/,DanaInfo=www.welt.de,SSL+Markus-Soeder-Oekologie-und-Oekonomie-verbinden-Da-muss-die-Union-Marktfuehrer-sein.html…",6,15,132
Bettina Stark-Watzinger,@starkwatzinger,2021-05-02T09:00:18.000Z,"#Frauen können alles & sie leisten viel. Aber sie haben immer noch nicht die gleichen Chancen. Ein Thema nicht nur für den #TagderFrauen. Jeder von uns hat Verantwortung, die veralteten Rollenbilder in unserer Gesellschaft zu verändern. #GründerinnenKein Geld für Frauen
Gründerinnen tun sich schwer, Investoren von ihren Ideen zu überzeugen. Woran liegt das?
zeitung.faz.net",6,3,23
Bettina Stark-Watzinger,@starkwatzinger,2021-05-01T17:49:19.000Z,"Nicht nur sozialversicherungspflichtige Stellen sind  Arbeit. #Selbstständige sind ein selbstbestimmter & wichtiger Teil unserer Wirtschaft. Sie brauchen treffsichere #Corona-Hilfen & weniger #Bürokratie. #TagderArbeitPandemie und Bürokratie: Zahl der Selbstständigen sinkt um 300.000
»Die Entwicklung ist dramatisch«, warnt der Berufsverband VGSD: Bis Ende des Jahres wird die Zahl der Firmengründer und Selbstständigen um 300.000 sinken – doch die Pandemie ist nicht der einzige...
spiegel.de",1,5,49
Bettina Stark-Watzinger,@starkwatzinger,2021-05-01T08:40:44.000Z,"Nur eine starke wirtschaftliche Grundlage kann moderne Arbeitsplätze, soziale Sicherung & gute staatliche Leistungen schaffen. Aufgaben sind klar: #Bildung unabhängig von der Herkunft, #Leistungsgerechtigkeit für Geringverdiener & eine wettbewerbsfähige #Wirtschaft. #TagderArbeit",,1,24
