User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sven Kindler,@sven_kindler,2021-03-19T18:59:49.000Z,"Anfrage von mir zeigt 
Für neue, überflüssige Straßen werden im Auftrag des #CSU-Verkehrsministerium reihenweise Bauern, Mittelständler und Privatleute enteignet. 420 Enteignungen seit 2010, aktuell laufen 142 Verfahren dazu.

@AndiScheuer Enteignungen für den Straßenbau
Trotz des Streits über Straßenbauprojekte: Die Enteignungen für den Straßenbau gehen nach neuen Zahlen der Regierung fast ungebremst weiter.
sueddeutsche.de",17,175,428
Sven Kindler,@sven_kindler,2021-05-13T15:31:55.000Z,"Mir läuft es kalt den Rücken runter, wenn ich die Bilder von dem antisemitischen Mob in #Gelsenkirchen sehe. Diese Bedrohung von Jüdinnen und Juden ist inakzeptabel und muss Konsequenzen haben. Das ist #Antisemitismus pur und braucht eine klare Antwort aller Demokrat*innen!",2,4,80
Sven Kindler,@sven_kindler,2021-05-13T10:58:39.000Z,"In Hannover wurde der Liberalen Jüdischen Gemeinde mit einem Brandanschlag gedroht. Das ist inakzeptabel! Drohungen, Beschimpfungen, Angriffe auf deutsche Jüdinnen und Juden haben nichts mit dem Nahostkonflikt zu tun, sondern sind schlicht #Antisemitismus!Anrufer droht jüdischer Gemeinde in Hannover mit Brandanschlag
Ein bislang unbekannter Anrufer hat der Liberalen Jüdischen Gemeinde Hannover mit einem Brandanschlag gedroht. Nach dem Wiederaufflammen des Nahost-Konfliktes wächst bundesweit die Sorge vor antise...
haz.de",1,5,37
Sven Kindler,@sven_kindler,2021-05-13T10:45:50.000Z,"Wir dürfen nicht starr an der Schuldenbremse festhalten, sondern müssen sie reformieren, um Nettoinvestitionen zukünftig über Kredite zu finanzieren. Wir brauchen einen Investitionsturbo und kein Kaputtsparen nach Corona! 
#Steuerschaetzung 
@tagesschau",2,4,30
Christoph Meyer,@Meyer_FDP,2021-05-12T12:25:48.000Z,"Heute Abend diskutiere ich bei der 
@FNFreiheit
 mit André Berghegger und 
@sven_kindler
 über den Corona-Nachtragshaushalt. Es geht um die historische Neuverschuldung von 452,1 Mrd. Euro und den Fortbestand der #Schuldenbremse. Hier geht's zur Veranstaltung: https://shop.freiheit.org/#!/Veranstaltung/N3GSR…",,2,7
BAKS,@BAKS_Bund,2021-05-03T16:41:37.000Z,"Klare Worte: 
@ABaerbock
 bekräftigt die Haltung von Bundeskanzlerin Angela Merkel - die Sicherheit von #Israel ist Teil deutscher Staatsräson.Annalena Baerbock and 3 others",5,50,82
Lars Heidemann,@LarsHeidemann,2021-05-10T17:43:20.000Z,"Lecker für die Familie gekocht und nebenbei unsere beiden hannöverschen Spitzenkandidierenden 
@SwantjeMichael1
 u. 
@sven_kindler
 für die #BTW2021 mit einem super Nominierungsergebnis für die anstehende Listen-LDK ausgestattet. Digitale Versammlungen haben auch ihre Vorteile ",1,1,20
Annalena Baerbock,@ABaerbock,2021-05-08T08:30:44.000Z,"Boris Palmer hat deshalb unsere politische Unterstützung verloren. Nach dem erneuten Vorfall beraten unsere Landes- und Bundesgremien über die entsprechenden Konsequenzen, inklusive Ausschlussverfahren. 2/2",1.4K,1.3K,18.9K
Sven Kindler,@sven_kindler,2021-05-07T06:52:30.000Z,"Anfrage von mir zeigt 
In letzten 11 Jahren haben die CSU-Verkehrsminister dafür gesorgt, dass in #Niedersachsen 2,1 Mrd. Euro beim Bau von Autobahnen & Bundesstraßen verpulvert werden. 

Für den Radwegebau gab es im gleichen Zeitraum 45,6 Mio. Euro...Bund fördert bevorzugt Autobahnen in Niedersachsen
Der Bund will auf Druck des Bundesverfassungsgerichts die Klimaziele deutlich erhöhen. Das heißt: Deutschland muss den Ausstoß von Kohlendioxid unter anderem im Verkehr stärker als bisher reduzieren.
ndr.de",2,,38
Stefan Liebich,@berlinliebich,2021-05-06T20:59:05.000Z,And for my english speaking followers: After a debate in the German parliament only a minority supports the #TRIPSwaiver. Crazy: The Left and The Greens are backing the US government and president Biden but not the ruling parties.,2,18,85
Sven Kindler,@sven_kindler,2021-05-06T08:47:00.000Z,"Anfrage von mir zeigt 
Die Kosten für den Betrieb der Autobahn GmbH haben sich fast verdreifacht. 

Ursprünglich: 632 Mio. Euro
Dezember 2020: 1,38 Mrd. Euro
Mai 2021: 1,78 Mrd. Euro. 

Typisch #Scheuer: Alles wird teurer und funktioniert nicht richtig Andreas Scheuer and 9 others",23,74,292
Sven Kindler,@sven_kindler,2021-05-05T20:03:07.000Z,"Wow. Das ist ein Gamechanger! Die USA 
 setzen sich für die Freigabe von Patenten von #COVID19 Impfstoffen ein. Jetzt müssen auch die EU-Kommission 
 und die Bundesregierung 
 ihre Blockade dagegen aufgeben. Nur global und gemeinsam können wir die Pandemie besiegen.Ambassador Katherine Tai
@AmbassadorTai
 · May 5
These extraordinary times and circumstances of call for extraordinary measures. 

The US supports the waiver of IP protections on COVID-19 vaccines to help end the pandemic and we’ll actively participate in @WTO negotiations to make that happen.",1,15,80
Heiko Stubner,@hstubner,2021-05-03T17:50:17.000Z,"taz: Verkehrsministerium zu Klimazielen - Eigenlob ohne Fakten. Das Verkehrsministerium brüstet sich mit seinen Maßnahmen zum Klimaschutz. Doch ob diese tatsächlich wirken, kann es mit keiner Zahl belegen. Von 
@kruegeranja
 https://taz.de/Verkehrsministerium-zu-Klimazielen/!5765279/… 
@BMVI
 @sven_kindlerVerkehrsministerium zu Klimazielen: Eigenlob ohne Fakten
Das Verkehrsministerium brüstet sich mit seinen Maßnahmen zum Klimaschutz. Doch ob diese tatsächlich wirken, kann es mit keiner Zahl belegen.
taz.de",,8,33
Sven Kindler,@sven_kindler,2021-05-05T09:22:30.000Z,"Der Verkehrsministerium hat behauptet, dass das Klimaschutzziel für den Verkehr 2020 „vor allem“ (!) durch Maßnahmen von 
@andreasscheuer
 erreicht worden seien.

Auf meine Nachfrage kann das 
@BMVI
 für keine einzige Maßnahme die Klimaschutzwirkung angeben Verkehrsministerium zu Klimazielen: Eigenlob ohne Fakten
Das Verkehrsministerium brüstet sich mit seinen Maßnahmen zum Klimaschutz. Doch ob diese tatsächlich wirken, kann es mit keiner Zahl belegen.
taz.de",11,69,252
Sven Kindler,@sven_kindler,2021-05-05T07:44:15.000Z,"Die Bundeswehr hat im Hitzesommer 2018 bei #Meppen Raketen getestet und einen riesigen #Moorbrand ausgelöst. Das Verteidigungsministerium hatte mir damals zugesichert die Klimaschäden auszugleichen. Bis heute nichts passiert. Ich werde weiter Druck machen!Moorbrand verhagelt Emissionsbilanz des deutschen Militärs
Ein Raketentest für die Bundeswehr im Emsland verursachte 2018 einen Moorbrand. Den enormen Treibhausgasausstoß versprach das Verteidigungsministerium damals auszugleichen. Inzwischen will das...
klimareporter.de",1,14,57
