User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thomas Sattelberger,@th_sattelberger,2021-04-17T07:57:25.000Z,"Mein neuer
@handelsblatt
-Beitrag:Damit es Deutschland nicht sozial & ökologisch zerreißt: “Humane Marktwirtschaft”ist überfälliger Zwilling erfolgreicher digitaler Transformation! 
Diskutiere mit hochkarätigem Panel auch dazu am 19.5.. Alle Infos dazu: https://thomas-sattelberger.de/humane-marktwirtschaft…",2,6,40
Thomas Sattelberger,@th_sattelberger,2021-05-14T08:19:03.000Z,"https://focus.de/finanzen/news/debattenbeitrag-von-thomas-sattelberger-neustart-fuer-deutschland_id_13287627.html… Habe für 
@focusonline
  aufgeschrieben, was wir jetzt anpacken müssen in #Industriepolitik, #Digitalisierung, #Sozialsystemen, #Bildung. Themen folgenschwer miteinander verwoben! Antworten müssen wir ein Stück weit neu erfinden, um im 21. Jahrh. zu bestehenWir müssen radikal neu denken - um einen Neustart für Deutschland zu ermöglichen!
Das Geschäftsmodell der Deutschland AG krankte schon vor Corona, die Pandemie war lediglich Brandbeschleuniger und Katalysator zugleich. Back to normal ist vorbei, sagt FDP-Bundestagsabgeordneter...
focus.de",6,4,18
Thomas Sattelberger,@th_sattelberger,2021-05-14T07:50:16.000Z,"Freue mich sehr: Update der Bildung oder neues Betriebssystem? Das ist sehr die Frageeco e.V.
@eco_de
 · 13h
Die Pandemie hat die Defizite im Bereich der digitalen Bildung offengelegt. Welches Update braucht das Bildungssystem? Diskutieren Sie mit uns und u. a. @th_sattelberger, @katrin_staffler, @sidonie_krug:  | 19. Mai | 13 Uhr : https://lnkd.in/ew9VbEP #Bildung #homeschooling",3,3,16
Thomas Sattelberger,@th_sattelberger,2021-05-13T06:37:14.000Z,". 
@GregorGysi
 sagt im Kurzinterview: Kapitalismus kann keinen Frieden wahren. 
Wie seht ihr das? 
Macht mit am 19.5. bei meiner Veranstaltung ""Humane Marktwirtschaft in der digitalen Gesellschaft"". Alle Infos:
https://thomas-sattelberger.de/humane-marktwirtschaft…

https://youtube.com/watch?v=nS-V9shdQpQ…",10,5,26
Thomas Sattelberger,@th_sattelberger,2021-05-12T08:00:01.000Z,"Mein neues Interview im Grow-Magazin von 
@sals_up
. Furchterregende Überschrift mit konstruktiver Botschaft: Innovation wagen lohnt sich - auch wenn wir manchmal Liebgewonnenes dafür zurücklassen müssen. Keep calm, transform and carry on! 
https://thomas-sattelberger.de/sites/default/files/media/docs/THE%20GROW%20Magazin%20First%20Edition%202021.pdf…",2,1,6
Thomas Sattelberger,@th_sattelberger,2021-05-11T13:22:25.000Z,"Interview mit 
@freelancermap
 zu #Scheinselbständigkeit. Staat muss aufhören, Menschen in sog. Normalarbeitsverhältnisse zu zwängen und Solo-Unternehmer & Freelancer mit Bürokratie zu drangsalieren. Wir 
@fdpbt
 wollen hiermit aufräumen nach BundestagswahlScheinselbstständigkeit | Interview mit Tomas Sattelberger
Scheinselbstständigkeit in Deutschland | Interview mit Thomas Sattelberger | Debatte | Entwicklungen ➔ Jetzt lesen!
freelancermap.de",3,15,102
Jan Fleischhauer,@janfleischhauer,2021-05-07T20:22:54.000Z,"Nun seid doch nicht so streng mit der Frau. Erstens steht Ludwig Erhard im politikwissenschaftlichen Seminar in Hamburg nicht auf dem Lehrplan. Zweitens gehört er nun eindeutig zu den alten, weißen Männern, von denen man sich bei den Grünen längst verabschiedet hat #baerbockfailBenedikt Brechtken
@ben_brechtken
 · May 7
Frau @ABaerbock, lügen Sie bewusst oder haben Sie keine Ahnung von der Sozialen Marktwirtschaft?
Show this thread",284,688,3.6K
Thomas Sattelberger,@th_sattelberger,2021-05-08T13:54:09.000Z,"Sie säubern schon ihre eigenen Reihen von „Abweichlern“. Südwest-Grüne wollen Palmer ausschließen | http://tagesschau.deSüdwest-Grüne wollen Parteiausschluss von Palmer
Die Grünen in Baden-Württemberg haben ein Parteiausschlussverfahren gegen den Tübinger Oberbürgermeister Palmer eingeleitet. Er hatte auf Facebook mit Aussagen über Ex-Fußball-Nationalspieler Aogo...
tagesschau.de",368,217,604
Thomas Sattelberger,@th_sattelberger,2021-05-07T17:32:42.000Z,"Lege kein Windei,lieber Schipanski.Das forderten wir seit langem. CDU/CSU wollten es nichtTankred Schipanski
@TSchipanski
 · May 7
Bewegte Debatte zum #Bildungsföderalismus im #Bundestag. Immer mehr Fraktionen schwenken auf den Kurs von @cducsubt ein u möchten den Kooperativen Bildungsföderalismus unseres #GG weiterentwickeln. Gut so! Wir sind bereit.",1,4,19
Thomas Sattelberger,@th_sattelberger,2021-05-07T06:38:22.000Z,"Ein vielversprechender SatzGert Wöllmann
@Gert_Woellmann
 · May 6
EIL +++ EIL +++ EIL 

@Die_Gruenen für FlatTax! Da könnte sich was entwickeln! 
Show this thread",15,4,110
