User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-14T14:24:08.000Z,"Dank an Dr. Josef Schuster vom 
@ZentralratJuden
 für das  kurzfristige Grußwort an den #Bundesparteitag der 
@fdp
.  Er hat zu Recht #Solidarität & Zusammenhalt angemahnt. Radikalisierte #Antisemiten müssen wissen: Es gibt keinerlei Rabatt unter dem Deckmantel angeblicher Proteste!",1,1,11
FDP Sachsen,@fdpsachsen,2021-05-13T08:36:48.000Z,"Es gibt #vielzutun: dieses Wochenende ist Bundesparteitag! Wir sind nicht nur mit vielen sächsischen Ideen dabei, sondern schicken auch 
@torstenherbst
 und 
@theliberalfrank
 in die Kandidatur für den Bundesvorstand.
Bleibt dran, es wird spannend!
#bpt21",,6,24
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-13T08:30:17.000Z,"Absolut inakzeptabel! Das ist kein Eintreten für die Palästinenser, das ist Hass & #Antisemitismus. Beschämend dass das mitten in Deutschland passiert. Aussagen wie diese, dürfen nicht hingenommen werden, egal von wem und wo. Wir alle müssen extrem wachsam sein. #GelsenkirchenZentralrat der Juden in Deutschland
@ZentralratJuden
 · May 13
Judenhass mitten in #Gelsenkirchen vor der #Synagoge. Zeiten, in denen Juden auf offener Straße beschimpft werden, sollten längst überwunden sein. Das ist purer #Antisemitismus, sonst nichts!",8,10,59
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-12T11:53:42.000Z,"Angriffe auf #Synagogen, brennende Flaggen & Hetze gegen Jüdinnen & Juden in Deutschland sind aufs Schärfste zu verurteilen. #Antisemitismus ist keine Meinung! Mehr denn je gilt es, Einrichtungen zu schützen, Straftaten zu ahnden & volle #Solidarität zu zeigen und zu leben.",1,10,39
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-12T10:31:19.000Z,"Es darf nicht sein, dass sich die #Bundesregierung wg. des #Investitionsabkommens von #China|s KP die Regeln für deutsche Stiftungen diktieren lässt. Auch vor diesem Hintergrund ist es richtig, dass das EU-Parlament den Vertrag vorerst ausgebremst hat.China: Deutsche Stiftungen unter Pekings Leitung?
Deutsche Stiftungen in China sollen künftig nur noch von chinesischen Staatsbürgern geleitet werden - so steht es im geplanten EU-Investitionsabkommen. Stiftungen sind empört über die Klausel. Von R....
tagesschau.de",,3,8
Linda Teuteberg,@LindaTeuteberg,2021-05-07T16:07:47.000Z,"„Anmut sparet nicht noch Mühe,
Leidenschaft nicht noch Verstand,
daß ein gutes #Deutschland blühe,
wie ein andres gutes Land. [...] Und weil wir dies Land verbessern,
lieben und beschirmen wir’s.
Und das liebste mag’s uns scheinen
so wie andern Völkern ihrs.“ Bertolt Brecht",30,100,490
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-07T10:45:37.000Z,"Der Gipfel von #EU & #Indien muss Startschuss für eine neue Dynamik mit konkreten Handlungsoptionen werden. Es ist Zeit, endlich strategisch klug zu handeln. Denn #China hat durch die #Seidenstraßeninitiative massiv seinen Einfluss ausgebaut.Operation Neustart: EU und Indien machen gemeinsame Sache gegen China
Indien und die EU gehen aufeinander zu. Sie wollen neue Handelsgespräche und eine Infrastrukturpartnerschaft vereinbaren – aus gemeinsamer Sorge vor dem Machtstreben Pekings.
handelsblatt.com",,,5
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-06T12:17:46.000Z,"Heute Nachmittag im Plenum: Unser Antrag zum flächendeckenden Aufbau von #LongCovid Behandlungszentren. Für viele sind #COVID19 Spätfolgen schon heute Realität. Es gilt alle Fälle systematisch zu erfassen und auszuwerten, damit jeder eine angemessene Behandlung bekommt. 
@fdpbt",1,2,5
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-06T12:00:01.000Z,"Achtung neue Uhrzeit! Die neue Folge ""Sitzungswoche Exklusiv"" beginnt heute schon um 18:30. Mit dabei 
@nicole_ae_bauer
 @_MartinNeumann
 & 
@reinholdmdb
 , die über Long-Covid & Teilhabe & Inklusion sprechen.

https://fb.me/e/8BzsykaX8",,1,7
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-06T08:48:31.000Z,"Solidarität mit Joshua #Wong & der Demokratiebewegung in #Hongkong! Auch die Freiheitskämpfer in #Myanmar & #Belarus brauchen weiter unsere Unterstützung. Die #Bundesregierung sollte sich vehement für ihre Freilassung engagieren.Hongkong: Aktivist Wong zu weiterer Haftstrafe verurteilt
Wegen seiner Führungsrolle bei den Demokratieprotesten in Hongkong sitzt Joshua Wong bereits in Haft. Nun verurteilte ein Gericht den Aktivisten erneut. Er soll illegalerweise an einer Gedenkfeier...
spiegel.de",10,229,239
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-05T15:00:01.000Z,"Kommenden Montag spreche ich mit Dolkun Isa (
@WUiguren
), Wenzel Michalski (
@hrw_de
) & moderiert von 
@bjoernstritzel
 bei der 
@FNFreiheit
 über die aktuelle Lage der Uiguren! #uyghur
https://fb.me/e/Ccn5CIzm",,3,10
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-05T11:54:41.000Z,"Gute Entwicklung: gemeinsame Strategie liberaler Demokratien ggü #China & #EU ratizifiert vorerst nicht das EU-China-Investitionsabkommen. #Bundesregierung braucht auch endlich mehr Klarheit in ihrer Außenpolitik.Blinken: ""Regeln verteidigen"": G7 melden sich mit Kampfansage an China zurück
Einst repräsentierten die G7 die mächtigsten Staaten der Welt. Doch während China seine wirtschaftliche und politische Macht ausbaute, zerfiel die Gruppe der westlichen Führungsmächte. Nun melden...
n-tv.de",,,4
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-04T15:00:00.000Z,"Landesgruppe Ost trifft auf die Landesgruppe Bayern in der neuen Folge ""Sitzungswoche Exklusiv"". Mit dabei 
@nicole_ae_bauer
, 
@_MartinNeumann
 & 
@reinholdmdb
, die über Long-Covid & Teilhabe & Inklusion sprechen.
https://fb.me/e/8BzsykaX8",1,1,4
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-04T13:00:02.000Z,"Ein wichtiger Erfolg in der Bekämpfung des Rechtsterrors: Nun braucht es einen unabhängigen Sonderermittler, der länderübergreifend arbeiten kann, um Hintermänner & bestehende Netzwerke zu identifizieren.Mutmaßlicher Verfasser von ""NSU 2.0""-Drohschreiben festgenommen
Ein mutmaßlicher Verfasser von mehr als 100 teils volksverhetzenden Drohschreiben mit dem Absender ""NSU 2.0"" ist festgenommen worden. Laut Staatsanwaltschaft ist der Mann wegen rechtsmotivierter...
tagesschau.de",,2,6
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-04T11:00:00.000Z,"Impffortschritt wirkt! Deshalb heißt es nun zügig, die Grundrechte aller wiederherzustellen, die bereits immunisiert sind. Um das zu untermauern, haben wir eine aktuelle Stunde im Bundestag beantragt.",,,6
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-04T09:02:33.000Z,"Große Erwartungen an 
@HeikoMaas
: Wir brauchen besser abgestimmte Strategien, transatlantisch & mit Partnern wie Südkorea, Australien, Indien & Südafrika. #G7 brauchen ein Gegenkonzept zu China|s #BeltandRoad.Treffen in London: Russland und China auf der Agenda der G7
Seit zwei Jahren haben sich die G7-Außenminister nicht mehr persönlich getroffen. Die Agenda in London ist daher mehr als voll.
zdf.de",2,1,5
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-03T13:00:02.000Z,"Wie schützen wir erfolgreich Insekten? Darüber sprechen meine Fraktionskollegen 
@GeroHocker
 & 
@G_UllrichFDP
 mit spannenden Gästen morgen mittag, 12:00 Uhr, live auf: https://youtu.be/oqj6dWOurUk",,,2
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-05-03T08:40:04.000Z,"Woher die Differenz zwischen behaupten & tun bei der #Bundesregierung? Wenn es personelle Verbindungen zur Muslimbruderschaft bei #IRD gibt, darf sie kein ""humanitärer Partner"" der EU sein.Israels Regierung besorgt über EU-Förderung von Islamic Relief - WELT
Die EU-Kommission hat Islamic Relief Deutschland als humanitären Partner zertifiziert - obwohl der Verein laut Bundesregierung über Verbindungen zur Muslimbruderschaft verfügt. Nun kommt aus Israel...
welt.de",2,4,18
"Frank Müller-Rosentritt, MdB",@theliberalfrank,2021-04-26T10:25:28.000Z,"Die Berichte von Uigurinnen & #Uyghur|en sind erschrecken. Zeit für Bundesregierung zu handeln, doch eine klare Positionen mag sie nicht beziehen. Am 10.5. werde ich selbst mit Dolkun Isa bei der 
@FNFreiheit
 darüber sprechen.Uiguren: „Es ist enttäuschend, wie Deutschland sich positioniert“ - WELT
China unterdrückt die muslimische Minderheit der Uiguren seit Jahren. Doch der Aufschrei des Westens ist bislang weitgehend ausgeblieben. Erst jetzt hat die EU erste Sanktionen verhängt. Der Präsid...
welt.de",4,236,231
