User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Torsten Herbst MdB,@torstenherbst,2021-05-13T15:11:14.000Z,"""Freilich wird kein Zug schneller, bequemer, pünktlicher, wenn die Flüge teurer werden.""Höhere Flugpreise: Olaf Scholz und seine sinnfreie Symbolpolitik - WELT
Olaf Scholz will, dass Fliegen teurer wird. Doch anstatt sich an den Zeitgeist anzubiedern und Weltenbummlern das Reisen zu vermiesen, sollte die SPD lieber die Bahn schneller und billiger wird...
welt.de",4,6,26
Torsten Herbst MdB,@torstenherbst,2021-05-13T11:25:29.000Z,"Angesichts der Diskussionen um die Erreichung schärferer deutscher Klimaziele fürchte ich um die Zukunft der #Lausitz: Einen vorgezogenen Braunkohle-Ausstieg würde das Kohlerevier nicht verkraften.Energie: FDP-Politiker Herbst warnt vor früherem Braunkohle-Ausstieg
Hier finden Sie Informationen zu dem Thema „Energie“. Lesen Sie jetzt „FDP-Politiker Herbst warnt vor früherem Braunkohle-Ausstieg“.
zeit.de",,3,14
FDP Sachsen,@fdpsachsen,2021-05-13T08:36:48.000Z,"Es gibt #vielzutun: dieses Wochenende ist Bundesparteitag! Wir sind nicht nur mit vielen sächsischen Ideen dabei, sondern schicken auch 
@torstenherbst
 und 
@theliberalfrank
 in die Kandidatur für den Bundesvorstand.
Bleibt dran, es wird spannend!
#bpt21",,6,24
Torsten Herbst MdB,@torstenherbst,2021-05-13T08:14:14.000Z,"Eine wirklich gute Nachricht für die Region #Dresden 
 Neue  Direktverbindungen sorgen für eine attraktivere Bahn 
 #dbVon Dresden direkt an die Ostsee: Deutsche Bahn bietet im Sommer Fahrten nach Binz an
Die Deutsche Bahn hat am Mittwoch ihren Sommerfahrplan vorgestellt – mit einer dicken Überraschung: Erstmals gibt es eine Direktverbindung von Dresden auf die Insel Rügen.
dnn.de",1,1,16
Torsten Herbst MdB,@torstenherbst,2021-05-11T21:10:54.000Z,"Flächenversiegelung vermeiden? Was sonst immer von den Grünen gefordert wird, scheint ausgerechnet bei Windrädern und großflächigen Solarparks in #Sachsen nicht zu gelten. 
@RTLde
 zitiert meinen Alternativvorschlag.Sachsen: Photovoltaik auf Landwirtschaftsflächen ermöglichen
Dresden (dpa/sn) - Sachsen will Photovoltaik-Anlagen auf Acker- und Grünland ermöglichen. Den Entwurf einer Verordnung dazu gab das Kabinett am Dienstag zur ...
rtl.de",,2,13
Torsten Herbst MdB,@torstenherbst,2021-05-09T08:47:00.000Z," Einen Überblick zum Medienecho auf die gestrige Landesvertreterversammlung der 
@fdpsachsen
 in Döbeln gibt's hier: https://facebook.com/torsten.herbst/posts/10159300051077766… #fdplvv #btw21",,,8
Torsten Herbst MdB,@torstenherbst,2021-05-07T10:18:01.000Z,"Seit wann entscheidet 
@EskenSaskia
 nach rein politischem Kalkül darüber, wie lange Menschen, von denen keine Ansteckungsgefahr ausgeht, Grundrechte entzogen werden? Ich empfehle der 
@spdde
-Vorsitzenden einen Schnellkurs im #Verfassungsrecht.Esken gegen Öffnung von Gastro oder Hotels für Geimpfte
Kontaktbeschränkungen sollten für Geimpfte und Genesene laut Saskia Esken aufgehoben werden – Gaststätten und Hotels sollten jedoch nicht für einzelne Personen öffnen, so die SPD-Chefin. Sie verweist...
msn.com",6,1,21
Torsten Herbst MdB,@torstenherbst,2021-05-07T06:38:00.000Z,"""Gendergerechte Sprache - Elitendebatte oder bald Alltagssprache?"" Das Streitgespräch zwischen 
@sis_teract
 (
@tazgezwitscher
)  und 
@a_nnaschneider
 (
@NZZ
), das ich für 
@FNFreiheit
 und 
@WKuelzStiftung
 moderieren durfte, jetzt online zum Nachschauen ... 
https://facebook.com/torsten.herbst/posts/10159295475472766…",,,5
Torsten Herbst MdB,@torstenherbst,2021-05-06T15:45:24.000Z,"Letzter Technik-Check: In einer Viertelstunde startet mein Web-Talk mit Boris Palmer live auf Facebook. Gern stelle ich ihm auch Eure via FB-Kommentar eingehenden Fragen. Ich freue mich auf Euch! 
 https://facebook.com/events/292206452505818…",1,,5
Torsten Herbst MdB,@torstenherbst,2021-05-06T14:41:29.000Z,"Absurd. Wie kann man das eigene Land nicht lieben, sondern hassen, 
@Die_Gruenen
?Grüne wollen „Deutschland“ aus ihrem Wahlprogramm streichen
Die Grünen wollen ans Wahlprogramm ran, um ein Wort zu streichen: Deutschland! Unter den Unterzeichnern sind auch Bundestagskandidaten.
bild.de",4,3,22
