User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Alice Weidel,@Alice_Weidel,2019-10-24T08:24:21.000Z,"Unfassbar: Marco #Buschmann (#FDP) wirft der #AfD-Fraktion ein #Attentat auf den #Bundestag vor - weil wir lediglich unser Recht auf einen Bundestagsvizepräsidenten durchsetzen wollen. Eine Unverfrorenheit, die ihresgleichen sucht!0:22
29.1K views",290,625,2K
Steinhoefel,@Steinhoefel,2019-10-17T10:29:24.000Z,"Ich frage mich gerade, ob es auch einen verlängerten  Arm der Linksterroristen im Parlament gibt. Manche vielleicht sogar deren Anstecknadeln tragen...Kommentar zu Bernd Lucke: Die Antifa gefährdet unsere Freiheit
Die Freiheit der Lehre war an der Universität Hamburg am Mittwoch nicht mehr gewährleistet. Unklar, ob sie es überhaupt noch ist.
bild.de",144,655,2.1K
Alice Weidel,@Alice_Weidel,2019-09-20T11:27:58.000Z,"Tollhaus #Klimakabinett! Verbot von Ölheizungen, Verteuerung von Heizöl, #Benzin, #Diesel, #Kohle und Erdgas: Die Bürger werden gnadenlos für eine Ideologie ausgepresst! #Klimastreik #Fridaysforfuture #Groko",361,734,2.3K
Alice Weidel,@Alice_Weidel,2019-07-03T13:28:27.000Z,"Selbst Diktatoren treten nominell zur Wahl an, bevor sie sich im Amt installieren lassen. Doch in der #EU kann man es ganz ohne den lästigen Wettbewerb bei den Wählern ganz nach oben schaffen. Undemokratische Kungelei und Betrug am Wähler! #vonderLeyen https://facebook.com/aliceweidel/photos/a.1063313067013261/2604791412865411/?type=3&theater…",94,367,1.2K
Dieter Stein,@Dieter_Stein,2019-06-30T12:26:42.000Z,"Lieber Herr Kaeser,
haben Sie sich eigentlich inzwischen ähnlich „mutig“ zur Verletzung von Menschenrechten in China oder Saudi-Arabien geäußert? Nein? Ach so, in den Fällen müßten Sie ja wirtschaftliche Nachteile in Kauf nehmen, nicht wahr?
 https://welt.de/wirtschaft/article195785465/China-Geht-es-um-Menschenrechte-halten-sich-Manager-lieber-raus.html…Joe Kaeser
@JoeKaeser
 · Jun 30, 2019
People who save lives should not be arrested. People who kill, seed and foster hate and harm should be. twitter.com/seawatchcrew/s…",9,73,285
Bundeswehr,@bundeswehrInfo,2019-05-28T10:56:09.000Z,Bunte #Bundeswehr - wie wir in den Streikräften auf Vielfalt setzen. #DiversityDay #FlaggefuerVielfalt http://bundeswehr.de/portal/a/bwde/start/aktuelles/weitere_themen/!ut/p/z1/hY5fC4IwFMW_kXczTX3UpBDFIvu3vcRwwxa2yVjSQx--ReCbdB8O3Ht-93CAwgWoYqPsmJVasd7thC6vWVwdKj_x_eoYI1RUdbwNfYRREMAJzv8Q6mw0MymChgsgLiOaz1hAAxTonY3s5Q3a2F5Yj7XfjkBuTPFe7HSb_g4O5MJrtXKMUyuUlU47w6w203f7NMY5nuRAEM4zHE2d8DtblZuyxkmYF9kehsc6ruuw-wDkQFn9/dz/d5/L2dBISEvZ0FBIS9nQSEh/#Z7_B8LTL2922LU800ILN8O5201043…,684,392,211
Alice Weidel,@Alice_Weidel,2019-01-08T08:38:57.000Z,".
@Frank_Magnitz
, #AfD-#Bundestagsabgeordneter, liegt derzeit schwer verletzt in einem Krankenhaus in #Bremen.
Ursächlich hierfür ist vor allem die alltägliche Hetze gegen die AfD, für die Medien und Politiker der Altparteien verantwortlich zeichnen.
#Magnitz",693,1.1K,2.8K
Gerold Otten,@ttte94,2018-11-30T16:58:51.000Z,"Achtung, Edeka ruft Produkt wegen Verletzungsgefahr zurück https://merkur.de/wirtschaft/rueckruf-bei-edekjj%C4%9F7%C3%9Cberleben… ü",,,
Gerold Otten,@ttte94,2018-07-23T13:41:19.000Z,"Mein aktuelles Interview mit #Nobel&Frei. Gerold Otten (AfD): ""Wir leben doch in einem innenpolitischen Irrenhaus!"" https://youtu.be/-wTw6jxBzY0 via 
@YouTube",1,,2
Gerold Otten,@ttte94,2018-04-13T21:25:32.000Z,"https://youtube.com/watch?v=IdyR6p5sGKw&sns=tw… via 
@youtube",,,1
Gerold Otten,@ttte94,2018-01-16T10:37:25.000Z,"Ich habe mich dort nochmals deutlich gegen den Einsatz ausgesprochen! Zweifel am Einsatz gegen IS: Was soll die Bundeswehr noch in Jordanien?Aktuelle Nachrichten - Inland Ausland Wirtschaft Kultur Sport - ARD Tagesschau
tagesschau.de",,1,2
Gerold Otten,@ttte94,2017-09-23T22:00:48.000Z,"Wenn die SPD ein Kampfjet wäre: Tornado-Experte erklärt Sturzflug von Schulz: https://de.sputniknews.com/politik/20170922317531189-wenn-die-spd-ein-kampfjet-waere-tornado-experte-erklaert-sturzflug-von-schulz/… via 
@de_sputnik",,1,3
Gerold Otten,@ttte94,2017-09-15T08:17:42.000Z,"Wir lassen uns nicht aus der Öffentlichkeit verdrängen! #AfD wird 3. Kraft in Deutschland.Protest-Auftritt der AfD trotz Kreuzbandriss
Beim Aufhängen von Wahlplakaten ist es passiert: „Ich bin von der Leiter gerutscht und dumm aufgekommen“, erzählt Gerold Otten. Jetzt muss sich der AfD-Bundestagskandidat mit einer Knochenabsplitte...
merkur.de",,1,4
Max Otte,@maxotte_says,2017-09-11T11:57:26.000Z,"#Bundestagswahl 
@AfD
 Angela Merkel ist für mich nicht wählbar. Ich wähle diesmal AfD. Prof. Dr. Max Otte, CDU-Mitglied seit 1991.",964,1.3K,2.3K
Gerold Otten,@ttte94,2017-09-06T10:41:56.000Z,"Heute im Münchner Merkur meine Kandidatenvorstellung.Thilo Sarrazin als Ideengeber
Vor der Bundestagswahl am 24. September porträtieren wir die Direktkandidaten. Heute: Gerold Otten (61) aus Solalinden. Er kandidiert für die AfD.
merkur.de",,,
Gerold Otten,@ttte94,2017-07-27T15:52:39.000Z,Kampf gegen Andersdenkende: Hier kein Bier für Fremde Wieder einmal lesenswertes von #Jan Fleischhauer.,,1,
Gerold Otten,@ttte94,2017-07-27T15:51:32.000Z,Kampf gegen Andersdenkende: Hier kein Bier für Fremde Wieder einmal lesenswertes von Jan Fleischhauer.,,,
Gerold Otten,@ttte94,2017-07-25T11:55:52.000Z,Nur dann wird sich in diesem Land etwas ändern!,,,3
Gerold Otten,@ttte94,2017-07-07T10:55:07.000Z,"Gemeinderat will AfD-Veranstaltung verhindern https://merkur.de/lokales/muenchen-lk/taufkirchen-bei-muenchen-ort486320/taufkirchen-gemeinderat-will-afd-veranstaltung-verhindern-8462945.html… Die wahren Demokratiefeinde sitzen in den Parlamenten!Gemeinderat will AfD-Veranstaltung verhindern
Als erste Adresse für Tagungen preist sich das Taufkirchner Kulturzentrum an. Die Attraktivität hat jetzt auch die AfD überzeugt. Sie will hier am Dienstag, 11. Juli, Wahlkampfauftakt im Landkreis...
merkur.de",,,1
Gerold Otten,@ttte94,2017-07-07T10:53:11.000Z,"Von Demokratie weit entfernt https://merkur.de/lokales/muenchen-lk/taufkirchen-bei-muenchen-ort486320/von-demokratie-weit-entfernt-8463059.html…  Ein klares Bekenntnis zu Demokratie und Rechtsstaatlichkeit!Von Demokratie weit entfernt
Der Taufkirchner Gemeinderat fasst unter Ausschluss der Öffentlichkeit den Beschluss, die Wahlkampfveranstaltung der AfD im Kulturzentrum zu verhindern. Sie weigern sich, einer Vermietung des Saals...
merkur.de",,,1
Gerold Otten,@ttte94,2017-06-25T17:51:07.000Z,"Wahlkampfauftakt der 
@AfD_Bayern
 in Ingolstadt. ""Wir rocken Deutschland!""",,,1
Gerold Otten,@ttte94,2017-01-30T08:37:07.000Z,http://metropolico.org/2017/01/27/afd-parteiprogramm-darf-aus-brandschutzgruenden-nicht-verbrannt-werden/…,,,
