User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Manuel Kerber,@sozial_media,2021-03-06T10:35:42.000Z,"Sp(r)itzenreiter bei Erstimpfungen!  

#sichergeimpft #saarland",3,4,26
Der Jungreporter,@derjungreporter,2020-12-23T20:22:47.000Z,"Die beiden Bundestagsabgeordneten 
@NadineSchoen
 & 
@uhl_markus
 im Interview über Ideen & Konzepte, wie sich Politik und Staat verändern müssen, um zukunftsfähig zu bleibenWie kann man Deutschland fit für die Zukunft machen?
Nadine Schön und Markus Uhl im Interview über ihr Buch „Neustaat“, Ideen und Konzepte, wie sich Politik und Staat verändern müssen, um zukunftsfähig zu bleiben.
jungreporter.de",,1,1
August-Wilhelm Scheer Institut,@AWS_Institut,2020-06-26T09:01:37.000Z,"@uhl_markus
 (MdB) im #interview und zu Gast beim 
@AWS_Institut
. #Forschung und Umsetzung der #Digitalisierung. 
Mehr dazu und das Interview mit ihm unter:Mitglied des Bundestag Markus Uhl am Institut
Bundestagsabgeordneter Markus Uhl (CDU) ist am 24. Juni 2020 zu Gast beim August-Wilhelm Scheer Institut gewesen
aws-institut.de",2,1,1
Das Saarland,@saarland_de,2020-04-09T07:49:11.000Z,"Wir Saarländer halten zusammen & bleiben daheim! Wir sind noch nicht über den Berg. Umso wichtiger ist es, dass wir uns auch in den nächsten Tagen – insbesondere an Ostern – in Geduld üben. Wir müssen jetzt noch ein wenig durchhalten!
Machen Sie mit: #DaheimbleibenZusammenhalten",2,32,80
Markus Uhl,@uhl_markus,2020-04-02T09:20:57.000Z,"Bundesinnenminister (
@BMI_Bund
) Horst Seehofer hat entschieden, den Grenzübergang Großrosseln/Petite-Rosselle wieder zu öffnen. Das ist gut für die Pendler und gut für die  Freundschaft. Damit hat sich unsere gemeinsame Initiative gelohnt 
@NadineSchoen
 #saarland #COVIDー19",1,2,5
CDU Deutschlands,@CDU,2020-04-01T15:31:24.000Z,"Kanzlerin Merkel sagte nach der Telefonkonferenz mit den Ministerpräsidenten, die Menschen in  sollten generell auf private Reisen & Besuche, auch von Verwandten, verzichten: ""Eine Pandemie kennt keine Feiertage. Bleiben Sie weiter stark und halten Sie die Regeln ein."" #corona",6,14,27
CDU/CSU,@cducsubt,2019-05-20T08:58:35.000Z,"Am 20. Mai ist #Weltbienentag . Dieser Aktionstag wurde letztes Jahr von der 
@UN
 ins Leben gerufen und soll auf die Bedeutung der #Bienen und ihren gleichzeitig immer kleiner werdenden Lebensraum aufmerksam machen.",19,11,55
CDU/CSU,@cducsubt,2019-05-15T10:20:30.000Z,"Was tun wir für #Familien? #TagderFamilie 

#Baukindergeld #Kindergarten #Kindergeld #Bundestag #cducsubt 
@CDU
 #plsRT 
@frauenunion
 @Junge_Gruppe
 @NadineSchoen
 @MarcusWeinberg",22,21,23
Nico Lange,@nicolange_,2019-05-13T11:46:18.000Z,"Wir setzen auf Innovation, Technologie und Forschung für den #Wohlstand in #Europa statt auf Verbote, Vorschriften und neue Belastungen. 
@akk
 @cdu
 #26MaiCDU #Europawahl2019",6,8,28
CDU/CSU,@cducsubt,2019-05-08T17:44:49.000Z,Wie leben wir im Jahr 2030? Das ist die zentrale Fragestellung unserer Projektarbeitsgruppe #Zukunft und #Innovation. Heute konzentriertes Arbeiten und Austausch mit StartUps aus Bereichen wie #KI #Tech #AugmentedReality u.v.m. #leben2030,7,5,11
CDU Deutschlands,@CDU,2019-05-09T05:01:43.000Z," Für die CDU ist Wohnen eine gesellschaftliche Frage – in der Stadt genauso wie im ländlichen Raum. Zugleich werden Anreize gestärkt, eine Erwerbstätigkeit aufzunehmen. Denn: Leistung muss sich lohnen.  https://cdu.de/artikel/wohngeld-soll-steigen-hilfe-fuer-viele-familien-und-rentner…CDU/CSU
@cducsubt
 · May 8, 2019
Die Bundesregierung hat heute beschlossen, dass #Wohngeld zu erhöhen. Ein wichtiger Schritt, um Haushalte mit niedrigen Einkommen deutlich zu entlasten. Mehr dazu von Ulrich Lange https://bit.ly/2Vo6wpY und @kaiwegner  https://bit.ly/2J6iJZP #Bundestag",9,9,14
Markus Uhl,@uhl_markus,2019-05-09T11:58:38.000Z,"#Saarlandtrend: Stärkstes CDU-Ergebnis bundesweit! #Saarländer wollen ⁦
@cdu_saar
⁩ geführte Regierung und ⁦
@tobiashans
⁩ als MP. #Kommunal höchstes Vertrauen in die #cdu.
Roland Theis aussichtsreichster Saarländer für das Europaparlament.Hans bei Direktwahl knapp vorne
Könnten die Saarländer ihren Ministerpräsidenten oder die Ministerpräsidentin direkt wählen, hätte Amtsinhaber Tobias Hans (CDU) knapp die Nase vorne vor SPD-Chefin Anke Rehlinger. Laut aktuellem...
sr.de",,4,13
