User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Kristin Becker,@kbecker,2021-05-14T16:25:15.000Z,"Das Präsidium (=Führungsspitze) der #FPD hat 12 Mitglieder (9 Posten wählbar). Bislang waren 4 weiblich, nach der Wahl sind es 3. Unter den 12 ist niemand mit Migrationshintergrund und niemand, der ursprünglich aus dem Osten stammt. #fdpbpt21 #Servicetweet",29,48,212
Freie Presse,@freie_presse,2021-05-14T14:30:10.000Z,"In Geschäften herrscht #Maskenpflicht - aber wird die auch konsequent eingehalten? Die ""Freie Presse"" hat sich umgeschaut und die Stichproben ergaben: Der Umgang mit den #Coronaregeln ist mancherorts sehr lasch. Nicht nur durch die Kunden. [FP+]Nicht selten: Regelverstoß beim Einkaufen | Freie Presse - Stollberg
In Geschäften herrscht Maskenpflicht - aber wird die auch konsequent eingehalten? Die ""Freie Presse"" hat sich umgeschaut und die Stichproben ergaben: Der Umgang mit den Coronaregeln ist mancherorts...
freiepresse.de",1,1,3
Freie Presse,@freie_presse,2021-05-14T14:00:53.000Z,"Frischer Wind aus #Tschechien: Kein Katzendreckgestank mehr?
Das Energieunternehmen Sokolovská uhelná hat das geruchsintensive Vergasen von #Kohle eingestellt. Bis #2030 soll der Kohletagebau am Standort auch enden. [FP+]Frischer Wind aus Tschechien: Kein Katzendreckgestank mehr? | Freie Presse - Sachsen
Das Energieunternehmen Sokolovská uhelná hat das geruchsintensive Vergasen von Kohle eingestellt. Bis 2030 soll der Kohletagebau am Standort auch enden.
freiepresse.de",,3,7
BKM Kultur & Medien,@BundesKultur,2021-05-14T12:19:35.000Z,"In der #Künstlersozialversicherung wird die monatliche Nebenverdienstgrenze bis Ende 2021 auf 1300 € erhöht. Staatsministerin Monika #Grütters: „Wir werden weiterhin alles dafür tun, zumindest die finanziellen Folgen der Pandemie für Kreative so weit wie möglich abzufedern.“",3,15,22
BKM Kultur & Medien,@BundesKultur,2021-05-14T09:53:44.000Z,"#NeustartKultur: Mit weiteren 45 Millionen Euro baut der #Bund die #Corona-Hilfen für #Film und #Kino aus. Staatsministerin Monika #Grütters: „Ein Signal dafür, wie wertvoll und wichtig die Film- und Kinobranche für uns ist.“
Mehr dazu: https://bundesregierung.de/breg-de/bundesregierung/staatsministerin-fuer-kultur-und-medien/aktuelles/bund-baut-corona-hilfen-fuer-film-und-kinos-aus-kulturstaatsministerin-gruetters-verleihwirtschaft-ist-entscheidend-fuer-neustart--1914042…",,6,18
Steffen Seibert,@RegSprecher,2021-05-14T11:18:54.000Z,Kanzlerin #Merkel verurteilt die Raketenangriffe gegen #Israel und antisemitische Vorfälle in Deutschland scharf. Antisemitische Kundgebungen wird unsere Demokratie nicht dulden.,399,127,335
Speedweek,@SpeedweekMag,2021-05-13T16:50:03.000Z,"#MotoGP Valentino Rossi: «Lese schon 15 Jahre nichts mehr»Valentino Rossi: «Lese schon 15 Jahre nichts mehr»
Valentino Rossi (42) beantwortete vor dem Frankreich-GP in Le Mans Fragen zu seiner MotoGP-Zukunft und der seines Petronas-Yamaha-Teamkollegen und VR46-Schützlings Franco Morbidelli.
speedweek.com",,1,3
Marco Wanderwitz,@wanderwitz,2021-05-13T16:24:45.000Z,Shalom aleichem Israel,1,1,31
BMEL,@bmel,2021-05-13T06:45:03.000Z,"Sie gestalten am Wochenende Ihren Garten oder Balkon neu? Dann pflanzen Sie doch ein #Bienenbuffet! 

Welche Blumen und Kräuter sich am besten eignen, zeigt unser Online-Lexikon für bienenfreundliche Pflanzen ⇨ https://bienenfuettern.de

#Bienenfüttern ",4,15,30
Botschaft Israel,@IsraelinGermany,2021-05-13T12:33:23.000Z,"""Friede komme über uns"" singen gemeinsam die jüdischen & arabischen Mitarbeiterinnen und Mitarbeiter des Haemek-Krankenhauses in Afula. 

#Frieden #Shalom #SalamFrom 
sami abdulhamid سامي عبد الحميد",13,154,713
