User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
CDU/CSU,@cducsubt,2021-04-14T10:52:16.000Z,"Zukunft gestalten heißt, Menschen mitzunehmen. Bildung, Wissenschaft und Forschung sind dafür wichtige Säule. 2019 gab es mit 325,6 Mrd. € einen neuen Rekordwert. Der #Bund lieferte wichtige Impulse: 10 Mrd. in #Bildung. 19 Mrd. für #Forschung  +32% zu 2014! #JetztZukunft",56,7,18
Anja Karliczek,@AnjaKarliczek,2021-03-30T16:27:57.000Z,"Die ersten Aufschläge sind gemacht auf dem Weg in die Wasserstoffwirtschaft. Jetzt gilt es, diese Knospen flächendeckend zu verankern. Gemeinsam mit Bund, Ländern und Kommunen ...Danke für eine wunderbare Zukunftsperspektive. #zusammenmachenCDU Deutschlands
@CDU
 · Mar 30
.@ArminLaschet: Wir müssen aufhören zu verwalten und anfangen zu gestalten. Mein Ziel: Deutschland kann und soll Wasserstoffland Nummer 1 werden in der Welt. Ich will Klimawohlstand. Das bedeutet, dass wir eine bessere Welt hinterlassen als wir vorgefunden haben. #zusammenmachen",31,5,21
Thomas Heilmann #NEUSTAAT,@ThomasHeilmann,2021-01-15T11:08:45.000Z,"Wir wählen morgen nicht nur einen Vorsitzenden, der unsere Partei einen soll. Wir verabschieden auch eine Vorsitzende, die genau das immer im Blick hatte und ihren eigenen Vorteil hinten an gestellt hat! Dafür sage ich von Herzen Danke, 
@akk
! #wegenmorgen 
@CDU
 #cdupt21 #CDU #akk",24,31,151
BMBF,@BMBF_Bund,2021-01-11T10:05:07.000Z,"Für die Energiewende braucht es neben erneuerbaren Energien im großen Stil auch intelligente Stromnetze: #SmartGrids. #KI -basierte Schutzmechanismen sollen diese vor Angriffen und Störungen schützen. Ein #BMBF -Verbundprojekt forscht daran:  http://ow.ly/jdlJ50D3icp 
@TUChemnitz",11,6,16
BMEL,@bmel,2020-09-18T12:49:33.000Z,"#Waldgemeinsam: Bundestags-Abgeordnete setzen Zeichen für Aufforstung unserer Wälder.

Bundeswaldministerin 
@JuliaKloeckner
 ist Gast bei der Übergabe von Baumsetzlingen durch 
@cducsubt
-Fraktion.

Wer sich für den #Wald engagieren möchte, kann unsere #Waldtage2020 besuchen.",55,19,56
BMBF,@BMBF_Bund,2020-04-12T08:00:35.000Z,"""Das Leben beginnt immer wieder neu ..."" Zu diesem besonderen Osterfest wünscht Ihnen Bundesministerin 
@AnjaKarliczek
 frohe #Ostern – trotz alledem! Bleiben Sie gesund! Die Langfassung des Videos sehen Sie hier: http://ow.ly/m9JC50z9XMw #stayathome",29,10,27
Anja Karliczek,@AnjaKarliczek,2020-03-29T13:20:22.000Z,"Der Tod meines hessischen Kollegen Thomas #Schäfer erfüllt mich mit tiefer Trauer. Meine Gedanken sind bei seiner Familie. Es ist so schwer, in einer solchen Situation tröstliche Worte zu finden. Der Schock macht sprachlos.Staatskanzlei Hessen
@RegHessen
 · Mar 29, 2020
MP #Bouffier zum Tod von Finanzminister #Schäfer: „Wir sind geschockt, fassungslos & unendlich traurig. Jetzt gilt unser Mitgefühl in erster Linie seiner Familie."" Bouffier: „Gerade ihn hätten wir in einer so schweren Zeit besonders gebraucht.“ https://hessenlink.de/2vSny #Hessen",14,3,16
ntv Nachrichten,@ntvde,2020-03-19T15:44:32.000Z,"+ WHO zieht Warnung vor Ibuprofen zurückDer Tag: WHO zieht Warnung vor Ibuprofen zurück
Der Tag
n-tv.de",5,24,49
Wolfgang Stefinger,@StefingerMdB,2020-03-16T10:50:27.000Z,"Es wird mit Hochdruck an einem Corona-Impfstoff gearbeitet. Bundestag stellt zusätzlich 145 Mio. € bereit! Übrigens forscht D für alle, nicht für einzelne Staaten! #coronavirus #forschung #bundestag 
@csu_bt
 @cducsubt
 @CSU",9,18,71
Lars Zimmermann,@larszimmerm,2020-03-14T17:26:49.000Z,"Ganz wichtig: Man kann die vielen Selbständigen, die für oder mit einem arbeiten, jetzt gut unterstützen. Musiklehrer, Fitnesstrainer etc. Bezahlt Sie weiter. Es wird in Zukunft viele Gelegenheiten geben, Stunden abzurufen, aufzuholen etc. Bleibt dabei! Gerade jetzt.",8,55,226
ZDF heute journal,@heutejournal,2020-03-14T22:22:32.000Z,"Es geht nicht mehr darum, zu verhindern, dass Menschen mit dem #Virus zusammenkommen. 
Das ist eine #Pandemie. Sie ist nicht mehr zu stoppen. Es geht um die Verlangsamung. 
#coronavirus #WHO",663,9.8K,21.8K
BMG,@BMG_Bund,2020-03-09T21:02:57.000Z,"Je langsamer sich das Virus ausbreitet, desto besser kann unser Gesundheitswesen damit umgehen. Eine kurze Erklärung:0:08
295.9K views",254,1.8K,3.1K
Ulrich Scharlack,@ulrichscharlack,2020-03-07T06:52:58.000Z,"Forschungsministerin ⁦
@AnjaKarliczek
⁩ stellt mehr Mittel für #Corona-Forschung in Aussicht. Wissenschaftler arbeiten daran, Behandlungsmöglichkeiten und einen Impfstoff zu entwickeln. Wir brauchen aber Geduld. #coronavirus ⁦
@BMBF_Bund
⁩ ⁦Forschungsministerin Karliczek verspricht mehr Geld für Corona-Forschung
Auch deutsche Virologen erforschen mit Hochdruck den neuen Coronavirus. Bundesforschungsminsterin Anja Karliczek (CDU) will mehr Geld dafür bereitstellen. Das Ziel: möglichst bald einen Impfstoff zu...
noz.de",9,9,22
CDU/CSU,@cducsubt,2020-03-08T13:04:49.000Z,"In seinem Statement nimmt 
@rbrinkhaus
 Stellung zur Berichterstattung der 
@BILDamSONNTAG
: ""Aufnahme von Flüchtlingen aus humanitären Gründen ist eine Frage des persönlichen politischen Selbstverständnisses."" – Mehr dazu hier:  https://cducsu.cc/2VSWXOM",78,24,52
BMBF,@BMBF_Bund,2020-03-08T10:01:11.000Z,"""Spannender Physikunterricht ist keine Zauberei“, sagt René Dohrmann von 
@FU_Berlin
. Für die Bund-Länder-Initiative #LeistungmachtSchule entwickelt er Aufgabenformate, mit denen leistungsstarke SchülerInnen im Fach #Physik besonders gefördert werden  http://ow.ly/9MZF50yApnn",2,9,19
Paul Ziemiak,@PaulZiemiak,2020-02-29T07:39:12.000Z,"Jetzt geht es um die Zukunft Deutschlands. Es geht darum zu entscheiden, in welchem  wir leben wollen. Wie wir in der Gesellschaft miteinander umgehen, wie wir wirtschaftsstark & innovativ bleiben. Ich habe Lust darauf, in der 
@CDU
, für dieses Land, für uns alle zu arbeiten.",119,35,122
CDU Deutschlands,@CDU,2020-02-29T07:42:37.000Z,"Rückblick zum Politischen #Aschermittwoch in Recke mit 
@PaulZiemiak
.Paul Ziemiak
@PaulZiemiak
 · Feb 29, 2020
Jetzt geht es um die Zukunft Deutschlands. Es geht darum zu entscheiden, in welchem  wir leben wollen. Wie wir in der Gesellschaft miteinander umgehen, wie wir wirtschaftsstark & innovativ bleiben. Ich habe Lust darauf, in der @CDU, für dieses Land, für uns alle zu arbeiten.",22,6,33
