User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bettina Müller,@BetMueller,2021-05-27T15:45:58.000Z,"Seit 14 Monaten halten Eltern durch, leisten Homeoffice, Kinderbetreuung, Motivation und Freizeitgestaltung unter Pandemie-Bedingungen.
Kinder und Jugendlichen haben besonders zurückgesteckt. Deswegen greifen wir ihnen mit einem vielseitigen Unterstützungsangebot unter die Arme.",,1,2
Bettina Müller,@BetMueller,2021-05-28T19:17:01.000Z,"Freiluftparteitag SPD Main-Kinzig. Glückwunsch an BGM Andreas Hofmann, unseren neuen UB Vorsitzenden!",,,4
Michael Roth MdB,@MiRo_SPD,2021-05-28T11:56:53.000Z,Das freut mich echt: Frank-Walter #Steinmeier möchte als Bundespräsident für und mit uns weiterarbeiten. Er ist ein hervorragendes Staatsoberhaupt - und sollte es bleiben. #meinPräsident,5,7,127
Nancy Faeser,@NancyFaeser,2021-05-28T11:05:48.000Z,"Ich freue mich, dass Frank-Walter #Steinmeier für eine weitere Amtszeit bereitsteht. Er füllt dieses Amt mit Bravour aus und tut unserem Land gut. Gerade in dieser Zeit brauchen wir Kontinuität und Verlässlichkeit an der Spitze des Staates.",,4,37
Ulrich Schulte,@UlrichSchulte,2021-05-28T06:46:47.000Z,"Ausgerechnet die #Grünen mauern beim Sichtbarmachen des #NSU-Terrors. Das ist eine Dialektik, die die Opferfamilien verhöhnt. #NSUAkten
#NSUAktenfreigebenOffenlegung der NSU-Akten: Sture grüne Beamtenlogik
Die hessischen Grünen blockieren die Offenlegung der NSU-Akten. Damit konterkarieren sie das, wofür die Grünen anderswo stehen.
taz.de",,39,95
Norbert Walter-Borjans,@NowaboFM,2021-05-28T09:01:08.000Z,"Danke 
@Huber
 tus_heil! Warum war für diesen wichtigen Erfolg, dass Wohlstand nicht zulasten von Anstand gehen darf, so eine lange Auseinandersetzung mit dem Koalitionspartner nötig - vom Minister für Entwicklungszusammenarbeit mal abgesehen?SPD Parteivorstand
@spdde
 · May 27
Wir kriegen ein #Lieferkettengesetz 

Die Rechte der Menschen, die den hier konsumierten Kaffee produzieren oder die unsere Hosen fertigen, sind mit dem Lieferkettengesetz weltweit besser geschützt. Damit nehmen wir die Unternehmen in die Pflicht. ",6,8,57
SPD Parteivorstand,@spdde,2021-05-27T15:35:42.000Z,"Wir kriegen ein #Lieferkettengesetz 

Die Rechte der Menschen, die den hier konsumierten Kaffee produzieren oder die unsere Hosen fertigen, sind mit dem Lieferkettengesetz weltweit besser geschützt. Damit nehmen wir die Unternehmen in die Pflicht. Hubertus Heil",36,50,282
"Bärbel Kofler, MdB",@BaerbelKofler,2021-05-27T12:54:25.000Z,"Ich bin erleichtert, dass eine Einigung beim #Lieferkettengesetz gefunden wurde und wir das Gesetz noch in dieser Legislatur auf den Weg bringen. Damit endet die Verantwortung der Unternehmen nicht mehr am Werkstor, sondern gilt nun entlang der ganzen Lieferkette.",5,13,81
Ulrich Schulte,@UlrichSchulte,2021-05-27T16:52:22.000Z,"Der Umgang der hessischen #Grünen mit den #NSUAkten ist intransparent, instinktlos und unklug. Mit ihrer sturen Beamtenlogik konterkarieren sie das, wofür die Grünen stehen wollen. #RechtsextremismusOffenlegung der NSU-Akten: Sture grüne Beamtenlogik
Die hessischen Grünen blockieren die Offenlegung der NSU-Akten. Damit konterkarieren sie das, wofür die Grünen anderswo stehen.
taz.de",12,65,205
Katja Mast,@KatjaMast,2021-05-27T13:03:35.000Z,"Deutschland wird das stärkste #Lieferkettengesetz Europas bekommen! Wichtig im Kampf gegen Kinder- & Sklavenarbeit. Die Achtung der #Menschenrechte ist weltweit verpflichtender Bestandteil von unternehmerischer Verantwortung. Ein langes Ringen, das sich lohnt!SPD Parteivorstand  and 3 others",11,15,82
SPD-Fraktion im Bundestag,@spdbt,2021-05-27T16:41:02.000Z,"Das #Lieferkettengesetz ist ein historischer Schritt gegen Ausbeutung, Kinderarbeit und Hungerlöhne, sagt Sascha Raabe. ""Ich freue mich sehr, dass wir den Gesetzentwurf im parlamentarischen Verfahren nochmals verbessern konnten.""Historischer Schritt gegen Ausbeutung | SPD-Bundestagsfraktion
spdfraktion.de",1,6,35
Michael Roth MdB,@MiRo_SPD,2021-05-26T15:07:50.000Z,"Raketenangriffe auf Israel, Antisemitismus in Deutschland, der nahe Osten und was wir tun können: Die neuste Folge #651KM mit 
@katarinabarley
 und mir ist jetzt auf allen Plattformen online. Hört rein, zum Beispiel hier:651KM - von Michael Roth und Katarina Barley: 651KM: Episode 9 auf Apple Podcasts
Sendung 651KM - von Michael Roth und Katarina Barley, Folge 651KM: Episode 9 – 25.05.2021
podcasts.apple.com",,2,7
SPD Parteivorstand,@spdde,2021-05-26T12:44:54.000Z,"„Ich habe einen Klimaclub vorgeschlagen, der ein Zusammenschluss von Staaten sein soll, die sich auf gemeinsame Mindeststandards bei klimapolitischen Maßnahmen verständigen“ erklärt 
@OlafScholz
 bei der #tgk21 der 
@FESonline
. #EuropaSouverän #SovereignEurope",14,9,57
Seeheimer Kreis,@seeheimer,2021-05-26T12:31:16.000Z,"„Es gebe Regionen, die viel zum Wohlstand Deutschlands beigetragen haben – die aber heute nicht mehr so finanzkräftig sein könnten und gleichzeitig noch Schulden aus der Vergangenheit herumschleppten.“

Es ist eben nicht egal, wer regiert. Scholz bekräftigt Forderung nach Altschuldenschnitt
SPD-Kanzlerkandidat Olaf Scholz hat seine Forderung nach einem Altschuldenschnitt für die Kommunen in Deutschland bekräftigt. Gleichwertige Lebensverhältnisse in Deutschland seien nur mit einem...
sr.de",2,9,42
Alexander Schweitzer,@Alex_Schweitzer,2021-05-25T19:35:10.000Z,Lesetipp! (Kann übrigens auch beim lokalen Buchhandel um die Ecke bezogen werden ).Michael Seemann and Ch. Links Verlag,1,2,22
Juliane Seifert,@Juliane_Seifert,2021-05-26T05:18:53.000Z,"Bundesfamilienministerin Christine Lambrecht: „Bei niedrigen Inzidenzen muss (...) alles dafür getan werden, den vollen Regelbetrieb in Kitas und Schulen wieder möglich zu machen, und zwar schnell."" 
@BMFSFJLambrecht: Zurück zum Regelbetrieb in Kitas und Schulen
Millionen Schulkinder haben monatelang viel öfter zuhause gesessen als ihnen lieb ist. Erwachsene feiern die Öffnung der Biergärten - gibt es auch für die Kleinen eine Rückkehr zu Normalität?
morgenpost.de",4,6,21
