User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Mario Brandenburg,@BraFDP,2021-05-26T15:52:47.000Z,#ZeigtHerEureSommeroutfits ,1,,13
Bitkom Events,@BitkomEvents,2021-05-26T15:47:58.000Z,"Is Germany an international center of excellence in #quantumtechnologies? Jana Lehner (
@IBM
), 
@BraFDP
(
@fdpbt
), Raoul Klingner (
@Fraunhofer_IUK
), Claudia Linnhoff-Popien (
@LMU_Muenchen
), Alexander Tettenborn (
@BMWi_Bund
) & Horst Weiss (
@BASF_DE
) discuss this at #quantumsummit21.",1,2,4
Mario Brandenburg,@BraFDP,2021-05-26T07:53:35.000Z,"Dieser Hack demonstriert, wie #LucaApp eine Sicherheitslücke in die Firewall der Gesundheitsämter bohrt - von Datenabfluss bis Ransomwareangriff ist alles drin! (TB)
Ich setze weiterhin auf die #CWA - wie seht ihr das?Marcus Mengs
@mame82
 · May 26
#LucaApp Sicherheitslücke (Video): 
Luca-Nutzer greift Gesundheitsamt mittels manipulierter Kontakdaten an und stiehlt Daten weiterer Nutzer.

Volles Video - einschl. Fortführung des Angriffs bis zur Infektion des Gesundheitsamtes mit Ransomware - im nächsten Tweet verlinkt
Show this thread",1,2,17
Mario Brandenburg,@BraFDP,2021-05-21T13:39:08.000Z,"Vor kurzem noch undenkbar, jetzt traurige Realität: #Uploadfilter.
160 Zeichen - die Länge einer SMS- reichen der Bundesregierung für die Meinungsfreiheit.
Wieder einmal zeigen 
@cducsubt
 & 
@spdbt
 wie Wortbruch geht. (TB)

 https://t-online.de/digital/id_90070226/nach-protesten-bundestag-beschliesst-umstrittene-urheberrechtsreform.html…",,1,10
Mario Brandenburg,@BraFDP,2021-05-20T14:34:06.000Z,"fdpbt - Twitch
FDP-Fraktion im Bundestag. Politisches Startup mit 80 Köpfen. Voller Ideen für Digitalisierung, beste Bildung, starke Wirtschaft und moderne Infrastruktur.
twitch.tv",,,
Mario Brandenburg,@BraFDP,2021-05-20T13:15:37.000Z,"Der #StammTwitch geht in die nächste Runde! 
#Frauenrechte, #Games & #Twitch, 
besser wird es nicht mehr!
Schalte ab 18 Uhr ein und sei dabei, wenn 
@GMaxee
 & ich uns passend zu Digitaler Gewalt in #Brawlhalla battlen! (TB)",1,3,16
Mario Brandenburg,@BraFDP,2021-05-17T10:42:17.000Z,"Freie Universität
@FU_Berlin
 · May 17
Was sind die Anforderungen zukünftiger IT-Sicherheit an Wissenschaft und Politik? Dazu disktutieren am Mittwoch @FU_Berlin-Präsident Prof. Dr. Günter Ziegler mit Wissenschaftler:innen und Mitgliedern des Deutschen Bundestags  https://fu-berlin.de/sites/offenerhoersaal/it-sicherheit-ganzheitlich-denken/termine/20210519-it-sicherheit-ganzheitlich-denken-diskussionsrunde.html…
Show this thread",,,4
Mario Brandenburg,@BraFDP,2021-05-17T10:41:07.000Z,"Niemand darf aufgrund seiner sexuellen Orientierung oder geschlechtlicher Identität diskriminiert oder verfolgt werden. Wir kämpfen für gleiche Rechte, #Anerkennung, #Selbstbestimmung & #Vielfalt!  (TB)

#IDAHOBIT2021 #idahot #lgbtq #idahobit #equality #loveislove",8,12,148
Mario Brandenburg,@BraFDP,2021-05-14T11:47:36.000Z,"Rudi ist auch am Start!  
#bpt21 #vielzutun #fdp (TB)",,,12
Mario Brandenburg,@BraFDP,2021-05-14T11:32:19.000Z,"„Ich war niemals motivierter als jetzt, die 
@fdp
 zurückzuführen in Gestaltungsverantwortung. Wir wollen ihnen mehr Verantwortung für das eigene Leben geben. Wir wollen mehr #Freiheit in diesem Land wieder wagen!“ 
@c_lindner
 
Ich habe so Lust auf Wahlkampf! #bpt21 #VielZuTun",2,2,29
Mario Brandenburg,@BraFDP,2021-05-14T11:15:29.000Z,"„Wir setzen auf die Menschen. Wir vertrauen auf jeden Einzelnen. Wir wollen nicht mehr Staat, sondern mehr #Freiheit & mehr Vertrauen. Das zeichnet uns aus und unterscheidet uns von unseren Mitbewerbern. Und genau das steht wenigen Monaten zur Wahl!“ 
@c_lindner
 #vielzutun #bpt21",,,6
Daniel Föst,@DFoest,2021-05-14T11:13:58.000Z,"""Die Einen setzen auf mehr Staat, mehr Umverteilung, mehr Bürokratismus. Die Anderen setzen auf den Menschen, auf Vertrauen in den Einzelnen & die Innovationskraft der Gesellschaft.
Der Weg der 
@fdp
 ist also klar, wir geben dem Einzelnen mehr Vertrauen und mehr Freiheit""
#bpt21",1,4,49
Mario Brandenburg,@BraFDP,2021-05-14T11:12:55.000Z,"„Wir plädieren für eine einziges zentrales Verbot: für ein Verbot zuviel CO2 auszustoßen. 
Durch ein Limit über die Gesamtmenge. Auf dem Weg dorthin wollen wir uns inspirieren lassen von der Kreativität der #Erfinder und #Unternehmen.“ 
@c_lindner
 #bpt21 #vielzutun",,,7
FDP,@fdp,2021-05-14T11:05:55.000Z,"In diesem Jahrzehnt werden wir uns zur Aufgabe nehmen müssen, die Altersvorsorge auf sichere Säulen zu stellen: gesetzlich, betrieblich, privat!  so 
@c_lindner
 #bpt21 #VielZuTun",4,3,35
Mario Brandenburg,@BraFDP,2021-05-14T11:01:06.000Z,"„Wir 
@fdp
 haben höchsten Respekt vor der #Leistung der Menschen, die es zu etwas gebracht haben. Aber unser Herz - unsere Leideschaft - gehört denjenigen, die noch etwas erreichen wollen.“ 
@c_lindner
 #bpt21 #VielZuTun",1,2,31
Mario Brandenburg,@BraFDP,2021-05-14T11:00:09.000Z,"„Im Zentrum unserer Sozialpolitik steht jede und jeder Einzelne. Jeder soll Autor der eigenen Biografie sein können und dabei möchten wir die Menschen unterstützen.“ 
@c_lindner
 #bpt21 #VielZuTun",,2,17
Marco Buschmann,@MarcoBuschmann,2021-05-14T10:56:44.000Z,"Der größte soziale Skandal ist, dass der Zufall der Geburt über den Weg im Leben entscheidet. Daher brauchen wir Weltspitze in der Bildung. Dazu muss der der Bund mehr helfen bei der Bildung. #bpt21 #vielzutun",14,14,136
FDP,@fdp,2021-05-14T10:46:46.000Z,"Es ist die Marktwirtschaft, die die Pflöcke einschlägt, an denen dann das soziale Netz aufgehängt wird,  so 
@c_lindner
 #bpt21 #VielZuTun",3,7,56
Moritz Körner,@moritzkoerner,2021-05-14T10:53:40.000Z,"„Unsere Sozialpolitik beginnt im Bildungssystem. Die grösste soziale Ungerechtigkeit ist die Bildungsarmut.“ 
@c_lindner
 über unser Mondfahrtprojekt: Verbesserung der Bildungsqualität mit Talentschulen #vielzutun #bpt21",1,6,37
