User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Sebastian Brehm MdB,@Brehm_inNBGNord,2021-05-23T19:10:37.000Z,Als Mitglied des Ausschusses für Menschenrechte des Deutschen Bundestages sage ich ganz klar: Null Toleranz gegen jede Form von Judenhass in Deutschland. Aufstehen und Flagge zeigen ist in diesen Tagen notwendig!,1,,8
Sebastian Brehm MdB,@Brehm_inNBGNord,2021-05-22T13:43:45.000Z,"Mit dem  #Körperschaftssteuer- Modernisierungsgesetz und de #Optionsmodell, mit dem sich Personengesellschaften wie Kapitalgesellschaften besteuern lassen können, haben wir einen wichtigen Schritt hin zu mehr internationaler #Wettbewerbsfähigkeit unseres #Mittelstand|es erreicht.tagesschau
@tagesschau
 · May 21
Familienunternehmen zahlen künftig weniger Steuern http://tagesschau.de/wirtschaft/unternehmen/familienunternehmen-steuererleichterungen-bundestag-101.html… #Familienunternehmen #Bundestag #steuerlicheBesserstellung",2,2,6
Sebastian Brehm MdB,@Brehm_inNBGNord,2021-05-22T13:43:42.000Z,"Wie behandelt man den #Mittelstand? Alle unter #Generalverdacht stellen als #Steuertrickser? Mit 
@csu_bt
 nicht zu machen! Wir wollen #Wettbewersfähigkeit, steuerliche #Entlastung u #Liquidität. #Deutschland und #Mittelstand sind Erfolgsstory und #Markenkern. Das muss so bleiben!",10,6,13
Sebastian Brehm MdB,@Brehm_inNBGNord,2021-05-19T14:10:35.000Z,"Erfreuliche Info von 
@andreasscheuer
 erhalten: #Lärmschutz #A3 für #Buchenbühl kommt. Seit Jahren kämpfe ich mit #Siedlerverein u 
@CSUZiegelstBuch
 dafür. Umsetzung schon 2022 geplant. Großartiger gemeinsamer Erfolg. Dank auch an 
@AloisRainer
 für Unterstützung. #brehmfürnürnberg",,1,7
Sebastian Brehm MdB,@Brehm_inNBGNord,2021-05-16T12:57:28.000Z,"Ich bin dankbar und überwältigt für die große Unterstützung. Ich konnte mit 99,15% wieder als Direktkandidat für den Wahlkreis Nürnberg-Nord für die #bundestagswahl2021 gewählt werden. Gemeinsam mit #MichaelFrieser wollen wieder für Nürnberg #gemeinsamstark sein!",5,2,26
HSS,@HSSde,2021-04-29T06:00:37.000Z,"Neue #Podcast Folge von #BlackBoxBerlin: https://hss.de/ueber-uns/standorte/hauptstadtbuero-berlin/#c46402…. Wir sprechen mit Sebastian Brehm, MdB, 
@Brehm_inNBGNord
 über den #Bundeshaushalt und seine Arbeit als finanz- und haushaltspolitischer Sprecher der CDU/CSU-Fraktion im Bundestag. 
@cducsubt
 #reinhörenlohnt #hss",,3,8
CDU/CSU,@cducsubt,2020-03-12T10:30:31.000Z,"Klare Worte von Fraktionsvize Jung zum Vorziehen des Soli-Abbaus: ""Bundesfinanzminister 
@BMF_Bund
 konnte weder seriös darlegen, wie es finanziert werden soll, noch wie es technisch umgesetzt werden könnte"". 

 Jetzt komplettes Interview anschauen: Andreas Jung im ""ntv Frühstart"": Schaden durch Coronavirus ""noch nicht abzusehen""
CDU-Politiker Andreas Jung will die Abmilderung der Coronavirus-Folgen der schwarzen Null vorziehen. Wichtiger als ein ausgeglichener Haushalt sei es nun vor allem, der Wirtschaft unter die Arme zu...
n-tv.de",6,8,17
Mittelstands- und Wirtschaftsunion (MIT),@MIT_bund,2020-03-09T14:37:46.000Z,"MIT-Steuer- u Finanzkommission wendet sich gegen die Verlagerung der Prüfzuständigkeit für Finanzvermittler von IHKen auf #BaFin. Kommissionschef 
@Brehm_inNBGNord
: ""Die Prüfung der Finanzvermittler funktioniert.Die Verlagerung auf die BaFin würde den Verbrauchern nichts bringen.""",,4,7
Mittelstands- und Wirtschaftsunion (MIT),@MIT_bund,2020-03-09T13:40:54.000Z,"MIT-Steuer- u Finanzkommission ist enttäuscht vom #GroKo-Ergebnis zu #Corona: Verbesserungen beim Kurzarbeitergeld sind gut,aber man bräuchte jetzt schnelle Liquiditätshilfen für betroffene Unternehmen (Sonderkredite KfW+Stundung Steuervorauszahlung) u Vorziehen Soli-Abschaffung.Sebastian Brehm MdB and 4 others",,6,18
Nadine Schön,@NadineSchoen,2020-02-13T19:19:09.000Z,"Zusammen mit @brem_inNBGNord habe ich mich heute mit der #Patientenbeauftragten der Bundesregierung Prof. Dr. Claudia Schmidtke getroffen, um über #MECFS zu sprechen und wie man die Situation für die Betroffenen verbessern könnte. Wir bleiben am Thema dran!",17,24,88
CDU/CSU,@cducsubt,2020-01-30T17:43:09.000Z,"Die #Bonpflicht muss großzügiger gehandhabt werden! Mehr dazu im Video von 
@Brehm_inNBGNord
 und in unserem Faktencheck: https://cducsu.de/spezial/faktencheck-bon-pflicht…",6,6,12
Mittelstands- und Wirtschaftsunion (MIT),@MIT_bund,2019-08-23T21:59:17.000Z,"Wir freuen uns, dass das Konzept der MIT zur Reform der #Unternehmensteuer weitgehend von der 
@cducsubt
 übernommen wurde. Danke an den Vorsitzenden unserer Steuer- u Finanzkommission 
@Brehm_inNBGNord
 und an 
@FGuentzler
.tagesschau
@tagesschau
 · Aug 23, 2019
Union will Unternehmenssteuern senken http://tagesschau.de/inland/union-unternehmenssteuer-101.html… #CDU #Unternehmenssteuer",3,9,40
