User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Cansel Kiziltepe,@CanselK,2017-07-21T06:43:27.000Z,"Es geht um unsere Zukunft: Wir brauchen mehr Zusammenhalt und soziale Gerechtigkeit! #kiezregiert #btw2017 #Gerechtigkeit #spd1:04
23.2K views",52,39,167
Olemia Flores,@Olemia_Flores,2021-05-28T18:25:58.000Z,"#BildetBanden - Spannender parteiübergreifender Austausch im Mentoring-Programm von @elf_berlin 
@HWKolleg
  für Frauen mit #Migrationsgeschichte. Vielen Dank an 
@CanselK
, 
@kirgiane
 @ag_muv
, 
@DiverseView
 @BuntGruen
, 
@ElifEralpBerlin
 @Linkskanax
 und J. Buchmann liberale VielfaltCansel Kiziltepe and 8 others",2,5,14
Cansel Kiziltepe,@CanselK,2021-05-28T09:05:57.000Z,"So geht man nicht mit den Opfern und Familien um! Das ist beschämend.
#nsuaktenfreigeben  #NSU-Akten #NSU-TerrorUlrich Schulte
@UlrichSchulte
 · May 28
Ausgerechnet die #Grünen mauern beim Sichtbarmachen des #NSU-Terrors. Das ist eine Dialektik, die die Opferfamilien verhöhnt. #NSUAkten
#NSUAktenfreigeben
https://taz.de/Offenlegung-der-NSU-Akten/!5769958/…",,3,13
Cansel Kiziltepe,@CanselK,2021-05-28T08:47:39.000Z,"Die Verquickung von Interessen bei der 
@CDU
 ist ja nix Neues!
 #Maskendeals #AserbaidschanconnectionDie „Teststelle Heilmann“ sorgt für Ärger im Berliner Südwesten
Der CDU-Bundestagsabgeordnete Thomas Heilmann macht in Zehlendorf Wahlkampf mit einem alten BVG-Bus, in dem gleichzeitig Corona-Tests vorgenommen werden.
berliner-zeitung.de",3,8,30
Cansel Kiziltepe,@CanselK,2021-05-26T21:39:32.000Z,"Das ist ja das perfide:  Vonovia und DW erzielen ihre Gewinne vor allem aus Buchhaltungstricks und funktionieren als Wette auf die Zukunft! Und wird mit der #Fusion und #Machtkonzentration in Berlin die Bewertung der „Investment Properties“ zunehmen oder abnehmen? #vonoviaArno Gottschalk
@ArnoGottschalk
 · May 26
Replying to @falkinjo_hb
1/n Deine Berechnung basiert auf der Annahme, dass die Vonovia ihre Gewinne mit Mieterträgen verdient. Es mag verwundern: aber das ist nicht so. Vonovia hat in 2020 Vermietungserlöse von 3,07 Mrd. € erzielt. Dem standen auf der Kostenseite gegenüber: -2,2 Mrd. € an Material-,",1,4,13
Cansel Kiziltepe,@CanselK,2021-05-26T19:22:01.000Z,"Hier findet Ihr alle wichtigen Infos:
https://bundesfinanzministerium.de/Content/DE/Pressemitteilungen/Finanzpolitik/2021/05/2021-05-26-sonderfonds-kulturveranstaltungen.html…",1,,4
Deutscher Mieterbund,@DMBMieterbund,2021-05-25T18:09:42.000Z,"Die Milliardenkosten der Übernahme der 
@Deutsche_Wohnen
 durch die 
@Vonovia_SE
 wird irgend jemand bezahlen müssen. Mieterbund-Präsident 
@lsiebenkotten
 befürchtet, das werden die #Mieter:innen sein https://tagesschau.de/multimedia/video/video-868567.html… via 
@tagesschauVonovia will die Deutsche Wohnen übernehmen
Vonovia will die Deutsche Wohnen übernehmen
tagesschau.de",12,35,49
Claus Michelsen,@ClausMichelsen,2021-05-25T11:56:53.000Z,"#Fusion aus #Vonovia & Deutsche Wohnen: Die Pläne dürften die aufgeheizte Debatte um die Enteignung dieser Konzerne befeuern. Es geht nicht nur um die Frage des Geschäftsgebarens, sondern grundsätzlich darum, wer städtischen Raum prägen & gestalten sollte. https://diw.de/de/diw_01.c.818576.de/fusion_von_vonovia_und_deutsche_wohnen_wuerde_europaeischen_immobilienriesen_schaffen.html…",2,19,50
Olaf Storbeck,@OlafStorbeck,2021-05-25T18:06:05.000Z,"Three striking observations about the Vonovia/Deutsche Wohnen €18bn bomber real estate merger:

1) the deal's timing was partly driven by tax considerations. A looming change would make it much harder to avoid paying more than €1bn in stamp duty",2,7,13
Cansel Kiziltepe,@CanselK,2021-05-25T13:43:18.000Z,"Weil etwas missverständlich, nochmal zur Klarstellung: Es ging mir darum, den gesamtwirtschaftlichen Mehrwert der Fusion in Frage zu stellen. Deswegen der Bezug auf #Synergieeffekte. Sicht von Vonovia ist natürlich anders. Die wollen #DW Profite. #VWL vs. #BWL Perspektive.",7,3,8
