User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Chris Kühn,@ChrisKuehn_mdb,2021-05-27T12:26:14.000Z,"Initiative der 
@RegierungBW
 zum §13b #BauGB im 
@bundesrat
! Mit d. strengen Berücksichtigung des Sozialwohnungsbaus & einer Anwendung nur in Wohnraummangelgebieten wird auch der #Flächenfraß begrenzt. 

Freu mich v.a. auf 
@spdde
-Support! #Nachhaltigkeit

https://gruenlink.de/24kk",1,1,10
Chris Kühn,@ChrisKuehn_mdb,2021-05-27T07:30:55.000Z,"Freue mich auf die #Grundsteinlegung des #HouseofOne. Gerade in diesen schwierigen #Zeiten ist der Dialog zwischen den Religionen der Welt umso wichtiger. Es ist gut, dass viele Kolleginnen und Kollegen im #Bundestag dieses Projekt in den letzten Jahren unterstützt haben.zeitzeichen
@zeitzeichenNET
 · May 26
Was vor zehn Jahren mit einer Idee begann, wird ab dem morgigen Donnerstag gebaute Wirklichkeit: Die Grundsteinlegung des #HouseofOne ist ein wichtiger Schritt hin zu dem einzigartigen Bet- und Lehrhaus für Christen, Juden und Muslime. 
https://zeitzeichen.net/node/9059",,1,5
Chris Kühn,@ChrisKuehn_mdb,2021-05-26T08:13:37.000Z,"Ein guter Tag für den #Bundestag und #Europa. Sven Kindler
@sven_kindler
 · May 26
2015 hat Finanzminister Schäuble in EU-Verhandlungen vorgeschlagen #Griechenland aus der Eurozone zu werfen. @ManuelSarrazin und ich haben dagegen in Karlsruhe geklagt und haben jetzt auf voller Linie Recht bekommen. Ein toller Tag für #Europa und Parlamentsrechte! 

@BVerfG  twitter.com/bverfg/status/…
Show this thread",,,8
Konstantin v. Notz,@KonstantinNotz,2021-05-26T05:46:21.000Z,"Leute wie Carsten Linnemann (CDU) sind verständlicherweise verzweifelt. Sie stehen immer in Opposition zur eigenen CDURegierung, schimpfen, maulen, wissen alles besser. Kommt der #Wahlkampf müssen sie dann doch sagen: Noch dieses eine Mal CDU wählen und dann, ja dann, wirklich...RND
@RND_de
 · May 26
Der Chef der #Mittelstandsunion schließt eine grün-schwarze Koalition im Bund aus. ""Die #Gruenen sagen nicht an einer Stelle, wie sie ihre ganzen Versprechen nachhaltig finanzieren wollen"", kritisiert er. https://rnd.de/politik/carsten-linnemann-unter-baerbock-wuerde-sich-die-union-verzwergen-6VUPDCWP3JE4JG4MNJPBKD474U.html…",14,30,236
Chris Kühn,@ChrisKuehn_mdb,2021-05-25T12:46:10.000Z,"#Baugesetzbuch-Novelle, #Wohngipfel, #Energiewende, #Mietspiegel-Reform, Kandidatur für den 20. Deutschen #Bundestag...

Mein neuer Mai-Newsletter ist da! 

https://gruenlink.de/249x

Hier könnt ihr/können Sie ihn bestellen:
 
https://chriskuehn.de/newsletter/",,1,6
Konstantin v. Notz,@KonstantinNotz,2021-05-25T12:16:49.000Z,"Es ist schon sehr speziell, dass #Maaßen mit seinen vollkommen abstrusen Verschwörungstheorien um den #GreatReset , genau die absurd konstruierte Notwehrsituation befeuert, auf die sich die rechtsextreme Terroristen von #Kassel #Hanau #Christchurch #Halle etc. berufen.",40,240,1.8K
Lisa Paus,@lisapaus,2021-05-25T11:59:33.000Z,"Sollte #Vonovia bei dem Mega-Deal mit #DeutscheWohnen Steuerschlupfloch #ShareDeals nutzen, würde das allem die Krone aufsetzen. 

Steuerzahlern könnte so rund 1 Mrd. € entgehen, besonders in #Berlin !!!

Geld, dass man zB. in den gemeinnützigen Wohnungsbau stecken könnte.",196,256,712
Katharina Dröge,@katdro,2021-05-23T12:04:52.000Z,"Herr 
@ArminLaschet
 : Ist das der Stil, in dem Sie und Ihre Leute den Wahlkampf führen wollen? Mit solchen Icons? Finde das ziemlich ekelhaft. Das ist Trump-Niveau. Ich erwarte von Ihnen und auch von 
@CDU
 und 
@CSU
  mehr Anstand...",98,145,1.3K
BÜNDNIS 90/DIE GRÜNEN,@Die_Gruenen,2021-05-24T13:46:30.000Z,"Wie wir Geld und Märkte nutzen können, damit sie für den Klimaschutz arbeiten, haben Robert Habeck und 
@sven_giegold
 in einem Positionspapier zu grüner Finanzpolitik aufgeschrieben:Wie Geld für den Klimaschutz arbeitet
Die richtige Finanzpolitik ist ein entscheidender Faktor, ob Europa seine Klimaschutzziele erreichen kann, schreiben Robert Habeck und Sven Giegold in einem Positionspapier zu grüner Finanzpolitik.
gruene.de",74,47,209
Konstantin v. Notz,@KonstantinNotz,2021-05-23T18:35:45.000Z,"Maunz-Dürig hochhalten statt #Grundgesetz - Dicken Kommentar ehemals mit extrem gestrigen Autoren statt unserer schönen und schlichten Verfassung. Die Frage: Ist daskrasse Ignoranz?
19.4%
extrem nach Rechts?
24.3%
geschichtsvergessen?
12.6%
Dummheit?
43.7%
728 votes
·
Final results",22,13,72
Annalena Baerbock,@ABaerbock,2021-05-23T18:25:13.000Z,"Die erzwungene Landung kommt einer staatlichen Entführung eines Passagierflugzeuges gleich, um einen Regimekritiker festzunehmen. Wir fordern die sofortige Freilassung von #Protasevich. Er muss umgehend und sicher ausreisen können. Genau wie die anderen politischen Gefangenen.1/3",630,1.2K,13.3K
Chris Kühn,@ChrisKuehn_mdb,2021-05-23T10:14:21.000Z,"Guter Vorstoß der 
@RegierungBW
 und von 
@nicolerazavi
 zur Verlängerung der Belegungsbindung der ehemaligen #LBBWWohnungen. Jetzt ist 
@Vonovia_SE
 am Zug ihr Versprechen die Mieten langfristig bezahlbar zu halten einzulösen. #vonoviaStabile Mieten in BW: Wohnungsbauministerin sucht Gespräch mit Vonovia
Besonders in den Ballungsräumen Baden-Württembergs ist Wohnraum rar - erst recht günstiger. Die neue Wohnungsbauministerin Razavi will mit dem Immobilienkonzern Vonovia sprechen, um tausende Wohnun...
swr.de",,,4
Renate Künast,@RenateKuenast,2021-05-22T12:57:25.000Z,"Replying to 
@handelsblattÄh- das haben 
@GrueneBundestag
 schon wiederholt vorgeschlagen. Die neue #Wohnungsgemeinnützigkeit . Leider von der  #SPD bisher nicht unterstützt . #Miete Danke 
@ChrisKuehn_mdb",3,3,87
