User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Thunderstorm Oldenburg e.V.,@Thunderstorm_Ol,2021-05-22T17:56:01.000Z,"RICKEY!!! AUSGLEICH!!!

#Playoffsbaby @ Große EWE Arena https://instagram.com/p/CPLzQ2qnTz5/?utm_medium=twitter…",1,1,5
Dennis Rohde,@DennisRohde,2021-05-22T17:39:31.000Z,"Heute trauern. Dienstag 
@josefheynckes
 feuern. Mund abwischen. Nächste Saison wieder aufsteigen. #werder",7,6,106
RND,@RND_de,2021-05-21T13:38:36.000Z,"Die zu spät gemeldeten Sonderzahlungen an #Baerbock und #Özdemir sind Sand im Getriebe der #Grünen-Wahlkampfmaschine. Die Grünen müssen sich an ihren eigenen Ansprüchen messen lassen. Der Image-Schaden ist groß, findet 
@EvaQuadbeck
.Baerbocks Nachmeldung: Kurz vom hohen Ross hinuntergeschaut
Die zu spät gemeldeten Sonderzahlungen an Kanzlerkandidatin Baerbock und Ex-Parteichef Özdemir sind Sand im Getriebe der Grünen-Wahlkampfmaschine. Die Grünen müssen sich an ihren eigenen Ansprüchen...
rnd.de",9,10,34
Dennis Rohde,@DennisRohde,2021-03-01T21:31:20.000Z,"Und ich hatte schon Sorge, dass der 
@hsv
 wirklich aufsteigen könnte. Wie naiv das war.",1,1,9
Dennis Rohde,@DennisRohde,2021-05-21T10:10:35.000Z,"So. Könnt euch alle wieder beruhigen.Daniela Behrens
@Daniela_Behrens
 · May 21
Replying to @Leo_Kuntscher @NdsLandesReg and @althusmann
Es wird keine Aufhebung der Pflicht zur Mund-Nasen-Bedeckung in #Niedersachsen geben. #MNB rettet Leben.",1,3,11
Dennis Rohde,@DennisRohde,2021-05-19T21:00:31.000Z,Wieso bekommt eine Parteivorsitzende 1500 Euro Coronabonus? #baerbock,191,372,2.6K
Seeheimer Kreis,@seeheimer,2021-05-19T12:08:36.000Z,"Tja, liebe Grüne. Das muss der neue Politikstil sein, den ihr Euch immer auf die Fahnen schreibt.",32,74,364
Dennis Rohde,@DennisRohde,2021-05-14T19:18:32.000Z,Hatte auch mal Völkerrecht. Komme aber auch vom Land. Hatten auch Hühner. Dilemma.,14,27,382
Dennis Rohde,@DennisRohde,2021-05-11T08:57:05.000Z,"Ich will es deutlich sagen: Nach allem, was wir im Untersuchungsausschuss erlebt haben, ist die Entscheidung von VW absolut richtig. Krasse Missachtung des Vergaberechts und vollständiges Negieren von Verantwortung dürfen nicht belohnt werden. #vw #suderKayhan Özgenc
@ZgencKayhan
 · May 11
Sie war die Wunschkandidatin von VW-Chef @Herbert_Diess, aber Niedersachsens Ministerpräsident Stephan Weil und der VW-Betriebsrat verhinderten Katrin Suder als neue IT-Vorständin @jancwehmeyer @BIDeutschland  https://businessinsider.de/wirtschaft/niedersachsens-ministerpraesident-weil-und-der-vw-betriebsrat-verhinderten-katrin-suder-als-neue-it-vorstaendin/?utm_campaign=twitter&utm_medium=onsite_button&utm_source=social…",1,1,16
toto,@josefheynckes,2021-05-07T19:41:31.000Z,Vielleicht kann sich Baerbock ja wenigstens mal bei Rassismus nicht enthalten.,6,10,140
Stephan Anpalagan,@stephanpalagan,2021-04-30T23:39:11.000Z,"Man stelle sich vor, die SPD hätte mit 85% der Stimmen Thilo Sarrazin zum Direktkandidaten für die Bundestagswahl nominiert.

Nun, die SPD hat Sarrazin aus der Partei geworfen, die CDU hat ihren Sarrazin für die Bundestagswahl aufgestellt.

Das ist der Unterschied. Genau das.",123,1.3K,13K
Martin Motzkau,@MartinMotzkau,2021-04-30T19:27:00.000Z,How it started           How it's going,1,8,25
Dennis Rohde,@DennisRohde,2021-04-30T18:19:24.000Z,Ein rechter Verschwörungstheoretiker kandidiert jetzt für die CDU für den Bundestag. War es Armin Laschet egal oder hat er gar kein Standing mehr in der Union?,11,10,155
Dennis Rohde,@DennisRohde,2021-04-30T06:52:35.000Z,"Beeindruckend, wie die Grünen versuchen die Technik der asymmetrischen Demobilisierung von Merkel zu übernehmen. Aber auch sehr platt und offensichtlich.",3,3,49
Dennis Rohde,@DennisRohde,2021-04-29T05:24:05.000Z,"Soso.Liban Farah
@LibanFa
 · Apr 28
Grüne im Bund: 

ClimateAction! Now!! 

Grüne, wenn sie regieren:",1,1,24
Dennis Rohde,@DennisRohde,2021-04-23T10:03:37.000Z,"Wer ein Land führen will, der muss Haltung zeigen. Eine Enthaltung ist keine Haltung.toto
@josefheynckes
 · Apr 23
Nachtragshaushalt mit Unternehmenshilfen, Kurzarbeitergeld und Investitionen in Impfstoffe. Einsatz in Afghanistan. Gesetz gegen Schwarzarbeit. Gesetz zur Ausweitung Masernimpfungen. Wenn man sich bei allem enthält, hat man dann keine Meinung oder ist es ihr nur egal?
Show this thread",2,14,101
Paul Ronzheimer,@ronzheimer,2021-04-21T14:26:50.000Z,"Bei Twitter abmelden, zu Instagram wechseln, ganz viele Ich-Bilder posten und sich dann beschweren, dass man zu sehr auf „Äußerlichkeiten“ reduziert worden sei, ist phantastisch kurios lustig. #Habeck",54,225,2.1K
Dennis Rohde,@DennisRohde,2021-04-21T12:35:12.000Z,Widerlich. AfD schleust schon wieder Querdenker in den Bundestag. Nichts aus den Vorfällen von letzten Mal gelernt.,21,28,248
Martin Greive,@MartinGreive,2021-04-21T07:50:09.000Z,Breaking: Bundesverfassungsgericht lehnt Eilantrag zur Ausfertigung des Eigenmittelbeschluss-Ratifizierungsgesetzes ab. Damit kann Bundespräsident Steinmeier das Gesetz ausfertigen und der EU-Wiederaufbaufonds erstmal an den Start gehen.,1,25,50
MichaelRueter Demokratie lebendiger leben,@MichaelRueter,2021-04-20T14:00:58.000Z,"Zum Glück gibt es einen Kandidaten mit 
@OlafScholz
  der ohne Show und Klamauk das Handwerk versteht und regieren kann! Gutes Interview https://taz.de/Olaf-Scholz-ueber-die-Kanzlerschaft/!5760440/… #SozialePolitikfuerdichOlaf Scholz über die Kanzlerschaft: „Die Stunde der SPD beginnt“
Bundesfinanzminister Olaf Scholz will Kanzler werden. Sein zentrales Projekt: ein Mindestlohn von 12 Euro. Aus den Schulden wolle er herauswachsen.
taz.de",29,28,223
Dennis Rohde,@DennisRohde,2021-04-20T10:23:38.000Z,"An der Losbude kannst du Nieten ziehen. Aber wer nimmt denn die Niete, wenn die Lose offen auf dem Tisch liegen?",2,4,40
