User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Diether Dehm,@Diether_Dehm,2021-05-26T16:03:18.000Z,"Wenn deutsche Panzer wieder an russischen Grenzen stehen + der grüne Parteivorsitzende öffentlich gegen Russland gerichtete Waffenlieferungen fordert!  #Defender #VaccineEquity #SputnikV #Sinovac #CubaPorLaVida #Soberana02 
@spiegelonline
 @SpiegelAnti
  https://diether-dehm.de",3,13,37
Diether Dehm,@Diether_Dehm,2021-05-14T14:12:12.000Z,Hätte mich im Bundestag auf Steuerzahlerkosten mit US-Moderna impfen lassen können. #SputnikV bietet nach Angaben des Gamaleja-Forschungszentrums für Epidemiologie + Mikrobiologie Moskau höhere Immunisierung gegen Mutanten + hat geringere Nebenwirkungen https://diether-dehm.de,3,8,33
Diether Dehm,@Diether_Dehm,2021-05-13T19:38:41.000Z,"Gestern: Dr. Dirk Pohlmann, mein Augen-Operateur. Und tatsächlich: hätte nie gedacht, dass ich noch schärfer sehen kann! Nur auf meine 100 Liegestützen morgens und das Lesen muss ich ein paar Wochen verzichten.",3,1,17
Diether Dehm,@Diether_Dehm,2021-05-10T13:36:42.000Z,Bin weder Impf-Fan noch -Feind! Warum ich mich heute in Moskau mit Sputnik impfen ließ: https://diether-dehm.de/positionen/1544-warum-ich-mich-heute-in-moskau-mit-sputnik-impfen-liess… #VaccineEquity #SputnikV #Sinovac #CubaPorLaVida #Soberana02,52,76,74
Diether Dehm,@Diether_Dehm,2021-05-09T21:19:01.000Z,"Moskau Marx Monument ""Proletarier aller Länder vereinigt Euch"" #TagdesSieges #TagderBefreiung #Feiertag #antifa #8mai",2,16,71
Diether Dehm,@Diether_Dehm,2021-05-09T17:04:10.000Z,"#Moskau : Von der Lubjanka, wo ich Gespräche über unsere Freunde von den RuhrBaronen geführt habe, durch 1000 Kontrollpunkte, zum Roten Platz #TagdesSieges #TagderBefreiung #Feiertag #antifa #8mai",8,8,19
Diether Dehm,@Diether_Dehm,2021-05-02T19:22:15.000Z,"Natürlich hat das hier aber alles GARNIX mit den Coronaregeln der Bundesregierung zu tun. Auch GARNIX mit #allesdichtmachen. Und schon GARNIX mit der Shitstorm-Hexenjagd gegen Liefers & Co. Mir fiel halt nur mal 'ne lustige Sex-Geschichte in den Schoß.Claudia Neidig in „DIE VERFOLGUNG DES DÜNNEN“ (Text: Diether Dehm)
Klar ist Satire noch erlaubt – sogar nach der #nichtganzdicht-HexenjagdNatürlich hat das hier aber alles GARNIX mit den Coronaregeln der Bundesregierung zu t...
youtube.com",1,1,6
Diether Dehm,@Diether_Dehm,2021-04-28T18:13:32.000Z,"Jetzt kommt sogar Merkel in ihrem Impf-Chaos auf Idee, chinesischen Impfstoff zu prüfen. Es wurde aus #NATO-Gründen gegen chinesische+russische Vaccine gehetzt. „Unterlassene Hilfe-Leistung“ nennt man den Straftatbestand. #VaccineEquity #SputnikV #Sinovac #CubaPorLaVida #Soberana",3,5,28
Diether Dehm,@Diether_Dehm,2021-04-28T17:15:50.000Z,"Linse ausgewechselt. Mit der Linken sieht man besser: 
Ich fliege Anfang Mai nach Moskau, lass mich impfen und klage notfalls auf Gleichberechtigung meiner russischen Impfbescheinigung #SputnikV mit #AstraZeneca und #BioNTech. Wollen doch mal sehen… #BioNTechpfizer",11,8,47
Diether Dehm,@Diether_Dehm,2021-04-23T15:01:59.000Z,"#EU ist eine seelenlose, unsoziale Freihandelszone, in der europäische Arbeitsschutzmaßnahmen + Umweltstandards immer weiter verfallen. Es fehlt die Sozialstaatlichkeit + das treibt die Hasen den Rechten in die Küche! #BrexitDiether Dehm: Die EU ist eine seelenlose, unsoziale Freihandelszone!...
Die EU ist eine seelenlose, unsoziale Freihandelszone, in der europäische Arbeitsschutzmaßnahmen und Umweltstandards immer weiter verfallen. So lange das so ...
youtube.com",2,7,15
Diether Dehm,@Diether_Dehm,2021-04-23T10:12:55.000Z,"Meine großartige Genossin 
@SWagenknecht
muss leider aktuell in Corona-Quarantäne das Haus hüten. Umso mehr freue ich mich über Ihren Zuspruch für die an diesem Wochenende anstehenden Nominierungen der LINKEN in #Niedersachsen. Danke Sahra!SAHRA WAGENKNECHT FÜR DIETHER DEHM - 23. April 2021
Meine großartige Genossin Sahra Wagenknecht muss leider aktuell die eigenen via Wände in Corona-Quarantäne hüten. Umso mehr freue ich mich über Ihren Zuspruc...
youtube.com",,1,18
Diether Dehm,@Diether_Dehm,2021-04-23T09:26:50.000Z,"Meine großartige Genossin 
@SWagenknecht
 muss leider aktuell die eigenen via Wände in Corona-Quarantäne hüten. Umso mehr freue ich mich über Ihren Zuspruch für die an diesem Wochenende anstehenden Nominierungen der LINKEN in Niedersachsen. Danke Sahra!",2,4,28
Diether Dehm,@Diether_Dehm,2021-04-22T21:49:15.000Z,"17 kompakte Minuten, die lohnen! Aktuell im Zoom-Talk zum neuen #Infektionsschutzgesetz  + Umgang mit der Krise.NACH WESSEN PFEIFE TANZT DIE BUNDESREGIERUNG? Jan Korte, Friederike...
22. April 2021Friederike Benda (Mitglied des Parteivorstandes DIE LINKE), Jan Korte (Parlamentarischer Geschäftsführer der Fraktion DIE LINKE) und Diether De...
youtube.com",,4,4
Diether Dehm,@Diether_Dehm,2021-04-21T14:45:55.000Z,"NEIN zum neuen #Infektionsschutzgesetz  Grundrechtseingriffe nicht akzeptabel – während gleichzeitig das Kapital unangestastet bleibt. #InfektionsschutzgesetzNEIN! Zum neuen Infektionsschutzgesetz! (21. April 2021)
Selbstverständlich stimme ich gegen das neue Infektionsschutzgesetz. Ebenso wie alle Linken im Bundestag! Die gravierenden Grundrechtseingriffe in das Leben ...
youtube.com",1,9,25
Bundesrat,@bundesrat,2021-04-21T14:35:01.000Z,"Die vom #Bundestag beschlossenen Änderungen am #Infektionsschutzgesetz sind als so genanntes #Einspruchsgesetz formuliert. Was das für die Behandlung im #Bundesrat bedeutet, erklärt #BundesratKOMPAKT https://bundesrat.de/DE/plenum/bundesrat-kompakt/21/1003/1003-pk.html…",9,18,41
Diether Dehm,@Diether_Dehm,2021-04-21T13:30:22.000Z,"NEIN zum neuen #Infektionsschutzgesetz ebenso wie alle Linken im #Bundestag! Die gravierenden Grundrechtseingriffe in das Leben der Bürger, Arbeitnehmer und Gewerkschaften sind nicht akzeptabel – während gleichzeitig das Kapital völlig unangestastet bleibt.",1,7,37
"Żaklin Nastic, MdB",@ZaklinNastic,2021-04-15T17:13:52.000Z,"#Bundesregierung leugnet massive Kunstfreiheitsverletzungen in #Spanien und ignoriert Einschätzungen von Menschenrechtsorganisationen wie #Freemuse & 
@amnesty
, zeigen die Antworten auf meine schriftliche Fragen zu Pablo #Hasél und Co. Beschämend!
@KRLS
 @assemblea_int
 @josepalay",4,101,88
Diether Dehm,@Diether_Dehm,2021-04-16T13:48:38.000Z,"In den Wahlkämpfen, die vor uns liegen: NUR solidarisch, gemeinsam und ohne Mobbing! https://youtu.be/I9pvp7qUOBQ #Wagenknecht #Linke #btw2021""Schluss mit dem Mobbing!"" Dr. Diether Dehm (MdB): Statement zu Sahra...
Sahra Wagenknecht ist (laut Springer) die drittbeliebteste Politikerin des Landes (hinter Merkel & Söder). Andere Medien sehen sie noch weiter vorn. Diese se...
youtube.com",5,11,37
Diether Dehm,@Diether_Dehm,2021-04-16T13:44:39.000Z,"Ich habe beim Wissenschaftlichen Dienst #Bundestag 1 Gutachten in Auftrag gegeben, dieses stützt Kritik an geplanter Änderung #Infektionsschutzgesetz  und zur Lobbytätigkeit bei Rede Amthor im Plenum https://youtu.be/5hlKL8h-dCI  Mehr und link zum Papier: https://diether-dehm.deDr. Diether Dehm: Zwischenfrage an Philipp Amthor am 15.04.2021
Zum Thema schamlose Selbstbereicherung in der Coronakrise, insbesondere im Kontext der sogenannten ""Maskenaffäre"", bei der sich Unions-Politiker nach derzeit...
youtube.com",2,,5
Diether Dehm,@Diether_Dehm,2021-04-15T09:53:39.000Z,"Ich habe beim Wissenschaftlichen Dienst des Bundestages ein Gutachten in Auftrag gegeben, dieses stützt Kritik an geplanter Änderung #Infektionsschutzgesetz - soeben Zwischenfrage hierzu und Lobbytätigkeit bei Rede Amthor im Plenum  https://diether-dehm.de/positionen/1535-bundestagsgutachten-stuetzt-kritik-an-geplanter-aenderung-des-infektionsschutzgesetzes…",,2,11
Diether Dehm,@Diether_Dehm,2021-02-21T12:56:14.000Z,"Viele Veranstalter, Kinos, Theater haben viel Geld in Schutzmaßnahmen investiert, alle Auflagen erfüllt + sind gut vorbereitet. Trotzdem verurteilt man sie seit Monaten zur Zwangsschließung.#kulturzug #kulturgesichter053 #ohneunsistsstill #alarmstuferotDemonstration KULTURZUG der Kulturgesichter053.. in Braunschweig, mit...
Es wäre der Tag des größten Karnevalsumzugs Norddeutschlands gewesen, stattdessen Lockdown! Laut Grundgesetz darf man trotzdem Demonstrieren.Das haben wir ge...
youtube.com",1,5,17
Diether Dehm,@Diether_Dehm,2021-02-15T12:32:39.000Z,"Über 7.000 Unternehmen warten auf die Bearbeitung ihrer Anträge für das niedersächsische Hilfsprogramm ""Neustart Niedersachsen"" #kulturzug #kulturgesichter053: Demo in #Braunschweig #ohneunsistsstill #alarmstuferot https://diether-dehm.de/positionen/aktions-unterstuetzung/1523-kunst-und-kultur-sind-systemrelevant…",,1,4
Diether Dehm,@Diether_Dehm,2021-02-15T12:25:48.000Z,"Über 7.000 Unternehmen warten auf die Bearbeitung ihrer Anträge für das niedersächsische Hilfsprogramm ""Neustart Niedersachsen"" #kulturzug #kulturgesichter053: Demo in #Braunschweig #ohneunsistsstill #alarmstufedunkelrot",,2,4
"Żaklin Nastic, MdB",@ZaklinNastic,2021-02-13T18:08:02.000Z,"Solidarität mit Romana und allen Pflegekräften!

Als 
@Linksfraktion
 sind wir davon überzeugt, dass mit #Gesundheit kein Profit gemacht werden darf. Krankenhäuser gehören in die öffentliche Hand. 
Und: Wer die Wahrheit sagt, darf nicht gekündigt werden!

#SolidaritätmitRomana",9,61,148
Diether Dehm,@Diether_Dehm,2021-02-11T12:14:21.000Z,"Corona: Den Sommer handlungsfrei verschlafen? Meine Kurzintervention zu #SputnikV im Plenum des #Bundestag
#Impfstoff  https://diether-dehm.de",,3,7
