User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Severin Weiland,@SeverinWeiland,2021-05-28T16:17:53.000Z,"Mein Text auf 
@derspiegel
 zum deutsch-russischen Verhältnis:Nach Betätigungsverbot f. drei deutsche NGOs unterbricht deutsche Seite vorerst den 
@PDialog
. Dt. Vorstand R. Pofalla:»Behinderung und Kriminalisierung (...) haben ein unerträgliches Maß erreicht.«Reaktion auf russische Maßnahmen: Petersburger Dialog bricht Gespräche vorerst ab
Die russische Staatsanwaltschaft hat ein Betätigungsverbot gegen drei deutsche Organisationen ausgesprochen. Die deutsche Seite des renommierten Petersburger Dialogs setzt nun ein Treffen aus. Kommt...
spiegel.de",1,1,5
Bijan Djir-Sarai,@DjirSarai,2021-05-28T10:06:54.000Z,"Die Anerkennung des Völkermordes an den Herero und Nama in #Namibia ist zu begrüßen. Nur wer die Dinge beim Namen nennt, wird sie aufarbeiten und die notwendigen Konsequenzen ziehen können. #Kolonialgeschichtetagesschau
@tagesschau
 · 21h
Deutschland erkennt Kolonialverbrechen als Völkermord an http://tagesschau.de/ausland/afrika/deutschland-kolonialverbrechen-namibia-101.html… #Deutschland #Kolonialgeschichte #Namibia",,6,44
Christian Lindner,@c_lindner,2021-05-28T09:20:28.000Z,Die Bereitschaft von #Bundespräsident #Steinmeier zu einer zweiten Amtszeit sehe ich mit Respekt und Sympathie. Er hat sich um den Zusammenhalt in unserem Land verdient gemacht. Angesichts der anstehenden politischen Veränderungen wäre Kontinuität an der Staatsspitze ratsam. CL,1K,257,2K
Bijan Djir-Sarai,@DjirSarai,2021-05-27T16:50:31.000Z,"Bin ein wenig irritiert, aber sehr gespannt, was die Kernbotschaft dieser Sendung sein wird.Das Erste
@DasErste
 · May 27
Der #Antisemitismus der anderen – #Monitor um 21:45 Uhr im Ersten über die rechte Kampagne vom ""importierten Judenhass"": https://www1.wdr.de/daserste/monitor/sendungen/antisemitismus-126.html…",1,1,13
Bijan Djir-Sarai,@DjirSarai,2021-05-26T13:16:30.000Z,"Noch gestern sah Robert Habeck keine Probleme darin, der #Ukraine Waffen für Verteidigungszwecke zu liefern. Heute stellt er klar, dass er damit nur Nachtsichtgeräte usw. gemeint habe.",7,8,50
Ulrich Schulte,@UlrichSchulte,2021-05-26T12:43:07.000Z,"Gestern wollte Robert #Habeck ""Defensivwaffen"" in die Ukraine liefern. Laien wie ich - und der ukrainische Botschafter - verstehen darunter Luftabwehrgeschütze oder Panzerabwehrraketen. Heute spricht Habeck von ""Nachtsichtgeräten"". Vielleicht doch nur Pflaster? #Ukraine #verwirrt",54,105,595
Marta Orosz,@martiorosz,2021-05-24T15:31:56.000Z,"„Das ist Staatsterrorismus“, sagen 
@DjirSarai
 und 
@nouripour
 über die Umleitung der #Ryanair-Maschine und Festnahme von Roman Protassewitsch: #Belarus„Das ist Staatsterrorismus“ – deutsche Politiker fordern harte Konsequenzen nach der Umleitung des...
Außenpolitiker fordern harte Konsequenzen nach der Umleitung der Ryanair-Maschine und der Festnahme eines belarussischen Journalisten.
businessinsider.de",1,11,24
Bijan Djir-Sarai,@DjirSarai,2021-05-23T17:32:01.000Z,Das ist Staatsterrorismus. Ein Flugzeug wird auf dem Weg vom #Griechenland nach #Litauen in #Belarus zur Landung gezwungen. Dort wird ein Regimekritiker festgenommen und verschleppt. Das muss internationale Konsequenzen für Diktator Lukaschenko haben. #Ryanair #EU,19,67,636
Bijan Djir-Sarai,@DjirSarai,2021-05-20T14:20:40.000Z,"Kann ich nachvollziehen. Kenne einen Minister, der mir regelmäßig die politische Lage im Iran erklärt:)Ahmad Mansour
@AhmadMansour__
 · May 20
Ich freue mich sehr, wenn Menschen, die ein paar Wochen Praktikum in #Israel / #Palaestina  gemacht haben, mir mein Land, meine Kindheit, meine Erfahrungen  und meine Erlebnisse erklären und diese für mich einordnen! Danke ",3,1,23
ELNET Deutschland,@ElnetD,2021-05-19T14:40:46.000Z,"""Antisemitische Übergriffe auf Jüdinnen und Juden sind auch Angriffe auf uns, auf unsere #Demokratie und unsere liberalen Werte."" - 
@DjirSarai
 #Bundestag #IStandWithIsrael #IsraelUnderAttackFraktion der Freien Demokraten",2,4,19
Lukas Köhler,@koehler_fdp,2021-05-18T17:36:43.000Z,"Ohne internationale Kooperation kein #Klimaschutz. Die Basis dafür verdanken wir 
@JohnKerry
, dem Architekten des #ParisAgreement. Mega inspirierend, mit ihm über die Marktmechanismen aus Art. 6 und den globalen Emissionshandel zu diskutieren.  müssen gemeinsam vorangehen!Christian Lindner and 3 others",8,10,153
