User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
ZGF Bremen,@zgf_bremen,2021-05-28T04:22:00.000Z,Heute ist der internationale Tag der Frauengesundheit. Gerade Frauen trifft die Corona-Pandemie besonders - auch hinsichtlich ihrer Gesundheit. Mehr dazu bei uns unter http://frauen.bremen.de,,9,11
BVT*,@bv_trans,2021-05-27T17:05:48.000Z,"Aufforderung an 
@mds_ev
 die #Begutachtungsanleitung #trans umgehend zu überarbeiten und Empfehlungen von #VLSP u 
@bv_trans
 in Kooperation mit trans* Personen sowie der entsprechenden Fachverbände umzusetzen.   https://bundesverband-trans.de/stellungnahme_bvt_vlsp/…",1,21,41
Nils Hesse,@nils_hesse,2021-05-27T13:20:50.000Z,"Guter und wichtiger Antrag der Länder, in denen 
@dieLinke
 mitregiert. Bleibt nur zu hoffen, dass sich die Länder, in denen SPD und/oder Grüne ohne die Linke regieren anschließen, damit bessere Arbeitsbedingungen und mehr Lohn bei den Arbeitnehmer:innen ankommen.Bremen in Berlin
@bremeninberlin
 · May 27
Morgen im #Bundesrat: #Bremen, #Berlin und #Thüringen wollen eine Änderung des § 5 #Tarifvertragsgesetz um die #Tarifbindung in Deutschland zu stärken. Ziel unseres Antrags ist die Allgemeinverbindlichkeitserklärung von Tarifverträgen zu erleichtern. #bremeninberlin @SWAEBremen twitter.com/bundesrat/stat…",,3,6
LSVD-Bundesverband,@lsvd,2021-05-26T15:20:03.000Z,"#Abstammungsrecht Bei lesbischen Paaren mit Kind steht in der Geburtsurkunde nur die leibliche Mutter. Die Stiefkindadoption vor Gericht durchzubringen, kann Jahre dauern. Finanzen, Psyche, Familienleben, Führungszeugnis: Alles wird durchleuchtet.Adoptionszwang bei lesbischen Paaren mit Kindern
Die Elternschaft durchzubringen, kann Jahre dauern. Finanzen, Psyche, Familienleben, Führungszeugnis: Alles wird durchleuchtet.
ndr.de",2,12,25
Eva Schöck-Quinteros,@esqbremen,2021-05-26T15:12:52.000Z,"Milliardäre sind die Pandemiegewinner https://zeit.de/wirtschaft/2021-05/vermoegenskonzentration-corona-pandemie-ungleichheit-milliardaere-zunahme-reichtum-aktienmarkt?wt_zmc=sm.ext.zonaudev.twitter.ref.zeitde.share.link.x… via 
@zeitonlineVermögenskonzentration: Milliardäre sind die Pandemiegewinner
Während die Wirtschaft eingebrochen ist, haben die 2.700 Milliardäre weltweit im Corona-Jahr ihr Vermögen um 60 Prozent gesteigert. Was für eine perverse Entwicklung.
zeit.de",1,5,10
Doris Achelwilm,@DorisAchelwilm,2021-05-26T15:09:15.000Z,"Jeff Bezos hat in der Krise 75 Milliarden Dollar dazuverdient und geht jetzt in Hollywood groß shoppen - während Kino- + Filmbranche unter Pandemie-Folgen ächzt. 

Krisengewinner Amazon & Co. besteuern! Monopolbildungen verhindern!

https://spiegel.de/wirtschaft/soziales/amazon-kauft-mgm-fuer-rund-8-5-milliarden-dollar-a-da345a9a-3b60-401e-bbc8-68a2c9cc4d53…Amazon kauft MGM für rund 8,5 Milliarden Dollar
Milliarden-Deal in der Filmbranche: Amazon übernimmt das Hollywood-Studio Metro Goldwyn Mayer (MGM) – und erwirbt so die Rechte an vielen Kinoklassikern, darunter die James-Bond-Filme.
spiegel.de",,3,10
OXI,@oxi_blog,2021-05-25T04:30:33.000Z,Nächster Versuch: Übernahmeangebot der #Vonovia an Aktionär*innen der #DeutscheWohnen; Kaufpreis bei knapp 19 Milliarden Euro; wenn Kartellbehörden zustimmen: Europas größter Konzern für Wohnimmobilien. https://de.vonovia-st.de/download/companies/ma1056/1056_01corporate/210524_Pressemitteilung_Vonovia_dewo.pdf…,1,7,12
Rebecca Vincent,@rebecca_vincent,2021-05-24T11:50:58.000Z,"I’ve noticed this in other mainstream reporting too. Roman Protasevich is a journalist. This is an attack on journalism. Now is the time for solidarity to show that this will not be tolerated, in Belarus or anywhere - otherwise international travel becomes unsafe for all.emily bell
@emilybell
 · May 24
Listening to the BBC reports about Protasevich this morning, they are using the phrase ‘prominent opposition activist’ , but not ‘journalist’ which is how the NYT, and others,  are describing him https://nytimes.com/2021/05/23/world/europe/roman-protasevich.html?referringSource=articleShare…",6,29,69
Georg Restle,@georgrestle,2021-05-23T15:44:32.000Z,"Wäre schön, wenn unsere Grundrechte nicht nur für Sonntagsreden taugen. Beispiel: Diskriminierungsverbot, Artikel 3 Grundgesetz. Da gäbe es noch jede Menge zu tun. Nicht nur bei der Polizei. #TagdesGrundgesetzes",26,59,382
Doris Achelwilm,@DorisAchelwilm,2021-05-22T15:25:04.000Z,Ohne Worte.  #Werder,,,7
Dietmar Bartsch,@DietmarBartsch,2021-05-22T07:52:20.000Z,Wir wollen das Land gerecht machen. Dazu gehört für uns: Hinsehen und die Opfer von rechter Gewalt wirksam schützen. Diese Selbstverpflichtung von Staat und Gesellschaft wollen wir im #Grundgesetz verankern. #Grundgesetzfueralle #Artikel3,50,31,218
linksfraktion,@Linksfraktion,2021-05-22T07:50:25.000Z,".
@Amira_M_Ali
: Eine Ergänzung von Artikel 3 ist überfällig, sie wird seit 1994 immer wieder aufgeschoben. Gleichheitsgrundsätze müssen deutlich und bindend sein, insbesondere zum Schutz von Minderheiten. #Grundgesetz #Grundgesetzfueralle #Artikel3",1,11,25
Petra Tabarelli,@ClioMZ,2021-05-21T19:21:26.000Z,"Für mehr Frauen. 
Für mehr Diversity. 
Für mehr Gleichstellung. 
Für mehr Fußball.
#FussballKannMehr",1,20,74
Jörg Reichel (dju in ver.di),@ver_jorg,2021-05-21T13:33:25.000Z,"#b2105 15:00 Berlin Querdenken: Geht ja schon mal gut los. Polizei fragt Journalist*innen ab, für wen sie arbeiten würden. Wir haben denen dann erklärt, dass wir seit Jahren versuchen der 
@polizeiberlin
 „beizubringen“, dass es für dieses Daten sammeln keine Rechtsgrundlage gibt.0:02
7.5K views",10,81,297
Doris Achelwilm,@DorisAchelwilm,2021-05-21T19:23:17.000Z,"Queerpolitische Kampfwoche im #Bundestag geht zu Ende. Bei allem, was blockiert wurde (Union gönnt nicht mal #TSGabschaffen + #Artikel3-Nachtrag zum Schutz queerer Menschen):  an alle , die für ihre Rechte kämpfen, you’ll win. Dank des Tages an Kampagne #GrundgesetzFuerAlle!Dietmar Bartsch and Amira Mohamed Ali",,6,29
