User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dorothee Bär,@DoroBaer,2021-05-28T09:15:10.000Z,"Lange habe ich mich dafür eingesetzt– endlich ist der Weg frei für das #FüPoG II Vorstandsmitglieder erhalten einen Anspruch auf Mutterschutz & auf Wiederbestellung –und nicht nur die Möglichkeit.Damit wird #stayonboard umfassend umgesetzt. Freue mich, dass uns das gelungen ist!",9,7,88
Nadine Schön,@NadineSchoen,2021-05-28T08:09:09.000Z,"Replying to 
@BoehringerMai
 @RND_de
 and 10 othersWir sind geeint. Wir haben #stayonboard integriert und kleine Änderungen für kleine Kassen und bei den Übergangsfristen gemacht. Für mich bleibt unverständlich, warum sich die SPD mit den Forderungen von #stayonboard so schwer getan hat. Doch das Ergebnis kann sich sehen lassen.",1,2,8
Joe Chialo,@ChialoJoe,2021-05-26T15:55:49.000Z,"Das Gespräch mit 
@DoroBaer
 jetzt als Podcast und in voller Länge. Tune in! 
https://open.spotify.com/episode/24JZJIGjZZ9yw2BSdHRV8O?si=KzGNr6PQTW2tF-cRcFElKA…",3,2,26
Stiftung Digitale Spielekultur,@Digitale_Spiele,2021-05-21T12:23:00.000Z,"Teil des gestrigen Digital #Accessibility Summit von 
@BBMB_bund
 & 
@DoroBaer
 war ein Panel über „Barrierefreies #Gaming"". 
@dlfkultur
 hat mit Panelist Dennis Winkens (
@WheelyWorld
)  von „Gaming ohne Grenzen"" über inklusives Spielen gesprochen. Barrierefreie Computerspiele - Zocken per Mundsteuerung
Wer Games liebt und eine Behinderung hat, kann sich beim Zocken auch mal ärgern: Nicht alle Computerspiele sind barrierefrei. Dennoch: Es hat sich viel getan in den vergangenen Jahren, berichtet
deutschlandfunkkultur.de",,6,10
Dorothee Bär,@DoroBaer,2021-05-20T22:27:08.000Z,Yes! e-ID beschlossen! #plenum,34,31,346
Diane Arapovic,@ara_diane,2021-05-20T18:22:55.000Z,"@republica
 2021 nur im Netz und jetzt auf 
@radioeins
 mit 
@brodnig
 @AnnaDushime
 @DoroBaer
 @lebenundlassen
  und später hier        https://radioeins.de/themen/multimedia_medien/republica/https://www.radioeins.de/themen/multimedia_medien/republica/…",,1,3
Kilian Knoerzer,@cellx,2021-05-20T15:47:51.000Z,"Tolles barrierearmes inklusives Event, kann so gut mitverfolgen. Vorbild: große #Untertitel & #Gebärdensprache. Weiter so& gebt solche Formate bitte weiter.  
@BBMB_bund
 @Digital_Bund
 @barrierefrei
 @DoroBaer
 #DAS2021 #Digitalisierung #Barrierefreiheit #Inklusion #LeichteSprache",,8,17
Behindertenbeauftragter der Bundesregierung,@BBMB_bund,2021-05-20T16:25:35.000Z,"Die Gastgeber*innen 
@DoroBaer
 und Jürgen Dusel und die Moderatorinnen 
@SabrinaNdiaye
 und 
@OlbrichSandra
 in der Abschlussrunde zum Digital Accessibility Summit 2021! Vielen Dank an alle Gäste und Zuschauer*innen für die Teilnahme, das Interesse und die rege Beteiligung!",3,2,18
CDU/CSU,@cducsubt,2021-05-20T15:20:59.000Z," VORMERKEN! Um 19 Uhr startet der #JetztZukunft-Talk zum Thema ""Unseren Staat neu denken"". 
@rbrinkhaus
 und 
@NadineSchoen
 diskutieren mit 
@DoroBaer
,  
@daniel_dettling
, Anna Herrhausen von 
@AHG_Berlin
 und 
@rpArnsberg
. 

 Live unter: http://cducsu.de/livestream",10,8,22
Marc Groß,@GrossMarc,2021-05-19T19:05:55.000Z,"Es war ein wahnsinnig spannendes #Barcamp: 20 Sessions zum Thema #Nachhaltigkeit | Über 200 Teilnehmende. Vielen Dank an alle, die das Event so erfolgreich gemacht haben. Besonderen Dank an 
@DoroBaer
 vom 
@BK_Amt
 für Deine virtuelle Begrüßung und die Schirmherrschaft. #bccolab21Marc Groß and 5 others
Co:Lab
@Colab_digital
 · May 19
Nach 3 1/2h geht unser BarCamp #bccolab21 zu Ende. Spannende Sessions mit interessanten Diskussionen und neuen Perspektiven. Herzlichen Dank an alle Session-Geber:innen und Teilnehmer:innen!
#Digitalisierung #Nachhaltig #OpenGovWeek",,2,17
