User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Bundeswehr,@bundeswehrInfo,2021-05-29T10:58:10.000Z,Heute ist der Int. Tag der #Friedenssicherungskräfte der Vereinten Nationen. Seit 2002 würdigt er die Arbeit aller Angehörigen der #UN-Friedensmissionen. Die #Bundeswehr beteiligt sich derzeit mit 1.070 #Soldaten und #Soldatinnen an fünf UN-Missionen. https://bmvg.de/de/frieden-sicherheit-bundeswehr-einsatz-un-united-nations?fbclid=IwAR1UUG-tR1hDCL1NBhcfP41GIj3ADMLTxamj86Sz-m1oSrtftPeUbkQXFsI…,2,14,76
United Nations,@UN,2021-05-29T04:05:00.000Z,"Saturday is Int'l Day of UN Peacekeepers! 

More than 90,000 men & women work in 12 peacekeeping missions worldwide to:

 Protect civilians
 Help achieve & maintain peace
 Defend human rights & much more

We thank them for their service!

https://peacekeeping.un.org/en/what-we-do #PKDay",45,177,388
andrea roemmele,@andrearoemmele,2021-05-29T10:33:59.000Z,"Lieber Henrik, es war uns eine Ehre! nothing but #hertielove
Visionär, Europäer, LeaderVisionär, Europäer, Leader
Der Ökonom und Präsident der Hertie School, Henrik Enderlein, ist verstorben. Seine Kollegen erinnern sich. Ein Nachruf.
tagesspiegel.de",4,22,134
Cerstin Gammelin,@CerstinGammelin,2021-05-29T08:10:00.000Z,"Henrik Enderlein, einer, der das Deutsch-Französische so unbedingt lebte Ein Nachruf (via 
@SZ
 )Henrik Enderlein ist tot: Nachruf auf den Deutsch-Franzosen
„Europa vereint denken“, das war das Motto von Henrik Enderlein. Der Ex-Präsident der Hertie School ist an seiner Krankheit gestorben.
sueddeutsche.de",4,37,143
Jacques Delors Centre,@DelorsBerlin,2021-05-28T18:08:25.000Z,"Wir, das Team des Jacques Delors Centre, verlieren mit unserem Gründungsdirektor 
@henrikenderlein
 einen großen Europäer und einen tollen Menschen.
https://delorscentre.eu/de/ueber-uns/neues/detail/content/in-memoriam-henrik-enderlein…",5,39,169
Miguel Berger,@MiguelBergerAA,2021-05-27T16:44:41.000Z,"Today former Fed. Minister Christian Schmidt was appointed new High Representative for #BosniaAndHerzegovina  will closely work with him & stakeholders to speed up BiH’s path from Dayton to Brussels! Congratulations & thanks to Valentin Inzko for the great cooperation 
@OHR_BiH",4,17,37
CDU/CSU,@cducsubt,2021-05-27T13:57:51.000Z,"Presseinfo
@JoWadephul
: Betätigungsverbot für zivilgesellschaftliche Organisationen in Russland nicht hinnehmbarBetätigungsverbot für zivilgesellschaftliche Organisationen in Russland nicht hinnehmbar
Am 26. Mai hat die russische Generalstaatsanwaltschaft drei deutschen zivilgesellschaftlichen Organisationen ein Betätigungsverbot in Russland erteilt. Hierzu erklärt der stellvertretende Vor...
cducsu.de",10,11,31
Johann Wadephul,@JoWadephul,2021-05-27T14:19:24.000Z,"Für uns ist klar: Die mit einem Betätigungsverbot belegten Organisationen haben unsere volle Solidarität. 
@LiberaleModerne",3,3,16
LibMod - Zentrum Liberale Moderne,@LiberaleModerne,2021-05-27T12:20:06.000Z,".
@fuecks
 und 
@MarieluiseBeck
 zur der Ent­schei­dung der rus­si­schen Behör­den, das Zentrum Libe­rale Moderne als „uner­wünschte aus­län­di­sche Orga­ni­sa­tion“ ein­zu­stu­fen. 
 https://libmod.de/pm-entscheidung-russischen-behoerden-libmod-unerwuenschte-auslaendische-organisation/…",1,38,81
EPP/CD group in the Council of Europe,@CoeEpp,2021-05-27T13:45:40.000Z,"Standing Committee to meet by videoconference on 28 May from Budapest with 
@LeventeMagyar
 ,  
@nicostornaritis
 Rapporteur for ""Role of parliaments in implementing the United Nations global compacts for migrants and refugees"" 
@PACE_News
 @PACE_MigrationStanding Committee to meet by videoconference on 28 May
The Standing Committee (*) of the Parliamentary Assembly of the Council of Europe (PACE) will meet by videoconference on Friday 28 May 2021. After the opening of the meeting by PACE President Rik...
pace.coe.int",1,4,5
