User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Michael Theurer,@EUTheurer,2021-05-07T15:07:05.000Z,"Die GroKo behauptet, die #Bundesnotbremse habe die 3. Welle gebrochen.

Nur sinken die Zahlen in der Schweiz sogar schneller als bei uns. 

Die Schweiz hat bereits Anfang März Läden, Museen, Außensport und Zoos geöffnet, Mitte April Außengastro, Kinos, Theater, Fitnessstudios.",37,99,561
Michael Theurer,@EUTheurer,2021-05-29T08:55:55.000Z,https://m-faz-net.cdn.ampproject.org/c/s/m.faz.net/aktuell/wirtschaft/nachruf-auf-henrik-enderlein-der-europaeer-17364221.amp.html… Henrik Enderlein war ein Wissenschaftler mit Tiefgang und Weitsicht. Als überzeugter Europäer empfand er die vielfach geäußerte Kritik an der EU als Ansporn konstruktive Lösungen zu entwickeln. In vielem war er dabei ein Visionär. Er wird mir fehlen.,1,5,19
Michael Theurer,@EUTheurer,2021-05-21T07:03:05.000Z,"Bei der gestrigen Kundgebung des ""Solidaritätsbündnisses Israel"" waren wir Freie Demokraten in starker Zahl vertreten. #WestandwithIsrael 
@fdpKonstantin Kuhle and 5 others",10,13,158
Michael Theurer,@EUTheurer,2021-05-20T13:45:26.000Z,"Wer in Mittelstand & Familienunternehmen in Friedrich Merz einen Verbündeten gesehen hat, dürfte von seiner Offenheit für eine höhere Erbschaftsteuer wohl etwas enttäuscht sein...Thomas Sigmund
@ThomasSigmundHB
 · May 20
Für @_FriedrichMerz wird die Verbotsliste der #Grünen  immer länger. Wenn es keine Kurzstreckenflüge mehr gibt, will er aber auf keinen Fall mit Lastenfahrrad nach Mallorca fahren. https://handelsblatt.com/politik/deutschland/interview-friedrich-merz-offen-fuer-hoehere-erbschaftsteuer-absage-an-vermoegensteuer-haben-wir-bereits/27207898.html…? @handelsblatt #CDU #CSU @ArminLaschet #FDP #SPD",,,8
Marco Buschmann,@MarcoBuschmann,2021-05-18T16:51:24.000Z,"Das Institut 
@insa_mafo
 sagt: 
@c_lindner
 und Wolfgang Kubicki sind jetzt beliebter als 
@ABaerbock
. 
@ArminLaschet
 taucht gar nicht auf. 
@OlafScholz
 ist für Christian in Schlagweite. Gute Aussichten!",47,41,443
Michael Theurer,@EUTheurer,2021-05-16T07:49:51.000Z,"Pläne für grüne Kanzlerschaft: Baerbock sagt Kurzstreckenflügen Kampf an - http://n-tv.de Grüne = Verbotspartei. #ABaerbock will Aus für Mallorca von Stuttgart, Frankfurt, München, Köln. #fdp will stattdessen klimaneutrales #eKerosin #WasserstoffPläne für grüne Kanzlerschaft: Baerbock sagt Kurzstreckenflügen Kampf an
In einem Zeitungsinterview skizziert Grünen-Spitzenkandidatin Baerbock ihre ersten Schritte im Fall eines Wahlsiegs. Sie will ein Sofortprogramm für Klimaschutz auf den Weg bringen: Kampf gegen...
n-tv.de",51,16,100
Michael Theurer,@EUTheurer,2021-05-14T14:52:00.000Z,"Herzlichen Glückwunsch 
@nicolabeerfdp
 zur Wahl zur 2. stellv. Parteivorsitzenden. #Bpt21 #Vielzutun",1,,11
Michael Theurer,@EUTheurer,2021-05-14T14:38:29.000Z,Herzlichen. Glückwunsch Wolfgang Kubicki zur Wahl zum ersten stellv. Vorsitzenden. #BPT21 #Vielzutun,1,2,47
Michael Theurer,@EUTheurer,2021-05-14T14:27:54.000Z,"Herzlichen Glückwunsch 
@c_lindner
 zu diesem tollen Ergebnis. #Lindner #BPT21 #Vielzutun",1,3,40
Michael Theurer,@EUTheurer,2021-05-14T06:07:17.000Z,"https://bild.de/politik/inland/politik-inland/exklusives-bild-interview-spahn-spricht-vom-ende-der-maskenpflicht-76385000.bild.html… 
Ende der #Maskenpflicht, sobald genug #Impfstoff für alle da sind, das ist eine gute Nachricht! Wort halten und liefern 
@jensspahnExklusives Bild-interview: Spahn spricht vom Ende der Maskenpflicht
Seit über einem Jahr gilt in Deutschland die Maskenpflicht. Überraschend spricht Jens Spahn jetzt von einem Ende der Maskenpflicht. 
bild.de",2,1,6
Michael Theurer,@EUTheurer,2021-05-12T20:40:40.000Z,"https://bild.de/bild-plus/politik/inland/politik-inland/altmaier-zum-klimagesetz-nicht-handeln-waere-steilvorlage-fuer-gruene-76375040,view=conversionToLogin.bild.html… Wenn Nicht-Handeln tatsächlich eine Steilvorlage für #Gruene ist, dann ist Bundeswirtschaftsminister 
@peteraltmaier
 kein Delivery Hero sondern der ungekrönte Flankenkönig von Steilvorlagen für 
@ABaerbock
! Keiner hat mehr angekündigt und weniger geliefertAltmaier zum Klimagesetz: Nicht-Handeln wäre „Steilvorlage“ für Grüne!
Nur 13 Tage nach der Rüge des Bundesverfassungsgerichts hat sich das Kabinett am Mittwoch auf eine Verschärfung des Klimaschutzgesetzes geeinigt. Das Ziel: Klimaneutralität in Deutschland bis 2045....
bild.de",7,7,45
Michael Theurer,@EUTheurer,2021-05-11T06:31:43.000Z,"Ganz und gar un-schwäbisch: 16 Staatssekretäre (so viel wie nie) und ein zusätzlicher Minister in der Landesregierung #BadenWuerttemberg - Aktion Abendsonne gleich zum Auftakt von 
@GrueneBW
 @CDU_FraktionBW
 #Kretschmann",6,16,63
Prof. Martin Neumann MdB,@_MartinNeumann,2021-05-10T15:07:39.000Z,"Für Kurzentschlossene: Um 17:30 Uhr  diskutiere ich mit 
@EUTheurer
, 
@DjirSarai
 und 
@kirstenwestpha1
 zu den Potenzialen der #Ukraine, #Wasserstoff herzustellen und zur Versorgungssicherheit Europas beizutragen. Hier geht’s zum Livestream: https://bit.ly/2Q5QQWV
#Energiewende",2,1,10
