User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
SPD Parteivorstand,@spdde,2021-05-23T10:13:04.000Z,"Wir machen #SozialePolitikFürDich. Und das seit genau 158 Jahren.
Heute vor 158 Jahren wurde der Allgemeine Deutsche Arbeiterverein als direkter Vorläufer der SPD gegründet. Deswegen feiern wir heute zusammen Geburtstag - und machen zusammen Politik. Danke, dass ihr dabei seid!",100,87,327
Simon Lavo-Braumann,@simbosan,2021-05-21T06:10:00.000Z,Scholz im direkten Vergleich jetzt 7 Punkte vor Baerbock. Noch ein paar TV-Duelle und das macht sich auch in der Sonntagsfrage bemerkbar.,16,31,226
Deutscher Verband für Wohnungswesen,@DV_Stadt,2021-05-20T12:48:59.000Z,"Wie kann Bauen mit Holz zu Klimaschutz & Kreislaufwirtschaft beitragen? Dokumentation unserer #Holzbau-Fachkonferenz zusammen mit 
@bmu
 am 11. Mai ist jetzt online. Dabei u.a. 
@SvenjaSchulze68
, 
@FlorianPronold
 und Klimaforscher Schellnhuber 
@PIK_Klima
.
https://deutscher-verband.org/aktivitaeten/veranstaltungen/holzbau.html…ZEBAU GmbH and 6 others",,4,9
Bundesumweltministerium,@bmu,2021-05-12T12:01:36.000Z,Die wichtigsten Änderungen beim #Klimaschutzgesetz im Überblick:,19,31,44
Florian Pronold,@FlorianPronold,2021-05-18T10:01:08.000Z,"Als ich 1994 beim Bauernverband über die  #Energiewende sprach, hätten sie mich fast „mit der Mistgabel“ davongetrieben. Heute ist sie eine zentrale Säule des #Klimaschutz|es, jetzt braucht es zusätzlich eine #Bauwende. Meine Rede dazu auf der Konferenz: https://youtu.be/BU6yQeHWWHcFlorian Pronold
@FlorianPronold
 · May 11
Viele gute Praxisbeispiele bei der heutigen Konferenz ""Holzbau als Chance für Klima- und Ressourcenschonung"" im @bmu, die zeigen, dass #Holzbau #nachhaltig und zu #fairen Kosten realisiert werden kann. Wir brauchen jetzt Nachmacher, damit die Um-Bau-Wende vorankommt.",,,2
Florian Pronold,@FlorianPronold,2021-05-06T08:45:50.000Z,"Was Wasserknappheit, Kuba und Franz Josef Strauß miteinander zu tun haben und welche Rolle der Nationale #Wasserdialog spielt, darüber habe ich mich diese Woche im politischen Podcast der 
@GELSENWASSER_AG
 ""Glasklar"" unterhalten:Glasklar - ein Politik Podcast der Gelsenwasser AG
Glasklar – das ist der neue Politik-Podcast der Gelsenwasser AG. Dr. Arnt Baer, Ansprechpartner Politik und Verbände bei Gelsenwasser, nimmt Sie mit auf eine spannende und erfrischende Reise in eine...
glasklar.podigee.io",,3,5
Florian Pronold,@FlorianPronold,2021-04-29T14:14:18.000Z,"Heute wurde das Zertifikat übergeben: In #Rosenheim wird die Sanierung der Innenbeleuchtung eines Verwaltungsgebäudes von der 
@NKI_BMU
 mit über 30.000 Euro bezuschusst. Diese Maßnahme reduziert den Stromverbrauch um 86 Prozent: Eine Einsparung von 857 Tonnen CO2 in 20 Jahren.Bärbel Kofler, MdB",1,4,8
Bundesumweltministerium,@bmu,2021-04-30T11:29:24.000Z," Geplant sind eine durchgängige Fahrradstraße mit Vorrang für RadlerInnen, Ladestationen mit Photovoltaik für E-Bikes und neue Fahrradständer: Zum Ausbau des Bodensee-Radwegs hat PStS 
@FlorianPronold
 heute einen Förderscheck über 3,1 Mio € überreicht:Bundesumweltministerium fördert Bodenseeradweg in Lindau mit 3,2 Millionen Euro
Lindau setzt bei der Mobilität auf Klimaschutz. Florian Pronold hat zum Start des Projektes ""Bodensee-Fahrradstraße"" einen Förderscheck über 3,1 Millionen Euro an die Oberbürgermeisterin der Stadt...
bmu.de",2,13,21
Bundesumweltministerium,@bmu,2021-04-28T13:16:39.000Z,"Der DEF Fürth ist dank unseres Förderprogramms Sozial & Mobil bald rein elektrisch unterwegs! PStS 
@FlorianPronold
 bei der Übergabe des Förderschecks: „Mit vielen kurzen Fahrten sind ambulante Dienste optimal für die Nutzung von Elektrofahrzeugen.“Erste Elektrofahrzeuge für den Deutschen Evangelischen Frauenbund in Fürth
Mit den Fördermitteln wird das Haus für Mutter und Kind in Fürth seine ersten Elektrofahrzeuge anschaffen.
bmu.de",,9,9
Florian Pronold,@FlorianPronold,2021-04-22T14:51:34.000Z,"Der #Maskenskandal der Union hat gezeigt: Es fehlt an Transparenz, nicht nur bei Nebeneinkünften. Lange erkämpft, heute im Bundestag: Das #Transparenzgesetz #glaesernerabgeordneter",,3,9
Bundesumweltministerium,@bmu,2021-04-14T07:39:06.000Z,"Gemeinsam für weniger Plastikmüll: Die Bundesregierung hat zahlreiche Maßnahmen beschlossen, um Einweg-Plastik zu vermeiden und Mehrweg-Angebote zu stärken. Doch auch jede und jeder Einzelne kann im Alltag mithelfen. Wie, zeigen wir auf  http://bmu.de/wenigeristmehr #wenigeristmehr",20,33,101
AWO Bundesverband,@AWOBund,2021-03-30T08:12:59.000Z,"Parlamt. Staatssekretär 
@FlorianPronold
 @bmu
 übergibt heute den Fördergeldbescheid für unser Verbundprojekt „klimafreundlich pflegen – überall“ an Brigitte Döcker vom AWO Bundesvorstand. Damit auch die Stat. Pflege klimaneutral wird: https://klimafreundlich-pflegen.de
#WirArbeitenDran",2,7,18
Umweltbundesamt,@Umweltbundesamt,2021-03-31T11:02:03.000Z,"2021 wird der Bundespreis #Umwelt & #Bauen für nachhaltige #Gebäude, Quartiere & #Klimaschutz-Konzepte zum 2. Mal von 
@bmu
 & UBA verliehen. Teilnahmeschluss: 25.5. Schirmherrin: 
@SvenjaSchulze68
.  Preisverleihung: 7.9. durch 
@FlorianPronold
 & 
@DirkMessner
. https://umweltbundesamt.de/presse/pressemitteilungen/bmu-uba-loben-bundespreis-umwelt-bauen-2021-aus…",2,10,12
Florian Pronold,@FlorianPronold,2021-03-30T13:22:04.000Z,"Nur in gesunder #Umwelt können auch gesunde Menschen leben. Daher unterstützt 
@bmu
 das Projekt der 
@AWOBund
, der ich heute einen Förderbescheid über 1,6 Mio € übergeben habe. Es  verankert #Klimaschutz in der stationären #Pflege und trifft Vorsorge gegen den Klimawandel.",4,6,10
Florian Pronold,@FlorianPronold,2021-03-22T13:45:02.000Z,"""Wasser wertschätzen"" ist das Motto des heutigen #Weltwassertag|s, an dem ich die Gewinner des Schultrinkbrunnenwettbewerbs 2020/21 von 
@atiptap
 & 
@bmu
 auszeichnen durfte. Es sind viele tolle Ideen entstanden - die Gewinnerbeiträge gibt's im Video:Gewinnerbeiträge Schultrinkbrunnenwettbewerb 2020/21
youtube.com",1,4,8
Bundesumweltministerium,@bmu,2021-03-16T10:48:50.000Z,"Mit 
@NKI_BMU
 fördern wir Maßnahmen für Energieeffizienz vor Ort, wie die Nachrüstung raumlufttechnischer Anlagen oder LED-Technik für Stadion-Flutlichter. PStS 
@FlorianPronold
 übergab dafür heute Klimaschutz-Zertifikate an Aschaffenburg und Markt Schwaben: http://bmu.de/PM9485",1,6,21
Die Nachrichten,@DLFNachrichten,2021-03-16T13:24:46.000Z,"Nur 14 Cent pro Zeile, 5 Euro pro Foto. Gericht spricht freier Journalistin bei Landauer Zeitung 66.000 Euro Honorarnachzahlung zu. Der Deutsche Journalisten-Verband nennt die Bezahlung einen Hungerlohn und spricht von vollem Erfolg für die Frau. 
https://deutschlandfunk.de/landauer-zeitung-14-cent-pro-zeile-und-5-euro-pro-foto.2849.de.html?drn:news_id=1238384…
@DJVde",8,59,145
Florian Pronold,@FlorianPronold,2021-03-16T13:07:52.000Z,"Klimaschutz beginnt auf kommunaler Ebene, wie 
die 
@stadtAB
 beweist. Für das Nachrüsten auf klimafreundliche Technologien im Kronberg Gymnasium habe ich der Stadt heute virtuell ein NKI-Zertifikat übergeben. Das 
@bmu
 unterstützt das Projekt über die 
@NKI_BMU
 mit ca. 225.000€.",,1,7
Florian Pronold,@FlorianPronold,2021-03-16T10:10:17.000Z,"Gerade habe ich an Markt Schwaben ein Zertifikat der 
@NKI_BMU
 für die energetische Sanierung ihres Sportparks überreicht. Mit den Fördergeldern des 
@bmu
 in Höhe von ca. 50.000 € werden so in den nächsten 20 Jahren rund 500 Tonnen CO2 eingespart.
Fotos: BMU/
@stolze_m",,1,8
Florian Pronold,@FlorianPronold,2021-03-16T09:19:57.000Z,"(7) Ein heißes Eisen angesichts aktueller Skandale. Sollten Abgeordnete #Nebentätigkeiten haben dürfen? Was ich davon halte? Die Antwort gibt’s im Video https://youtu.be/3tcBJVq2RwI und unter https://glaeserner-abgeordneter.de/infotour/nebentaetigkeit… #transparenz #glaesernerabgeordneterNebentätigkeiten
Video | Florian Pronold: »Nebentätigkeiten von Bundestagsabgeordneten« Beim Anklicken wird ein eingebettetes Video von Youtube abgespielt. Bitte beachten Sie die Datenschutzerklärung von Google....
glaeserner-abgeordneter.de",,1,1
