User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Frank Heinrich,@FrankHeinrich,2020-09-01T15:19:16.000Z,"Frank Heinrich„Red Hand Day“ - diesmal zum Weltfriedenstag in Chemnitz. 

Zusammen mit der Hochschulgruppe von UNICEF, Hubert Gintschel (Stadtrat Die Linke), und Volkmar Zschocke (Landtagsabgeordneter der Grünen) haben wir wie schon in den letzten Jahren „Rote Hände“ gesamme…",2,,1
Frank Heinrich,@FrankHeinrich,2020-08-31T17:19:16.000Z,"Frank HeinrichDie Arbeitsgruppe Chemnitzer Friedenstag bekommt den „Ehrenpreis der Stadt Chemnitz“ bei einem Festakt verliehen. Zudem durften sie sich in das Goldene Buch der Stadt Chemnitz eintragen. Sabine Kühnrich, Etelka Kobuß, Hartwig Albiro, Stephan Brenner, Nancy Gibs…",,,1
Frank Heinrich,@FrankHeinrich,2020-08-29T07:19:06.000Z,"Allen Schulanfängerinnen und Schulanfängern wünsche ich heute einen aufregenden Tag und vor allem eine große Zuckertüte! Vielleicht wird nicht jeder Schultag supertoll, aber wenn Ihr Freude am Lernen habt, wird Euch Schule Spaß machen. Das wünsche ich Euch von Herzen!
P.S. W…",1,,2
Frank Heinrich,@FrankHeinrich,2020-08-27T10:19:24.000Z,"Ein toller Kreativ-Wettbewerb für Schulklassen mit Modulen für alle Altersgruppen. Ob Bild, Text oder Video, selbst komponierter Hip-Hop, Plakatserie oder Poetry Slam – der Fantasie sind keine Grenzen gesetzt. Der Wettbewerb ist geeignet für künstlerische, literarische und g…",,,
Frank Heinrich,@FrankHeinrich,2020-08-25T17:19:24.000Z,"1 Jahr in die USA? Mit dem Bundestag ist das möglich!
Seit vielen Jahren bin ich ein großer Fan dieses Programms und unterstütze es intensiv. Für das Programmjahr Sommer 2021 bis Sommer 2022 werden noch Bewerberinnen und Bewerber aus Chemnitz gesucht. Jetzt bis 11.09.2020 be…",,2,1
Frank Heinrich,@FrankHeinrich,2020-08-19T21:19:07.000Z,"Friedrich Merz zur Unterstützung von Almut Patt im OB-Wahlkampf in Chemnitz. Thema: Die Herausforderungen für Chemnitz und Deutschland?
- Flexibilität und Schnelligkeit bringen uns nach vorn, ansonsten verlieren wir stetig an Wettbewerbsfähigkeit.
- Die aktuelle Krise kann a…",1,2,2
Frank Heinrich,@FrankHeinrich,2020-08-18T16:19:04.000Z,"Jetzt wird der Wahlkampf für unsere tolle Kandidatin Almut Patt, deutlich sichtbarer! 
Selbst Starkregen und Hagel konnten uns nicht vom Plakatieren abhalten.

Vielen Dank an alle fleißigen Helferinnen und Helfer für die Unterstützung. Danke an die Junge Union, die CDU Chemn…",2,1,
Frank Heinrich,@FrankHeinrich,2020-08-17T13:19:17.000Z,"Ausgiebiger ""Herbstputz"" für unseren Hauptbahnhof in Chemnitz: Mit 230.000 Euro des Bundes werden Bodenbeläge ausgetauscht sowie Treppen, Zugänge, Zäune und Dächer erneuert. Das macht unseren Bahnhof schöner und ist gleichzeitig eine Konjunkturspritze für unsere Handwerksbet…",,,2
Frank Heinrich,@FrankHeinrich,2020-08-13T13:19:05.000Z,"Heute vor 59 Jahren begann der Bau der #BerlinerMauer, sperrte Millionen von Menschen ein, trennte Ost- und Westdeutsche für Jahrzehnte. Allein in Berlin gab es mindestens 138 #Mauertote. Wie dankbar bin ich, dass die Mauer seit über 30 Jahren Geschichte ist.

#frankheinrich…",1,1,3
Frank Heinrich,@FrankHeinrich,2019-07-29T10:20:04.000Z,"Integration leben - das tun viele Sachsen. 

Vereine, Unternehmen und Initiativen, die sich ganz besonders  für die Integration von Menschen mit Migrationshintergrund engagieren, haben bis zum 30.09. bereits zum 10. Mal die...Sächsischer Integrationspreis 2020
Preisträger des Sächsischen Integrationspreis 2020
saechsischer-integrationspreis.de",3,,3
