User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-29T11:23:17.000Z,#CDU und #CSU müssen jetzt endlich für Aufklärung ihrer Korruptionsskandale sorgen! #Aserbaidschanconnection #CDUKorruption #heuteshow #Fischer #Strenz #Lintner #Zech #Hauptmann,,8,37
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-28T12:05:07.000Z,"Natürlich können 
@Die_Gruenen
 @CDU
 und 
@CSU
 auch jemand anderes vorschlagen. Sie könnten Frank-Walter #Steinmeier ja aber auch ganz einfach für eine 2. Amtszeit unterstützen.",,,8
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-28T11:59:31.000Z,Frank-Walter #Steinmeier ist ein guter Bundespräsident!,3,,18
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-28T06:41:32.000Z,"Der Völkermord an den Herero und Nama war der erste in einer Reihe schrecklicher Verbrechen im 20. Jahrhundert. Dass er aus Deutschland bis heute nicht offiziell anerkannt wurde, ist beschämend. Dass wir jetzt einen Weg gefunden haben, unsere Schuld anzuerkennen, ist gut.",5,5,50
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-27T18:15:29.000Z,#Erndl + #Habeck = Waffenexporte an die #Ukraine ? Ist das die Zukunft von schwarzgrün ? In welche Krisengebiete noch ? Robert Habeck hat sich in der Ostukraine Frage politisch verirrt. Jetzt sind ein paar Dinge zu klären.,2,1,10
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-27T13:47:21.000Z,"So kann internationale Kooperation nicht funktionieren. Zivilgesellschaft darf nicht „unerwünscht“ sein. #Russland kappt die Foren des kritischen, aber konstruktiven, Dialogs. Das ist der komplett falsche Weg. #NGORussland: Deutsche NGOs ""unerwünscht""
Russland hat erneut ausländische NGOs verboten: Dieses Mal sind drei deutsche Organisationen betroffen. Bundesaußenminister Maas kritisierte den Schritt umgehend und sprach von einem ""herben Rücksc...
tagesschau.de",,,5
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-27T13:33:54.000Z,Nach zehnjährigem Ringen wird es nun endlich eine gesetzliche Sorgfaltsverpflichtung von Unternehmen mit weltweiten Lieferketten geben. Damit ist die Zeit von Freiwilligkeit und Unverbindlichkeit endgültig vorbei. #LieferkettenG #Lieferkettengesetz,1,7,43
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-26T21:09:07.000Z,Sorry Sandra #Maischberger. Kritische Fragen sind erlaubt. Und sicher war die zu späte Anmeldung der Nebeneinkünfte ein Fehler. Aber bei CDU und CSU reden wir über Korruption. Das hat nichts miteinander zu tun. Und das sollte auch klar sein. #Baerbock #Aserbaidschanconnection,57,233,2.4K
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-26T08:37:20.000Z,"Dass die USA jetzt wieder 
@UNRWA
 und damit palästinensische Geflüchtete und auf humanitäre Hilfe Angewiesene unterstützen wollen, ist ein gutes und ermutigendes Zeichen.",,,4
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-26T08:35:12.000Z,"Grüner Schwung könnte einer neuen Bundesregierung durchaus gut tun. Wenn ich mir aber überlege, wer dieses Land mit Erfahrung, Besonnenheit unf Führungsstärke durch zahlreiche Krisen führen kann, dann ist das Olaf #Scholz. #Habeck #Ukraine #Waffenlieferungen 
@OlafScholz",3,5,42
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-26T08:12:58.000Z,Bei allem Verständnis für die Lage der #Ukraine . Eine Aufrüstung würde die Auseinandersetzungen eskalieren statt einzuhegen. Robert #Habeck braucht außenpolitische Nachhilfe und darf sich nicht von den aktuellen emotionalen Erfahrungen in der Ostukraine hinreißen lassen.,1,1,15
Frank Schwabe #FreeHozanCanê,@FrankSchwabe,2021-05-26T06:49:05.000Z,"Wer #Lauterbach und #Baerbock jetzt auf eine Stufe mit #Maskendeals und #Aserbaidschanconnection stellen will, der relativiert schwerste Korruption im Bundestag. Und die gab UND gibt es vor allem in Reihen der 
@cducsubt
.",30,310,2.1K
