User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Frank Magnitz, MdB",@Frank_Magnitz,2019-04-07T10:07:49.000Z,"Gestern haben meine Kollegen 
@Mark_Runge_AfD
 (Listenplatz 4), Sven Schellenberg (Listenplatz 7) & ich unsere Großplakate angebracht und damit das Wahlkampfmobil fertig gestellt. Die nächsten Wochen werden wir damit fleißig #Bremen befahren! #AfD #LtwBremen #HBWahl #BremenwirdblauFrank Magnitz, MdB  and Mark Runge",99,119,466
Stephan Brandner,@StBrandner,2020-12-08T15:32:04.000Z,"Übrigens haben wir Bürger durch die #AfD und die Ablehnung der #Staatszwangsfunkgebühren|erhöhung allein im kommenden Jahr ca. 400.000.000,00 Euro mehr im Portemonnaie! So geht Entlastung! #AfDwirkt",43,81,429
AfD Bremen,@AfD_Bremen,2019-05-25T16:10:24.000Z,"+++ An alle bisherigen Nichtwähler: JETZT gibt's was zu wählen! +++

Gehen Sie am Sonntag zur Wahl und wählen Sie Veränderung für #Bremen: Wählen Sie die #AfD!
#HBWahl #Bremenwahl #Bremenwahl #LtwBremen #Gehwaehlen",32,86,344
AfD Bremen,@AfD_Bremen,2019-05-23T14:12:44.000Z,"❝Digitaler Spitzenreiter ist die #AfD!❞
lichen Dank für Ihren grandiosen Zuspruch!
Unterstützen Sie uns bitte auch ""analog"" & lassen Sie uns gemeinsam unser schönes #Bremen zum Guten verändern!
  Am Sonntag AfD wählen!
#LtwBremen #HBWahl #BremenwahlSo läuft der Wahlkampf im Netz
Während der Wahl müssen die Kandidaten und Parteien omnipräsent sein. Überall hängen Wahlplakate, und auch online gibt es für die Wähler kein Entkommen.
butenunbinnen.de",16,54,212
AfD Bremen,@AfD_Bremen,2019-05-20T11:05:28.000Z,"+++ Pflegenotstand beenden! Pflegeberufe aufwerten! +++
 Am 26. Mai #AfD wählen! 
#HBWahl #Bremenwahl
Hier unser komplettes Wahlprogramm zur #LtwBremen:
https://afd-bremen.de/wp-content/uploads/2019/03/wahlprogramm-2019-a4.pdf…",1,1,7
AfD Bremen,@AfD_Bremen,2019-05-20T11:02:55.000Z,"Wie oft noch? Erneuter Anschlag auf #AfD #Bremen!
Auf unsere Landesgeschäftsstelle wurde in der vergangenen Nacht ein Farbbeutel-Anschlag verübt. Dort befindet sich auch das Büro unseres #HBWahl-Spitzenkandidaten 
@Frank_Magnitz
.
#LtwBremen #Bremenwahl
 https://facebook.com/afd.bremen/posts/1240079376151878?__xts__[0]=68.ARA356FPCzptNoyjR9l7KGIu15mBnXoAtP9tZBD06ZG9zM73PBawnCehfvBEgmOpwQFW_mSpTHUv4n54faQ4CwIiUHMlrDZ7CfymaZZr76QFn9cf_yz04XurXiE7qODKyfzRuZLSfEtgSXq4L2gqgtFinMe9JCX2BOKlBajpRxbsNEBWqdlWzUUkHmtcgP-nHZzReDMnJPVO-4OkZ22-abyu7LMDCfYWOkxcQ5y9ym0iGUYBW6E_fdo9e2_EWoO3okfVsW3Fv5d9Lv0aR6ubdUg6xGpimJsO9jXeZJA01bJ888AtO4gsfPqkfyzOCmIXiZzlOxWAPj9kXZSQ_bZPa7sibA&__tn__=-R…",35,29,108
AfD Bremen,@AfD_Bremen,2019-05-01T13:48:53.000Z,"+++ Arbeit muss sich lohnen! Sozial, ohne rot zu werden! +++
Anlässlich des heutigen #TagderArbeit bietet es sich an, in Erinnerung zu rufen, wer tatsächlich mittlerweile die Interessen des arbeitenden Teils unserer Bevölkerung vertritt: Die #AfD!
#1Mai 
https://facebook.com/afd.bremen/photos/a.169613486531811/1225103710982778/?type=3&theater…",16,35,213
AfD Bremen,@AfD_Bremen,2019-04-21T18:28:47.000Z,"+++ In #Bremerhaven klicken die Handschellen: #CDU-Kandidat zur #LtwBremen in Wahlbetrug verwickelt? +++
Unfassbar: Mutmaßlicher Täter soll über  Wahlscheine gefälscht haben!
 Am 26. Mai #AfD wählen!
#HBWahl #Bremenwahl #Bremen 
 https://facebook.com/afd.bremen/photos/a.169613486531811/1220550108104805/?type=3&theater…",54,232,474
AfD Bremen,@AfD_Bremen,2019-04-20T13:59:30.000Z,"Wahlkampfstände am #Ostersamstag in Vegesack & Findorff:
Bei tollem Frühlingswetter fanden viele Gespräche mit interessierten Bürgern statt und zahlreiche Infomaterialen wechselten den Besitzer.
 Am 26. Mai #AfD wählen!
#LtwBremen #HBWahl #Btremenwahl
 https://facebook.com/afd.bremen/posts/1219761691516980?__xts__[0]=68.ARAS76qycuXsHmd4RMpUM6xtIuLN_bkoow_ls6NBc-Abwk1f_LFM58N7hsYECXdf2Jfbgs7hVN8zXHWp7SGGJd_yGu42NZML_Cn8TMji7BYVWWV4D1QRfnGF6F07XavlBgwbgoHTQYO-jufQNGS7h1R03OK8jY16XbPRQlhPNFfn-UVx_SSfn0FoOyfOJC6tmU6DWulyIeL9BQc_PkvbmzeZlE5v_BSXcoODOuzq8pYLTqLHMG_45NE8CU0n51k7-nzcx8vI93uXIf1S2Aqg5wSrYgPtKjzhrzI9jGqbV_xeePIdhSymLnM0FFF1Ass0fbeESyXh7fEjLJjAgCwKGXb_Kw&__tn__=-R__tn__=-R-R…Mark Runge",24,39,254
AfD Bremen,@AfD_Bremen,2019-04-20T13:01:16.000Z,"++ liche Einladung! ++
@Rene_Springer
, Mitglied der #AfD-Fraktion im #Bundestag, beleuchtet das Thema ""Staatsbürgergeld statt #HartzIV - Voschlag für ein neues Sozialstaatsmodell"".
 25. April (Donnerstag)
 19.00 Uhr
 Stadthalle #Bremerhaven
#LtwBremen #HBWahl #BremenwahlRené Springer",2,5,12
