User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Dr. Gottfried Curio,@GottfriedCurio,2021-04-01T17:06:09.000Z,"Das grüne Zweigespann #Baerbock/#Habeck sieht sich auf dem Weg in die Regierung. Aber die grüne Biedermannfassade bröckelt - spätestens beim Blick ins Wahlprogramm. Sehen Sie hier meine Analyse des Grünen Wahlprogramms:Das Grüne Wahlprogramm 2021: umfassende Analyse von Dr. Curio
Das grüne Zweigespann Baerbock/Habeck sieht sich auf dem Weg in die Regierung. Aber die grüne Biedermannfassade bröckelt - spätestens beim Blick ins kürzlich...
youtube.com",79,388,924
Dr. Gottfried Curio,@GottfriedCurio,2021-05-27T11:13:49.000Z,"Dabei kritisieren wir genau das: irreguläre Migration verschwinden lassen, zugunsten lediglich einer Umdeklaration in Regularität - ein Taschenspielertrick, den die Bürger durchschauen. Link: https://youtu.be/b9csPm1y7f0Gerald Knaus
@rumeliobserver
 · May 27
MdB ⁦@GottfriedCurio⁩ kritisiert die konkreten Vorschläge unserer Fachkommission: https://youtube.com/watch?v=b9csPm1y7f0…

Dabei geht es genau darum: irreguläre Migration reduzieren, Flüchtlinge regulär unterstützen. Wie dies Kanada tut.

@Markus__Lanz⁩ ⁦⁦⁦⁦@VRietig⁩",7,52,176
Dr. Gottfried Curio,@GottfriedCurio,2021-05-27T09:53:15.000Z,"In Berlin wurde heute der Grundstein für das neueste Ideologieprojekt gelegt: Das ‚House of One’ soll eine Kirche, Synagoge und Moschee in Einem sein. Weil die Menschen für den häßlichen Klotz kaum spenden wollten, mußte der Staat als Financier einspringen.https://facebook.com/GottfriedCurio.AfD/posts/1196470747441018…",68,181,518
Dr. Gottfried Curio,@GottfriedCurio,2021-05-25T13:37:20.000Z,40.000 Umsiedlungen nach Deutschland pro Jahr fordert die 'Fachkommission Fluchtursachen' im aktuellen Bericht. In vielen Forderungen übertrifft der Bericht in seinen Überfremdungsphantasien sogar das Wahlprogramm der Grünen. Zur ganzen Analyse: https://youtu.be/b9csPm1y7f0,44,342,673
Dr. Gottfried Curio,@GottfriedCurio,2021-05-19T11:41:18.000Z,"Sondermeldung:

#Giffey nach ihrem #Rücktritt – ""Jetzt bin ich endlich frei für Berlin!""",79,192,775
Dr. Gottfried Curio,@GottfriedCurio,2021-05-16T16:08:41.000Z,"""Die Geister, die man rief, kann man nun nicht mehr bändigen. Nur ein grundsätzliches politisches Umsteuern, das auch weiteren Import ausländischer politischer oder ethnischer Konflikte ausschließt, kann dann Abhilfe schaffen.“:FDP: „Antisemitismus in muslimischen Communitys benennen und bekämpfen“ - WELT
Die SPD fordert Strafrechtsverschärfungen gegen Antisemitismus. Die Grünen stellen klar: Der Grundkonsens gegen Judenhass gelte auch für „nicht hier geborene“ Menschen. Die FDP will mehr „innermusl...
welt.de",52,314,974
Dr. Gottfried Curio,@GottfriedCurio,2021-04-20T12:22:43.000Z,"#Laschet ist also #Kanzlerkandidat der Union. Aber wer ist er eigentlich? Sehen Sie hier mein Porträt vom ""Türken-Armin"", welches allein auf Youtube bereits 380.000 Aufrufe hat und den CDU-Biedermann als grünen Brandstifter entlarvt.Armin Laschet entlarvt! Wer ist er wirklich? Die dunkle Vergangenhe...
Armin Laschet ist der neue Parteivorsitzende der CDU und hat damit gute Chancen, auch bald als Kanzlerkandidat für die Union ins Rennen zu gehen. Nicht breit...
youtube.com",22,170,356
Dr. Gottfried Curio,@GottfriedCurio,2021-04-20T10:55:10.000Z,"Jetzt geht die Union nicht nur mit einem schwachen Kandidaten ins Rennen, sondern auch noch mit einem, den sie selber vorher umfassend demontiert hat. #Laschet #Söder #SOEDERvsLASCHET",49,206,958
Dr. Gottfried Curio,@GottfriedCurio,2021-04-16T20:33:32.000Z,"Bericht im heute journal über Luther in Worms. Das 
@ZDF
 schreibt bei Bildern von Luthers Einzug:""Szene nachgestellt"" darüber. Ist das also wirklich kein Originalfilm? Das ist natürlich gut zu wissen...",132,240,1.3K
Dr. Gottfried Curio,@GottfriedCurio,2021-04-16T06:33:20.000Z,"#Söder über Habeck:„An Robert Habeck finde ich spannend, dass er diesen anderen, philosophischen Blick auf Politik hat.“ 
Habeck:„Es gibt kein Volk, und es gibt deswegen auch keinen Verrat am Volk.“
Hier das ganze Söder-Porträt: https://youtu.be/OgPjky3NTdI?list=PLHX7-AA6UAq1pnjWiquMQDrbyzkYQUdXH…",41,226,519
