User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Claudia Müller,@GruenClaudia,2020-06-30T05:54:46.000Z,"#morningmotivationradioeins
@radioeins
 · Jun 30, 2020
#Denkpause: Politik ist eine viel zu ernste Sache, als dass man sie allein den Männern überlassen sollte. (Käte Strobel, Politikerin)",3,1,20
Team Osteuropa | Heinrich-Böll-Stiftung,@boell_easteurop,2021-05-28T10:16:42.000Z,"Fortsetzung des 
@PDialog
 unter diesen Umständen nicht vorstellbar: Gemeinsame Erklärung zur ""Unerwünscht""-Einstuftung deutscher Organisationen in #Russland 
@LiberaleModerne
 @EPDE_orgGemeinsame Erklärung zur Entscheidung der russischen Generalstaatsanwaltschaft, den Deutsch-Russi...
Gestern hat die russische Generalstaatsanwaltschaft drei deutsche zivilgesellschaftliche Organisationen zu ""unerwünschten Organisationen"" erklärt. Wir fordern die unverzügliche Rücknahme des Verbots...
boell.de",1,6,6
"Erhard Grundl, MdB",@Erhard_Grundl,2021-05-26T12:08:43.000Z,"Wir hatten ihn zu Beginn der Pandemie & in unserem 10 Punkte-Plan zur Rettung der #Veranstaltungswirtschaft gefordert. 
Jetzt kommt endlich ein #Sonderfonds für #Kultur, wie eben per #Pressekonferenz mitgeteilt wurde. 
#grünerErfolg 
@GruenClaudia10 Punkte-Plan zur Rettung der Veranstaltungswirtschaft
erhard-grundl.de",,3,9
Claudia Müller,@GruenClaudia,2021-05-26T07:57:09.000Z,"Warum #Klimaschutz auch eine soziale Frage ist. 
Guter #Thread von 
@bueti
 #allesistdrin Reinhard Bütikofer
@bueti
 · May 26
""Fleischhauer halt"", könnte man sagen. Aber ich will ihn mal nicht abtun. Sondern seiner zentralen These widersprechen: ""Den grünen Lebensstil muss man sich leisten können. Die klimagerechte Gesellschaft ist nichts für arme Schlucker."" Das ist mehrfach ... https://m.focus.de/politik/deutschland/schwarzer-kanal/focus-kolumne-von-jan-fleischhauer-mein-haus-mein-rad-mein-volvo_id_13319362.html…
Show this thread",,3,15
Claudia Müller,@GruenClaudia,2021-05-25T19:28:23.000Z,"#Antisemitismus, #Rassismus, Homo-, Trans-, Interfeindlichkeit, jede Form von gruppenbezogener Menschenfeindlichkeit mordet!
#NeverForget #NeverAgainAuschwitz Memorial
@AuschwitzMuseum
 · May 25
25 May 1929 | A Hungarian Jewish girl, Edit Spitzer, was born.

In July 1944 she was deported to #Auschwitz and murdered in a gas chamber.",,2,4
Janis Kluge,@jakluge,2021-05-25T18:44:54.000Z,"Ein Mitarbeiter von #RT fordert den Tod des in Minsk festgenommenen Journalisten #Protasevich, die Chefin von RT gratuliert #Lukaschenko zu seiner gelungenen Flugzeug-Entführung. All das: Wichtig im Hinterkopf zu haben, wenn es um eine Rundfunklizenz für RT in Deutschland geht.Tadeusz Giczan
@TadeuszGiczan
 · May 25
Russia Today special correspondent in Minsk Konstantin Pridybaylo on Roman Protasevich’s arrest:

“To make it clear: Protasevich is a scum, a punk, a freak, a bitch, a c*nt, a motherfucker, he must die”.",40,615,2.4K
Annalena Baerbock,@ABaerbock,2021-05-23T18:25:13.000Z,"Die erzwungene Landung kommt einer staatlichen Entführung eines Passagierflugzeuges gleich, um einen Regimekritiker festzunehmen. Wir fordern die sofortige Freilassung von #Protasevich. Er muss umgehend und sicher ausreisen können. Genau wie die anderen politischen Gefangenen.1/3",633,1.2K,13.3K
Claudia Müller,@GruenClaudia,2021-05-22T22:53:45.000Z,"Und aus Deutschland 12 Punkte. Ich war also nicht allein. 
#EUROVISIONClaudia Müller
@GruenClaudia
 · May 22
Egal was ihr sagt, ich liebe es! #LTU #Eurovision",,,15
Claudia Müller,@GruenClaudia,2021-05-22T22:52:20.000Z,"Cooler Gewinner #ita und dazu 12 Punkte für #LTU aus #Deu, bin sehr zufrieden.
#EUROVISION",,,5
Claudia Müller,@GruenClaudia,2021-05-22T20:56:55.000Z,"Und es war großartig, absoluter Favorit.
#ITA #EUROVISIONBBC Eurovision
@bbceurovision
 · May 22
The world: Italian music is love songs and opera
 at #Eurovision: Hold my drink",1,1,7
