User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Oliver Rast,@oliver_rast,2021-05-26T17:42:25.000Z,"Schöne, neue Arbeitswelt: Morgens Zeitungen austragen, mittags Umzüge machen, abends Kaufhäuser putzen, nachts Halbschlaf. Mein 
@jungewelt
-Beitrag zu prekärer Mehrfachbeschäftigung 

Dank an: 
@Anja_Piel
 @SusanneFerschl
 @GrueneBeate
 u 
@UweSchummerEiner reicht nicht
Zweit- und Drittjobs immer häufiger laut Studie. DGB und Linke fordern stärkere Tarifbindung. CDU-Politiker mahnt »anständige Löhne« an
jungewelt.de",3,17,38
Finanzwende,@finanzwende,2021-05-26T09:49:55.000Z,"Auch bei #VW lautet im Juli wohl das Motto: Staatshilfen an Aktionäre. Der Konzern hat u.a. wegen Problemen in eigener Lieferkette (!) Kurzarbeit. Also Gewinne (auch dank Staatshilfe) einfahren, Dividende zahlen & trotzdem erneut Staatshilfen erhaltenAudi schickt wegen Chipmangel mehr als 10.000 Mitarbeiter in Kurzarbeit
Die Engpässe bei Halbleitern sorgen beim Autohersteller Audi erneut für Kurzarbeit. In Ingolstadt stehen einzelne Produktionslinien bereits still, kommende Woche werden auch Bänder in Neckarsulm...
spiegel.de",1,22,35
Britta Haßelmann,@BriHasselmann,2021-05-26T08:24:51.000Z,"Wir haben gewonnen, Herr Dr. Schäuble! Mit dem Beschluss des #BVerG ist klar, die Informationsrechte des Bundestages & das Parlament sind gestärkt worden. Gut, dass 
@GrueneBundestag
 geklagt haben u. sich nicht alles bieten lassen von einer Bundesregierung. https://bundesverfassungsgericht.de/SharedDocs/Pressemitteilungen/DE/2021/bvg21-043.html…",11,48,419
Beate Müller-Gemmeke,@GrueneBeate,2021-05-25T15:06:48.000Z,"Ich war beim #Klimacamp von 
@fff_reutlingen
 Mit ihrer Aktion demonstrieren sie für eine andere Klimapolitik und für ein klimaneutrales #Reutlingen bis 2030. Ich begrüße das Engagement sehr und wünsche gutes Durchhalten und viel Erfolg.",,,3
Beate Müller-Gemmeke,@GrueneBeate,2021-05-25T12:33:07.000Z,"Mein Antrag zum Schutz vor #Mobbing am Arbeitsplatz wurde erneut von der #GroKo und #FDP abgelehnt. Die Betroffenen aber brauchen dringend einen besseren Schutz im Unternehmen und vor Gericht. Ich bleibe dran! 
@GrueneBundestag
  @Die_Gruenen
  https://mueller-gemmeke.de/schutz-vor-mobbing-antrag-erneut-abgelehnt/…",4,7,38
Ssaman Mardi,@SsamanMardi,2021-05-22T11:25:04.000Z,"Heftig wie gnadenlos 
@Oliver_Krischer
 gestern #Altmaier rasiert hat.

Da schleppt sich der Wirtschaftsminister extra von der Regierungsbank zu seinem Platz um eine Zwischenfrage zu stellen und dann sowas. Das hat sich 
@peteraltmaier
 bestimmt anders vorgestellt.",27,203,832
Katrin Göring-Eckardt,@GoeringEckardt,2021-05-21T08:14:32.000Z,"Wer die Wirtschaft und die Arbeitswelt nachhaltiger und krisenfester machen & Demokratie stärken will, muss auch die demokratische Teilhabe der Beschäftigten in Unternehmen stärken. Da muss so viel mehr passieren, als das was Bundesregierung heute vorlegt.Grüne im Bundestag
@GrueneBundestag
 · May 21
Die Bundesregierung bleibt – wie so oft – auf halber Strecke stehen.

Denn Betriebsräte, die sachgrundlos befristet sind, bekommen keinen Schutz.

Das ist nicht ambitioniert und auch nicht konsequent. 

– @GrueneBeate zum #Betriebsrätemodernisierungsgesetz",14,5,44
Beate Müller-Gemmeke,@GrueneBeate,2021-05-21T07:56:31.000Z,"Nicht akzeptabel // unverhältnismäßig // unnötig // vor allem - unanständig // So dürfen die Beschäftigten nicht behandelt werden!Orry Mittenmayer
@OrryMittenmayer
 · May 21
Nun ist es amtlich: Jede Sekunde als Fahrer:inn wird aufgezeichnet und personalisiert Eine Praxis die wir seit Jahren scharf kritisieren, weil damit die Fahrer:innen unter Druck durch die Städte gepeitscht werden. 

Pure Menschenverachtung.
#lieferando 

https://tagesschau.de/investigativ/br-recherche/ueberwachung-lieferando-101.html…",,5,7
Grüne im Bundestag,@GrueneBundestag,2021-05-21T07:28:19.000Z,"Die Bundesregierung bleibt – wie so oft – auf halber Strecke stehen.

Denn Betriebsräte, die sachgrundlos befristet sind, bekommen keinen Schutz.

Das ist nicht ambitioniert und auch nicht konsequent. 

– 
@GrueneBeate
 zum #Betriebsrätemodernisierungsgesetz",4,13,33
Andreas Botsch for a stronger ff,@andreasbotsch,2021-05-20T07:52:26.000Z,"Erst wenn das 
@bmel
 nach der #BTW21 in grüne 
@GrueneBundestag
 oder rote 
@spdbt
 Hände fällt, wird sich am  Geschäftsmodell 'Ausbeutung von Ausländer*innen für Profit und billiges Obst&Gemüse' etwas ändern.
#NieMehrCDUCSU
@Anja_Piel
 @gabischoff
 @IGBAU
 @dgb_newsAndreas Botsch for a stronger ff
@andreasbotsch
 · May 20
...und die Erfüllungsgehilfin der brutalen Ausbeutung von #Saisonarbeiter_innen heißt @JuliaKloeckner. Sie ist Agrarministerin und Mitglied der @cducsubt 
#NieMehrCDUCSU 
#CDUrausausderRegierung twitter.com/dgb_news/statu…",1,3,4
Anja Piel,@Anja_Piel,2021-05-19T15:20:41.000Z,"„Wie ein Arbeitslager mit Freiheitsberaubung“ – so Erntehelfer*innen bei 
@Frontal21
. Danke für nichts 
@cducsubt
 u. 
@juliakloeckner
 - 102 Tage Knochenarbeit ohne Krankenversicherung sind eine Bankrotterklärung!  https://bit.ly/3yoE4nB 
@FaireMobilitaet
 @IGBAU
 @dgb_news
 @SKoerzell",2,58,118
Beate Müller-Gemmeke,@GrueneBeate,2021-05-19T16:46:58.000Z,"Antwort geht gar nicht - super schwach #OlafScholz #KurzarbeitergeldLisa Paus
@lisapaus
 · May 19
Ganz blass! 

Auf die Frage, warum er weiter untätig zusieht, wie  #Daimler, #BMW & co. Milliarden an #Aktionäre ausschütten & gleichzeitig dick Staatshilfen kassieren, gibt es nur das typisches #OlafScholz Rumgedruckse

Wo bleibt der #DividendenLockdown, Herr Scholz?
Show this thread
1:32
14K views",,2,3
Michael Kellner,@MiKellner,2021-05-19T10:03:25.000Z,"Unseren Wohlstand sozial und ökologisch zu gestalten ist die Aufgabe unserer Zeit. Deshalb ist die #Zukunftsagenda für die sozial-ökologische Wende der Wohlfahrts- und Umweltverbände ein starkes Signal. Wir stehen an eurer Seite.BUND
@bund_net
 · May 19
Sozial oder ökologisch? Beides geht nur zusammen, meint @UlrichSchneider, Geschäftsführer des @Paritaet. Wie eine sozial-ökologische Wende gelingen kann, zeigt unsere gemeinsame #Zukunftsagenda:

http://zukunftsagenda.de

#zusammenverändern #weilallezählen",19,11,69
Beate Müller-Gemmeke,@GrueneBeate,2021-05-19T10:41:25.000Z,"Wichtiges Signal! Um die sozial-ökologische Wende zu stemmen, brauchen wir breite Bündnisse! Auch unser grüner Gewerkschafts- und Sozialbeirat ist ein solcher Zusammenschluss. Zusammen sind wir stark!Der Paritätische
@Paritaet
 · May 19
In diesen Minuten läuft die gemeinsame Pressekonferenz von @Bandt_BUND und @UlrichSchneider zur #Zukunftsagenda in der Bundespressekonferenz. Wir werben gemeinsam für eine konsequente sozial-ökologische Transformation! Unsere PM: https://der-paritaetische.de/presse/bund-und-paritaetischer-gesamtverband-stellen-zur-bundestagswahl-gemeinsame-8222zukunftsagenda-fuer/…",3,7,31
Beate Müller-Gemmeke,@GrueneBeate,2021-05-19T09:10:46.000Z,"Das Problem ist, dass die Wirtschaft von Anfang an bei der Bekämpfung der Pandemie zum großen Teil ausgenommen wurden - und genau das trifft die Menschen mit niedrigen Löhne. Das ist nicht akzeptabel.WSI Düsseldorf
@WSIInstitut
 · May 19
#sozialeUngleichheit in der Pandemie: Beschäftigte mit niedrigen Löhnen haben am häufigsten Sorge, sich bei der Arbeit mit #Corona anzustecken. Die Gründe: Viele Kontakte im Job, kein #Homeoffice – und erschreckend oft Mängel beim #Arbeitsschutz.  https://boeckler.de/pdf/pm_wsi_2021_05_19.pdf…",,1,5
Beate Müller-Gemmeke,@GrueneBeate,2021-05-18T17:44:58.000Z,"Auch der Rat der Arbeitswelt sagt: #Minijobs haben keine Zukunft. Denn Minijobs sind häufig nur eine Sackgasse und eben keine Brücke in reguläre Beschäftigung. Wir brauchen stattdessen faire #sozialversicherungspflichtige Beschäftigung. 
@DGB_Frauen
 @_verdi
 https://mueller-gemmeke.de/minijobs-haben-keine-zukunft/…",1,10,39
Beate Müller-Gemmeke,@GrueneBeate,2021-05-18T11:06:09.000Z,"𝚅𝚊𝚕𝚎𝚗𝚝𝚒𝚗 𝙶𝚊𝚜𝚑𝚒
@vallermann
 · May 18
Also irgendwie bin ich jetzt dann Gewerkschaftssekretär bei @_verdi
Bzw. @verdi_Jugend 

Wo einen das Leben hinführt ",,,3
