User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Gyde Jensen,@GydeJ,2020-12-15T13:25:19.000Z,"Gilt immer noch und gilt natürlich auch für die Textilindustrie. Und das übrigens nicht erst seit den neuesten Enthüllungen über das gewaltige Ausmaß von Zwangsarbeit auf den Baumwollfeldern in #Xinjiang.Gyde Jensen
@GydeJ
 · Mar 2, 2020
Neuer Bericht bestätigt Zwangsarbeit von 80.000 Uiguren in China - auch für Unternehmen. Ich erwarte, dass VW, Adidas&Co endlich proaktiv ihre Lieferketten in China untersuchen. Niemand kann sich nach Veröffentlichungen noch aus Verantwortung stehlen. https://google.de/amp/s/amp.tagesspiegel.de/politik/zulieferer-deutscher-firmen-betroffen-china-soll-zehntausende-uiguren-als-zwangsarbeiter-einsetzen/25598416.html…",15,355,430
Fraktion der Freien Demokraten,@fdpbt,2021-05-28T09:31:26.000Z,"Das was hier passiert ist, ist ein Skandal. Es kann nicht sein, dass derartig fahrlässig mit Informationen umgegangen wird, die Asylsuchenden in ihren Herkunftsländern das Leben kosten!Schwule Asylbewerber offenbar durch Bundesregierung zwangsgeoutet - WELT
Anwälte des Auswärtigen Amts haben offenbar homo- und bisexuelle Asylbewerber in ihren Herkunftsländern geoutet – obwohl dort lange Inhaftierungen oder gar die Todesstrafe drohen. Dabei verstößt...
welt.de",,16,71
Gyde Jensen,@GydeJ,2021-05-27T10:02:24.000Z,"Politische Differenzen löst man von Regierung zu Regierung. Putin attackiert stattdessen NGOs, die ihm nicht passen. Zivilgesellschaftlicher Austausch ist vielfältig, wie BürgerInnen dieser Gesellschaften. / müssen in Dialogformaten auf Teilnahme ""unerwünschter“ NGOs bestehenRalf Fuecks
@fuecks
 · May 26
Würden wir gern als Auszeichnung verbuchen - aber für unsere russischen Freunde und Partner ist das brandgefährlich und für alle deutschen Stiftungen und NGO's eine klare Drohung: wer das Putin-Regime kritisiert, fliegt raus. Wir hoffen auf Solidarität. https://spiegel.de/ausland/russland-stuft-drei-deutsche-ngos-als-unerwuenscht-ein-und-belastet-damit-das-deutsch-russische-verhaeltnis-a-d151be68-dedf-496a-9106-0b8c46c00569…
Show this thread",1,7,62
Gyde Jensen,@GydeJ,2021-05-25T11:26:43.000Z,"Was auf Staatsterrorismus #Lukashenko|s folgen muss:
Sanktionslockerungen nur nach Freilassung ALLER polit. Gefangener #Protasevich und freier Neuwahlen
muss Zivilgesellschaft #Belarus unterstützen, humanitäre Korridore zur sicheren Ausreise schaffen
Robuste EU/-Politik",5,16,75
Sviatlana Tsikhanouskaya,@Tsihanouskaya,2021-05-24T19:06:50.000Z,"The regime's propaganda channels posted a video of arrested Raman Pratasevich, saying that he is treated lawfully in the Minsk Detention Center №1. This is how Raman looks under physical and moral pressure. I demand the immediate release of Raman and all political prisoners.",147,1.5K,4.6K
Gyde Jensen,@GydeJ,2021-05-23T19:07:29.000Z,"#Lukashenko schreckt auch vor Eingriff in zivilen Luftverkehr nicht zurück, um kritische Stimmen wie Roman #Protasevich in die Finger zu bekommen. 
Das ist kriminell und braucht glasklare Antwort vom -Gipfel, inkl. harter Sanktionen.
Das Maß ist übervoll. 
#Belarus",25,68,494
Gyde Jensen,@GydeJ,2021-05-18T12:22:21.000Z,"Attacken Lukaschenkos gegen freie Presse erreichen neue DimensionDank mutiger Journalistinnen weiß von den MRverletzungen des Regimes - eines weniger Sicherheitsnetze, das Menschen in #Belarus haben. Internationale Öffentlichkeit/Druck auf Lukaschenko dürfen nicht nachlassen!Alice Bota
@AliceBota
 · May 18
Die Seite @tutby ist nun offiziell gesperrt. Es ist das größte unabhängige Online-Medium in Belarus. Die Chefredakteurin, mit der ich morgens zum Interview verabredet war, ist seit Stunden nicht zu erreichen. Hausdurchsuchungen.

Es ist so unfassbar deprimierend. twitter.com/AliceBota/stat…",,5,14
Gyde Jensen,@GydeJ,2021-05-17T16:31:16.000Z,"Wir sind ja hier im Menschenrechtsausschuss sehr flexibel und digital agil
Erste Welle der Technik-hick-ups wurde  erfolgreich gemeistert.
Das Thema ist zu wichtig, um sich von „technischen Problemen“ beeindrucken zu lassen.
#Xinjiang #HumanRightsViola von Cramon
@ViolavonCramon
 · May 17
Erstaunlich viele “technische” Probleme heute bei der Live-Übertragung des MR-Bundestags-Ausschusses zur Anhörung #Xinjiang #Völkermord in #China Verbrechen gegen die Menschlichkeit. #Hacker #cyberattacks @MargareteBause @Grit_Hartmann @GydeJ",14,225,262
Gyde Jensen,@GydeJ,2021-05-14T19:07:42.000Z,"Vielen Dank für das Vertrauen!

Ich freue mich sehr auf die Arbeit im Team des 
@fdp
-Bundesvorstandes 
#vielzutun #fdpbpt21",27,13,511
Johannes Vogel,@johannesvogel,2021-05-12T07:50:30.000Z,"Während Israel von Raketen beschossen wird, werden in Bonn und Münster Synagogen angegriffen. Antisemitismus ist nicht zu ertragen und nicht zu tolerieren. Wir müssen Jüdinnen und Juden in Deutschland schützen!Israelische Flaggen verbrannt: Verstärkter Schutz für Synagogen in NRW
Nach den Angriffen auf jüdische Einrichtungen in Münster, Bonn und Düsseldorf hat die Polizei die Sicherheitsvorkehrungen erhöht und 13 Verdächtige ermittelt. Die Politik verurteilt die Vorfälle.
wdr.de",29,69,580
