User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Harald Weinberg,@HaraldWeinberg,2013-03-28T14:02:26.000Z,"""Man fühlt sich wie der letzte Dreck"" Gustl #Mollath im Interview http://sueddeutsche.de/bayern/gespraech-mit-mollath-man-fuehlt-sich-wie-der-letzte-dreck-1.1635202… #SystemversagenGustl Mollath: ""Man fühlt sich wie der letzte Dreck""
Gustl Mollath spricht im SZ-Interview über seine Erfahrungen in der Psychatrie und warum Mollath sein Wahlrecht verloren hat.
sueddeutsche.de",10,11,10
Harald Weinberg,@HaraldWeinberg,2013-03-27T07:15:26.000Z,"“@Ameliegnom Studie: #Euro-#Krise kostet Menschenleben. Das geht auf das Konto von #Schäuble  http://spon.de/adTZx  #gesundheitDER SPIEGEL | Online-Nachrichten
Deutschlands führende Nachrichtenseite. Alles Wichtige aus Politik, Wirtschaft, Sport, Kultur, Wissenschaft, Technik und mehr.
spiegel.de",5,2,2
Andrej Hunko,@AndrejHunko,2013-03-21T12:17:59.000Z,"RT 
@linksfraktion
: Andrej Hunko: Die »isländische Lösung« - http://tinyurl.com/cas8553 #Zypern #Euro",,1,
Harald Weinberg,@HaraldWeinberg,2013-03-21T10:26:31.000Z,#Nürnberg stellt Gedenkort für #NSU-Opfer vor - nordbayern.de http://nordbayern.de/region/nuernberg/nurnberg-stellt-gedenkort-fur-nsu-opfer-vor-1.2765535… #Bayern,,1,1
Harald Weinberg,@HaraldWeinberg,2013-03-19T15:02:50.000Z,prekäre Lage der Nürnberger #Kliniken -> Sofortprogramm nötig! #Gesundheitsversorgung = #öffentlichesGut +muss kostendeckend finanziert sein,1,,2
Harald Weinberg,@HaraldWeinberg,2013-03-19T12:34:33.000Z,#Rezepte für mehr und bessere #Pflege: http://das-parlament.de/2013/12/Innenpolitik/43480931.html… Forderung nach #MindestPersonalBemessung! #Fallpauschalen FAIL,,2,1
Harald Weinberg,@HaraldWeinberg,2013-03-19T11:37:37.000Z,#Krise des #Gesundheitswesens in #Griechenland: Diagnose + Therapie passen nicht zusammen! Bericht zu meiner Reise: http://harald-weinberg.de/artikel/positionen/detail/zurueck/aktuell-ef36918aff/artikel/krise-des-gesundheitswesens-in-griechenland-diagnose-und-therapie-passen-nicht-zusammen/…,,1,
TAVOR CROSS,@56pip56,2013-03-18T15:50:50.000Z,"Gustl Mollath: Staatsanwaltschaft beantragt Wiederaufnahme - Bayern - Süddeutsche.de http://sueddeutsche.de/bayern/fall-mollath-staatsanwaltschaft-beantragt-wiederaufnahme-1.1627535… via 
@SZGustl Mollath: Staatsanwaltschaft beantragt Wiederaufnahme
Seit sieben Jahren sitzt Mollath in der Psychiatrie, nun hat die Staatsanwaltschaft Regensburg hat ein Wiederaufnahmeverfahren beantragt.
sueddeutsche.de",,1,
Harald Weinberg,@HaraldWeinberg,2013-03-18T12:43:08.000Z,"Gute Rede (engl) von 
@AlexisTsipras
 zur #Krise in Europa und die Perspektive der #Linken http://left.gr/news/syriza-london-public-talk-alexis-tsipras… #EuroKriseSYRIZA London: Public talk by Alexis Tsipras
15/03/2013 London
left.gr",,,
Harald Weinberg,@HaraldWeinberg,2013-03-14T10:08:03.000Z,"morgen in #NBG:Betriebs/Personal-Räte-Konferenz der 
@Linksfraktion
 
natürlich auch für alle anderen gewerk.Aktive! http://facebook.com/events/495675903830351/…",,,
Harald Weinberg,@HaraldWeinberg,2013-03-13T08:40:08.000Z,"solidarischeGrüße nach #NBG.mal wieder Prozess gg Antifaschisten wg Aktivität gg Nazis.#Faschismus ist keine Meinung,sondern ein #Verbrechen",,,
Monika Bassani ن,@Pisepampell,2013-03-12T11:13:24.000Z,"#Griechenland: Krebskranke müssen monatlich bis 3.000 Euro für Medikamente aufbringen — -  http://rf-news.de/2013/kw11/griechenland-krebskranke-muessen-monatlich-bis-3.000-euro-fuer-medikamente-aufbringen#.UT8NqAGzdcE.twitter… #armesEuropaGriechenland: Krebskranke müssen monatlich bis 3.000 Euro für Medikamente aufbringen
11.03.13 (Korrespondenz): In Griechenland müssen als Folge des Diktats der Troika immer mehr Krebspatienten ihre Therapie aus eigener Tasche bezahlen oder abbrechen. Teilweise sind bis zu 3.000 Euro...
rf-news.de",1,11,
Harald Weinberg,@HaraldWeinberg,2013-03-12T14:56:49.000Z,heute im #BT -Unser Antrag zum Thema: Bessere #Krankenhauspflege durch Mindestpersonalbemessung http://dip21.bundestag.de/dip21/btd/17/120/1712095.pdf… #DerDruckMussRaus,,1,
Thomas Stadler,@RAStadler,2013-03-10T17:30:29.000Z,Oliver García setzt seine Blogserie zum Fall #Mollath fort. http://blog.delegibus.com/2013/03/10/der-fall-mollath-ein-mehrpersonenstuck-teil-4/… Wie immer detailreich und lesenswert.,,18,6
Harald Weinberg,@HaraldWeinberg,2013-03-11T11:46:36.000Z,spärliche Antworten der BReg zur Situation in #Griechenland sind nun ausgewertet! http://linksfraktion.de/nachrichten/anpassungsprogramme-rezession-soziale-notlagen-griechenland/… #EuroKrise #linksfraktion,,,
Andrej Hunko,@AndrejHunko,2013-03-07T10:34:01.000Z,"Wir sind alle GriechInnen! Kundgebung für den Erhalt des griechischen Kulturzentrums Berlin: 11.3., 12h, Potsdamer Str. 65 
@BlockupyBerlin",,1,
Harald Weinberg,@HaraldWeinberg,2013-03-07T10:33:20.000Z,"da fehlen einem die Worte: http://diestandard.at/1361241413298/Der-Hunger-der-Athenerinnen… #Griechenland #EuroKrise #RiseUp #FrauenDer Hunger der Athenerinnen
Die neuen Obdachlosen sind vor allem Frauen aus der ehemaligen Mittelschicht - Die Sparpolitik trifft sie besonders hart - Die Prostitution stieg um 1.500 Prozent
derstandard.at",,,
Monika Bassani ن,@Pisepampell,2013-03-07T09:28:32.000Z,FRN: Krankenversorgung in Griechenland http://freie-radios.net/54096#.UThdooAg9m0.twitter… #Griechenland #armesEuropa,,3,
Andrej Hunko,@AndrejHunko,2013-03-07T10:04:01.000Z,"Griechisches Kulturzentrum erhalten! Senat will Förderung einstellen - Petition unterschreiben:Für die Fortführung der Förderung für das Griechische Kulturzentrum in Berlin-Steglitz - Online-P...
Griechisches Kulturzentrum in Steglitz und griechische Vereine in Berlin vor dem aus! Die Senatsverwaltung für Arbeit, Integration und Frauen entscheidet die Einstellung der Förderung für das...
openpetition.de",,1,
Harald Weinberg,@HaraldWeinberg,2013-03-06T17:02:06.000Z,"hier noch der Link zu der #Reisewarnung der #EU für #Griechenland
http://freiewelt.net/nachricht-12016/eu-gibt-reisewarnung-f%FCr-griechenland-heraus.html… #nicht_falsche_sondern_verlogene_WELT",,,
Harald Weinberg,@HaraldWeinberg,2013-03-06T14:54:27.000Z,#EU-#Kommission rät Mitarbeitenden bei #Griechenland Reise:Fälscht euren Lebenslauf & verschweigt wo ihr arbeitet! #verkehrteWelt #EuroKrise,,,
Harald Weinberg,@HaraldWeinberg,2013-03-06T10:38:13.000Z,"SpendenApotheke in #Griechenland - #Solidarität im Gesundheitsbereich. Ehrenamtliche halten Betrieb aufrecht!SpendenApotheke in #Griechenland - #Solidarität im Gesundheitsbereich. Ehrenamtliche halten Betrieb...
SpendenApotheke in #Griechenland - #Solidarität im Gesundheitsbereich. Ehrenamtliche halten Betrieb aufrecht!
twitpic.com",,,
linksfraktion,@Linksfraktion,2013-03-05T14:29:41.000Z,Martina Bunge: Schwarz-gelber Gesetzentwurf zum Notlagentarif trägt Handschrift der PKV http://ow.ly/2vgXgA,,2,
Harald Weinberg,@HaraldWeinberg,2013-03-05T13:38:01.000Z,"Debatte zu der Frage:Welche Folgen hat die merkelsche EU-Politik für das #griechische #Gesundheitssystem ? #SyrizaDebatte zu der Frage:Welche Folgen hat die merkelsche EU-Politik für das #griechische #Gesundheit...
Debatte zu der Frage:Welche Folgen hat die merkelsche EU-Politik für das #griechische #Gesundheitssystem ? #Syriza
twitpic.com",,,
Harald Weinberg,@HaraldWeinberg,2013-03-05T13:33:27.000Z,seit Sonntag bin ich in #Athen - viele Gespräche&Treffen stehen an.Fokus für mich: das griechische Gesundheitswesen #Syriza #EuroKrise,,,
Muschelschloss,@Muschelschloss,2013-03-04T16:14:56.000Z,"Fall #Mollath - Parlamentarier seien im Bayerischen Landtag in der letzten Woche ""schlicht belogen"" worden ...Mollath: Opposition in Bayern fühlt sich ""schlicht belogen""
Gustl Mollath wurde als ""Spinner"" bezeichnet - doch die Verantwortlichen stritten dies ab. Die Opposition in Bayern ist empört.
sueddeutsche.de",1,5,
Die Soziale Bewegung,@SozialeBewegung,2013-02-28T10:55:13.000Z,"Kipping (MdB): Greece: We wish you power and success for your general strike!: Griechenland... http://bit.ly/WlYr0W #Soziales #PolitikGreece: We wish you power and success for your general strike!
On the occasion of today’s general strike we send you militant greetings. We affirm our solidarity with all working people, unemployed and pensioners, who, in this way, resist to the deadly dictate...
katja-kipping.de",,3,
Angelika Wienert,@haiku_shelf,2013-02-27T22:34:45.000Z,"Justizskandal Gustl #Mollath: Keine Anzeige gegen zuständigen Richter - Bayern - Abendzeitung MünchenKeine Anzeige gegen zuständigen Richter
Die Staatsanwaltschaft Augsburg verwirft Anzeige gegen Richter und Psychiater. Der Anwalt von Gustl Mollath spricht von Willkür.
abendzeitung-muenchen.de",,5,1
Γιώργος Βλαστός - George Vlastos,@vlastosg,2013-02-23T22:29:29.000Z,DIE LINKE. Harald Weinberg: Kleine Anfrage zur Krise im griechischen Gesundheitssystem: Von der Bundesregierung ist… http://harald-weinberg.de/artikel/positionen/detail/zurueck/artikel-1/artikel/kleine-anfrage-zur-krise-im-griechischen-gesundheitssystem-von-der-bundesregierung-ist-keine-hilfe/…,,1,
Harald Weinberg,@HaraldWeinberg,2013-02-26T10:46:37.000Z,"""am besten bringst du dein Blut zur OP selbst mit"" Zustände im griechischen #Gesundheitssystem http://sueddeutsche.de/gesundheit/krise-des-griechischen-gesundheissystems-blutleere-in-hellas-1.1609885… #KriseBlutleere in Hellas
Die Schweiz ist Griechenlands einziger Lieferant von Spenderblut - und reduziert seine Importe. Eine Katastrophe für griechische Patienten.
sueddeutsche.de",,1,
FrankenBlue,@gerry6868,2013-02-24T23:42:32.000Z,"""Mollath wurde in einem Maße, wie es kaum zu beschreiben ist, Unrecht zugefügt"" | Telepolis http://heise.de/tp/artikel/38/38632/1.html?utm_medium=twitter&utm_source=twitterfeed/from/twitter… #Mollath""Mollath wurde in einem Maße, wie es kaum zu beschreiben ist, Unrecht zugefügt""
Ein Interview mit Erika Lorenz-Löblein, der Anwältin von Gustl Mollath
heise.de",,5,
Monika Bassani ن,@Pisepampell,2013-02-24T12:23:04.000Z,"Herzpatient verstarb hilflos im Krankenhaus Preveza in Griechenland http://griechenland-blog.gr/2013/02/herzpatient-verstarb-hilflos-im-krankenhaus-preveza-in-griechenland/12352/… #Griechenland Danke #IWF #EU #IZBHerzpatient verstarb hilflos im Krankenhaus Preveza in Griechenland
Im öffentlichen Krankenhaus von Preveza in Griechenland verstarb ein Patient, da sich kein Kardiochirurg fand, um ihn zu operieren. Am Freitagabend (22 Februar 2013) meldete eine Person des Schicht...
griechenland-blog.gr",,5,1
Harald Weinberg,@HaraldWeinberg,2013-02-22T11:17:33.000Z,"so wird Evidenz im Gesundheitswesen hergestellt...
http://buergerstimme.com/Design2/2013-02/medizin-statistikmanipulation-unwirksamkeit-von-medikamenten/…",,,
Harald Weinberg,@HaraldWeinberg,2013-02-22T11:15:24.000Z,Einstellung des Stafverfahren gegen mich wg.Widerstand gg.Ordnungskräfte im Zusammenhang mit Aktionen gg.die NPD-Tour in Nürnberg-Langwasser,,1,
Harald Weinberg,@HaraldWeinberg,2013-02-21T13:25:49.000Z,"alle Infos zu der #BetriebsräteKonferenz ""Der Druck muss raus"" der 
@Linksfraktion
 MitteMärz in #Nürnberg http://facebook.com/events/495675903830351/?ref=22…",,,
ver.di,@_verdi,2013-02-21T09:13:47.000Z,"Was fehlt? 162 000 Stellen in deutschen Krankenhäusern. http://der-druck-muss-raus.de #wasfehltMehr Personal
Ob in Krankenhäusern oder in der Altenpflege - überall wird am Personal gespart. Deshalb brauchen wir eine gesetzliche Regelung für mehr Personal. Die Politik ist gefragt.
gesundheit-soziales.verdi.de",,3,
Harald Weinberg,@HaraldWeinberg,2013-02-21T12:28:33.000Z,"die #SZ zur dramatischen Situation in den dt. #KrankenhäusernVerdi warnt vor dramatischem Personalmangel
Gehetzte Pfleger, enormer Arbeitsdruck und kaum Freizeit: Die Situation für das Personal in bayerischen Kliniken ist laut einer Verdi-Studie verheerend. Quer durch alle Beschäftigtengruppen müssten...
sueddeutsche.de",,4,
Harald Weinberg,@HaraldWeinberg,2013-02-20T15:57:11.000Z,Personalsituation in #Krankenhäusern immer dramatischer. Es fehlen 162.000 Vollzeitstellen! http://bit.ly/134xq3J #PersonalCheck #verdi,,,
DIE LINKE. Sachsen,@linke_sachsen,2013-02-20T09:10:37.000Z,"Links! Zeitung wurde gerade veröffentlicht! http://paper.li/linke_sachsen ▸ Topthemen heute von 
@solidbw
 @Milch_und_Honig
 @HaraldWeinbergGesellschaft - Persönlich und politisch
freitag.de Mareice Kaiser analysiert das Systemische im „Unwohlsein der modernen Mutter“
paper.li",,1,1
ver.di,@_verdi,2013-02-20T10:58:10.000Z,"162.000 Beschäftigte fehlen! Ergebnis des Personal-Checks von #verdi auf alle dt. Krankenhäuser gerechnet.Kliniken fehlen 162.000 Beschäftigte
In einer eintägigen Aktion hat ver.di bundesweit in 200 Krankenhäusern das Personal über ihre Arbeitsbedingungen befragt.
verdi.de",,12,
Muschelschloss,@Muschelschloss,2013-02-20T06:10:09.000Z,".
@MDLBeateMerk
 Lt. internem Untersuchungsbericht soll #HVB systematisch Staat betrogen haben http://sueddeutsche.de/wirtschaft/untersuchungsbericht-hypo-vereinsbank-soll-fiskus-geprellt-haben-1.1604667… Und #Mollath ist irre?Hypo-Vereinsbank soll Fiskus geprellt haben
Einem internen Untersuchungsbericht zufolge hat die Hypo-Vereinsbank mit dubiosen Börsendeals Steuern hinterzogen.
sueddeutsche.de",2,8,1
Hans-Böckler-Stiftung,@boeckler_de,2013-02-19T12:32:47.000Z,"Arbeitsrechtler Peter Schüren über #Leiharbeit, Scheinwerkverträge – und was Betriebsräte tun können #Werkvertrag http://boeckler.de/41784_41841.htm",,13,1
Harald Weinberg,@HaraldWeinberg,2013-02-19T15:41:48.000Z,schlechte Nachrichten aus #Nürnberg!Bayer.Landesmedienzentrale kürzt Förderung für das freie Radio #RadioZ um 20% !! http://radio-z.net/radioprogramm/gesellschaft-beitraege/politik-beitraege/topic/138473-pressemitteilung-von-radio-z.html?lang=de…,,1,1
ver.di,@_verdi,2013-02-19T11:16:10.000Z,Personalmangel in Kliniken gefährdet Patienten & Beschäftigte: Heute bundesweiter Personal-Check durch #verdi. http://der-druck-muss-raus.de,,5,
Harald Weinberg,@HaraldWeinberg,2013-02-19T10:22:28.000Z,"Ohne Streiks wären wir nicht so weit gekommen sagt 
@CarstenBecker
, Sprecher/ver.di Betriebsgruppe an der Charité»Ohne Streiks wären wir nicht so weit gekommen«
Arbeitskämpfe an Berliner Charité haben Gewerkschaft gestärkt. Nun steht ein neuer Konflikt an. Ein Gespräch mit Carsten Becker
jungewelt.de",,,
ver.di,@_verdi,2013-02-18T13:33:11.000Z,"Interessant & frisch vom 
@BundVerlag
: Soziale Medien in der Öff.arbeit der Interessenvertretungen. http://bund-verlag.de/shop/neuerscheinungen/soziale-medien-in-der-oeffentlichkeitsarbeit-der-interessenvertretungen.html… #Betriebsrat",,6,
Sapere Aude Helvetia,@Helvetia_,2013-02-17T17:33:33.000Z,"""#Mollath wurde gefesselt in Gerichtssaal geführt, Richter untersagte Mollath, ihm Schwarzgeldpapiere zu übergeben"" http://youtube.com/watch?v=MVsPnreD94k&feature=youtu.be…",,12,3
Christine Buchholz,@ch_buchholz,2013-02-18T17:00:49.000Z,"Noch im März soll der #Bundeswehr Einsatz in #Mali beginnen. Wir 
@DieLinke
 werden wieder die einzigen gegen #Krieg sein http://ow.ly/hO9l9",2,7,3
ver.di,@_verdi,2013-02-18T14:03:14.000Z,"#verdi-Gewerkschafter über #Amazon: Arbeitsbedingungen für alle verbessern. ""Boykott ist die Ultima Ratio“.Gewerkschafter über Amazon: „Boykott ist die Ultima Ratio“
Ver.di-Sekretär Heiner Reimann begleitet Leiharbeiter in Bad Hersfeld. Er hält nichts davon, Amazon-Konten zu löschen und fordert gleichen Lohn für alle.
taz.de",,11,2
Harald Weinberg,@HaraldWeinberg,2013-02-18T14:01:22.000Z,"28 Fragen zur privaten #Krankenversicherung an die 
@Bundesregierung
 - deren Antworten waren mehr als ungenügend: http://pkv-private-krankenversicherung.net/weinberg-28-fragen-zur-privaten-krankenversicherung-4693…",,,
Bernd Riexinger,@b_riexinger,2013-02-17T20:40:28.000Z,"Sie zielen auf Gregor und meinen DIE LINKE. Unsere Antwort heißt: Kämpfen! Für Arbeit, soziale Gerechtigkeit, Frieden. Das ist links!",5,13,4
Harald Weinberg,@HaraldWeinberg,2013-02-18T13:53:11.000Z,"vom #Klassenkampf zum Wettbewerbskorporatismus:die große #Transformation der #Gewerkschaften von 
@FrankDeppe
 
http://blaetter.de/archiv/jahrgaenge/2013/februar/vom-klassenkampf-zum-wettbewerbskorporatismus…",,,
Harald Weinberg,@HaraldWeinberg,2013-02-15T11:50:28.000Z,"politisches #Urteil in #Hamburg: 2 1/2Jahre Haft für Exilpolitiker Ali Ihsan Kitay ohne Vorwurf konkreter Straftaten!Politisches Urteil im Hamburger PKK-Prozeß
Zweieinhalb Jahre Haft für Exilpolitiker Ali Ihsan Kitay ohne Vorwurf konkreter Straftaten
jungewelt.de",,,
Harald Weinberg,@HaraldWeinberg,2013-02-14T11:07:09.000Z,"aktuelle Übersicht zu allem Lesenswerten im Fall Mollath - eine selbstzusammengestellte Online-Zeitung
http://paper.li/Muschelschloss/1356102021…",,3,1
Harald Weinberg,@HaraldWeinberg,2013-02-14T11:06:09.000Z,"Neues zur Causa Mollath: Welche Schlampereien kann sich ein Gericht leisten?Fall Gustl Mollath - ein Urteil voller Fehler
Gustl Mollath ist seit sieben Jahren in der geschlossenen Abteilung einer Psychiatrie eingesperrt - aufgrund eines Urteils voller Fehler.
sueddeutsche.de",,,1
Harald Weinberg,@HaraldWeinberg,2013-02-13T12:34:44.000Z,"Was Ihnen Vertreter_innen nicht sagen: 10 Geheimnisse der Privaten #Krankenversicherung #PKV 
http://handelsblatt.com/finanzen/vorsorge-versicherung/nachrichten/private-krankenversicherung-was-ihnen-der-vertreter-nicht-sagt/7754958.html…",,,
Harald Weinberg,@HaraldWeinberg,2013-02-12T11:54:50.000Z,"auch kleine Anfragen bringen was: #Regierung prüft Schritte gegen hohe #Zinsen in der #KrankenversicherungRegierung prüft Schritte gegen hohe Zinsen in der Krankenversicherung
Die Bundesregierung will verhindern, dass hohe Zinsen säumige Beitragszahler in der Gesetzlichen Krankenversicherung überfordern. Das teilte das Gesundheitsministerium in der Antwort auf eine kleine...
derwesten.de",,,
Harald Weinberg,@HaraldWeinberg,2013-02-12T10:56:29.000Z,"guter Artikel zur aktuellen Diffamierungs-Kampagne gegen 
@GregorGysiKommentar Gregor Gysi: Rhetorik des Verdachts
Die Stasi-Vorwürfe gegen Gregor Gysi sind kampagnenhaft. Bis jetzt konnte er stets zeigen, dass er sich im Nebel der DDR-Justiz zurechtgefunden hat.
taz.de",,,
Nicole Gohlke,@NicoleGohlke,2013-02-08T15:44:24.000Z,"Razzien bei AntifaschistInnen wg.angeblicher Versendung von NaziPropaganda.Denkt die bayer.Polizei keine 5meter selbst?
http://bit.ly/XdfBek",,6,2
Harald Weinberg,@HaraldWeinberg,2013-02-08T11:48:35.000Z,"Solidarität mit den Beschäftigten im Einzelhandel ist angesagt; solche Aktionen, wie die vom HDE gehören verboten.Solidarität mit den Beschäftigten im Einzelhandel ist angesagt; solche Aktionen, wie die vom HDE...
Solidarität mit den Beschäftigten im Einzelhandel ist angesagt; solche Aktionen, wie die vom HDE gehören verboten.
twitpic.com",,,
DIE LINKE,@dieLinke,2013-02-07T10:45:43.000Z,Überschüsse gehören den Versicherten: Die Bundesregierung will den Zuschuss an den Gesundheitsfonds weiter kürze... http://bit.ly/UDG86z,,4,1
Rosa-Luxemburg-Stiftung,@rosaluxstiftung,2013-01-31T07:10:08.000Z,Vom 1.-3.3. findet die Konferenz „Erneuerung durch Streik“ in Stuttgart statt. Es gibt schon über 250 Anmeldungen! http://bit.ly/VUvkON,,1,
Harald Weinberg,@HaraldWeinberg,2013-02-06T14:34:33.000Z,"Noch dieses Monat soll entschieden werden, ob das Verfahren im Fall #Mollath neu aufgerollt werden soll!
http://br.de/nachrichten/mittelfranken/mollath-psychiatrisches-gutachten-100.html#comments…",,,1
Harald Weinberg,@HaraldWeinberg,2013-02-05T12:56:16.000Z,"#München rüstet sich - #NSU #Prozess beginnt am 17.AprilGerichtssaal umgebaut: München rüstet sich für NSU-Prozess
Wenn im April der Prozess um die rassistisch motivierte Mordserie des Neonazi-Netzwerks NSU beginnt, schaut die Welt nach München.
abendblatt.de",,,
Harald Weinberg,@HaraldWeinberg,2013-02-05T12:52:34.000Z,wirklich lesenswert! http://rationalgalerie.de/archiv/index_1_661.html…,,,
Harald Weinberg,@HaraldWeinberg,2013-02-05T12:49:37.000Z,"unglaublich, aber nicht unvorstellbar::Spuren führen zum türkischen Geheimdienst
Der nach Morden an drei kurdischen Exilpolitikerinnen in Paris am 19. Januar festgenommene deutsche Staatsbürger Ömer Günay soll Agent des türkischen Nationalen Nachrichtendienstes (MIT) sein,...
neues-deutschland.de",,,
Harald Weinberg,@HaraldWeinberg,2013-02-01T14:40:12.000Z,"Morgen in #München -GroßDemo gegen die #NATO ""Sicherheitskonferenz"" Kommt vorbei & beteiligt euch!! 13Uhr #Stachus",,2,
Mehr Demokratie NRW,@mehr_demokratie,2013-02-01T09:10:08.000Z,"Ohne Live-Stream? 
@AndreasBeckerRE
: In wenigen Sekunden beginnt Anhörung zu Gesetz zur Stärkung der kommun. Demokratie. http://fb.me/26ijnxVJc",,1,
"Kathrin Vogler, MdB",@voglerk,2013-01-31T14:58:00.000Z,"Die DIE LINKE will das Transplantationssystem transparenter gestalten und öffentlich kontrollieren.
http://dip21.bundestag.de/dip21/btd/17/122/1712225.pdf…",,1,
Harald Weinberg,@HaraldWeinberg,2013-01-31T12:10:40.000Z,"Danke an alle Genoss_innen, die zum erfolgreichen Ausgang des #Volksbegehren gg. #Studiengebühren beigetragen haben!!!",1,,
Nürnberger Zeitung,@NZ_Online,2013-01-30T10:33:16.000Z,"Wenige Stimmen fehlen: Volksbegehren gegen Studiengebühren steht kurz vor Erfolg. 
http://nordbayern.de/region/wenige-stimmen-fehlen-volksbegehren-steht-kurz-vor-erfolg-1.2659480…",,2,
Harald Weinberg,@HaraldWeinberg,2013-01-29T12:35:31.000Z,"Die Debatte um die #Private #Krankenversicherung, die wir als #LINKE mit unserem Antrag angestossen haben, geht weiter:Die PKV wird selbst zum Patienten
Die private Krankenversicherung muss reformiert werden. Das räumen selbst die Regierungsparteien ein. Der Dauerbeschuss von SPD, Grünen und der Linke gegen die Privaten und für eine Bürgerversicher...
handelsblatt.com",,,
Harald Weinberg,@HaraldWeinberg,2013-01-28T14:53:52.000Z,"#Private #Krankenversicherung #abschaffen !!
#LINKE gegen #2KlassenMedizinHarald Weinberg, DIE LINKE: Private Krankenversicherung abschaffen
Die private Krankenversicherung ist auf dem absteigenden Ast. Das hat sich bereits herumgesprochen. Schwarz-gelb beschützt sie allerdings noch, wo es irgendw...
youtube.com",,,
Harald Weinberg,@HaraldWeinberg,2013-01-25T14:27:15.000Z,"#Volksbegehren gegen #Studiengebühren in #Bayern geht in die heiße Phase!!
#LINKE für ein gebührenfreies #Studium !!",,,
Harald Weinberg,@HaraldWeinberg,2013-01-24T15:24:16.000Z,"Was heißt hier #verfassungsfeindlich ? 
@EvaBulling
-Schröter zu den Äußerungen von #Innenminister #Herrmann #Bayern #CSU
http://bit.ly/W2AWHK",,,
