User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Heike Brehmer,@HeikeBrehmerMdB,2021-05-27T17:50:58.000Z,"Zukunftsperspektiven durch Milliardenhilfen https://bundesregierung.de/breg-de/bundesregierung/staatsministerin-fuer-kultur-und-medien/sonderfondskulturveranstaltung-1917654… #Merkel #BuRegSonderfonds des Bundes für Kulturveranstaltungen
Die Bundesegierung stellt weitere Hilfen für grosse und kleinere Kulturveranstaltungen mit Publikum zur Verfügung.
bundesregierung.de",,,
Heike Brehmer,@HeikeBrehmerMdB,2021-05-27T14:32:27.000Z,"Was #Leader #Europa im #Harz bewirkt. Gespräch über die Entwicklung des ländlichen Raumes am Beispiel der Leader-Region mit 
@bmel
 Sts. 
@UweFe
, Bürgermeister Thomas Krüger und Landrat Thomas Balcerowski auf der Huysburg. #Huy 
@cducsubt
 @EVP_DE",,,1
Heike Brehmer,@HeikeBrehmerMdB,2021-05-27T13:43:04.000Z,"Die #Landwirtschaft vor Ort hat in der Pandemie gezeigt, wie wichtig sie für uns ist. Informationsbesuch mit Staatssekretär 
@UweFe
 vom 
@bmel
 bei Quedlinburger #Saatgut.
#quedlinburg #harz #saat #Regional 
@cducsubt
 https://quedlinburger-saatgut.de",,,1
CDU/CSU,@cducsubt,2021-05-26T08:58:47.000Z,"Wie können wir die richtigen Lehren aus der Krise ziehen und Veränderungen anstoßen? Darum geht es am Donnerstag in unserem #FachgesprächDigital u.a. mit 
@rbrinkhaus
, 
@thorsten_frei
, 
@guenterkrings
 und 
@LuciaPuttrich
. #JetztZukunft

Mehr Infoshttps://cducsu.cc/2QQp5BW",18,7,12
CDU/CSU,@cducsubt,2021-05-26T10:30:00.000Z,"Die #Modernisierung des #Körperschaftsteuer|rechts ist eine gute Nachricht für den deutschen #Mittelstand. Davon sind unsere finanzpolitische Sprecherin 
@AntjeTillmann
 und der zuständige Berichterstatter 
@FGuentzler
 überzeugt! Mehr dazu gibt's hierhttps://cducsu.de/themen/finanzen-und-haushalt/gute-steuerpolitik-fuer-den-mittelstand…",3,9,18
CDU/CSU,@cducsubt,2021-05-26T14:44:29.000Z,"Presseinfo 
@ElisabethMotsc1
 & 
@gitta_connemann
: Sonderfonds des Bundes bringt uns das kulturelle Leben zurückSonderfonds des Bundes bringt uns das kulturelle Leben zurück
Die Bundesregierung hat heute den angekündigten Sonderfonds für Corona-Finanzhilfen für die Kulturbranche im Volumen von bis zu 2,5 Milliarden Euro beschlossen. Dazu erklären die stellvertret...
cducsu.de",12,9,16
Markus Galle,@marga__13,2021-05-14T07:59:14.000Z,"Fehlende Arbeitsplätze sind übrigens seit einigen Jahren nicht mehr das größte Problem liebe*r 
@cdulsa
 & 
@reinerhaseloff
. Wenn Menschen jedoch im schönen #SachsenAnhalt bleiben o. dorthin zurück kehren möchten, ist eben ein Job im #Niedriglohnsektor nicht für alle so attraktiv.CDU Sachsen-Anhalt
@cdulsa
 · May 14
Was wollen wir als CDU #SachsenAnhalt erreichen? Wir werden die Arbeitslosenquote weiter senken und Zukunftsperspektiven schaffen. 
Darum setzen Sie in  Tagen  beide Kreuze bei der CDU!
 http://cdulsa.de/sites/www.cdulsa.de/files/publikationen/kurzwahlprogramm_cdulsa_2021_2026_0.pdf…

#UnsereHeimatUnsereVerantwortung",1,1,4
CDU/CSU,@cducsubt,2021-05-14T09:44:15.000Z,"Presseinfo
@JoWadephul
: Deutschland steht fest an der Seite Israels 
#StandWithIsraelDeutschland steht fest an der Seite Israels
Der Raketenbeschuss aus dem Gaza-Streifen auf Ziele in Israel wurde unvermindert fortgesetzt. Immer mehr Ziele in Israel geraten unter Beschuss. Hierzu erklärt der stellvertretende Vorsitzend...
cducsu.de",23,13,30
Sachsen-Anhalt,@sachsenanhalt,2021-05-14T10:25:19.000Z,"MP 
@reinerhaseloff
 verurteilt die jüngsten antisemitischen Proteste scharf und erklärt: „Diese Vorfälle beschämen mich. Wir werden in unserem Land keinen #Antisemitismus dulden.“ Gewalt und Hetze dürften das Klima nicht vergiften. (StK)
https://lsaurl.de/B1wA",4,15,71
Torsten Schweiger,@cdu_schweiger,2021-05-13T15:19:33.000Z,"Unvoreingenommene Presse?Linnéa Findeklee
@Dr_Konservativ
 · May 10
Eine ganz leichte Tendenz zu erkennen. Aber nur ganz leicht ;) #Baerbock #Laschet",3,5,41
