User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Heiko Maas,@HeikoMaas,2021-05-28T12:57:38.000Z,"1:07
3.4K views",15,18,104
Heiko Maas,@HeikoMaas,2021-05-28T09:44:03.000Z,"Mit seiner Erfahrung, Weitsicht und Empathie hat er unser Land gut durch die Pandemie geführt. Wir brauchen seinen Rat, um uns Zuversicht auf dem Weg aus der Krise zu geben und unser Land zusammenzuhalten. (2/2)",32,6,113
Heiko Maas,@HeikoMaas,2021-05-28T09:44:02.000Z,"Frank-Walter #Steinmeier ist ein #Bundespräsident, der zuhört und Menschen zusammenführt. Dafür schätzen ihn die Bürgerinnen und Bürger in unserem Land und in der Welt. (1/2)",174,41,277
Heiko Maas,@HeikoMaas,2021-05-28T07:58:06.000Z,"Wir werden #Namibia und die Nachfahren der Opfer um Verzeihung bitten. Als Geste ihnen gegenüber stellen wir in den nächsten 30 Jahren 1,1 Mrd. bereit, zB für Landwirtschaft und Ausbildung. Wir können die Vergangenheit nicht ändern, aber gemeinsam in die Zukunft schauen. (2/2)",75,55,371
SteffenRülke,@Opp_Sprecher,2021-05-27T13:11:43.000Z,"#ineigenerSache

Nach 12 Jahren Presse & Kommunikation in BPA, Fraktion, BMJV und AA ist es Zeit für einen Dank an großartigste Chefs, tollste Kolleg*Innen, faire & neugierige Journalist*Innen. Es war mir eine Ehre und Freude! 

(1)",2,9,110
Heiko Maas,@HeikoMaas,2021-05-24T17:49:08.000Z,Staatssekretär Miguel Berger wird das Gespräch führen. Zugleich werden die Staats- und Regierungschefs der EU beim heutigen informellen Europäischen Rat über Konsequenzen beraten. Dieser Übergriff kann nicht folgenlos bleiben. (3/3),25,29,271
Heiko Maas,@HeikoMaas,2021-05-24T17:49:07.000Z,"Die bisherigen Erklärungen der belarussischen Regierung für die erzwungene Landung eines #Ryanair-Flugzeuges in #Minsk sind abwegig und nicht glaubwürdig. Wir brauchen Klarheit, was sich gestern wirklich an Bord und am Boden zugetragen hat. (1/3)",76,68,431
Heiko Maas,@HeikoMaas,2021-05-24T10:58:18.000Z,"Wir trauern mit unseren Freund*innen in Italien und Israel um die Opfer des schrecklichen Seilbahn-Unglücks in #Stresa. Dank und Anerkennung gilt den Rettungskräften vor Ort. Unsere Gedanken sind auch bei dem verletzten Jungen, der seine Familie verloren hat.",42,35,296
Heiko Maas,@HeikoMaas,2021-05-23T18:03:07.000Z,"Das kann nicht ohne deutliche Konsequenzen von Seiten der EU bleiben. Wir stehen in engem Austausch mit den EU-Partnern.
In jedem Fall muss #Belarus die Sicherheit, Unversehrtheit und Freiheit aller Passagiere unverzüglich gewährleisten und Roman Protasewitsch freilassen. 2/2",201,187,1.3K
Heiko Maas,@HeikoMaas,2021-05-23T08:29:02.000Z,"Antisemitismus verstößt gegen alle Werte unseres Grundgesetzes. 

Es hat die Lehren aus Krieg & Holocaust gezogen. Das #Grundgesetz ist eine antitotalitäre Verfassung,Menschenwürde ist unantastbar u Religionsfreiheit fest verankert. 

Heute seit 72 Jahren, Herzlichen Glückwunsch!",291,87,467
Heiko Maas,@HeikoMaas,2021-05-22T07:01:22.000Z,"#RomanKent - Auschwitz-Überlebender, Schlüsselfigur für das Verständnis der Shoah und lebenslanger Streiter für Toleranz und Verständigung - ist tot. Wir werden sein Vermächtnis bewahren.",31,13,155
Heiko Maas,@HeikoMaas,2021-05-21T13:37:58.000Z,"Wir haben im #Europarat den Schutz von Privatsphäre und Menschenwürde in den Fokus gerückt. Die letzten Wochen haben verdeutlicht, dass wir Hass und Hetze kein haarbreit Raum geben dürfen - weder online, noch offline.From 
Auswärtiges Amt",58,21,73
Heiko Maas,@HeikoMaas,2021-05-21T07:11:53.000Z,"Jetzt seit 8.50h: Sitzungbeginn live mit Bundespräsident #Steinmeier, 
@TschenPe
 und mir unter http://bit.ly/3tZHA4l
 Mehr Info: http://diplo.de/2462248 (3/3)Sechs Monate, drei Prioritäten: Übergabe des deutschen Vorsitzes im Europarat am 21. Mai
Am 21. Mai endet der sechsmonatige deutsche Vorsitz im Ministerkomitee des Europarats mit 47 Mitgliedstaaten. Deutschland hatte im November vergangenen Jahres den Vorsitz von Griechenland übernommen....
auswaertiges-amt.de",5,6,32
Heiko Maas,@HeikoMaas,2021-05-21T07:11:52.000Z,"Gut, dass es nun zu einer Waffenruhe gekommen ist, keine weiteren Opfer gibt. Großer Dank an #Ägypten für die Vermittlung. Nun gilt es, sich mit den Ursachen auseinander zu setzen, Vertrauen wieder aufzubauen, Lösung für Nahostkonflikt zu finden."" #NahostQuartett (1/3)",80,24,156
Heiko Maas,@HeikoMaas,2021-05-20T18:22:02.000Z,Gleichzeitig sorgen wir uns um die humanitäre Situation der Palästinenser. Wir sind mittlerweile der größte Geber der UNRWA und werden auch in Zukunft an dieser Unterstützung festhalten.,59,24,119
Heiko Maas,@HeikoMaas,2021-05-20T18:22:01.000Z,"Ich hatte ein konstruktives Gespräch mit Präsident Abbas. Thema war u.a., was von unterschiedlicher Seite dazu beigetragen werden kann, damit es zu einem Waffenstillstand kommt. Wir waren uns einig, dass es diesen jetzt schnell geben muss!",125,49,223
Heiko Maas,@HeikoMaas,2021-05-20T08:46:26.000Z,"Wir wollen auch den Blick über die aktuelle Situation hinaus weiten. Wir sind davon überzeugt, dass ein Leben in Sicherheit und Frieden auf Dauer nur möglich sein wird, wenn Israelis wie Palästinenser auf beiden Seiten selbstbestimmt leben können.",48,12,104
Heiko Maas,@HeikoMaas,2021-05-20T08:46:25.000Z,"Solange es Staaten und Gruppierungen gibt, die Israel mit Vernichtung drohen, muss es in der Lage sein, seine Bewohner zu schützen. Dass das auch so bleibt, dazu wird Deutschland auch zukünftig Beiträge leisten. Unsere Solidarität erschöpft sich nicht in Worten.גבי אשכנזי - Gabi Ashkenazi",378,133,493
Heiko Maas,@HeikoMaas,2021-05-20T06:56:15.000Z,"Es geht darum, wie die internationale Gemeinschaft zu einem Ende der Gewalt und einem belastbaren Waffenstillstand beitragen kann. Und wir müssen darüber sprechen, wie ein Weg zurück zu Friedensverhandlungen geebnet werden kann.",41,13,121
Heiko Maas,@HeikoMaas,2021-05-19T12:00:19.000Z,"Franziska #Giffey ist eine großartige Kollegin. Sie arbeitet hart und konnte viel für Familien bewegen. Das Aufholpaket ist nur ein Beispiel. Dass sie einem sonderlichen Verfahren ihrer Uni zuvorkommt, verstehe ich gut. Sie wäre eine hervorragende Bürgermeisterin für Berlin.",676,162,384
Heiko Maas,@HeikoMaas,2021-05-19T10:19:39.000Z,"Antisemitischen Hasspredigern, Hetzern und Gewalttätern in Deutschland müssen wir mit der ganzen Härte des Rechts entgegentreten. Und zwar ganz egal, ob sie schon immer hier leben oder erst in den letzten Jahren nach Deutschland gekommen sind. (4/4)",44,20,151
Heiko Maas,@HeikoMaas,2021-05-19T10:19:38.000Z,"Haben einen 3-Stufen-Plan vorgeschlagen:
1. Sofortiger Stopp des Raketenterrors der Hamas
2. Vereinbarung eines Waffenstillstandes
3. Komplexe Ursachen der Auseinandersetzungen angehen, dabei führt kein Weg vorbei an direkten Gesprächen zwischen Israelis und Palästinensern. (3/4)",49,16,111
Heiko Maas,@HeikoMaas,2021-05-18T12:31:44.000Z,"Im Moment ist die Beendigung der Gewalt in #Nahost die erste Priorität. Wir müssen aber auch darüber sprechen, wie eine solche Eskalation in der Zukunft vermieden werden kann. Die EU muss hier eine Rolle spielen - politisch wie humanitär.",183,35,125
Heiko Maas,@HeikoMaas,2021-05-18T10:19:17.000Z,"Viel zu oft schaffen Wertschöpfungsketten Werte nur in manchen Teilen der Welt und vergrößern das Elend in anderen. Wir müssen aufhören, Güter zu handeln, die Menschen anderswo schaden. Habe daher beim Berlin Dialogue on Business & Human Rights fürs #Lieferkettengesetz geworben.International Labour Organization and 2 others",37,23,79
Heiko Maas,@HeikoMaas,2021-05-18T07:24:52.000Z,"Zur Identität unseres Landes gehört, dass wir keine Form von #Antisemitismus akzeptieren und uns klar zum Existenzrecht Israels bekennen. Das gilt für alle, ob sie hier geboren sind oder erst seit Kurzem bei uns sind. (2/2)",145,54,471
Heiko Maas,@HeikoMaas,2021-05-17T17:14:31.000Z,"Das Friedensabkommen von Dschuba war ein Meilenstein für #Sudan. Um jetzt politische und wirtschaftliche Reformen umzusetzen, braucht die sudanesische Regierung finanziellen Spielraum. Wir sind bereit, Sudans Schulden bei Deutschland in Höhe von 360 Mio. Euro zu streichen.",139,86,214
Heiko Maas,@HeikoMaas,2021-05-17T07:24:04.000Z,"#Menschenrechte sind unteilbar, universell & unabhängig von sexueller Orientierung. Doch noch immer erfahren Menschen, die nicht in ein tradiertes Bild passen, weltweit Diskriminierung. Dagegen setzen wir uns mit unserer Menschenrechtspolitik ein.
#IDAHOBIT21",146,73,414
Heiko Maas,@HeikoMaas,2021-05-16T09:39:34.000Z,"Es braucht nun: 1. Einen Stopp des Raketenterrors, 2. Ein Ende der Gewalt und 3. Die Rückkehr zu Gesprächen zwischen Israelis & Palästinensern und über eine Zweistaatenlösung. Dies habe ich in all meinen Gesprächen mit Amtskollegen aus der Region betont. #Nahost (2/2)",185,27,203
Heiko Maas,@HeikoMaas,2021-05-16T09:39:33.000Z,"Die Berichte über die andauernde Gewalt, über Angst & Verzweiflung der Menschen lassen mich nicht los. Das ist eine hochexplosive Mischung, die zu unabsehbaren Folgen, auch für die Region insgesamt, führen kann. Wir müssen unbedingt verhindern, dass dies passiert. (1/2)",145,35,187
Heiko Maas,@HeikoMaas,2021-05-15T15:35:06.000Z,Ich bedanke mich bei allen für das Vertrauen und die Unterstützung zur Wahl auf Platz 1 der Landesliste zur Bundestagswahl und freue mich auf einen intensiven Wahlkampf.,147,44,372
Heiko Maas,@HeikoMaas,2021-05-15T09:05:16.000Z,"#COVID19 können wir nur durch internationale Zusammenarbeit überwinden. Die kirchlichen Akteure weltweit stärken mit ihrem Engagement den gesellschaftlichen Zusammenhalt und können menschliche Nähe bewahren. Das habe ich beim 
@OekumenischerKT
 betont. #oekt",40,19,90
Heiko Maas,@HeikoMaas,2021-05-14T17:11:03.000Z,"Für Antisemitismus gibt es keinerlei Rechtfertigung - durch nichts. Wer Juden beleidigt oder Synagogen angreift, gehört nicht auf die Straße, sondern vor Gericht. Wir müssen gerade jetzt alles tun, um jüdisches Leben bei uns zu schützen. (2)",150,56,574
Heiko Maas,@HeikoMaas,2021-05-13T09:21:11.000Z,"Die jüngste Eskalation hat die #Hamas herbeigeführt, indem sie über 1000 Raketen auf israelische Städte geschossen hat. Wer so rücksichtslos handelt, trägt Verantwortung auch für die entsetzlichen humanitären Folgen. #Israel verteidigt sich, weil es muss.Was wir jetzt brauchen, ist ein Ausweg aus der Gewalt
Außenminister Heiko Maas im Interview mit der Funke Mediengruppe
auswaertiges-amt.de",399,142,549
Heiko Maas,@HeikoMaas,2021-05-13T07:40:16.000Z,"Ich wünsche allen Musliminnen und Muslimen zum Ende des #Ramadan #EidMubarak , ein gesegnetes Fest des Fastenbrechens! Solidarität und Unterstützung für Mitmenschen sind der Kern dieses Fests. Wir sollten dies noch stärker leben! #EidAlFitr",654,209,1.1K
Heiko Maas,@HeikoMaas,2021-05-12T15:48:28.000Z,Italien darf beim Thema Flucht und Migration nicht alleingelassen werden. Wir haben in der Vergangenheit Flüchtlinge aufgenommen und werden das in diesem Sinne für die Zukunft in der Bundesregierung besprechen.,80,18,58
Heiko Maas,@HeikoMaas,2021-05-12T15:48:27.000Z,"Wir haben in dieser historischen Notlage als EU solidarisch gehandelt. Jedem in Europa muss klar sein, dass es uns nur gut geht, wenn es uns allen gut geht. Es muss für uns alle sehr schnell aus der Krise herausgehen.Luigi Di Maio",108,24,82
Heiko Maas,@HeikoMaas,2021-05-12T11:34:12.000Z,"Papst Franziskus und ich haben uns darüber unterhalten, wie wir verhindern können, dass #COVID19 die Ungleichheiten zwischen Nord und Süd verschärft und was wir in der #EU dazu beitragen können, dass Länder, die dringend Impfstoff brauchen, ihn bekommen.",89,45,187
Heiko Maas,@HeikoMaas,2021-05-11T18:15:08.000Z,Der Raketenbeschuss Israels ist absolut inakzeptabel und muss sofort beendet werden. #Israel hat in dieser Situation das Recht auf Selbstverteidigung. Diese Eskalation der Gewalt ist weder zu tolerieren noch zu akzeptieren.,1.1K,661,3.5K
Heiko Maas,@HeikoMaas,2021-05-11T11:33:57.000Z,"Jetzt, wo wir langsam etwas Licht am Horizont sehen, ist der erneute Besuch in Rom für mich ein wichtiges Zeichen: Wir gehen gemeinsam durch diese Krise. Und wir gehen als Europa nicht schwächer, sondern stärker daraus hervor.",55,24,101
Heiko Maas,@HeikoMaas,2021-05-10T19:01:23.000Z,"Raketenbeschuss auf die israelische Zivilbevölkerung ist durch nichts zu rechtfertigen - und erst recht kein Beitrag zur Lösung des Konflikts, sondern sinnlose neue Eskalation. Alle Seiten stehen in der Pflicht, weitere Opfer unter Zivilisten zu verhindern.",945,172,632
