User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
"Karsten Hilse, MdB",@HilseMdb,2019-04-04T15:50:26.000Z,"Meine heutige Rede im BundestagKarsten Hilse
Heute war eine sehr spezielle Situation. Nachdem unsere Kandidatin für den Posten des Bundestagsvizepräsidenten auch im 3. Wahlgang nicht gewählt wurde, beantragte die AfD-Fraktion eine Unterbrechu...
m.facebook.com",56,5,19
"Karsten Hilse, MdB",@HilseMdb,2019-01-05T13:19:23.000Z,Anzeige wegen Aufruf zu einer Straftat erfolgt im Polizeirevier Hoyerswerda.,29,13,43
"Karsten Hilse, MdB",@HilseMdb,2018-09-17T10:52:51.000Z,"Auf dem Weg zur Wahlkampfunterstützung in Bayern, kurze Rast in der Fränkischen Schweiz!",5,2,15
"Karsten Hilse, MdB",@HilseMdb,2018-09-10T12:01:11.000Z,Tag der Ein- und Ausblicke im Reichstag,2,,8
"Karsten Hilse, MdB",@HilseMdb,2018-09-10T12:00:58.000Z,Tag der Sachsen in Torgau,,,5
"Karsten Hilse, MdB",@HilseMdb,2018-08-21T22:12:22.000Z,,9,56,82
"Karsten Hilse, MdB",@HilseMdb,2018-08-19T14:33:01.000Z,,7,12,22
"Karsten Hilse, MdB",@HilseMdb,2018-08-15T07:38:08.000Z,"Ab 16,00 Uhr werden wir Frau Merkel in der Hauptstadt des Widerstandes gebührend empfangen.",4,2,4
"Karsten Hilse, MdB",@HilseMdb,2018-08-09T17:01:35.000Z,"Bild-Zeitung auf Stürmer-Niveau!
""Bestie Assad"" 
Die Menschen müssen davon überzeugt werden, dass kein einziger Syrer zurückkehren kann!",3,,2
"Karsten Hilse, MdB",@HilseMdb,2018-01-09T19:59:29.000Z,Die weitere Aussetzung des Familiennachzugs für subsidär geschützte Personen muss fraktionsübergreifend im Bundestag beschlossen werden. Auch Herr Friedrich von der CSU hat das erkannt. Das hat aber noch nichts zu bedeuten.,,1,3
"Karsten Hilse, MdB",@HilseMdb,2018-01-06T15:26:12.000Z,Ca. 1000 Teilnehmer nahmen am Protestmarsch teil. Wir werden auch in Zukunft gegen die unsäglichen Zustände in Deutschland kämpfen.,1,,1
"Karsten Hilse, MdB",@HilseMdb,2018-01-06T14:18:48.000Z,Stiller Protestmarsch in Dresden,3,,2
"Karsten Hilse, MdB",@HilseMdb,2018-01-05T15:49:55.000Z,Morgen treffen wir uns zum stillen Protestmarsch in Dresden.,1,1,
"Karsten Hilse, MdB",@HilseMdb,2017-10-19T21:12:58.000Z,"Mit dem Zug nach Berlin, auf dem Großteil der Strecke kein Internetempfang. Ich liebe dieses ""Hochtechnologieland""!",,,
