User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Ingrid Remmers MdB,@Ingrid_Remmers,2021-05-25T09:01:28.000Z,"Wer nicht dabei sein konnte, hier könnt ihr die Veranstaltung nachlesen oder anschauen. Und es gibt viele Literaturlinks und parlamentarische Arbeit zum Thema:Mobilitätsgerechtigkeit! Die Verkehrswende ist eine soziale Frage
Am 5. Mai 2021 veranstaltete die Fraktion DIE LINKE. im Bundestag eine Podiumsdiskussion mit verschiedenen Verkehrs- und Mobilitätsexpert*innen, um über die sozialen Aspekte einer Verkehrswende und...
linksfraktion.de",,,4
Ingrid Remmers MdB,@Ingrid_Remmers,2021-05-18T07:57:45.000Z,"Das fällt ihm ja früh ein. Da kann man nur hoffen, dass ab Herbst Kompetenz in das Verkehrsministerium einzieht. Oder dass #Scheuer noch vernünftiger wird und  doch noch vorher zurücktritt. Andreas Scheuer
@andreasscheuer
 · May 17
DIe umweltfreundliche #Bahn muss mit dem Flugzeug in ganz #Europa konkurrieren können. Das geht mit grenzüberschreitenden Hochgeschwindigkeits- und #Nachtzugverbindungen. Viele EU-Staaten haben heute ihre Unterstützung für unser Konzept des Trans-Europe Express 2.0 zugesagt",3,5,21
Ingrid Remmers MdB,@Ingrid_Remmers,2021-05-10T09:04:41.000Z,"Viele Städte würden gerne Modellregion werden - für Tempo 30! Aber das wird von #Scheuer blockiert. Dabei würde das helfen, die Straßen sicherer zu machen.Tempo 30: Andreas Scheuer will nicht zuständig sein
Mehrere deutsche Städte wollen testen, ob ein generelles Tempo 30 die Straßen sicherer macht und Lärm reduziert. Aber das Bundesverkehrsministerium blockiert.
zeit.de",,,3
linksfraktion,@Linksfraktion,2021-05-08T06:00:01.000Z,"In der neuen Folge »Hinter den Kulissen des Bundestages« spricht 
@LoetzschMdB
 mit 
@Amira_M_Ali
 über ihre Arbeit im Rechts- u Agrar-Ausschuss. Sie ist aktiv: für kostenfreies Schulessen, die Beschneidung der Macht der Schufa u gegen das kranke Agrarsystem. https://youtube.com/watch?v=fJqtFhp23O4…",,4,13
Ingrid Remmers MdB,@Ingrid_Remmers,2021-05-10T08:45:04.000Z,"""Wenn vom Klimaschutz im Verkehrssektor die Rede ist, dann beschränkten sich die Vorschläge fast nur auf technische Veränderungen am Automobil. Dagegen werde die soziale Seite weitgehend ausgeblendet, »denn Autos bieten keine Mobilität für alle Menschen«"".
https://jungewelt.de/artikel/print.php?id=401975…",,,2
Uwe Ness,@UweNess,2021-05-06T12:58:09.000Z,"Da im Verkehrssektor insbesondere wegen der Autolawine seit 1990 nichts an CO2 eingespart wurde, Sie jetzt aber in 9 Jahren von 163 Mio. Tonnen CO2 auf 85 Mio. Tonnen im Jahr 2030 reduzieren müssen, wie ist da gleich Ihr Masterplan, 
@andreasscheuer
?!Klima: Energiesektor soll bis 2030 besonders viel CO₂ einsparen
Nach der Schlappe vor dem Verfassungsgericht will die Bundesregierung mit einem neuen Klimaschutzgesetz nachbessern. Der Entwurf zeigt, welche Sektoren besonders viel leisten sollen.
spiegel.de",12,103,158
Ingrid Remmers MdB,@Ingrid_Remmers,2021-04-30T10:57:38.000Z,Statt Auto- und Flugtaximinister #Scheuer braucht es neue Ideen und Konzepte für eine sozial gerechte #Verkehrswende! Diskutiert mit uns am 5. Mai!,1,3,11
Ingrid Remmers MdB,@Ingrid_Remmers,2021-04-29T07:57:23.000Z,"Von wegen #Verkehrswende geht nur in den Städten. Eine Volksinitiative in Brandenburg macht vor, wie es auch im ländlichem Raum gehen soll:Brandenburg: Koalition schließt Verkehrswende-Kompromiss mit Volksinitiative
Brandenburg steht vor einer Verkehrswende. Die Kenia-Koalition hat sich mit der Volksinitiative doch noch auf einen Kompromiss verständigt. In einem bis Ende 2022 dauernden Dialogverfahren soll ein...
maz-online.de",,,2
Ingrid Remmers MdB,@Ingrid_Remmers,2021-04-28T11:41:48.000Z,"Hier sind alle zwölf Thesen:Die Verkehrswende ist eine soziale Frage
Arbeitskreis II »Sozial-ökologischer Umbau und Haushalt« Beschluss vom 20. April 2021 Zwölf Thesen zur Mobilitätsgerechtigkeit
linksfraktion.de",,,2
Ingrid Remmers MdB,@Ingrid_Remmers,2021-04-28T11:41:47.000Z,"Am 5. Mai diskutieren wir mit euch über ""Mobilitätsgerechtigkeit""!",2,4,17
