User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Benedikt Lux,@bene_lux,2021-05-28T11:54:35.000Z,"Die Berliner Polizei leistet tagtäglich gute & harte Arbeit. 
Gerade deswegen müssen die Fälle von Rassismus & Diskriminierung systematisch wissenschaftlich untersucht werden. 
Eine starke Polizei hinterfragt sich kritisch. 
@s_k_walter
 @GrueneFraktionB
 @PolizeiGruenSenatsverwaltung für Inneres und Sport
@derInnensenator
 · May 28
Forschungsauftrag für unabhängige Studie zu möglichem Rassismus und Diskriminierung bei der @polizeiberlin geht an die @TUBerlin. Die Studie ist Teil des 11-Punkte-Plans zur internen Vorbeugung und Bekämpfung von möglichen extremistischen Tendenzen.

 https://berlin.de/sen/inneres/presse/pressemitteilungen/2021/pressemitteilung.1089066.php…
Show this thread",,14,46
R. Hoheisel-Gruler,@RHGSIG,2021-05-26T17:32:09.000Z,"https://belltower.news/unabhaengige-in-der-polizei-wenn-polizisten-aktivistinnen-doxen-und-journalistinnen-drohen-116295/…

Die sogenannten Unabhängigen mal sauber aufgearbeitet. Dank an http://belltower.News 
#TeamNoUPol_eV„Unabhängige in der Polizei“: Wenn Polizisten Aktivist:innen doxen und Journalist:innen drohen
Der Verein „Unabhängige in der Polizei“ (UPol) veröffentlicht auf Twitter Information zum privaten Wohnort einer massiv bedrohten Aktivistin – der letzte Vorfall in einer langen Reihe um den…
belltower.news",6,156,497
AJC Berlin,@AJCBerlin,2021-05-26T07:57:49.000Z,"Vor einem Jahr verfügte Deutschland ein Betätigungsverbot gegen die Terrororganisation #Hisbollah. 
@IreneMihalic
 hakte nun nach, was das Verbot tatsächlich bewirkte. Ihr Fazit: Es gab zu wenige Konsequenzen, die Hisbollah agiert weiterhin in Deutschland.Libanesische Terrororganisation in Deutschland nur schwer zu packen
Vor einem Jahr verfügte Bundesinnenminister Horst Seehofer ein Betätigungsverbot gegen die Hisbollah. Deren Anhänger agieren nun noch konspirativer.
tagesspiegel.de",3,12,25
Irene Mihalic,@IreneMihalic,2021-05-21T14:56:36.000Z,"Frauenhass tötet! Das haben die rechtsextremen Attentate der letzten Jahre gezeigt. Über Frauenhass in rechtsextremen Ideologien, den #Antifeminismus von #noafd und #Incels und Angriffe auf die Gleichberechtigung habe ich mit 
@JudithRahner
 gesprochen.einsatz.report: Rechter Frauenhass und Antifeminismus auf Apple Podcasts
Sendung einsatz.report, Folge Rechter Frauenhass und Antifeminismus – May 18, 2021
podcasts.apple.com",5,10,12
Christian Reinboth,@reinboth,2021-05-21T06:00:23.000Z,"Vor zwei Wochen wurde die fehlende Regierungserfahrung skandalisiert, letzte Woche der Londoner Master und nun *voll versteuertes Weihnachtsgeld der eigenen Partei*, das nicht als BT-Nebeneinnahme angegeben war. Diese Strategie mag aufgehen, aber stolz kann man auf sie kaum sein.",57,122,1.1K
Alexander Roth,@00schneemann,2021-05-21T09:31:12.000Z,"Ich durfte mit 
@IreneMihalic
, 
@margit_stumpp
, 
@KonstantinNotz
, 
@HeikeKleffner
, 
@martinkaul
, weiteren Kolleg*innen, Polizeivertretern uvm über Angriffe auf Journalist*innen u.a. durch #Querdenker sprechen. Wer mag kann sich das hier ansehen. #PressefreiheitAngriffe auf Journalist*innen
Onlinediskussion mit Irene Mihalic, Konstantin von Notz und Margit Stumpp
youtube.com",1,15,23
Grüne im Bundestag,@GrueneBundestag,2021-05-20T15:37:20.000Z,"Die Beweisaufnahme im PUA #Breitscheidplatz ist beendet. Zu spät gelieferte Akten bringen jetzt neue, wichtige Hinweise.
@IreneMihalic
, 
@MartinaRenner
 & 
@bstrasser
 fordern weitere Zeugenbefragungen im #UA1BT:
""Verzögerte Aktenlieferungen dürfen die Aufklärung nicht blockieren.""",8,13,66
Katharina Dröge,@katdro,2021-05-20T17:48:33.000Z,"Die 
@wznewsline
 meldet: 
@ArminLaschet
 verzichtet auf die Kandidatur in seinem Direktwahlkreis #Aachen. Hat er etwa Angst vor 
@Oliver_Krischer
 ?  
@gruenenrw
 @Die_GruenenNRW: Bundestagswahlen: Laschet soll CDU-Spitzenkandidat werden
Unions-Kanzlerkandidat und Ministerpräsident Armin Laschet soll Spitzenkandidat der nordrhein-westfälischen CDU bei der Bundestagswahl im September werden. Der Generalsekretär der NRW-CDU, Josef...
wz.de",14,23,197
Sebastian Striegel,@StriegSe,2021-05-20T05:16:54.000Z,"Unser #GrünerFeierabend mit 
@IreneMihalic
 zur #Polizei ist jetzt als Aufzeichnung online. Schaut mal rein! #verlässlichregierenDein Grüner Feierabend - auf dem Weg zur Bürger*innenpolizei
Wir streiten für eine Polizei, die Hüterin des sozialen Friedens ist. Und sind davon überzeugt, dass gute Polizeiarbeit essentiell für einen funktionierenden...
youtube.com",,3,8
Benjamin Strasser,@bstrasser,2021-05-20T07:43:09.000Z,Die GroKo will es mal wieder nicht anderes… #UA1BT #Amri ,1,5,20
Martina Renner,@MartinaRenner,2021-05-20T05:49:16.000Z,"Wir werden dafür kämpfen, dass  heute im #UA1BT der Weg frei gemacht wird für Beweisaufnahme zu nachträglich gelieferten Akten des #BfV durch Zeug*innenvernehmung. Es steht auch Falschaussage schon vernommener Beamt*innen im Raum. 
@IreneMihalic
 @bstrasserBerlin-Attentat: Opposition will doch noch mehr Zeugen hören
Berlin (dpa) - Die Opposition im Untersuchungsausschuss des Bundestages zum Terroranschlag auf dem Berliner Weihnachtsmarkt will auf Grundlage von verspätet ...
rtl.de",,6,25
Irene Mihalic,@IreneMihalic,2021-05-19T16:35:45.000Z,"Journalist:innen werden immer öfter angegriffen. Morgen 18 Uhr sprechen 
@KonstantinNotz
, 
@margit_stumpp
 und ich mit Journalist:innen und Vertreter:innen von Polizei, Wissenschaft und Zivilgesellschaft über die Lage & Maßnahmen zum Schutz der freien Presse. https://m.youtube.com/watch?v=fF4m5CI1OJw&feature=youtu.be…",,9,29
Grüne im Bundestag,@GrueneBundestag,2021-05-19T14:12:53.000Z,"Ich erwarte von allen, die in diesem Land leben: 

Die Staatsräson, das Existenzrecht Israels und das #NieWieder in Bezug auf #Antisemitismus und Judenhass in Deutschland nicht nur anzuerkennen, sondern zu verteidigen und aktiv zu leben.

– 
@KonstantinNotz",18,23,165
Irene Mihalic,@IreneMihalic,2021-05-19T10:21:14.000Z,"Same procedure as every week Irene Mihalic
@IreneMihalic
 · May 5
Die #GroKo hat heute zum 6. Mal unseren Antrag zur Ruhegehaltsfähigkeit der #Polizeizulage von der TO abgesetzt. Diesmal sogar ohne jede Begründung! Es ist einfach unwürdig auf diese Weise eine klare Positionierung zu umgehen. #Bundestag @GBundespolizei @DPolGBPOLG @BPOL_BDK",1,5,25
