User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jan Metzler,@JanMetzler,2019-09-10T11:37:28.000Z,"Alle Gute liebe Fraktion!CDU/CSU
@cducsubt
 · Sep 10, 2019
Happy Birthday @cducsubt ! Unsere Fraktion feiert diese Woche ihr 70-jähriges Bestehen - 70 Jahre für Frieden, Freiheit und Demokratie. 

Mehr Infos zum #Jubiläum und zur großen #Festveranstaltung heute Abend gibt es hier: https://cducsu.cc/2k8xiRB
Show this thread
0:00
4.6K views",1,,11
Jan Metzler,@JanMetzler,2018-09-27T20:18:43.000Z,https://facebook.com/story.php?story_fbid=10214518173963043&id=1081248444…,,,1
Jan Metzler,@JanMetzler,2018-09-27T13:44:41.000Z,Klasse!  https://facebook.com/story.php?story_fbid=10214515916426606&id=1081248444…,,,2
Jan Metzler,@JanMetzler,2018-09-25T10:43:40.000Z,"Eine gute Gelegenheit zurückzublicken: Fast genau ein Jahr ist es her, seit das Filmteam mich begleitet hat. Ich bin nach wie vor sehr dankbar, dass mir die Menschen im Wahlkreis erneut ihr Vertrauen ausgesprochen haben und ich dieses Mandat für... https://facebook.com/cdu.metzler/posts/10214501936237110…",,,4
Jan Metzler,@JanMetzler,2018-09-24T06:14:11.000Z,"Herzlichen Dank an alle Mitglieder der Blaulicht-Familie, die am gestrigen Tag unermüdlich aktiv waren, um die Sturmschäden zu beseitigen. https://facebook.com/story.php?story_fbid=10214492713126538&id=1081248444…",,,2
Jan Metzler,@JanMetzler,2018-09-23T15:58:06.000Z,"Danke an die TGO, es war ein großartiges Oktoberfest am gestrigen Abend in Osthofen!",,,
Jan Metzler,@JanMetzler,2018-09-22T18:23:12.000Z,"Weingut Huff Eine kurze Geschichte der Liebe
Rheinhessen wird immer mehr zur Domäne junger talentierter Winzerinnen, die sich nicht für sich, sondern nur für ihre Weine interessieren – wie die fabelhafte Christine Huff aus Nierstein-Schwabsburg.
m.faz.net",,,2
Jan Metzler,@JanMetzler,2018-09-21T14:09:32.000Z,https://facebook.com/story.php?story_fbid=10214471992648539&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-17T19:17:29.000Z,Ganz meiner Meinung! https://facebook.com/story.php?story_fbid=10214445580308247&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-17T19:16:49.000Z,https://facebook.com/story.php?story_fbid=10214445578028190&id=1081248444…,,,1
Jan Metzler,@JanMetzler,2018-09-17T19:15:42.000Z,War schön bei Euch heute Abend! Danke! https://facebook.com/story.php?story_fbid=10214445563347823&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-16T22:04:55.000Z,Interessant https://facebook.com/story.php?story_fbid=10214439656280150&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-14T13:06:35.000Z,Danke für diese Rede Herr Bundestagspräsident. https://bundestag.de/dokumente/textarchiv/2018/kw37-de-schaeuble/568508…,,,
Jan Metzler,@JanMetzler,2018-09-11T15:51:16.000Z,Schöner Artikel! Lesenswert  https://facebook.com/story.php?story_fbid=10214401870015517&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-11T15:35:00.000Z,Der Bundeshaushalt 2019 wird in dieser Woche beraten und beschlossen. Hier eine sehr informative Übersicht. https://facebook.com/story.php?story_fbid=10214401747612457&id=1081248444…,1,,2
Jan Metzler,@JanMetzler,2018-09-08T08:08:07.000Z,Ein sehr kluger Artikel lieber Christian! https://facebook.com/story.php?story_fbid=10214375553197613&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-09-07T21:56:01.000Z,https://facebook.com/story.php?story_fbid=10214372441799830&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-08-29T22:15:43.000Z,Super Sache!  http://perspektive40.de,,,
Jan Metzler,@JanMetzler,2018-08-29T07:32:56.000Z,https://facebook.com/story.php?story_fbid=10214301337302262&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-08-29T07:31:58.000Z,https://facebook.com/story.php?story_fbid=10214301333862176&id=1081248444…,,,1
Jan Metzler,@JanMetzler,2018-08-28T21:59:36.000Z,https://facebook.com/story.php?story_fbid=10214298642474893&id=1081248444…,,,
Jan Metzler,@JanMetzler,2018-08-28T13:17:46.000Z,Ich fühle mich wahnsinnig geehrt: Im Wahlkampf 2017 hatte ein Filmteam mich und fünf weitere Kandidaten zur Bundestagswahl begleitet und darüber einen Dokumentarfilm erstellt. Die Kinopremiere des Films findet am... https://facebook.com/cdu.metzler/posts/10214295960127836…,,,6
