User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Jens Koeppen,@JensKoeppen,2021-05-06T15:47:09.000Z,"Ich habe es immer gewusst: aus dem Toni Hofreiter wird mal was ganz Großes! Die Möbel haben sich die Grünen auch schon ausgesucht. Die geben richtig Gas. Prima dieser Bearbock-Zug. Der führt das Land endlich aus der Krise... #Baerbockzug  https://t-online.de/nachrichten/deutschland/bundestagswahl/id_89978254/bericht-baerbock-denkt-ueber-super-umweltministerium-nach.html… via 
@tonlineBericht: Grüne verteilen schon Kabinettsposten
Die Grünen haben derzeit gute Umfrageergebnisse. Eine Kanzlerschaft scheint möglich. Doch auch für eine Regierungsbeteiligung als Juniorpartner hat Kanzlerkandidatin Baerbock offenbar einen Plan.
t-online.de",2,1,7
Jens Koeppen,@JensKoeppen,2021-05-03T07:30:35.000Z,"Lange wurden kritische Anwohner von Windkraftanlagen als renitente Spinner und Klimaleugner hingestellt. Jetzt sind die Fakten nicht länger zu leugnen. Windkraft ist schon bei niedrigeren Schalldrucken gefährlicher als angenommen... #windkraft #akzeptanzMediziner warnen vor Schalldruck: ""Windkraft gefährlicher als angenommen""
Windkraft erzeugt sauberen Strom, die Anlagen sorgen aber für Lärm, der im menschlichen Körper Stress auslöst. Eine Berechnung, die eigentlich die Unbedenklichkeit der Anlagen herausstellen soll,...
n-tv.de",1,4,7
Jens Koeppen,@JensKoeppen,2021-05-01T06:17:29.000Z,"Solche Standpunkte - die ich übrigens seit langer Zeit genau so sehe und dafür argumentiere - machen Hoffnung. Das Kanzleramt darf sich nicht wieder so sehr abschotten. Das Land leidet unter der Reformunfähigkeit des Staates...Nie wieder 16 Jahre! Wird das Kanzleramt zum Bunker, leidet das Land
Die Corona-Pandemie deckt schonungslos auf: Deutschland ist satt und behäbig. Wir ruhen uns auf alten Erfolgen aus, zehren von der Substanz. Statt uns zu reformieren, haben wir es uns in der Komfor...
focus.de",,2,9
Jens Koeppen,@JensKoeppen,2021-04-30T06:36:04.000Z,"Ist der Einzelhandel noch zu retten? Wartet man noch länger auf festgelegte Zahlen, wird man den Einzelhandel und die gesamte Gesellschaft „zu Tode getestet“ haben. Innenstädte und Shoppingcenter werden andere sein. Amazon übernehmen Sie! #EinzelhandelCorona in der Uckermark: Shoppen nur mit Test – das wird nicht funktionieren! Abgeordneter steht...
Ein Seniorenheim mit einem Café in der Mitte – ein Horror-Zukunftsszenario für den aktuell größten uckermärkischen Handelsplatz. Ein Bundestagsabgeordneter stellte sich dem Gespräch.
moz.de",1,1,2
Jens Koeppen,@JensKoeppen,2021-04-24T17:24:05.000Z,"Was sagt Regisseur Dietrich Brüggemann zu dem unsäglichen Shitstorm auf eine gut gemeinte und sehr gut gemachte Aktion, um den „verengten Diskursraum in diesem Land aufzurütteln“...
„In einer Situation wie dieser muss Kritik wehtun...“
#allesdichtmachenRegisseur Brüggemann zu #allesdichtmachen - ""Kritik muss wehtun""
Richy Müller, Meret Becker und Ulrich Tukur haben mit anderen Prominenten in ironisch-satirischen Videos die Corona-Politik der Bundesregierung kritisiert. ""Die Gruppe ist dabei, den verengten
deutschlandfunk.de",1,,2
Jens Koeppen,@JensKoeppen,2021-04-24T12:23:53.000Z,"Es ist traurig, dass sich Künstler für ihre Arbeit und dieses großartige tiefgründige Projekt rechtfertigen müssen. So weit sind wir mittlerweile gekommen. Ich wollte das eigentlich nicht mehr erleben müssen... #allesdichtmachenLive-Interview im WDR: Jan Josef Liefers wehrt sich gegen Attacken und Vorwürfe
„Wissen Sie, wann das letzte Mal jemand zu mir gesagt hat: Sind Sie so naiv? Das war ein Mitarbeiter des Zentralkomitees in der DDR auf der Schauspielschule.“
berliner-zeitung.de",2,,2
Jens Koeppen,@JensKoeppen,2021-03-17T13:46:36.000Z,"Ist das die neue weltoffene friedliche US-Politik? Was will der vermeintlich moderate US-Präsident damit bezwecken? #biden #versteheeinerdieseamisDie obersten Wahlwächter: Trumps Republikaner arbeiten schon am Plan, die nächste Wahl zu stehlen
US-Politik im Live-Ticker: Der Sender CNN berichtet von der Überwachung einer Journalistin durch die Trump-Regierung. Marjorie Taylor Greene, eine Anhängerin des Ex-US-Präsidenten, hat unterdessen...
focus.de",3,,4
Jens Koeppen,@JensKoeppen,2021-03-12T07:13:48.000Z,"Die grüne Verkehrssenatorin erklärt, dass sie ihren Dienstwagen ganz dringend braucht. Viele andere Berliner brauchen ihr Auto genauso dringend. Das aber will Frau Günther nicht gelten lassen. Klar, die anderen fahren nur aus reiner Freude am Fahren...So erklärt die grüne Senatorin Günther, warum sie Auto fährt
Die Verkehrssenatorin erklärt, dass sie ihren Dienstwagen ganz dringend braucht. Viele andere Berliner brauchen ihr Auto genauso dringend. Das aber will Frau Günther offenbar nicht gelten lassen,...
bz-berlin.de",,2,5
Jens Koeppen,@JensKoeppen,2021-03-09T10:58:15.000Z,"Es wird Zeit! Bei allem, was gut war, aber die Menschen sehnen sich nach einem Neuanfang...Die Mannschaft
@DFB_Team
 · Mar 9
Joachim #Löw wird seine Tätigkeit als Bundestrainer nach der @EURO2020 im Sommer beenden.

 http://dfb.social/_loew",,,3
Jens Koeppen,@JensKoeppen,2021-03-09T06:57:03.000Z,"Langsam scheint sich die Abteilung „Vernunft“ gegen die Abteilung „Vorsicht“ durchzusetzen. Neben der Öffnung von Baumärkten und dem Terminshopping will Brandenburg nun auch die Notbremse von 100 auf 200 erhöhen. Und Obermahner #Lauterbach tobt. Läuft!Corona: Brandenburg will Inzidenz-Notbremse auf 200 erhöhen
Eigentlich hatten sich die Ministerpräsidenten beim Corona-Gipfel auf eine Schwelle von 100 geeinigt: Sobald dieser Inzidenzwert erreicht ist, sollten die Lockerungen gestoppt werden. Brandenburg...
spiegel.de",,,4
