User,Handle,PostDate,TweetText,ReplyCount,RetweetCount,LikeCount
Stefan Liebich,@berlinliebich,2021-05-28T06:08:33.000Z,"Vor 117 Jahren verübten Deutsche Soldaten einen Völkermord. Viel zu lange hat sich die Bundesregierung geweigert, das so zu benennen und dafür offiziell um Entschuldigung zu bitten. 

Es schmerzt, dass die Nachfahren der Opfer so wenig einbezogen wurden.Deutschland erkennt Kolonialverbrechen als Völkermord an
Nach jahrelangen Verhandlungen will sich Deutschland mit seiner früheren Kolonie - dem heutigen Namibia - aussöhnen. Es geht um ein Schuldeingeständnis, eine Bitte um Vergebung - und um einen...
tagesschau.de",18,26,113
linksfraktion,@Linksfraktion,2021-05-25T11:12:19.000Z,"„Wer arbeiten geht, muss geschützt werden, bis die Pandemie vorbei ist. Dazu gehören auch regelmäßige Corona-Tests. Wer ausgerechnet hier lockern will, pfeift auf die Gesundheit der Beschäftigten“, so 
@JuttaKrellmannCorona-Schutz bei der Arbeit aufrechterhalten
„Wer arbeiten geht, muss geschützt werden, bis die Pandemie vorbei ist. Dazu gehören auch regelmäßige Corona-Tests. Wer ausgerechnet hier lockern will, pfeift auf die Gesundheit der Beschäftigten“,...
linksfraktion.de",,14,31
junge Welt,@jungewelt,2021-05-23T07:00:00.000Z,"Die Lobby-Union hat die #SPD erfolgreich ausgebremst. 

Die Chance für mehr Demokratie in den Betrieben wurde vertan. Als Linke werden wir weiter Druck machen, damit wir mehr starke #Betriebsräte bekommen.

Gastkommentar von 
@JuttaKrellmann
, #dielinkeEine vertane Chance
Betriebsrätemodernisierungsgesetz. Gastkommentar
jungewelt.de",2,6,15
Jutta Krellmann,@JuttaKrellmann,2021-05-21T09:27:30.000Z,"Meine heutige #Rede im #Bundestag zum #Betriebsrätemodernisierungsgesetz. Einschalten!linksfraktion
@Linksfraktion
 · May 21
Der #Bundestag hat heute den Entwurf der #Bundesregierung für ein #Betriebsrätemodernisierungsgesetz angenommen. @JuttaKrellmann sieht darin keinen großen Wurf, sondern eine vertane Chance: ""Mehr #Betriebsräte bekommen wir so nicht."" https://youtube.com/watch?v=KTQPuyP79es…",,,5
nd.Aktuell,@ndaktuell,2021-05-21T08:36:02.000Z,"Nur ein Tröpfchen auf dem heißen Stein. Linke-Mitbestimmungspolitikerin 
@JuttaKrellmann
 kritisiert das #Betriebsrätemodernisierungsgesetz #Homeoffice #KINur ein Tröpfchen auf dem heißen Stein
Immer weniger Beschäftigte werden durch einen Betriebsrat vertreten. Die Bundesregierung will dieser Entwicklung mit einem neuen Gesetz entgegenwirken. Linken-Mitbestimmunspolitikerin Jutta Krellmann...
neues-deutschland.de",,5,8
Jutta Krellmann,@JuttaKrellmann,2021-05-14T06:38:09.000Z,"Gerade mit Blick auf die vielen schwer an #Corona Erkrankten ist es ein Unding, dass sich viele Unternehmen um das betriebliche #Eingliederungsmanagement drücken!Kaum Hilfe bei der Wiedereingliederung
Nur vier von zehn Angestellten werden nach langer Krankheit Maßnahmen im Rahmen des betrieblichen Eingliederungsmanagements angeboten. Die Linke fordert einen einklagbaren Anspruch.
neues-deutschland.de",2,8,30
Dietmar Bartsch,@DietmarBartsch,2021-05-13T16:20:00.000Z,"Wer vor Synagogen und jüdische Einrichtungen zieht und gegen Jüdinnen und Juden hetzt, kritisiert nicht die Regierung #Israel|s, sondern lebt unverhohlen seinen antisemitischen Hass aus. Jeder Form von #Antisemitismus wird unsere wehrhafte Demokratie entschieden entgegentreten.",75,153,1.2K
linksfraktion,@Linksfraktion,2021-05-12T09:58:03.000Z,".
@JuttaKrellmann
: Gerade mit Blick auf die vielen schwer an #Corona Erkrankten ist es ein Unding, dass sich viele #Unternehmen um das #BEM drücken. #Beschäftigte dürfen nicht verschlissen und entsorgt werden. Hier ist die #Bundesregierung in der Pflicht.Betriebliches Eingliederungsmanagement: Sechs von zehn Berechtigten erhalten kein Angebot
Arbeitgeber sind verpflichtet, Beschäftigten, die innerhalb eines Jahres länger als sechs Wochen ununterbrochen oder wiederholt arbeitsunfähig waren, ein betriebliches Eingliederungsmanagement (BEM)...
linksfraktion.de",,3,12
linksfraktion,@Linksfraktion,2021-05-12T06:00:00.000Z,"Aus dem #Traumberuf #Pflege ist für viele #Pflegekräfte häufig ein Albtraum geworden, der ihre Leidenschaft täglich auf eine harte Probe stellt. Pia Zimmermann beklagt Untätigkeit der Bundesregierung & verweist auf unsere guten Konzepte: https://linksfraktion.de/themen/nachrichten/detail/pflegende-haben-mehr-verdient-als-heisse-luft/… #TagderPflegenden",2,22,58
Jan Korte,@jankortemdb,2021-05-10T11:21:48.000Z,"Steigende soziale Ungleichheit, Transformation der Arbeit und der Wirtschaft, Klimakrise. 
@DieLinke
 hat die Antworten auf die drängenden Fragen unserer Zeit. Freue mich sehr, mit 
@Janine_Wissler
 und 
@DietmarBartsch
 in den Wahlkampf zu ziehen!  #MachtDasLandGerecht",19,27,208
